"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","All",1,0.999927,7.27636E-05,0.5,7.2764E-5,7.27635E-05,1,7.27636E-05,1.00192E-05,4.5,4.26998,0.678545,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.435996,0.062501,,,5.13306E-06,,,,,1.35315E-11,1.35315E-11,6.763E-5,0.141614,9.99994,9.99996,19.9999,0.000106924,9.99994,9.99996,0,9.5754E-6,5.0483E-7,1.00803E-5,9.27466E-06,5.0483E-07,9.69044E-05,9.69044E-05,3.416E-05,6.27444E-05,7.02264E-07,6.20421E-05,0,5.13306E-6,0.0625072,1.35315E-11,1.35315E-11,2.70738E-18,0.0113755,0,-3.09926E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,7.27635E-5,7.27635E-05,0.999927,1.45585E-11,5.13306E-06,1.35315E-11,1.35315E-11,5.8053E-05,9.5774E-6
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,4.26999,0.678547,0.124997,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.41601E-05,10,9.99997,0,0,0,0,0,0,3.41601E-05,3.41601E-05,3.41601E-05,0,0,0,0,0,,0,0,0,,0,-3.34641E-06,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","DisputeArises",7.3E-5,0,1,0.446181,1,1,1,1,0.137695,4.06945,4.13622,0.65274,0.172224,0.152663,0.134978,0.121763,0.11177,0.104955,0.101845,0.0998029,1,1,0.435996,0.062501,,,0.0705444,,,,,1.85965E-07,1.85965E-07,0.929455,0.141614,9.13603,9.86393,19,1.00003,9.13603,9.86393,0,0.131597,0.006938,0.138535,0.127463,0.00693795,0.862338,0.862338,3.30897E-05,0.862305,0.00965131,0.852653,0,0.0705444,0.0625072,1.85965E-07,1.85965E-07,3.7208E-14,0.0113755,0,0.0459868,0.125017,0.149843,0.15136,0.140612,0.128984,0.118796,0.104602,0.0807852,0.128663,0.156216,0.150833,0.143193,0.123533,0.115267,0.102558,0.0797374,1,1,2.0008E-07,2.0008E-07,0.0705444,1.85965E-07,1.85965E-07,0.797831,0.131624
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","PFiles",7.3E-5,0,1,0.446181,1,1,1,1,0.137695,4.06945,4.13622,0.65274,0.172224,0.152663,0.134978,0.121763,0.11177,0.104955,0.101845,0.0998029,1,1,0.435996,0.062501,,,0.0705444,,,,,1.85965E-07,1.85965E-07,0.929455,0.141614,9.13603,9.86393,19,1.00003,9.13603,9.86393,0,0.131597,0.006938,0.138535,0.127463,0.00693795,0.862338,0.862338,3.30897E-05,0.862305,0.00965131,0.852653,0,0.0705444,0.0625072,1.85965E-07,1.85965E-07,3.7208E-14,0.0113755,0,0.0459868,0.125017,0.149843,0.15136,0.140612,0.128984,0.118796,0.104602,0.0807852,0.128663,0.156216,0.150833,0.143193,0.123533,0.115267,0.102558,0.0797374,1,1,0,2.0008E-07,0.0705444,1.85965E-07,1.85965E-07,0.797831,0.131624
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","DAnswers",7.3E-5,0,1,0.446181,1,1,1,1,0.137695,4.06945,4.13622,0.65274,0.172224,0.152663,0.134978,0.121763,0.11177,0.104955,0.101845,0.0998029,1,1,0.435996,0.062501,,,0.0705445,,,,,1.85965E-07,1.85965E-07,0.929455,0.141614,9.13603,9.86393,19,1.00003,9.13603,9.86393,0,0.131596,0.006938,0.138534,0.127463,0.00693795,0.862338,0.862338,3.30897E-05,0.862305,0.00965131,0.852653,0,0.0705445,0.0625072,1.85965E-07,1.85965E-07,3.7208E-14,0.0113755,0,0.0459868,0.125017,0.149843,0.15136,0.140612,0.128984,0.118796,0.104602,0.0807852,0.128663,0.156216,0.150833,0.143193,0.123533,0.115267,0.102558,0.0797374,1,1,0,0,0.0705445,1.85965E-07,1.85965E-07,0.797831,0.131624
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","Litigated",7.3E-5,0,1,0.446181,1,1,1,1,0.137695,4.06945,4.13622,0.65274,0.172224,0.152663,0.134978,0.121763,0.11177,0.104955,0.101845,0.0998029,1,1,0.435996,0.062501,,,0.0705445,,,,,1.85965E-07,1.85965E-07,0.929455,0.141614,9.13603,9.86393,19,1.00003,9.13603,9.86393,0,0.131596,0.006938,0.138534,0.127463,0.00693795,0.862338,0.862338,3.30897E-05,0.862305,0.00965131,0.852653,0,0.0705445,0.0625072,1.85965E-07,1.85965E-07,3.7208E-14,0.0113755,0,0.0459868,0.125017,0.149843,0.15136,0.140612,0.128984,0.118796,0.104602,0.0807852,0.128663,0.156216,0.150833,0.143193,0.123533,0.115267,0.102558,0.0797374,1,1,0,0,0.0705445,1.85965E-07,1.85965E-07,0.797831,0.131624
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","Not Litigated",0.9999,1,2.91192E-11,0.500004,1.456E-11,0,1,2.91192E-11,4.00958E-12,4.50003,4.26999,0.678547,0.124997,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.41601E-05,10,9.99997,0,1.439E-11,1.656E-13,1.456E-11,1.43940E-11,1.65622E-13,3.41601E-05,3.41601E-05,3.41601E-05,2.51096E-11,2.81038E-13,2.4828600000000003E-11,0,0,,0,0,0,0.0113755,0,-3.34641E-06,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,1.456E-11,0,1,1.45596E-11,0,0,0,0,0
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","Settles",5.1E-6,0,1,0.244613,1,1,1,1,0.123523,2.4569,4.41788,0.460776,0.282431,0.283862,0.224276,0.135023,0.056162,0.0150905,0.00276583,0.000389196,1,1,0.0625054,0.0625091,,,1,,,,,0,0,0,,9.06251,9.93746,19,1.00004,9.06251,9.93746,0,0.0625063,6.431E-06,0.0625127,0.00391058,5.95947E-06,0.876513,0.876513,3.53431E-05,0.876477,6.28974E-06,0.876471,0,1,0.0625072,0,0,0,7.39649E-06,0,-3.00638,0.724356,0.275628,3.29679E-06,3.04868E-06,2.79932E-06,2.54545E-06,2.23188E-06,1.74924E-06,3.11436E-06,3.64423E-06,0.369844,0.212268,0.252436,0.110358,0.0415577,0.0135281,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","Tried",6.8E-5,0,1,0.46148,1,1,1,1,0.138771,4.19184,4.11484,0.66731,0.16386,0.142705,0.128201,0.120756,0.11599,0.111775,0.109365,0.107348,1,1,0.464344,0.0625004,,,0,,,,,0,0,1,0.141614,9.14161,9.85835,19,1.00003,9.14161,9.85835,0,0.13684,0.0074641,0.144304,0.13684,0.00746408,0.861262,0.861262,3.29187E-05,0.861229,0.0103834,0.850846,0,0,,0,0,0,0.0122383,0,0.277658,0.0795282,0.140296,0.162848,0.151284,0.138774,0.127812,0.112541,0.0869165,0.138428,0.168072,0.134211,0.13795,0.113749,0.11564,0.107188,0.0847626,1,1,0,0,0,0,0,0.858386,0.141614
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","PWins",9.6E-6,0,1,0.527334,1,1,1,1,0.142756,4.71867,4.08372,0.728923,0.109838,0.110714,0.115697,0.122811,0.126893,0.130128,0.137515,0.146404,1,1,0.479466,0.0625015,,,0,,,,,0,0,1,1,10,8.99997,19,1.00003,10,8.99997,0,0.966287,0,0.966287,0.966287,0,0.857277,0.857277,3.26698E-05,0.857244,0.0286325,0.828612,0,0,,0,0,0,0.0337127,0,0.667024,0.0622441,0.104296,0.129156,0.139762,0.147917,0.152638,0.14558,0.118408,0.127209,0.192676,0.111014,0.165476,0.0794291,0.104896,0.116367,0.102932,1,1,0,0,0,0,0,0,1
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","DWins",5.8E-5,0,1,0.450615,1,1,1,1,0.138114,4.10492,4.11997,0.657145,0.172772,0.147983,0.130264,0.120417,0.114192,0.108748,0.104721,0.100905,1,1,0.461849,0.0625002,,,0,,,,,0,0,1,0,9,9.99997,19,1.00003,9,9.99997,0,0,0.0086955,0.00869548,0,0.00869548,0.861919,0.861919,3.29598E-05,0.861886,0.00737265,0.854514,0,0,,0,0,0,0.00869548,0,0.213421,0.0823797,0.146235,0.168406,0.153185,0.137265,0.123716,0.107091,0.0817212,0.140278,0.164013,0.138037,0.133409,0.119411,0.117412,0.105674,0.081765,1,1,0,0,0,0,0,1,0
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","Abandoned",3E-11,0,1,0.46148,1,1,1,1,0.138771,4.19184,4.11484,0.66731,0.16386,0.142705,0.128201,0.120756,0.11599,0.111775,0.109365,0.107348,1,1,0.464344,0.0625004,,,0,,,,,0.5,0.5,0,,9.5,9.49997,19,1.00003,9.5,9.49997,0,0.493881,0.0061191,0.5,0.493881,0.00611914,0.861262,0.861262,3.29187E-05,0.861229,0.0103834,0.850846,0,0,,0.5,0.5,1.0004E-07,0.0122383,0,0.277658,0.0795282,0.140296,0.162848,0.151284,0.138774,0.127812,0.112541,0.0869165,0.138428,0.168072,0.134211,0.13795,0.113749,0.11564,0.107188,0.0847626,1,1,0,0,0,0.5,0.5,0,0
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","PrecPower1",0.125,0.9999,0.000100252,0.0625,0.0001003,0.000100252,1,0.000100252,1.07875E-05,1,3.30289,0.440322,1,0,0,0,0,0,0,0,1,1,0.374429,0.0625008,,,1.15978E-05,,,,,1.7738E-11,1.7738E-11,8.865E-5,0.0949265,9.99991,9.99996,19.9999,0.000126676,9.99991,9.99996,0,9.1406E-6,0,9.14061E-6,8.46103E-06,0,0.000115888,0.000115888,2.64233E-05,8.94648E-05,0,8.94648E-05,0,1.15978E-5,0.0625041,1.7738E-11,1.7738E-11,3.54902E-18,0,0,0.936708,0.224523,0.243921,0.207842,0.14645,0.0898709,0.0498812,0.02551,0.0120032,0.394013,0.326145,0.184955,0.0718393,0.0191031,0.00347586,0.000432504,3.67801E-05,0.00010025,0.000100252,0.9999,2.00585E-11,1.15978E-05,1.7738E-11,1.7738E-11,8.02388E-5,8.4157E-6
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","PrecPower2",0.125,0.999911,8.88662E-05,0.1875,8.8866E-5,8.88661E-05,1,8.88662E-05,1.01016E-05,2,3.52846,0.527082,0,1,0,0,0,0,0,0,1,1,0.396653,0.0625008,,,1.16567E-05,,,,,1.54481E-11,1.54481E-11,7.721E-5,0.109868,9.99992,9.99996,19.9999,0.000117094,9.99992,9.99996,0,9.2115E-6,0,9.21146E-6,8.52843E-06,0,0.000106992,0.000106992,2.82279E-05,7.87645E-05,0,7.87645E-05,0,1.16567E-5,0.0625036,1.54481E-11,1.54481E-11,3.09085E-18,0,0,0.708292,0.194115,0.219714,0.199291,0.153453,0.105573,0.0669778,0.0395246,0.021351,0.24594,0.29712,0.245942,0.139472,0.054173,0.0144053,0.00262109,0.000326145,8.88661E-5,8.88661E-05,0.999911,1.77803E-11,1.16567E-05,1.54481E-11,1.54481E-11,6.87266E-5,8.4828E-6
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","PrecPower3",0.125,0.999921,7.85724E-05,0.3125,7.8572E-5,7.85724E-05,1,7.85724E-05,9.55333E-06,3,3.8466,0.59441,0,0,1,0,0,0,0,0,1,1,0.421908,0.0625009,,,9.20984E-06,,,,,1.38781E-11,1.38781E-11,6.936E-5,0.127802,9.99993,9.99996,19.9999,0.000109345,9.99993,9.99996,0,9.4403E-6,7.319E-12,9.44034E-6,8.90068E-06,7.317E-12,9.97921E-05,9.97921E-05,3.0773E-05,6.90191E-05,1.9347700000000003E-11,6.9019E-05,0,9.20984E-6,0.0625041,1.38781E-11,1.38781E-11,2.77672E-18,2.70863E-07,0,0.437049,0.153945,0.184876,0.182931,0.158248,0.125176,0.0924017,0.0633474,0.0390756,0.122435,0.215899,0.260828,0.2159,0.122436,0.0475557,0.0126457,0.00230093,7.85724E-5,7.85724E-05,0.999921,1.57208E-11,9.20984E-06,1.38781E-11,1.38781E-11,6.04978E-5,8.8647E-6
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","PrecPower4",0.125,0.999929,7.08794E-05,0.4375,7.0879E-5,7.08794E-05,1,7.08794E-05,9.34401E-06,4,4.21865,0.645125,0,0,0,1,0,0,0,0,1,1,0.445913,0.0625009,,,5.54468E-06,,,,,1.30722E-11,1.30722E-11,6.533E-5,0.144025,9.99994,9.99996,19.9999,0.000104629,9.99994,9.99996,0,9.7564E-6,1.213E-11,9.75639E-6,9.43148E-06,1.21201E-11,9.52848E-05,9.52848E-05,3.37494E-05,6.15354E-05,3.5902200000000003E-11,6.15354E-05,0,5.54468E-6,0.0625062,1.30722E-11,1.30722E-11,2.61548E-18,5.59802E-07,0,0.146669,0.109092,0.141947,0.157031,0.156098,0.144141,0.124491,0.098655,0.0685448,0.0454964,0.117134,0.206552,0.249535,0.206553,0.117135,0.0454966,0.0120982,7.08794E-5,7.08794E-05,0.999929,1.41816E-11,5.54468E-06,1.30722E-11,1.30722E-11,5.59249E-5,9.4098E-6
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","PrecPower5",0.125,0.999935,6.50624E-05,0.5625,6.5062E-5,6.50623E-05,1,6.50624E-05,9.39007E-06,5,4.56112,0.692867,0,0,0,0,1,0,0,0,1,1,0.464156,0.062501,,,2.30628E-06,,,,,1.25562E-11,1.25562E-11,6.276E-5,0.154925,9.99994,9.99995,19.9999,0.000101552,9.99994,9.99995,0,9.8667E-6,1.479E-11,9.86667E-6,9.73151E-06,1.47435E-11,9.21615E-05,9.21615E-05,3.64892E-05,5.56723E-05,5.0482600000000005E-11,5.56723E-05,0,2.30628E-6,0.0625141,1.25562E-11,1.25562E-11,2.51225E-18,8.62714E-07,0,-0.146647,0.0685438,0.0986537,0.124489,0.14414,0.156098,0.157032,0.141949,0.109095,0.0120981,0.0454965,0.117135,0.206553,0.249535,0.206552,0.117134,0.0454965,6.50624E-5,6.50623E-05,0.999935,1.30177E-11,2.30628E-06,1.25562E-11,1.25562E-11,5.30336E-5,9.7225E-6
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","PrecPower6",0.125,0.999939,6.10953E-05,0.6875,6.1095E-5,6.10952E-05,1,6.10953E-05,9.68329E-06,6,4.80011,0.75445,0,0,0,0,0,1,0,0,1,1,0.475544,0.0625011,,,6.19687E-07,,,,,1.20999E-11,1.20999E-11,6.048E-5,0.164866,9.99995,9.99995,19.9999,9.94963E-05,9.99995,9.99995,0,9.5955E-6,4.4916E-7,1.00446E-5,9.55914E-06,4.49161E-07,8.98131E-05,8.98131E-05,3.84011E-05,5.1412E-05,7.51421E-07,5.06605E-05,0,6.19687E-7,0.0625525,1.20999E-11,1.20999E-11,2.42096E-18,0.0141235,0,-0.437037,0.0390753,0.0633472,0.0924014,0.125175,0.158247,0.18293,0.184877,0.153947,0.00230093,0.0126457,0.0475557,0.122436,0.2159,0.260827,0.215899,0.122435,6.10952E-5,6.10952E-05,0.999939,1.22239E-11,6.19687E-07,1.20999E-11,1.20999E-11,5.05051E-5,9.9704E-6
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","PrecPower7",0.125,0.999941,5.92845E-05,0.8125,5.9285E-5,5.92845E-05,1,5.92845E-05,1.029E-05,7,4.92552,0.837096,0,0,0,0,0,0,1,0,1,1,0.482999,0.0625012,,,1.13577E-07,,,,,1.18389E-11,1.18389E-11,5.917E-5,0.178065,9.99995,9.99995,19.9999,9.86889E-05,9.99995,9.99995,0,8.9296E-6,2.8006E-6,1.17302E-5,8.92291E-06,2.80059E-06,8.83989E-05,8.83989E-05,3.94044E-05,4.89945E-05,3.73997E-06,4.52545E-05,0,1.13577E-7,0.0628026,1.18389E-11,1.18389E-11,2.36873E-18,0.0744627,0,-0.708298,0.0213511,0.0395249,0.0669785,0.105573,0.153453,0.19929,0.219713,0.194115,0.000326147,0.0026211,0.0144054,0.054173,0.139472,0.245941,0.29712,0.245941,5.92845E-5,5.92845E-05,0.999941,1.18617E-11,1.13577E-07,1.18389E-11,1.18389E-11,4.86346E-5,1.0536E-5
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","PrecPower8",0.125,0.999942,5.80958E-05,0.9375,5.8096E-5,5.80958E-05,1,5.80958E-05,1.10037E-05,8,4.97648,0.937006,0,0,0,0,0,0,0,1,1,1,0.488285,0.0625013,,,1.5982E-08,,,,,1.16206E-11,1.16206E-11,5.808E-5,0.193137,9.99995,9.99995,19.9999,9.79079E-05,9.99995,9.99995,0,1.0663E-5,7.8885E-7,1.14519E-5,1.06621E-05,7.88847E-07,8.69041E-05,8.69041E-05,3.9812E-05,4.70921E-05,1.1266E-06,4.59655E-05,0,1.5982E-08,0.0648284,1.16206E-11,1.16206E-11,2.32505E-18,0.0231385,0,-0.936737,0.0120034,0.0255106,0.0498825,0.0898733,0.146452,0.207843,0.243918,0.224517,3.67806E-05,0.000432508,0.00347589,0.0191032,0.0718394,0.184955,0.326144,0.394013,5.80958E-5,5.80958E-05,0.999942,1.16238E-11,1.5982E-08,1.16206E-11,1.16206E-11,4.68624E-5,1.1217E-5
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","PrecLevel0",4E-07,0.999945,5.49995E-05,0.5,5.4999E-5,5.49995E-05,0.5,5.49995E-05,4.9995E-06,4.5,0,1.27598,0.125001,0.125,0.125,0.125,0.125,0.125,0.125,0.125001,1,1,0.937499,0.504758,,,5.6557E-06,,,,,9.87270E-12,9.87270E-12,4.934E-5,0.748272,9.99999,9.99946,19.9994,0.000555,9.99999,9.99946,0,7.7405E-6,6.073E-06,1.38134E-5,7.74037E-06,5.74164E-06,0.00055,0.00055,0.0005,5E-05,3.68706E-05,1.31294E-05,0,5.6557E-06,0.937496,9.87270E-12,9.87270E-12,1.97533E-18,0.737411,0,-1.56408E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,5.49995E-5,5.49995E-05,0.999945,1.10043E-11,5.6557E-06,9.87270E-12,9.87270E-12,1.24212E-5,3.6923E-5
"Risk Neutral CM 1 CM 0 UPC 8E-06","8.684E-09","0.6726","170","PrecLevel1",2E-07,0.9999,9.97911E-05,0.5,9.9791E-5,9.97911E-05,1,9.97911E-05,9.99806E-06,4.5,1,1.15139,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.885061,0.359493,,,9.5747E-11,,,,,1.99662E-11,1.99662E-11,9.979E-5,0.653689,9.99997,9.99993,19.9999,0.000107791,9.99997,9.99993,0,1.642E-05,1.1733E-5,2.81531E-5,1.642E-05,1.17331E-05,9.77931E-05,9.77931E-05,8E-06,8.97931E-05,5.43705E-05,3.54225E-05,0,9.5747E-11,0.489957,1.99662E-11,1.99662E-11,3.99484E-18,0.606721,0,-2.65803E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,9.97911E-5,9.97911E-05,0.9999,1.99662E-11,9.5747E-11,1.99662E-11,1.99662E-11,3.45587E-5,6.5232E-5
