"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 CM 2 DM 2","1.33E-06","0.9916","130","All",1,0.999909,9.058E-05,0.5,6.01E-11,6.0098E-11,1,9.058E-05,9.99885E-06,4.5,2,0.8173,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.314428,0.355674,,,5.97845E-11,,,,,1.56079E-13,1.04505E-17,1.57E-13,0.413839,9.99991,9.99998,19.9999,0.00011058,1000,1000,4.81414E-11,4.345E-11,2.225E-05,2.22498E-5,4.36218E-11,2.22498E-05,0.000100581,0.000100581,2.00002E-05,8.05811E-05,1.96131E-05,6.0968E-05,0,5.9785E-11,0.669365,1.56079E-13,1.04505E-17,9.04635E-20,0.245637,0,-1.04683E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,6.0098E-11,6.0098E-11,1,1.20244E-17,5.97845E-11,1.56079E-13,1.04505E-17,9.227E-14,6.514E-14
"MODRA CM 1 CM 2 DM 2","1.33E-06","0.9916","130","NoDispute",0.9999,1,0,0.500001,0,0,1,0,0,4.50001,2,0.817301,0.124999,0.124999,0.125,0.125,0.125,0.125,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.00002E-05,1000,1000,0,0,0,0,0,0,2.00002E-05,2.00002E-05,2.00002E-05,0,0,0,0,0,,0,0,0,,0,2.13374E-15,0.10283,0.127186,0.135105,0.134876,0.134876,0.135106,0.127187,0.102832,0.10283,0.127186,0.135105,0.134876,0.134876,0.135106,0.127187,0.102832,0,0,1,0,0,0,0,0,0
"MODRA CM 1 CM 2 DM 2","1.33E-06","0.9916","130","DisputeArises",9.1E-5,0,1,0.484516,6.6348E-7,6.6348E-07,1,1,0.110387,4.37613,2,0.804409,0.147235,0.134167,0.123625,0.117938,0.115495,0.115902,0.120056,0.125581,1,1,0.314428,0.355674,,,6.60019E-07,,,,,1.72311E-09,1.15373E-13,1.738E-9,0.413839,9,9.99998,19,1.00002,998.808,1000,5.31479E-07,4.7965E-7,0.245637,0.245637,4.81584E-07,0.245637,0.889633,0.889634,2E-05,0.889613,0.216528,0.673085,0,6.60019E-7,0.669365,1.72311E-09,1.15373E-13,9.98714E-16,0.245637,0,-1.14247E-13,0.109546,0.133865,0.139698,0.136304,0.132984,0.130331,0.120714,0.0965582,0.109546,0.133865,0.139698,0.136304,0.132984,0.130331,0.120714,0.0965582,6.63481E-7,6.6348E-07,0.999999,1.32749E-13,6.60019E-07,1.72311E-09,1.15373E-13,1.01865E-9,7.192E-10
"MODRA CM 1 CM 2 DM 2","1.33E-06","0.9916","130","PFiles",6E-11,0,1,0.492981,1,1,1,1,0.0998645,4.44385,0.93535,0.919821,0.140698,0.130212,0.121818,0.117763,0.116574,0.118177,0.123774,0.130984,1,1,0.314428,0.355674,,,0.994783,,,,,0.00259708,1.7389E-07,0.002619,0.413839,9.26752,8.93142,18.1989,1.80106,999.085,998.136,0.801048,0.722931,0.22113,0.944062,0.725845,0.178366,0.900145,1.70119,9.3535E-06,0.900135,0.34282,0.557315,0,0.994783,0.669365,0.00259708,1.7389E-07,1.50526E-09,0.380996,0,-4.13488E-13,0.105892,0.130228,0.137194,0.13552,0.134009,0.132931,0.124243,0.0999815,0.105892,0.130228,0.137194,0.13552,0.134009,0.132931,0.124243,0.0999815,1,1,0,2.0008E-07,0.994783,0.00259708,1.7389E-07,0.00153532,0.001084
"MODRA CM 1 CM 2 DM 2","1.33E-06","0.9916","130","DAnswers",6E-11,0,1,0.492981,1,1,1,1,0.0998645,4.44385,0.93535,0.919821,0.140698,0.130212,0.121818,0.117763,0.116574,0.118177,0.123774,0.130984,1,1,0.314428,0.355674,,,0.994783,,,,,0.00259708,1.7389E-07,0.002619,0.413839,9.26752,8.93142,18.1989,1.80106,999.085,998.136,0.801048,0.722931,0.221131,0.944061,0.725844,0.178366,0.900145,1.70119,9.3535E-06,0.900135,0.34282,0.557315,0,0.994783,0.669365,0.00259708,1.7389E-07,1.50527E-09,0.380996,0,-4.01896E-13,0.105892,0.130228,0.137194,0.13552,0.134009,0.132931,0.124243,0.0999815,0.105892,0.130228,0.137194,0.13552,0.134009,0.132931,0.124243,0.0999815,1,1,0,0,0.994783,0.00259708,1.7389E-07,0.00153532,0.001084
"MODRA CM 1 CM 2 DM 2","1.33E-06","0.9916","130","Litigated",6E-11,0,1,0.492981,1,1,1,1,0.0998645,4.44385,0.93535,0.919821,0.140698,0.130212,0.121818,0.117763,0.116574,0.118177,0.123774,0.130984,1,1,0.314428,0.355674,,,0.994783,,,,,0.00259708,1.7389E-07,0.002619,0.413839,9.26752,8.93142,18.1989,1.80106,999.085,998.136,0.801048,0.722931,0.221131,0.944061,0.725844,0.178366,0.900145,1.70119,9.3535E-06,0.900135,0.34282,0.557315,0,0.994783,0.669365,0.00259708,1.7389E-07,1.50527E-09,0.380996,0,-4.01896E-13,0.105892,0.130228,0.137194,0.13552,0.134009,0.132931,0.124243,0.0999815,0.105892,0.130228,0.137194,0.13552,0.134009,0.132931,0.124243,0.0999815,1,1,0,0,0.994783,0.00259708,1.7389E-07,0.00153532,0.001084
"MODRA CM 1 CM 2 DM 2","1.33E-06","0.9916","130","Not Litigated",1,0.999909,9.05799E-05,0.5,1.202E-17,0,1,9.05799E-05,9.99884E-06,4.5,2,0.8173,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99991,9.99998,19.9999,0.00011058,1000,1000,0,0,2.225E-05,2.22498E-5,0,2.22498E-05,0.000100581,0.000100581,2.00002E-05,8.05811E-05,1.96131E-05,6.0968E-05,0,0,,0,0,0,0.245637,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1.2024E-17,0,1,1.20244E-17,0,0,0,0,0
"MODRA CM 1 CM 2 DM 2","1.33E-06","0.9916","130","Settles",6E-11,0,1,0.493386,1,1,1,1,0.0998764,4.44709,0.93628,0.920016,0.141257,0.130301,0.121154,0.116751,0.116117,0.11842,0.124342,0.131659,1,1,0.313624,0.355742,,,1,,,,,0,0,0,,9.26937,8.93063,18.2,1.80001,999.095,998.164,0.8,0.722399,0.22173,0.94413,0.72263,0.178446,0.900133,1.70013,9.3628E-06,0.900124,0.344025,0.556099,0,1,0.669365,0,0,0,0.382336,0,-0.0255765,0.106447,0.130911,0.137913,0.136231,0.134712,0.130132,0.123578,0.100076,0.104018,0.128098,0.137913,0.136231,0.134712,0.133628,0.124895,0.100506,1,1,0,0,1,0,0,0,0
"MODRA CM 1 CM 2 DM 2","1.33E-06","0.9916","130","Tried",2E-13,0,1,0.436868,1,1,1,1,0.0958005,3.99495,0.518314,0.924463,0.0302399,0.0989423,0.221201,0.299834,0.226897,0.0949393,0.0238076,0.00413806,1,1,0.497747,0.3727,,,0,,,,,0,0,1,0.413839,9.22768,8.57232,17.8,2.20001,997.469,985.827,1.2,1.26702,0.135343,1.40237,2.51653,0.216549,0.904205,2.1042,5.18314E-06,0.9042,0.175659,0.72854,0,0,,0,0,0,0.194492,0,5.43976,1.06231E-11,7.51453E-06,1.91193E-05,3.55485E-05,3.57449E-05,0.336483,0.50008,0.163339,0.613907,0.385887,2.90922E-05,3.76319E-05,4.06297E-05,3.47479E-05,3.55921E-05,2.8249E-05,1,1,0,0,0,0,0,0.586161,0.413839
"MODRA CM 1 CM 2 DM 2","1.33E-06","0.9916","130","PWins",7E-14,0,1,0.471632,1,1,1,1,0.0958004,4.27305,0.500482,0.957157,0.0177236,0.0688747,0.184488,0.29735,0.263309,0.126265,0.035336,0.00665317,1,1,0.499983,0.374929,,,0,,,,,0,0,1,1,10.4,7.39999,17.8,2.20001,1000.1,966.366,1.2,2.33443,0,2.33443,5.64461,0,0.904205,2.1042,5.00482E-06,0.9042,0.239901,0.664299,0,0,,0,0,0,0.265568,0,5.46385,4.60287E-12,5.75054E-06,1.7336E-05,3.58271E-05,4.33834E-05,0.330267,0.486717,0.182914,0.612423,0.387324,2.71719E-05,4.20024E-05,5.02063E-05,4.47803E-05,4.91059E-05,4.00899E-05,1,1,0,0,0,0,0,0,1
