"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 FSM 0.5 DM 2","1.658E-07","0.9607","110","All",1,0.999918,8.2407E-05,0.5,6.964E-11,6.96428E-11,1,8.2407E-05,1.00004E-05,4.5,3,0.708301,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.313361,0.337832,,,6.61437E-11,,,,,3.18835E-12,1.44392E-17,3.11E-13,0.445417,9.99992,9.99997,19.9999,0.000112407,1000,1000,2.79193E-11,3.454E-11,9.837E-06,9.83701E-6,2.85074E-11,9.83697E-06,0.000102407,0.000102407,3.00002E-05,7.24066E-05,8.4702E-06,6.39364E-05,0,6.6144E-11,0.656212,3.18835E-12,1.44392E-17,8.94388E-19,0.119371,0,-2.26658E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,6.9643E-11,6.96428E-11,1,1.39341E-17,6.61437E-11,3.18835E-12,1.44392E-17,1.7237E-13,1.384E-13
"MODRA CM 1 FSM 0.5 DM 2","1.658E-07","0.9607","110","NoDispute",0.9999,1,0,0.500002,0,0,1,0,0,4.50002,3,0.708303,0.124999,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.00002E-05,1000,1000,0,0,0,0,0,0,3.00002E-05,3.00002E-05,3.00002E-05,0,0,0,0,0,,0,0,0,,0,1.05026E-15,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"MODRA CM 1 FSM 0.5 DM 2","1.658E-07","0.9607","110","DisputeArises",8.2E-5,0,1,0.474847,8.4511E-7,8.45109E-07,1,1,0.121353,4.29878,3,0.689227,0.154526,0.138731,0.125828,0.11823,0.114258,0.113266,0.115789,0.119371,1,1,0.313361,0.337832,,,8.02646E-07,,,,,3.86903E-08,1.75218E-13,3.772E-9,0.445417,9,9.99997,19,1.00003,998.808,1000,3.38798E-07,4.1915E-7,0.119371,0.119371,3.45934E-07,0.119371,0.878677,0.878677,3E-05,0.878647,0.102785,0.775862,0,8.02646E-7,0.656212,3.86903E-08,1.75218E-13,1.08533E-14,0.119371,0,-1.34765E-13,0.113606,0.137935,0.14254,0.137241,0.131883,0.127426,0.116716,0.0926534,0.113606,0.137935,0.14254,0.137241,0.131883,0.127426,0.116716,0.0926534,8.45109E-7,8.45109E-07,0.999999,1.69089E-13,8.02646E-07,3.86903E-08,1.75218E-13,2.09173E-9,1.68E-09
"MODRA CM 1 FSM 0.5 DM 2","1.658E-07","0.9607","110","PFiles",7E-11,0,1,0.515366,1,1,1,1,0.104446,4.62293,1.31801,0.897678,0.12311,0.117527,0.115815,0.1187,0.122746,0.127123,0.133781,0.141198,1,1,0.313361,0.337832,,,0.949755,,,,,0.0457814,2.07332E-07,0.004463,0.445417,9.4267,9.1724,18.5991,1.40091,999.379,998.865,0.400893,0.495969,0.110916,0.606885,0.409337,0.0624076,0.895567,1.29646,1.31801E-05,0.895554,0.319696,0.575858,0,0.949755,0.656212,0.0457814,2.07332E-07,1.28425E-08,0.356503,0,0.0823815,0.0897685,0.110201,0.115783,0.149439,0.146866,0.14488,0.134848,0.108214,0.0958705,0.120455,0.131009,0.134547,0.137912,0.140183,0.132683,0.10734,1,1,0,2.0008E-07,0.949755,0.0457814,2.07332E-07,0.0024751,0.0019879
"MODRA CM 1 FSM 0.5 DM 2","1.658E-07","0.9607","110","DAnswers",7E-11,0,1,0.515366,1,1,1,1,0.104446,4.62293,1.31801,0.897678,0.12311,0.117527,0.115815,0.1187,0.122746,0.127123,0.133781,0.141198,1,1,0.313361,0.337832,,,0.949755,,,,,0.0457814,2.07332E-07,0.004463,0.445417,9.4267,9.1724,18.5991,1.40091,999.379,998.865,0.400893,0.495969,0.110916,0.606885,0.409336,0.0624076,0.895567,1.29646,1.31801E-05,0.895554,0.319696,0.575858,0,0.949755,0.656212,0.0457814,2.07332E-07,1.28425E-08,0.356503,0,0.0823815,0.0897685,0.110201,0.115783,0.149439,0.146866,0.14488,0.134848,0.108214,0.0958705,0.120455,0.131009,0.134547,0.137912,0.140183,0.132683,0.10734,1,1,0,0,0.949755,0.0457814,2.07332E-07,0.0024751,0.0019879
"MODRA CM 1 FSM 0.5 DM 2","1.658E-07","0.9607","110","Litigated",7E-11,0,1,0.515366,1,1,1,1,0.104446,4.62293,1.31801,0.897678,0.12311,0.117527,0.115815,0.1187,0.122746,0.127123,0.133781,0.141198,1,1,0.313361,0.337832,,,0.949755,,,,,0.0457814,2.07332E-07,0.004463,0.445417,9.4267,9.1724,18.5991,1.40091,999.379,998.865,0.400893,0.495969,0.110916,0.606885,0.409336,0.0624076,0.895567,1.29646,1.31801E-05,0.895554,0.319696,0.575858,0,0.949755,0.656212,0.0457814,2.07332E-07,1.28425E-08,0.356503,0,0.0823815,0.0897685,0.110201,0.115783,0.149439,0.146866,0.14488,0.134848,0.108214,0.0958705,0.120455,0.131009,0.134547,0.137912,0.140183,0.132683,0.10734,1,1,0,0,0.949755,0.0457814,2.07332E-07,0.0024751,0.0019879
"MODRA CM 1 FSM 0.5 DM 2","1.658E-07","0.9607","110","Not Litigated",1,0.999918,8.24069E-05,0.5,1.393E-17,0,1,8.24069E-05,1.00004E-05,4.5,3,0.708301,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99997,19.9999,0.000112407,1000,1000,0,0,9.837E-06,9.83697E-6,0,9.83697E-06,0.000102407,0.000102407,3.00002E-05,7.24065E-05,8.47018E-06,6.39364E-05,0,0,,0,0,0,0.119371,0,-5.73693E-12,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1.3934E-17,0,1,1.39341E-17,0,0,0,0,0
"MODRA CM 1 FSM 0.5 DM 2","1.658E-07","0.9607","110","Settles",7E-11,0,1,0.517926,1,1,1,1,0.104351,4.64341,1.30348,0.900844,0.127978,0.119062,0.111956,0.110841,0.116922,0.127099,0.138266,0.147876,1,1,0.30665,0.349562,,,1,,,,,0,0,0,,9.45621,9.14378,18.6,1.40001,999.445,998.862,0.4,0.508748,0.111199,0.619947,0.419842,0.0587775,0.895662,1.29566,1.30348E-05,0.895649,0.331847,0.563802,0,1,0.656212,0,0,0,0.370013,0,-0.0714537,0.0945174,0.11603,0.121908,0.157344,0.129005,0.136879,0.134004,0.110312,0.0941678,0.115559,0.118012,0.126734,0.145208,0.147599,0.139702,0.113019,1,1,0,0,1,0,0,0,0
"MODRA CM 1 FSM 0.5 DM 2","1.658E-07","0.9607","110","Tried",3E-13,0,1,0.518445,1,1,1,1,0.098491,4.64756,0.756052,0.969754,0.0156425,0.0537037,0.136884,0.243255,0.275029,0.182571,0.0730498,0.0198645,1,1,0.46801,0.2485,,,0,,,,,0,0,1,0.445417,9.57446,8.82553,18.4,1.60001,998.291,988.887,0.6,0.977796,0.196328,1.17412,1.99527,0.284676,0.901517,1.50152,7.56052E-06,0.901509,0.280368,0.621141,0,0,,0,0,0,0.311752,0,4.88174,5.27599E-12,7.11127E-12,4.04295E-06,1.30008E-05,1.65389E-05,0.170403,0.594412,0.235151,0.310913,0.19543,0.493592,1.30647E-05,1.77015E-05,1.52656E-05,1.32372E-05,5.50213E-06,1,1,0,0,0,0,0,0.554583,0.445417
"MODRA CM 1 FSM 0.5 DM 2","1.658E-07","0.9607","110","PWins",1E-13,0,1,0.556166,1,1,1,1,0.098817,4.94933,0.764955,1.00094,0.00846455,0.0342116,0.103099,0.216208,0.287879,0.221378,0.099428,0.0293309,1,1,0.466898,0.246275,,,0,,,,,0,0,1,1,10.85,7.54999,18.4,1.60001,1000.15,975.131,0.6,2.05407,0,2.05407,4.45838,0,0.901191,1.50119,7.64955E-06,0.901183,0.35608,0.545103,0,0,,0,0,0,0.395928,0,4.86623,1.9447E-12,3.20594E-12,3.37938E-06,1.29429E-05,1.81641E-05,0.155397,0.581245,0.263324,0.288173,0.182252,0.529497,1.36972E-05,2.09611E-05,1.86813E-05,1.70095E-05,6.48442E-06,1,1,0,0,0,0,0,0,1
