"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 FSM 5 UPC 1.2E-05","1.741E-08","0.7988","154","All",1,0.999895,0.000105465,0.5,6.6829E-6,6.68294E-06,1,0.000105465,1.0003E-05,4.5,0.365129,0.81819,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.358678,0.365939,,,5.32135E-06,,,,,3.11607E-07,2.41252E-13,1.05E-06,0.42368,9.9999,9.99999,19.9999,0.00011273,9.9999,9.99999,2.88317E-06,2.7859E-6,1.5914E-5,1.87003E-5,3.54058E-06,1.65768E-05,9.98442E-05,0.000102727,4.38175E-06,9.54625E-05,1.4558E-05,8.09045E-05,0,5.32135E-6,0.370346,3.11607E-07,2.41252E-13,6.23463E-14,0.153456,0,-3.71814E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,6.68294E-6,6.68294E-06,0.999993,1.33712E-12,5.32135E-06,3.11607E-07,2.41252E-13,6.05122E-7,4.4485E-7
"Risk Neutral CM 1 FSM 5 UPC 1.2E-05","1.741E-08","0.7988","154","NoDispute",0.9999,1,0,0.500001,0,0,1,0,0,4.50001,0.365132,0.818191,0.124999,0.124999,0.125,0.125,0.125,0.125,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,10,20,4.38178E-06,10,10,0,0,0,0,0,0,4.38178E-06,4.38178E-06,4.38178E-06,0,0,0,0,0,,0,0,0,,0,-3.50148E-06,0.102831,0.127186,0.135105,0.134876,0.134876,0.135106,0.127187,0.102832,0.102831,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 FSM 5 UPC 1.2E-05","1.741E-08","0.7988","154","DisputeArises",0.0001,0,1,0.48793,0.0633661,0.0633661,1,1,0.0948461,4.40344,0.337837,0.811107,0.141551,0.13233,0.124535,0.120227,0.117745,0.117206,0.120498,0.125909,1,1,0.358678,0.365939,,,0.0504559,,,,,0.00295458,2.2875E-09,0.009956,0.42368,9.00696,9.9657,18.9727,1.02734,9.00696,9.9657,0.0273376,0.0264154,0.150896,0.177312,0.033571,0.157178,0.905158,0.932496,4.05404E-06,0.905154,0.138036,0.767118,0,0.0504559,0.370346,0.00295458,2.2875E-09,5.91153E-10,0.153456,0,0.0331967,0.106949,0.131858,0.13909,0.137035,0.13439,0.131737,0.121758,0.0971845,0.107251,0.132654,0.140913,0.140674,0.140674,0.125743,0.11752,0.0945703,0.0633661,0.0633661,0.936634,1.26783E-08,0.0504559,0.00295458,2.2875E-09,0.00573763,0.004218
"Risk Neutral CM 1 FSM 5 UPC 1.2E-05","1.741E-08","0.7988","154","PFiles",6.7E-6,0,1,0.701043,1,1,1,1,0.0909008,6.10834,1.06673E-06,1.00071,0.000613012,0.00412379,0.0219452,0.0829294,0.19914,0.285612,0.252538,0.153099,1,1,0.358678,0.365939,,,0.79626,,,,,0.0466272,3.60997E-08,0.157113,0.42368,9.10977,9.4588,18.5686,1.43142,9.10977,9.4588,0.431423,0.41687,0.365249,0.782119,0.529794,0.464377,0.909099,1.34052,1.28007E-11,0.909099,0.368764,0.540336,0,0.79626,0.370346,0.0466272,3.60997E-08,9.32917E-09,0.405636,0,3.12423,3.37693E-07,4.16343E-07,4.3918E-07,4.32692E-07,4.24338E-07,4.15962E-07,0.630568,0.369429,0.0170976,0.0502331,0.127712,0.280301,0.524654,5.60093E-07,5.73255E-07,4.90797E-07,1,1,0,2.0008E-07,0.79626,0.0466272,3.60997E-08,0.0905473,0.0665655
"Risk Neutral CM 1 FSM 5 UPC 1.2E-05","1.741E-08","0.7988","154","DAnswers",6.7E-6,0,1,0.701043,1,1,1,1,0.0909008,6.10834,1.06673E-06,1.00071,0.000613012,0.00412379,0.0219452,0.0829294,0.19914,0.285612,0.252538,0.153099,1,1,0.358678,0.365939,,,0.79626,,,,,0.0466272,3.60997E-08,0.157113,0.42368,9.10977,9.4588,18.5686,1.43142,9.10977,9.4588,0.431423,0.41687,0.365249,0.782119,0.529794,0.464377,0.909099,1.34052,1.28007E-11,0.909099,0.368764,0.540336,0,0.79626,0.370346,0.0466272,3.60997E-08,9.32917E-09,0.405636,0,3.12423,3.37693E-07,4.16343E-07,4.3918E-07,4.32692E-07,4.24338E-07,4.15962E-07,0.630568,0.369429,0.0170976,0.0502331,0.127712,0.280301,0.524654,5.60093E-07,5.73255E-07,4.90797E-07,1,1,0,0,0.79626,0.0466272,3.60997E-08,0.0905473,0.0665655
"Risk Neutral CM 1 FSM 5 UPC 1.2E-05","1.741E-08","0.7988","154","Litigated",6.7E-6,0,1,0.701043,1,1,1,1,0.0909008,6.10834,1.06673E-06,1.00071,0.000613012,0.00412379,0.0219452,0.0829294,0.19914,0.285612,0.252538,0.153099,1,1,0.358678,0.365939,,,0.79626,,,,,0.0466272,3.60997E-08,0.157113,0.42368,9.10977,9.4588,18.5686,1.43142,9.10977,9.4588,0.431423,0.41687,0.365249,0.782119,0.529794,0.464377,0.909099,1.34052,1.28007E-11,0.909099,0.368764,0.540336,0,0.79626,0.370346,0.0466272,3.60997E-08,9.32917E-09,0.405636,0,3.12423,3.37693E-07,4.16343E-07,4.3918E-07,4.32692E-07,4.24338E-07,4.15962E-07,0.630568,0.369429,0.0170976,0.0502331,0.127712,0.280301,0.524654,5.60093E-07,5.73255E-07,4.90797E-07,1,1,0,0,0.79626,0.0466272,3.60997E-08,0.0905473,0.0665655
"Risk Neutral CM 1 FSM 5 UPC 1.2E-05","1.741E-08","0.7988","154","Not Litigated",1,0.999901,9.87832E-05,0.499999,1.337E-12,0,1,9.87832E-05,9.39556E-06,4.49999,0.365131,0.818189,0.125002,0.125001,0.125,0.124999,0.124999,0.124998,0.124999,0.125001,1,1,,,,,0,,,,,0,0,0,,9.9999,10,19.9999,0.000103165,9.9999,10,1.33713E-13,7.947E-13,1.3474E-5,1.34735E-5,7.94743E-13,1.34735E-05,9.37694E-05,9.37694E-05,4.38177E-06,8.93876E-05,1.20937E-05,7.7294E-05,0,0,,0,0,0,0.136395,0,-2.08792E-05,0.102832,0.127188,0.135107,0.134877,0.134877,0.135107,0.127183,0.102829,0.102832,0.127187,0.135106,0.134875,0.134874,0.135107,0.127188,0.102832,1.3371E-12,0,1,1.33713E-12,0,0,0,0,0
"Risk Neutral CM 1 FSM 5 UPC 1.2E-05","1.741E-08","0.7988","154","Settles",5.3E-6,0,1,0.715108,1,1,1,1,0.0909008,6.22087,1.33967E-06,1.01023,0.000147411,0.00171387,0.0140167,0.069474,0.190766,0.29054,0.266459,0.166883,1,1,0.34583,0.394862,,,1,,,,,0,0,0,,9.17035,9.42965,18.6,1.4,9.17035,9.42965,0.4,0.314698,0.35103,0.665727,0.175948,0.285233,0.909099,1.3091,1.60761E-11,0.909099,0.39395,0.515149,0,1,0.370346,0,0,0,0.433341,0,2.72744,1.94539E-07,3.8449E-07,4.408E-07,4.72805E-07,4.95628E-07,5.0561E-07,0.733355,0.266642,1.46709E-07,0.00452951,0.110649,0.225922,0.658897,7.03403E-07,7.19934E-07,6.16377E-07,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 FSM 5 UPC 1.2E-05","1.741E-08","0.7988","154","Tried",1E-06,0,1,0.696065,1,1,1,1,0.0909008,6.06852,0,0.998124,0.000228366,0.00225174,0.0166721,0.0798331,0.215463,0.309253,0.248783,0.127515,1,1,0.437501,0.292971,,,0,,,,,0,0,1,0.42368,8.89472,9.50528,18.4,1.6,8.89472,9.50528,0.6,1.00091,0.534538,1.53545,2.46885,1.49671,0.909099,1.5091,0,0.909099,0.342093,0.567006,0,0,,0,0,0,0.376299,0,4.49401,2.32779E-13,1.40324E-13,1.12307E-13,7.159E-14,3.7809E-14,4.07694E-13,1.6504E-06,0.999998,0.0242755,0.0845462,0.252092,0.639083,3.48368E-06,1.10774E-12,1.39779E-12,1.34535E-12,1,1,0,0,0,0,0,0.57632,0.42368
"Risk Neutral CM 1 FSM 5 UPC 1.2E-05","1.741E-08","0.7988","154","PWins",4.4E-7,0,1,0.720886,1,1,1,1,0.0909008,6.26709,0,1.01449,6.87914E-05,0.000900652,0.00890374,0.0553804,0.18506,0.31211,0.281582,0.155994,1,1,0.437501,0.296676,,,0,,,,,0,0,1,1,11.2,7.2,18.4,1.6,11.2,7.2,0.6,2.36242,0,2.36242,5.82715,0,0.909099,1.5091,0,0.909099,0.3978,0.511299,0,0,,0,0,0,0.437576,0,4.43426,6.26204E-14,4.13063E-14,3.7624E-14,2.82829E-14,1.80191E-14,3.81194E-13,1.71371E-06,0.999998,0.0175881,0.070934,0.239635,0.671839,3.81828E-06,1.29550E-12,1.70669E-12,1.68846E-12,1,1,0,0,0,0,0,0,1
