"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 FSM 5 LT 0.8","6.393E-08","0.9951","112","All",1,0.999921,7.91162E-05,0.5,7.593E-11,1.78149E-11,1,7.91162E-05,1.00081E-05,4.5,3.36512,0.660405,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.118251,0.062501,,,1.58295E-11,,,,,1.98115E-12,4.63218E-18,4.19E-15,0.521359,9.99992,9.99997,19.9999,0.000112768,9.99992,9.99997,5.17523E-11,3.279E-11,2.0938E-5,2.09377E-5,3.12097E-11,2.09377E-05,0.00010276,0.00010276,3.36514E-05,6.91081E-05,1.77999E-05,5.13083E-05,0,1.583E-11,0.0625007,1.98115E-12,4.63218E-18,4.2516E-18,0.264645,0,1.40297E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,7.5928E-11,1.78149E-11,1,5.81127E-11,1.58295E-11,1.98115E-12,4.63218E-18,2.0047E-15,2.184E-15
"Risk Neutral CM 4 FSM 5 LT 0.8","6.393E-08","0.9951","112","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50002,3.36513,0.660406,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.36515E-05,10,9.99997,0,0,0,0,0,0,3.36515E-05,3.36515E-05,3.36515E-05,0,0,0,0,0,,0,0,0,,0,-2.46511E-06,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 FSM 5 LT 0.8","6.393E-08","0.9951","112","DisputeArises",7.9E-5,0,1,0.461621,9.597E-07,2.25174E-07,1,1,0.126499,4.19297,3.30921,0.638713,0.160589,0.144352,0.13084,0.121908,0.115235,0.110348,0.108571,0.108158,1,1,0.118251,0.062501,,,2.0008E-07,,,,,2.50411E-08,5.85490E-14,5.29E-11,0.521359,9,9.99997,19,1.00003,9,9.99997,6.5413E-07,4.1449E-7,0.264644,0.264645,3.94479E-07,0.264644,0.873534,0.873535,3.30921E-05,0.873501,0.224984,0.648518,0,2.0008E-07,0.0625007,2.50411E-08,5.85490E-14,5.37386E-14,0.264645,0,0.0311556,0.118062,0.142951,0.146787,0.139532,0.131367,0.123835,0.110897,0.0865683,0.118332,0.143672,0.148469,0.142949,0.137368,0.118271,0.106886,0.0840526,9.59697E-7,2.25174E-07,0.999999,7.34523E-07,2.0008E-07,2.50411E-08,5.85490E-14,2.5338E-11,2.76E-11
"Risk Neutral CM 4 FSM 5 LT 0.8","6.393E-08","0.9951","112","PFiles",8E-11,0,1,0.486207,1,0.23463,1,1,0.105415,4.38965,1.43026,0.861006,0.144955,0.133353,0.123881,0.118656,0.116131,0.116325,0.120474,0.126226,1,1,0.118251,0.062501,,,0.208482,,,,,0.0260927,6.10078E-08,5.516E-5,0.521359,9.28457,9.03382,18.3184,1.68161,9.28457,9.03382,0.6816,0.431894,0.291059,0.722954,0.411045,0.245989,0.894599,1.5762,1.43026E-05,0.894585,0.484896,0.409689,0,0.208482,0.0625007,0.0260927,6.10078E-08,5.59954E-08,0.542051,0,0.0064954,0.10843,0.132881,0.139194,0.136357,0.133458,0.131035,0.121461,0.0971851,0.108486,0.133031,0.139544,0.137069,0.13471,0.129875,0.120625,0.0966606,1,0.23463,0,0.76537,0.208482,0.0260927,6.10078E-08,2.64025E-5,2.8759E-5
"Risk Neutral CM 4 FSM 5 LT 0.8","6.393E-08","0.9951","112","DAnswers",2E-11,0,1,0.427065,1,1,1,1,0.123919,3.91652,3.16331,0.626802,0.201662,0.160979,0.130312,0.112797,0.103428,0.0982227,0.0964925,0.0961071,1,1,0.118251,0.062501,,,0.888557,,,,,0.111208,2.60017E-07,0.000235,0.521359,8.25562,9.14416,17.3998,2.60022,8.25562,9.14416,1.60019,0.652572,0.41096,1.06353,0.563713,0.716596,0.876112,2.4763,3.16331E-05,0.876081,0.201003,0.675078,0,0.888557,0.0625007,0.111208,2.60017E-07,2.38654E-07,0.236383,0,0.193685,0.136798,0.158884,0.15426,0.137802,0.123184,0.112547,0.0993691,0.077156,0.216586,0.127661,0.131923,0.127019,0.12206,0.105091,0.0949748,0.0746856,1,1,0,0,0.888557,0.111208,2.60017E-07,0.00011253,0.0001226
"Risk Neutral CM 4 FSM 5 LT 0.8","6.393E-08","0.9951","112","Litigated",2E-11,0,1,0.427065,1,1,1,1,0.123919,3.91652,3.16331,0.626802,0.201662,0.160979,0.130312,0.112797,0.103428,0.0982227,0.0964925,0.0961071,1,1,0.118251,0.062501,,,0.888557,,,,,0.111208,2.60017E-07,0.000235,0.521359,8.25562,9.14416,17.3998,2.60022,8.25562,9.14416,1.60019,0.652572,0.41096,1.06353,0.563713,0.716596,0.876112,2.4763,3.16331E-05,0.876081,0.201003,0.675078,0,0.888557,0.0625007,0.111208,2.60017E-07,2.38654E-07,0.236383,0,0.193685,0.136798,0.158884,0.15426,0.137802,0.123184,0.112547,0.0993691,0.077156,0.216586,0.127661,0.131923,0.127019,0.12206,0.105091,0.0949748,0.0746856,1,1,0,0,0.888557,0.111208,2.60017E-07,0.00011253,0.0001226
"Risk Neutral CM 4 FSM 5 LT 0.8","6.393E-08","0.9951","112","Not Litigated",1,0.999921,7.91162E-05,0.5,5.811E-11,0,1,7.91162E-05,1.00081E-05,4.5,3.36512,0.660405,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99997,19.9999,0.000112768,9.99992,9.99997,2.32451E-11,2.117E-11,2.0938E-5,2.09377E-5,2.11672E-11,2.09377E-05,0.00010276,0.00010276,3.36514E-05,6.91081E-05,1.77999E-05,5.13082E-05,0,0,,0,0,0,0.264645,0,-3.4491E-12,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,5.8113E-11,0,1,5.81127E-11,0,0,0,0,0
"Risk Neutral CM 4 FSM 5 LT 0.8","6.393E-08","0.9951","112","Settles",2E-11,0,1,0.461621,1,1,1,1,0.126499,4.19297,3.30921,0.638713,0.160589,0.144352,0.13084,0.121908,0.115235,0.110347,0.108571,0.108158,1,1,0.0625003,0.062501,,,1,,,,,0,0,0,,8.2625,9.13747,17.4,2.60003,8.2625,9.13747,1.6,0.634245,0.45982,1.09406,0.547036,0.798936,0.873534,2.47353,3.30921E-05,0.873501,0.224984,0.648518,0,1,0.0625007,0,0,0,0.264645,0,0.0311557,0.118062,0.142951,0.146787,0.139532,0.131367,0.123835,0.110897,0.0865683,0.118332,0.143672,0.148469,0.142949,0.137368,0.118271,0.106886,0.0840526,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 FSM 5 LT 0.8","6.393E-08","0.9951","112","Tried",4E-15,0,1,0.495703,1,1,1,1,0.11071,4.46563,1.99999,0.819958,0.00559087,0.0367447,0.150552,0.319144,0.311233,0.139655,0.0324205,0.00465902,1,1,0.687056,0.0625024,,,0,,,,,0,0,1,0.521359,8.57766,8.02232,16.6,3.40002,8.57766,8.02232,2.4,3.98199,1.59753,5.57952,30.5417,13.0997,0.88931,3.28931,1.99999E-05,0.88929,0.432682,0.456608,0,0,,0,0,0,0.487969,0,6.99942,2.71419E-05,2.71175E-05,2.02818E-05,2.43675E-05,5.49515E-06,2.13806E-06,2.82725E-06,0.999891,0.999999,6.40473E-07,1.70917E-10,1.74377E-10,1.81052E-10,1.52719E-10,1.37987E-10,9.37138E-11,1,1,0,0,0,0,0,0.478641,0.521359
"Risk Neutral CM 4 FSM 5 LT 0.8","6.393E-08","0.9951","112","PWins",2E-15,0,1,0.521622,1,1,1,1,0.111257,4.67297,1.99999,0.840889,0.00292054,0.0232448,0.11595,0.295607,0.338321,0.172844,0.0442847,0.00682769,1,1,0.687061,0.0625021,,,0,,,,,0,0,1,1,14.8,1.79998,16.6,3.40002,14.8,1.79998,2.4,7.63772,0,7.63772,58.5809,0,0.888763,3.28876,1.99999E-05,0.888743,0.498494,0.390249,0,0,,0,0,0,0.562279,0,6.99968,1.31089E-05,1.37677E-05,1.10673E-05,1.78193E-05,3.72929E-06,1.65695E-06,2.50098E-06,0.999936,0.999999,7.13812E-07,9.15313E-11,1.22865E-10,1.62184E-10,1.19612E-10,1.21346E-10,7.69623E-11,1,1,0,0,0,0,0,0,1
"Risk Neutral CM 4 FSM 5 LT 0.8","6.393E-08","0.9951","112","DWins",2E-15,0,1,0.467472,1,1,1,1,0.110115,4.23978,1.99999,0.797159,0.00849951,0.0514495,0.188243,0.344781,0.281728,0.103504,0.0194976,0.00229679,1,1,0.68705,0.0625027,,,0,,,,,0,0,1,0,1.8,14.8,16.6,3.40002,1.8,14.8,2.4,0,3.33763,3.33763,0,27.3685,0.889905,3.28991,1.99999E-05,0.889885,0.360995,0.52889,0,0,,0,0,0,0.407028,0,6.99914,4.24272E-05,4.16588E-05,3.03187E-05,3.15002E-05,7.41861E-06,2.6621E-06,3.18264E-06,0.999841,0.999999,5.60589E-07,2.57388E-10,2.30486E-10,2.01604E-10,1.8878E-10,1.56112E-10,1.1196E-10,1,1,0,0,0,0,0,1,0
"Risk Neutral CM 4 FSM 5 LT 0.8","6.393E-08","0.9951","112","Abandoned",2E-12,0,1,0.150822,1,1,1,1,0.103339,1.70657,2.00001,0.531231,0.530253,0.294098,0.126048,0.0395641,0.00864601,0.00125709,0.000124201,1.03682E-05,1,1,0.562501,0.0625007,,,0,,,,,0.999998,2.33812E-06,0,,8.2,9.19998,17.4,2.60002,8.2,9.19998,1.6,0.791973,0.0180632,0.810036,0.63358,0.0325125,0.896681,2.49668,2.00001E-05,0.896661,0.00890635,0.887754,0,0,,0.999998,2.33812E-06,2.14602E-06,0.0100359,0,1.47792,0.286782,0.286525,0.214298,0.124272,0.058062,0.022591,0.00746949,1.28924E-06,0.999987,2.11413E-06,2.19383E-06,2.12242E-06,2.05079E-06,1.83003E-06,1.6289E-06,1.11732E-06,1,1,0,0,0,0.999998,2.33812E-06,0,0
"Risk Neutral CM 4 FSM 5 LT 0.8","6.393E-08","0.9951","112","PrecPower1",0.125,0.999898,0.000101641,0.0625,8.805E-11,2.87405E-11,1,0.000101641,1.08104E-05,1,3.00395,0.376067,1,0,0,0,0,0,0,0,1,1,0.20871,0.0625009,,,2.03363E-11,,,,,8.40405E-12,3.66924E-18,1.87E-16,0.272345,9.9999,9.99997,19.9999,0.00013168,9.9999,9.99997,6.9708E-11,8.357E-11,0,8.3571E-11,7.98179E-11,0,0.00012087,0.00012087,3.00397E-05,9.08304E-05,0,9.08304E-05,0,2.0336E-11,0.0625008,8.40405E-12,3.66924E-18,6.73174E-18,0,0,0.936705,0.224523,0.243921,0.207842,0.146449,0.0898707,0.049881,0.0255099,0.0120031,0.394013,0.326145,0.184955,0.0718393,0.0191031,0.00347586,0.000432503,3.67801E-05,8.8048E-11,2.87405E-11,1,5.93076E-11,2.03363E-11,8.40405E-12,3.66924E-18,1.3631E-16,5.102E-17
"Risk Neutral CM 4 FSM 5 LT 0.8","6.393E-08","0.9951","112","PrecPower2",0.125,0.999909,9.13643E-05,0.1875,8.1E-11,2.29426E-11,1,9.13643E-05,1.0115E-05,2,3.01735,0.470194,0,1,0,0,0,0,0,0,1,1,0.164118,0.0625009,,,1.82801E-11,,,,,4.66123E-12,3.98163E-18,1.23E-15,0.329812,9.99991,9.99997,19.9999,0.000121538,9.99991,9.99997,5.99325E-11,7.756E-11,0,7.7557E-11,7.46677E-11,0,0.000111423,0.000111423,3.01737E-05,8.12493E-05,0,8.12493E-05,0,1.828E-11,0.0625007,4.66123E-12,3.98163E-18,6.31031E-18,0,0,0.708288,0.194115,0.219715,0.199292,0.153453,0.105572,0.0669775,0.0395244,0.0213508,0.24594,0.29712,0.245942,0.139472,0.054173,0.0144053,0.00262109,0.000326145,8.1001E-11,2.29426E-11,1,5.80585E-11,1.82801E-11,4.66123E-12,3.98163E-18,8.2512E-16,4.061E-16
"Risk Neutral CM 4 FSM 5 LT 0.8","6.393E-08","0.9951","112","PrecPower3",0.125,0.999917,8.28127E-05,0.3125,7.525E-11,1.8572E-11,1,8.28127E-05,9.56375E-06,3,3.0625,0.560645,0,0,1,0,0,0,0,0,1,1,0.116455,0.0625009,,,1.65691E-11,,,,,1.99777E-12,4.43005E-18,5.04E-15,0.401531,9.99992,9.99997,19.9999,0.000113438,9.99992,9.99997,5.23898E-11,5.137E-11,8.484E-12,5.9856E-11,4.92074E-11,3.39358E-12,0.000103874,0.000103874,3.06252E-05,7.3249E-05,1.92818E-11,7.3249E-05,0,1.6569E-11,0.0625006,1.99777E-12,4.43005E-18,5.37059E-18,2.56118E-07,0,0.437043,0.153945,0.184876,0.182931,0.158248,0.125176,0.0924013,0.063347,0.0390752,0.122435,0.215899,0.260828,0.2159,0.122436,0.0475557,0.0126457,0.00230092,7.5248E-11,1.8572E-11,1,5.66765E-11,1.65691E-11,1.99777E-12,4.43005E-18,3.0189E-15,2.026E-15
"Risk Neutral CM 4 FSM 5 LT 0.8","6.393E-08","0.9951","112","PrecPower4",0.125,0.999923,7.71597E-05,0.4375,7.207E-11,1.60759E-11,1,7.71597E-05,9.35322E-06,4,3.17473,0.642073,0,0,0,1,0,0,0,0,1,1,0.0824191,0.062501,,,1.54381E-11,,,,,6.27061E-13,4.84657E-18,1.07E-14,0.482909,9.99992,9.99997,19.9999,0.000108907,9.99992,9.99997,4.81294E-11,3.036E-11,1.58E-11,4.6162E-11,2.87377E-11,6.31905E-12,9.9554E-05,9.95541E-05,3.17475E-05,6.78065E-05,3.5735400000000005E-11,6.78065E-05,0,1.5438E-11,0.0625006,6.27061E-13,4.84657E-18,4.2588E-18,5.11847E-07,0,0.146664,0.109092,0.141947,0.157032,0.156099,0.144141,0.12449,0.0986544,0.0685443,0.0454964,0.117134,0.206552,0.249535,0.206553,0.117135,0.0454966,0.0120982,7.2074E-11,1.60759E-11,1,5.59986E-11,1.54381E-11,6.27061E-13,4.84657E-18,5.5294E-15,5.164E-15
"Risk Neutral CM 4 FSM 5 LT 0.8","6.393E-08","0.9951","112","PrecPower5",0.125,0.999927,7.2936E-05,0.5625,7.054E-11,1.47405E-11,1,7.2936E-05,9.385E-06,5,3.36918,0.710959,0,0,0,0,1,0,0,0,1,1,0.0675904,0.0625011,,,1.4593E-11,,,,,1.37029E-13,4.99905E-18,1.04E-14,0.566734,9.99993,9.99997,19.9999,0.000106628,9.99993,9.99997,4.59131E-11,1.263E-11,2.26E-11,3.5233E-11,1.11622E-11,9.67572E-12,9.7243E-05,9.72431E-05,3.3692E-05,6.3551E-05,5.03188E-11,6.3551E-05,0,1.4593E-11,0.0625006,1.37029E-13,4.99905E-18,3.46898E-18,7.67075E-07,0,-0.146648,0.0685435,0.0986534,0.124489,0.14414,0.156098,0.157033,0.141949,0.109094,0.0120981,0.0454965,0.117134,0.206553,0.249535,0.206552,0.117134,0.0454965,7.054E-11,1.47405E-11,1,5.58000E-11,1.4593E-11,1.37029E-13,4.99905E-18,4.5182E-15,5.910E-15
