"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 0.25 LT 0 DM 2","0","NaN","110","All",1,0.999939,6.14684E-05,0.5,6.1468E-5,6.14683E-05,1,6.14684E-05,1.00237E-05,4.5,6.99999,0.146885,0.125001,0.125,0.125,0.124999,0.125,0.125,0.125,0.125001,1,1,0.562501,0.562501,,,6.14683E-05,,,,,1.74807E-17,7.33762E-13,8.7E-11,0.702423,10,9.99986,19.9999,0.000137615,1000,1000,6.14684E-06,1.0757E-5,5.181E-11,1.07572E-5,1.88264E-06,4.59531E-11,0.000121445,0.000127592,7.00001E-05,5.14447E-05,5.14447E-05,0,0,6.14683E-5,1.125,1.74807E-17,7.33762E-13,1.46811E-19,1,0,-1.66365E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,6.14684E-5,6.14683E-05,0.999939,1.22986E-11,6.14683E-05,1.74807E-17,7.33762E-13,2.589E-11,6.111E-11
"MODRA CM 0.25 LT 0 DM 2","0","NaN","110","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,6.99999,0.146887,0.124997,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99993,19.9999,7.00001E-05,1000,1000,0,0,0,0,0,0,7.00001E-05,7.00001E-05,7.00001E-05,0,0,0,0,0,,0,0,0,,0,0,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"MODRA CM 0.25 LT 0 DM 2","0","NaN","110","DisputeArises",6.1E-5,0,1,0.431698,1,1,1,1,0.16307,3.95359,6.99999,0.129097,0.184391,0.158628,0.136917,0.121662,0.11061,0.102335,0.0961765,0.0892802,1,1,0.562501,0.562501,,,0.999998,,,,,2.84385E-13,1.19372E-08,1.415E-6,0.702423,10.075,8.82493,18.8999,1.10007,1000.03,998.23,0.1,0.175002,8.4293E-7,0.175003,0.0306277,7.47589E-07,0.837,0.937,6.99999E-05,0.83693,0.83693,0,0,0.999998,1.125,2.84385E-13,1.19372E-08,2.3884E-15,1,0,-3.47937E-13,0.131139,0.155774,0.155362,0.141929,0.127526,0.114733,0.0987312,0.0748064,0.131139,0.155774,0.155362,0.141929,0.127526,0.114733,0.0987312,0.0748064,1,1,2.0008E-07,2.0008E-07,0.999998,2.84385E-13,1.19372E-08,4.21187E-7,9.942E-07
"MODRA CM 0.25 LT 0 DM 2","0","NaN","110","PFiles",6.1E-5,0,1,0.431698,1,1,1,1,0.16307,3.95359,6.99999,0.129097,0.184391,0.158628,0.136917,0.121662,0.11061,0.102335,0.0961765,0.0892802,1,1,0.562501,0.562501,,,0.999998,,,,,2.84385E-13,1.19372E-08,1.415E-6,0.702423,10.075,8.82493,18.8999,1.10007,1000.03,998.23,0.1,0.175002,6.4285E-7,0.175003,0.0306277,5.47509E-07,0.837,0.937,6.99999E-05,0.83693,0.83693,0,0,0.999998,1.125,2.84385E-13,1.19372E-08,2.3884E-15,1,0,-3.31448E-13,0.131139,0.155774,0.155362,0.141929,0.127526,0.114733,0.0987312,0.0748064,0.131139,0.155774,0.155362,0.141929,0.127526,0.114733,0.0987312,0.0748064,1,1,0,2.0008E-07,0.999998,2.84385E-13,1.19372E-08,4.21188E-7,9.942E-07
"MODRA CM 0.25 LT 0 DM 2","0","NaN","110","DAnswers",6.1E-5,0,1,0.431698,1,1,1,1,0.16307,3.95359,6.99999,0.129097,0.184391,0.158628,0.136917,0.121662,0.11061,0.102335,0.0961765,0.0892802,1,1,0.562501,0.562501,,,0.999999,,,,,2.84385E-13,1.19372E-08,1.415E-6,0.702423,10.075,8.82493,18.8999,1.10007,1000.03,998.23,0.1,0.175002,6.4285E-7,0.175003,0.0306275,5.4751E-07,0.837,0.937,6.99999E-05,0.83693,0.83693,0,0,0.999999,1.125,2.84385E-13,1.19372E-08,2.3884E-15,1,0,-3.22564E-13,0.131139,0.155774,0.155362,0.141929,0.127526,0.114733,0.0987312,0.0748064,0.131139,0.155774,0.155362,0.141929,0.127526,0.114733,0.0987312,0.0748064,1,1,0,0,0.999999,2.84385E-13,1.19372E-08,4.21188E-7,9.942E-07
"MODRA CM 0.25 LT 0 DM 2","0","NaN","110","Litigated",6.1E-5,0,1,0.431698,1,1,1,1,0.16307,3.95359,6.99999,0.129097,0.184391,0.158628,0.136917,0.121662,0.11061,0.102335,0.0961765,0.0892802,1,1,0.562501,0.562501,,,0.999999,,,,,2.84385E-13,1.19372E-08,1.415E-6,0.702423,10.075,8.82493,18.8999,1.10007,1000.03,998.23,0.1,0.175002,6.4285E-7,0.175003,0.0306275,5.4751E-07,0.837,0.937,6.99999E-05,0.83693,0.83693,0,0,0.999999,1.125,2.84385E-13,1.19372E-08,2.3884E-15,1,0,-3.22564E-13,0.131139,0.155774,0.155362,0.141929,0.127526,0.114733,0.0987312,0.0748064,0.131139,0.155774,0.155362,0.141929,0.127526,0.114733,0.0987312,0.0748064,1,1,0,0,0.999999,2.84385E-13,1.19372E-08,4.21188E-7,9.942E-07
"MODRA CM 0.25 LT 0 DM 2","0","NaN","110","Not Litigated",0.9999,1,2.45987E-11,0.500004,1.23E-11,0,1,2.45987E-11,4.01132E-12,4.50003,6.99999,0.146887,0.124997,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99993,19.9999,7.00002E-05,1000,1000,3.07484E-13,1.23E-11,1.23E-11,2.4599E-11,1.22993E-11,1.22993E-11,7.00002E-05,7.00002E-05,7.00001E-05,2.05874E-11,2.0587400000000002E-11,0,0,0,,0,0,0,1,0,1.35271E-15,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,1.2299E-11,0,1,1.22993E-11,0,0,0,0,0
"MODRA CM 0.25 LT 0 DM 2","0","NaN","110","Settles",6.1E-5,0,1,0.431698,1,1,1,1,0.16307,3.95359,6.99999,0.129097,0.184391,0.158628,0.136917,0.121662,0.11061,0.102335,0.0961765,0.0892802,1,1,0.5625,0.562501,,,1,,,,,0,0,0,,10.075,8.82493,18.8999,1.10007,1000.03,998.23,0.1,0.175001,1.9008E-7,0.175001,0.0306264,6.07744E-08,0.837,0.937,6.99999E-05,0.83693,0.83693,0,0,1,1.125,0,0,0,1,0,-7.26702E-08,0.131139,0.155774,0.155362,0.141929,0.127526,0.114733,0.0987312,0.0748064,0.131139,0.155774,0.155362,0.141929,0.127526,0.114733,0.0987312,0.0748064,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 LT 0 DM 2","0","NaN","110","Tried",9E-11,0,1,0.431491,1,1,1,1,0.162817,3.95192,6.97904,0.132019,0.182972,0.158302,0.137995,0.123358,0.111489,0.102095,0.0953965,0.0883925,1,1,0.67245,0.38711,,,0,,,,,0,0,1,0.702423,10.3298,8.52009,18.8499,1.15007,999.689,991.808,0.15,0.755104,0.319896,1.075,0.811737,0.343888,0.837253,0.987253,6.97904E-05,0.837183,0.837183,0,0,0,,0,0,0,1,0,0.0346347,0.129765,0.154141,0.153734,0.140441,0.13193,0.116454,0.0990019,0.0745327,0.131444,0.157395,0.15928,0.140441,0.12619,0.113531,0.0976965,0.0740224,1,1,0,0,0,0,0,0.297577,0.702423
"MODRA CM 0.25 LT 0 DM 2","0","NaN","110","PWins",6E-11,0,1,0.45521,1,1,1,1,0.166128,4.14168,6.97191,0.139338,0.164983,0.145902,0.131718,0.123093,0.116317,0.110764,0.106579,0.100643,1,1,0.673405,0.388192,,,0,,,,,0,0,1,1,10.925,7.92493,18.8499,1.15007,1000.16,988.35,0.15,1.075,0,1.075,1.15563,0,0.833941,0.983941,6.97191E-05,0.833872,0.833872,0,0,0,,0,0,0,1,0,0.0464527,0.117993,0.142399,0.145748,0.138168,0.137256,0.125303,0.109363,0.0837703,0.120203,0.146738,0.153244,0.138168,0.129628,0.121367,0.107584,0.0830676,1,1,0,0,0,0,0,0,1
