"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 HIGHRA LT 1.2","1.78E-06","0.997","151","All",1,0.9999,9.97911E-05,0.5,4.197E-11,4.19748E-11,1,9.97911E-05,9.99856E-06,4.5,1,0.921114,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.259124,0.213897,,,3.69124E-11,,,,,4.97237E-12,5.15452E-19,9.00E-14,0.284526,9.9999,9.99999,19.9999,0.000109791,1000,1000,1.68079E-11,1.272E-11,1.3102E-5,1.31021E-5,5.97759E-12,1.31021E-05,9.97928E-05,9.97928E-05,1.00002E-05,8.97925E-05,1.17408E-05,7.80517E-05,0,3.6912E-11,0.23466,4.97237E-12,5.15452E-19,9.94873E-19,0.131295,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,4.1975E-11,4.19748E-11,1,8.39832E-18,3.69124E-11,4.97237E-12,5.15452E-19,6.4423E-14,2.562E-14
"Risk Neutral CM 1 HIGHRA LT 1.2","1.78E-06","0.997","151","NoDispute",0.9999,1,0,0.500001,0,0,1,0,0,4.50001,1,0.921114,0.124999,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,10,9.99999,20,1.00002E-05,1000,1000,0,0,0,0,0,0,1.00002E-05,1.00002E-05,1.00002E-05,0,0,0,0,0,,0,0,0,,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 HIGHRA LT 1.2","1.78E-06","0.997","151","DisputeArises",0.0001,0,1,0.493053,4.2063E-7,4.20627E-07,1,1,0.100195,4.44442,1,0.914481,0.141175,0.130264,0.121474,0.117272,0.116288,0.118216,0.124015,0.131295,1,1,0.259124,0.213897,,,3.69896E-07,,,,,4.98278E-08,5.16531E-15,9.02E-10,0.284526,9,9.99999,19,1.00001,999.82,1000,1.68431E-07,1.2742E-7,0.131295,0.131295,5.9901E-08,0.131295,0.899815,0.899815,1E-05,0.899805,0.117654,0.782151,0,3.69896E-7,0.23466,4.98278E-08,5.16531E-15,9.96956E-15,0.131295,0,-8.76281E-14,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,4.20627E-7,4.20627E-07,1,8.4159E-14,3.69896E-07,4.98278E-08,5.16531E-15,6.4558E-10,2.567E-10
"Risk Neutral CM 1 HIGHRA LT 1.2","1.78E-06","0.997","151","PFiles",4E-11,0,1,0.496868,1,1,1,1,0.0953218,4.47494,0.475673,0.969827,0.138152,0.128445,0.120676,0.117269,0.116869,0.119294,0.125668,0.133626,1,1,0.259124,0.213897,,,0.879394,,,,,0.118461,1.228E-08,0.002145,0.284526,9.00675,9.59281,18.5996,1.40043,999.774,999.98,0.400429,0.302932,0.176179,0.47911,0.142409,0.161033,0.904683,1.30511,4.75673E-06,0.904678,0.181284,0.723394,0,0.879394,0.23466,0.118461,1.228E-08,2.37017E-08,0.200303,0,-3.96114E-13,0.104315,0.128658,0.136112,0.135182,0.134452,0.134053,0.125767,0.10146,0.104315,0.128658,0.136112,0.135182,0.134452,0.134053,0.125767,0.10146,1,1,0,2.0008E-07,0.879394,0.118461,1.228E-08,0.00153481,0.0006104
"Risk Neutral CM 1 HIGHRA LT 1.2","1.78E-06","0.997","151","DAnswers",4E-11,0,1,0.496868,1,1,1,1,0.0953218,4.47494,0.475673,0.969827,0.138152,0.128445,0.120676,0.117269,0.116869,0.119294,0.125668,0.133626,1,1,0.259124,0.213897,,,0.879394,,,,,0.118461,1.228E-08,0.002145,0.284526,9.00675,9.59281,18.5996,1.40043,999.774,999.98,0.400429,0.302932,0.176179,0.47911,0.142409,0.161033,0.904683,1.30511,4.75673E-06,0.904678,0.181284,0.723394,0,0.879394,0.23466,0.118461,1.228E-08,2.37017E-08,0.200303,0,-3.88247E-13,0.104315,0.128658,0.136112,0.135182,0.134452,0.134053,0.125767,0.10146,0.104315,0.128658,0.136112,0.135182,0.134452,0.134053,0.125767,0.10146,1,1,0,0,0.879394,0.118461,1.228E-08,0.00153481,0.0006104
"Risk Neutral CM 1 HIGHRA LT 1.2","1.78E-06","0.997","151","Litigated",4E-11,0,1,0.496868,1,1,1,1,0.0953218,4.47494,0.475673,0.969827,0.138152,0.128445,0.120676,0.117269,0.116869,0.119294,0.125668,0.133626,1,1,0.259124,0.213897,,,0.879394,,,,,0.118461,1.228E-08,0.002145,0.284526,9.00675,9.59281,18.5996,1.40043,999.774,999.98,0.400429,0.302932,0.176179,0.47911,0.142409,0.161033,0.904683,1.30511,4.75673E-06,0.904678,0.181284,0.723394,0,0.879394,0.23466,0.118461,1.228E-08,2.37017E-08,0.200303,0,-3.88247E-13,0.104315,0.128658,0.136112,0.135182,0.134452,0.134053,0.125767,0.10146,0.104315,0.128658,0.136112,0.135182,0.134452,0.134053,0.125767,0.10146,1,1,0,0,0.879394,0.118461,1.228E-08,0.00153481,0.0006104
"Risk Neutral CM 1 HIGHRA LT 1.2","1.78E-06","0.997","151","Not Litigated",1,0.9999,9.9791E-05,0.5,8.398E-18,0,1,9.9791E-05,9.99856E-06,4.5,1,0.921114,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.9999,9.99999,19.9999,0.000109791,1000,1000,0,0,1.3102E-5,1.31021E-5,0,1.31021E-05,9.97927E-05,9.97927E-05,1.00002E-05,8.97925E-05,1.17408E-05,7.80516E-05,0,0,,0,0,0,0.131295,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,8.3983E-18,0,1,8.39832E-18,0,0,0,0,0
"Risk Neutral CM 1 HIGHRA LT 1.2","1.78E-06","0.997","151","Settles",4E-11,0,1,0.539347,1,1,1,1,0.0959281,4.81478,0.540909,1.00165,0.0986119,0.105232,0.114041,0.123111,0.129499,0.134825,0.14275,0.151929,1,1,0.23466,0.23466,,,1,,,,,0,0,0,,9.03466,9.56533,18.6,1.40001,999.799,999.978,0.4,0.316198,0.200176,0.516373,0.155322,0.182928,0.904077,1.30408,5.40909E-06,0.904072,0.205987,0.698085,0,1,0.23466,0,0,0,0.227598,0,-0.155828,0.0838257,0.109699,0.125258,0.134716,0.142738,0.147812,0.141196,0.114755,0.0573095,0.0704698,0.154779,0.153722,0.152892,0.152438,0.143016,0.115374,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 HIGHRA LT 1.2","1.78E-06","0.997","151","Tried",9E-14,0,1,0.500609,1,1,1,1,0.0909012,4.50487,3.104E-05,1.03629,0.00751438,0.04116,0.149025,0.30066,0.301689,0.150478,0.0417811,0.00769259,1,1,0.437526,0.0625326,,,0,,,,,0,0,1,0.284526,8.98453,9.41547,18.4,1.6,999.565,999.822,0.6,0.553154,0.0406853,0.593839,0.505126,0.0458054,0.909099,1.5091,3.104E-10,0.909099,0.0449679,0.864131,0,0,,0,0,0,0.0494645,0,5.50715,2.85399E-06,3.00239E-06,2.42138E-06,1.55885E-06,8.32837E-07,3.85052E-05,0.745992,0.253959,0.253898,0.745956,6.3849E-06,1.25736E-05,2.16553E-05,3.17298E-05,3.78886E-05,3.5196E-05,1,1,0,0,0,0,0,0.715474,0.284526
"Risk Neutral CM 1 HIGHRA LT 1.2","1.78E-06","0.997","151","PWins",3E-14,0,1,0.548283,1,1,1,1,0.0909013,4.88626,3.90814E-05,1.07787,0.00232455,0.0179772,0.0922265,0.256334,0.338111,0.210005,0.0687916,0.01423,1,1,0.437541,0.0625537,,,0,,,,,0,0,1,1,9.7,8.7,18.4,1.6,999.992,999.395,0.6,1.21699,0.024903,1.24189,1.55718,0.00747091,0.909099,1.5091,3.90814E-10,0.909099,0.0754641,0.833635,0,0,,0,0,0,0.0830101,0,5.50763,8.10525E-07,9.71999E-07,9.35666E-07,7.48278E-07,5.06728E-07,5.67462E-05,0.709177,0.290763,0.217957,0.781813,6.96499E-06,1.61077E-05,3.13936E-05,5.01998E-05,6.34719E-05,6.10999E-05,1,1,0,0,0,0,0,0,1
