"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 0.25 UPC 1E-06 FSM 0 DM 1 LT 1","1.332E-08","0.9053","137","All",1,0.999939,6.14684E-05,0.5,6.1468E-5,6.14683E-05,1,6.14684E-05,1.00046E-05,4.5,6.99999,1.46885,0.125001,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,0.597577,0.591713,,,5.00643E-05,,,,,2.28172E-12,1.27997E-11,1.14E-05,0.828122,9.99997,9.99995,19.9999,7.51856E-05,1000,1000,6.71703E-06,1.6007E-5,9.8815E-6,2.58883E-5,8.46194E-06,5.08702E-06,5.84639E-05,6.5181E-05,7.00019E-06,5.14637E-05,2.57848E-05,2.5679E-05,0,5.00643E-5,0.566176,2.28172E-12,1.27997E-11,2.56096E-18,0.52035,0,-7.40028E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,6.14684E-5,6.14683E-05,0.999939,1.22986E-11,5.00643E-05,2.28172E-12,1.27997E-11,1.96009E-6,9.4439E-6
"MODRA CM 0.25 UPC 1E-06 FSM 0 DM 1 LT 1","1.332E-08","0.9053","137","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,6.99999,1.46887,0.124997,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99999,20,7.00019E-06,1000,1000,0,0,0,0,0,0,7.00019E-06,7.00019E-06,7.00019E-06,0,0,0,0,0,,0,0,0,,0,0,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"MODRA CM 0.25 UPC 1E-06 FSM 0 DM 1 LT 1","1.332E-08","0.9053","137","DisputeArises",6.1E-5,0,1,0.430647,1,1,1,1,0.16276,3.94517,6.99999,1.2855,0.179622,0.158864,0.141165,0.126407,0.112391,0.10101,0.0936431,0.0868976,1,1,0.597577,0.591713,,,0.814473,,,,,3.71202E-08,2.08232E-07,0.185526,0.828122,9.56014,9.33058,18.8907,1.10928,999.682,999.376,0.109276,0.260407,0.160758,0.421165,0.137663,0.0827584,0.837247,0.946523,6.99999E-06,0.83724,0.419481,0.417759,0,0.814473,0.566176,3.71202E-08,2.08232E-07,4.1663E-14,0.52035,0,-3.29332E-13,0.131139,0.155774,0.155362,0.141929,0.127526,0.114733,0.0987312,0.0748064,0.131139,0.155774,0.155362,0.141929,0.127526,0.114733,0.0987312,0.0748064,1,1,2.0008E-07,2.0008E-07,0.814473,3.71202E-08,2.08232E-07,0.0318878,0.153639
"MODRA CM 0.25 UPC 1E-06 FSM 0 DM 1 LT 1","1.332E-08","0.9053","137","PFiles",6.1E-5,0,1,0.430647,1,1,1,1,0.16276,3.94517,6.99999,1.2855,0.179622,0.158864,0.141165,0.126407,0.112391,0.10101,0.0936431,0.0868976,1,1,0.597577,0.591713,,,0.814473,,,,,3.71202E-08,2.08232E-07,0.185527,0.828122,9.56014,9.33058,18.8907,1.10928,999.682,999.376,0.109276,0.260407,0.160758,0.421165,0.137663,0.0827583,0.837247,0.946523,6.99999E-06,0.83724,0.419481,0.417759,0,0.814473,0.566176,3.71202E-08,2.08232E-07,4.1663E-14,0.52035,0,-3.19103E-13,0.131139,0.155774,0.155362,0.141929,0.127526,0.114733,0.0987312,0.0748064,0.131139,0.155774,0.155362,0.141929,0.127526,0.114733,0.0987312,0.0748064,1,1,0,2.0008E-07,0.814473,3.71202E-08,2.08232E-07,0.0318879,0.153639
"MODRA CM 0.25 UPC 1E-06 FSM 0 DM 1 LT 1","1.332E-08","0.9053","137","DAnswers",6.1E-5,0,1,0.430647,1,1,1,1,0.16276,3.94517,6.99999,1.2855,0.179622,0.158864,0.141165,0.126407,0.112391,0.10101,0.0936431,0.0868976,1,1,0.597577,0.591713,,,0.814473,,,,,3.71202E-08,2.08232E-07,0.185527,0.828122,9.56014,9.33058,18.8907,1.10928,999.682,999.376,0.109276,0.260407,0.160758,0.421165,0.137663,0.0827583,0.837247,0.946523,6.99999E-06,0.83724,0.419481,0.417759,0,0.814473,0.566176,3.71202E-08,2.08232E-07,4.1663E-14,0.52035,0,-2.99468E-13,0.131139,0.155774,0.155362,0.141929,0.127526,0.114733,0.0987312,0.0748064,0.131139,0.155774,0.155362,0.141929,0.127526,0.114733,0.0987312,0.0748064,1,1,0,0,0.814473,3.71202E-08,2.08232E-07,0.0318879,0.153639
"MODRA CM 0.25 UPC 1E-06 FSM 0 DM 1 LT 1","1.332E-08","0.9053","137","Litigated",6.1E-5,0,1,0.430647,1,1,1,1,0.16276,3.94517,6.99999,1.2855,0.179622,0.158864,0.141165,0.126407,0.112391,0.10101,0.0936431,0.0868976,1,1,0.597577,0.591713,,,0.814473,,,,,3.71202E-08,2.08232E-07,0.185527,0.828122,9.56014,9.33058,18.8907,1.10928,999.682,999.376,0.109276,0.260407,0.160758,0.421165,0.137663,0.0827583,0.837247,0.946523,6.99999E-06,0.83724,0.419481,0.417759,0,0.814473,0.566176,3.71202E-08,2.08232E-07,4.1663E-14,0.52035,0,-2.99468E-13,0.131139,0.155774,0.155362,0.141929,0.127526,0.114733,0.0987312,0.0748064,0.131139,0.155774,0.155362,0.141929,0.127526,0.114733,0.0987312,0.0748064,1,1,0,0,0.814473,3.71202E-08,2.08232E-07,0.0318879,0.153639
"MODRA CM 0.25 UPC 1E-06 FSM 0 DM 1 LT 1","1.332E-08","0.9053","137","Not Litigated",0.9999,1,2.45987E-11,0.500004,1.23E-11,0,1,2.45987E-11,4.0037E-12,4.50003,6.99999,1.46887,0.124997,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99999,20,7.00022E-06,1000,1000,3.07484E-13,5.899E-12,6.56E-12,1.2459E-11,5.89938E-12,6.40397E-12,7.00021E-06,7.00021E-06,7.00019E-06,2.0595E-11,1.03187E-11,1.0276299999999999E-11,0,0,,0,0,0,0.52035,0,0,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,1.2299E-11,0,1,1.22993E-11,0,0,0,0,0
"MODRA CM 0.25 UPC 1E-06 FSM 0 DM 1 LT 1","1.332E-08","0.9053","137","Settles",5E-05,0,1,0.386777,1,1,1,1,0.15704,3.59422,6.99999,1.17742,0.216954,0.18615,0.155514,0.124568,0.0924895,0.0723201,0.0722552,0.0797493,1,1,0.529092,0.60326,,,1,,,,,0,0,0,,9.51618,9.38382,18.9,1.10001,999.671,999.502,0.1,0.290316,0.159662,0.449978,0.15172,0.0741611,0.842967,0.942967,6.99999E-06,0.84296,0.356242,0.486718,0,1,0.566176,0,0,0,0.441383,0,-0.49157,0.16101,0.191257,0.190751,0.174258,0.132722,0.0459122,0.054279,0.0498108,0.147546,0.165582,0.169502,0.137168,0.100112,0.0670228,0.121221,0.0918462,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 UPC 1E-06 FSM 0 DM 1 LT 1","1.332E-08","0.9053","137","Tried",1.1E-5,0,1,0.623236,1,1,1,1,0.187874,5.48589,7,1.75996,0.0157312,0.0390781,0.0781725,0.134479,0.199762,0.226961,0.187537,0.118279,1,1,0.89823,0.541021,,,0,,,,,0,0,1,0.828122,9.75312,9.09687,18.85,1.15001,999.732,998.823,0.15,0.129106,0.165569,0.294674,0.0759529,0.120501,0.812133,0.962133,7E-06,0.812126,0.697103,0.115023,0,0,,0,0,0,0.867018,0,2.15802,9.27414E-07,1.08319E-06,1.04877E-06,9.12318E-07,0.104717,0.416862,0.293878,0.184538,0.0591113,0.112714,0.0932853,0.162828,0.247876,0.324186,1.24514E-07,6.92248E-08,1,1,0,0,0,0,0,0.171878,0.828122
"MODRA CM 0.25 UPC 1E-06 FSM 0 DM 1 LT 1","1.332E-08","0.9053","137","PWins",9.4E-6,0,1,0.665907,1,1,1,1,0.194474,5.82726,7,1.88193,0.00547207,0.0186297,0.0503395,0.111683,0.199508,0.252854,0.219996,0.141517,1,1,0.912969,0.547803,,,0,,,,,0,0,1,1,9.925,8.92499,18.85,1.15001,999.97,998.585,0.15,0.149441,0.0694169,0.218858,0.0912325,0.00520627,0.805533,0.955533,7E-06,0.805526,0.741249,0.0642778,0,0,,0,0,0,0.925559,0,2.02592,3.69533E-07,5.08764E-07,6.07207E-07,6.60789E-07,0.0654134,0.410279,0.31567,0.208636,0.0359911,0.0815768,0.0855703,0.164089,0.267252,0.36552,1.2986E-07,7.66721E-08,1,1,0,0,0,0,0,0,1
