"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1.2E-05","6.24E-07","0.9871","158","All",1,0.99992,7.96372E-05,0.5,7.9637E-5,7.96371E-05,1,7.96372E-05,9.99386E-06,4.5,3.5,0.547453,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.12416,0.123123,,,7.89762E-05,,,,,2.44045E-11,1.32239E-13,6.609E-7,0.189228,9.99993,9.99994,19.9999,0.000129634,1000,1000,7.99676E-06,1.1596E-5,8.3196E-6,1.9916E-05,2.29274E-06,7.17564E-06,0.000111643,0.00011964,4.20002E-05,6.96433E-05,8.30567E-06,6.13376E-05,0,7.89762E-5,0.12363,2.44045E-11,1.32239E-13,4.88286E-18,0.121123,0,-2.43332E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,7.96371E-5,7.96371E-05,0.99992,1.59338E-11,7.89762E-05,2.44045E-11,1.32239E-13,5.35853E-7,1.2506E-7
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1.2E-05","6.24E-07","0.9871","158","NoDispute",0.9999,1,0,0.500002,0,0,1,0,0,4.50001,3.5,0.547454,0.124999,0.124999,0.125,0.125,0.125,0.125,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,4.20002E-05,1000,1000,0,0,0,0,0,0,4.20002E-05,4.20002E-05,4.20002E-05,0,0,0,0,0,,0,0,0,,0,2.28908E-06,0.10283,0.127186,0.135105,0.134876,0.134876,0.135106,0.127188,0.102832,0.10283,0.127186,0.135106,0.134876,0.134876,0.135106,0.127187,0.102832,0,0,1,0,0,0,0,0,0
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1.2E-05","6.24E-07","0.9871","158","DisputeArises",8E-05,0,1,0.47943,1,1,1,1,0.125492,4.33544,3.51502,0.534194,0.153717,0.136523,0.123066,0.116085,0.113794,0.114773,0.118803,0.123239,1,1,0.12416,0.123123,,,0.9917,,,,,3.06446E-07,1.66052E-09,0.008299,0.189228,9.07397,9.82558,18.8995,1.10046,998.986,999.919,0.100415,0.145615,0.104469,0.250084,0.0287899,0.0901042,0.87455,0.974965,4.21802E-05,0.874508,0.104294,0.770214,0,0.9917,0.12363,3.06446E-07,1.66052E-09,6.13138E-14,0.121123,0,-0.0287416,0.11235,0.136246,0.140852,0.136164,0.131929,0.128729,0.118869,0.0948619,0.111665,0.134708,0.137815,0.130834,0.13647,0.131858,0.120775,0.0958759,1,1,2.0008E-07,2.0008E-07,0.9917,3.06446E-07,1.66052E-09,0.00672868,0.0015704
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1.2E-05","6.24E-07","0.9871","158","PFiles",8E-05,0,1,0.47943,1,1,1,1,0.125492,4.33544,3.51502,0.534194,0.153717,0.136523,0.123066,0.116085,0.113794,0.114773,0.118803,0.123239,1,1,0.12416,0.123123,,,0.9917,,,,,3.06446E-07,1.66052E-09,0.008299,0.189228,9.07397,9.82558,18.8995,1.10046,998.986,999.919,0.100415,0.145615,0.104469,0.250084,0.0287899,0.0901042,0.87455,0.974965,4.21802E-05,0.874508,0.104294,0.770214,0,0.9917,0.12363,3.06446E-07,1.66052E-09,6.13138E-14,0.121123,0,-0.0287416,0.11235,0.136246,0.140852,0.136164,0.131929,0.128729,0.118869,0.0948619,0.111665,0.134708,0.137815,0.130834,0.13647,0.131858,0.120775,0.0958759,1,1,0,2.0008E-07,0.9917,3.06446E-07,1.66052E-09,0.00672869,0.0015704
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1.2E-05","6.24E-07","0.9871","158","DAnswers",8E-05,0,1,0.47943,1,1,1,1,0.125492,4.33544,3.51502,0.534194,0.153717,0.136523,0.123066,0.116085,0.113794,0.114773,0.118803,0.123239,1,1,0.12416,0.123123,,,0.991701,,,,,3.06446E-07,1.66052E-09,0.008299,0.189228,9.07397,9.82558,18.8995,1.10046,998.986,999.919,0.100415,0.145615,0.104469,0.250084,0.0287897,0.0901042,0.87455,0.974965,4.21802E-05,0.874508,0.104294,0.770214,0,0.991701,0.12363,3.06446E-07,1.66052E-09,6.13138E-14,0.121123,0,-0.0287416,0.11235,0.136246,0.140852,0.136164,0.131929,0.128729,0.118869,0.0948619,0.111665,0.134708,0.137815,0.130834,0.13647,0.131858,0.120775,0.0958759,1,1,0,0,0.991701,3.06446E-07,1.66052E-09,0.00672869,0.0015704
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1.2E-05","6.24E-07","0.9871","158","Litigated",8E-05,0,1,0.47943,1,1,1,1,0.125492,4.33544,3.51502,0.534194,0.153717,0.136523,0.123066,0.116085,0.113794,0.114773,0.118803,0.123239,1,1,0.12416,0.123123,,,0.991701,,,,,3.06446E-07,1.66052E-09,0.008299,0.189228,9.07397,9.82558,18.8995,1.10046,998.986,999.919,0.100415,0.145615,0.104469,0.250084,0.0287897,0.0901042,0.87455,0.974965,4.21802E-05,0.874508,0.104294,0.770214,0,0.991701,0.12363,3.06446E-07,1.66052E-09,6.13138E-14,0.121123,0,-0.0287416,0.11235,0.136246,0.140852,0.136164,0.131929,0.128729,0.118869,0.0948619,0.111665,0.134708,0.137815,0.130834,0.13647,0.131858,0.120775,0.0958759,1,1,0,0,0.991701,3.06446E-07,1.66052E-09,0.00672869,0.0015704
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1.2E-05","6.24E-07","0.9871","158","Not Litigated",0.9999,1,3.18702E-11,0.500002,1.594E-11,0,1,3.18702E-11,3.99946E-12,4.50001,3.5,0.547454,0.124999,0.124999,0.125,0.125,0.125,0.125,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,4.20002E-05,1000,1000,3.98377E-13,1.4E-11,1.978E-12,1.5983E-11,1.40050E-11,1.93132E-12,4.20002E-05,4.20002E-05,4.20002E-05,2.78707E-11,3.32386E-12,2.45468E-11,0,0,,0,0,0,0.121123,0,2.28908E-06,0.10283,0.127186,0.135105,0.134876,0.134876,0.135106,0.127188,0.102832,0.10283,0.127186,0.135106,0.134876,0.134876,0.135106,0.127187,0.102832,1.5935E-11,0,1,1.59351E-11,0,0,0,0,0
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1.2E-05","6.24E-07","0.9871","158","Settles",7.9E-5,0,1,0.477698,1,1,1,1,0.125325,4.32158,3.51096,0.533642,0.155001,0.137642,0.123932,0.116316,0.112845,0.11314,0.117816,0.123307,1,1,0.12363,0.12363,,,1,,,,,0,0,0,,9.07363,9.82633,18.9,1.10004,998.987,999.92,0.1,0.144622,0.105343,0.249965,0.0271626,0.0908582,0.874717,0.974717,4.21316E-05,0.874675,0.105167,0.769508,0,1,0.12363,0,0,0,0.122137,0,-0.0667373,0.11329,0.137386,0.14203,0.137304,0.133033,0.129806,0.119863,0.0872882,0.112379,0.135094,0.136826,0.126665,0.137611,0.132961,0.121786,0.0966782,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1.2E-05","6.24E-07","0.9871","158","Tried",6.6E-7,0,1,0.686446,1,1,1,1,0.145438,5.99156,3.99991,0.600089,0.000304219,0.00278416,0.0194836,0.0885457,0.227158,0.309899,0.236729,0.115097,1,1,0.18755,0.0625094,,,0,,,,,0,0,1,0.189228,9.11423,9.73572,18.85,1.15005,998.847,999.708,0.15,0.264218,1.4296E-5,0.264232,0.223227,1.46792E-05,0.85461,1.00461,4.7999E-05,0.854562,1.88699E-05,0.854543,0,0,,0,0,0,2.18451E-05,0,4.51157,1.75713E-06,3.47081E-06,2.37701E-05,2.29791E-05,2.22644E-05,2.34873E-05,2.10705E-05,0.999881,0.0263035,0.0886589,0.255914,0.62904,2.46939E-05,2.22523E-05,2.03821E-05,1.618E-05,1,1,0,0,0,0,0,0.810772,0.189228
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1.2E-05","6.24E-07","0.9871","158","PWins",1.3E-7,0,1,0.71776,1,1,1,1,0.147436,6.24208,3.99984,0.618576,8.17656E-05,0.000991696,0.00941992,0.0573533,0.189124,0.314589,0.278337,0.150103,1,1,0.187564,0.0625168,,,0,,,,,0,0,1,1,9.925,8.92495,18.85,1.15005,999.97,998.585,0.15,1.07495,3.6414E-6,1.07496,1.15557,2.73105E-07,0.852612,1.00261,4.79981E-05,0.852564,4.20019E-05,0.852522,0,0,,0,0,0,4.85521E-05,0,4.43649,1.34086E-06,3.24822E-06,1.32066E-05,1.89848E-05,2.62741E-05,3.54466E-05,3.74509E-05,0.999864,0.017865,0.0715916,0.240422,0.66998,3.30948E-05,3.67396E-05,3.84248E-05,3.29636E-05,1,1,0,0,0,0,0,0,1
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1.2E-05","6.24E-07","0.9871","158","DWins",5.4E-7,0,1,0.679137,1,1,1,1,0.144972,5.9331,3.99993,0.595774,0.000356138,0.00320251,0.0218324,0.0958257,0.236035,0.308804,0.227018,0.106926,1,1,0.187547,0.0625077,,,0,,,,,0,0,1,0,8.925,9.92495,18.85,1.15005,998.585,999.97,0.15,0.0749988,1.6783E-5,0.0750156,0.00562491,1.80415E-05,0.855076,1.00508,4.79992E-05,0.855028,1.34711E-05,0.855015,0,0,,0,0,0,1.56119E-05,0,4.52909,1.85428E-06,3.52277E-06,2.62356E-05,2.39113E-05,2.13286E-05,2.06961E-05,1.72475E-05,0.999885,0.028273,0.0926423,0.25953,0.619485,2.27332E-05,1.8871E-05,1.6171E-05,1.22629E-05,1,1,0,0,0,0,0,1,0
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1.2E-05","6.24E-07","0.9871","158","Abandoned",2E-11,0,1,0.161192,1,1,1,1,0.115662,1.78953,4,0.301069,0.494227,0.308276,0.14033,0.0408047,0.00868596,0.00385812,0.00257642,0.00124151,1,1,0.558459,0.0625003,,,0,,,,,0.994611,0.00538942,0,,8.95539,9.94456,18.9,1.10005,998.67,999.973,0.1,0.0553893,1.295E-07,0.0553894,0.00842823,1.30092E-07,0.884386,0.984386,4.8E-05,0.884338,2.03392E-07,0.884338,0,0,,0.994611,0.00538942,1.99002E-07,2.35461E-07,0,-0.665572,0.463379,0.525841,5.82284E-07,5.37245E-07,4.88457E-07,4.20605E-07,3.72435E-07,0.0107775,0.293107,0.305091,0.243634,0.158166,5.3036E-07,4.14722E-07,3.67714E-07,2.86105E-07,1,1,0,0,0,0.994611,0.00538942,0,0
