"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 0.25 FSM 1 DM 1 LT 1.2 UPC 8E-06","3.761E-08","0.8161","133","All",1,0.999918,8.17183E-05,0.5,8.1718E-5,8.17183E-05,1,8.17183E-05,1.00137E-05,4.5,2.95568,0.876069,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.0666066,0.0637814,,,8.06604E-05,,,,,9.82607E-11,1.91097E-12,1.058E-6,0.342085,9.99992,9.99997,19.9999,0.000113589,1000,1000,8.22472E-06,9.1557E-6,2.058E-06,1.12137E-5,1.26967E-06,2.06051E-06,9.53503E-05,0.000103575,2.36456E-05,7.17047E-05,1.93761E-06,6.9767E-05,0,8.06604E-5,0.0631492,9.82607E-11,1.91097E-12,2E-17,0.0272785,0,-9.04928E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,8.17183E-5,8.17183E-05,0.999918,1.63502E-11,8.06604E-05,9.82607E-11,1.91097E-12,6.95969E-7,3.6187E-7
"MODRA CM 0.25 FSM 1 DM 1 LT 1.2 UPC 8E-06","3.761E-08","0.8161","133","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50003,2.95569,0.876071,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.36457E-05,1000,1000,0,0,0,0,0,0,2.36457E-05,2.36457E-05,2.36457E-05,0,0,0,0,0,,0,0,0,,0,-4.66493E-06,0.10283,0.127185,0.135105,0.134876,0.134876,0.135107,0.127188,0.102833,0.10283,0.127185,0.135104,0.134876,0.134876,0.135107,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"MODRA CM 0.25 FSM 1 DM 1 LT 1.2 UPC 8E-06","3.761E-08","0.8161","133","DisputeArises",8.2E-5,0,1,0.458091,1,1,1,1,0.122539,4.16473,2.83715,0.852455,0.161984,0.146579,0.132707,0.12252,0.11457,0.108925,0.106733,0.105982,1,1,0.0666066,0.0637814,,,0.987053,,,,,1.20243E-06,2.33849E-08,0.012945,0.342085,9.01613,9.8832,18.8993,1.10067,998.844,999.946,0.100647,0.11204,0.0251839,0.137224,0.0155371,0.0252148,0.877484,0.978131,2.26972E-05,0.877461,0.0237108,0.85375,0,0.987053,0.0631492,1.20243E-06,2.33849E-08,2.44743E-13,0.0272785,0,0.0570808,0.119499,0.144574,0.148072,0.140036,0.130925,0.122595,0.109257,0.0850412,0.121425,0.148381,0.154848,0.138397,0.132994,0.119096,0.103483,0.0813761,1,1,2.0008E-07,2.0008E-07,0.987053,1.20243E-06,2.33849E-08,0.00851668,0.0044283
"MODRA CM 0.25 FSM 1 DM 1 LT 1.2 UPC 8E-06","3.761E-08","0.8161","133","PFiles",8.2E-5,0,1,0.458091,1,1,1,1,0.122539,4.16473,2.83715,0.852455,0.161984,0.146579,0.132707,0.12252,0.11457,0.108925,0.106733,0.105982,1,1,0.0666066,0.0637814,,,0.987054,,,,,1.20243E-06,2.33849E-08,0.012945,0.342085,9.01613,9.8832,18.8993,1.10067,998.844,999.946,0.100647,0.11204,0.0251839,0.137224,0.0155371,0.0252148,0.877484,0.978131,2.26972E-05,0.877461,0.0237108,0.85375,0,0.987054,0.0631492,1.20243E-06,2.33849E-08,2.44743E-13,0.0272785,0,0.0570808,0.119499,0.144574,0.148072,0.140036,0.130925,0.122595,0.109257,0.0850412,0.121425,0.148381,0.154848,0.138397,0.132994,0.119096,0.103483,0.0813761,1,1,0,2.0008E-07,0.987054,1.20243E-06,2.33849E-08,0.00851668,0.0044283
"MODRA CM 0.25 FSM 1 DM 1 LT 1.2 UPC 8E-06","3.761E-08","0.8161","133","DAnswers",8.2E-5,0,1,0.458091,1,1,1,1,0.122539,4.16473,2.83715,0.852455,0.161984,0.146579,0.132707,0.12252,0.11457,0.108925,0.106733,0.105982,1,1,0.0666066,0.0637814,,,0.987054,,,,,1.20243E-06,2.33849E-08,0.012945,0.342085,9.01613,9.8832,18.8993,1.10067,998.844,999.946,0.100647,0.11204,0.0251839,0.137224,0.0155369,0.0252148,0.877484,0.978131,2.26972E-05,0.877461,0.0237108,0.85375,0,0.987054,0.0631492,1.20243E-06,2.33849E-08,2.44743E-13,0.0272785,0,0.0570808,0.119499,0.144574,0.148072,0.140036,0.130925,0.122595,0.109257,0.0850412,0.121425,0.148381,0.154848,0.138397,0.132994,0.119096,0.103483,0.0813761,1,1,0,0,0.987054,1.20243E-06,2.33849E-08,0.00851668,0.0044283
"MODRA CM 0.25 FSM 1 DM 1 LT 1.2 UPC 8E-06","3.761E-08","0.8161","133","Litigated",8.2E-5,0,1,0.458091,1,1,1,1,0.122539,4.16473,2.83715,0.852455,0.161984,0.146579,0.132707,0.12252,0.11457,0.108925,0.106733,0.105982,1,1,0.0666066,0.0637814,,,0.987054,,,,,1.20243E-06,2.33849E-08,0.012945,0.342085,9.01613,9.8832,18.8993,1.10067,998.844,999.946,0.100647,0.11204,0.0251839,0.137224,0.0155369,0.0252148,0.877484,0.978131,2.26972E-05,0.877461,0.0237108,0.85375,0,0.987054,0.0631492,1.20243E-06,2.33849E-08,2.44743E-13,0.0272785,0,0.0570808,0.119499,0.144574,0.148072,0.140036,0.130925,0.122595,0.109257,0.0850412,0.121425,0.148381,0.154848,0.138397,0.132994,0.119096,0.103483,0.0813761,1,1,0,0,0.987054,1.20243E-06,2.33849E-08,0.00851668,0.0044283
"MODRA CM 0.25 FSM 1 DM 1 LT 1.2 UPC 8E-06","3.761E-08","0.8161","133","Not Litigated",0.9999,1,3.27031E-11,0.500003,1.635E-11,0,1,3.27031E-11,4.00740E-12,4.50003,2.95569,0.876071,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.36457E-05,1000,1000,4.08789E-13,1.591E-11,4.572E-13,1.6363E-11,1.59055E-11,4.46324E-13,2.36457E-05,2.36457E-05,2.36457E-05,2.86957E-11,7.75416E-13,2.7920299999999998E-11,0,0,,0,0,0,0.0272785,0,-4.66492E-06,0.10283,0.127185,0.135105,0.134876,0.134876,0.135107,0.127188,0.102833,0.10283,0.127185,0.135104,0.134876,0.134876,0.135107,0.127189,0.102833,1.6352E-11,0,1,1.63515E-11,0,0,0,0,0
"MODRA CM 0.25 FSM 1 DM 1 LT 1.2 UPC 8E-06","3.761E-08","0.8161","133","Settles",8.1E-5,0,1,0.456705,1,1,1,1,0.122675,4.15364,2.84813,0.849306,0.164065,0.148237,0.1333,0.121132,0.111928,0.10738,0.106918,0.107041,1,1,0.0625002,0.0637982,,,1,,,,,0,0,0,,9.01315,9.88683,18.9,1.10002,998.844,999.953,0.1,0.110435,0.0227143,0.133149,0.0125178,0.0223256,0.877347,0.977347,2.2785E-05,0.877325,0.0200255,0.857299,0,1,0.0631492,0,0,0,0.0231167,0,-0.00415895,0.121066,0.14647,0.150014,0.141872,0.132642,0.124203,0.101348,0.0823839,0.121841,0.146922,0.148345,0.140212,0.134738,0.120658,0.10484,0.0824434,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 FSM 1 DM 1 LT 1.2 UPC 8E-06","3.761E-08","0.8161","133","Tried",1.1E-6,0,1,0.563832,1,1,1,1,0.112133,5.01066,2.00001,1.09255,0.00330517,0.0201453,0.0874487,0.228427,0.316049,0.226788,0.0926611,0.0251756,1,1,0.379675,0.0625014,,,0,,,,,0,0,1,0.342085,9.2434,9.60659,18.85,1.15002,998.898,999.427,0.15,0.234427,0.213496,0.447923,0.245745,0.24552,0.887883,1.03788,1.6E-05,0.887867,0.304719,0.583148,0,0,,0,0,0,0.34462,0,4.72665,5.81481E-12,8.11837E-12,8.57147E-12,6.143E-07,4.91415E-07,8.7911E-06,0.712328,0.287663,0.0896891,0.259643,0.650654,4.50844E-06,6.8147E-06,2.65299E-06,4.3937E-08,3.97123E-08,1,1,0,0,0,0,0,0.657915,0.342085
"MODRA CM 0.25 FSM 1 DM 1 LT 1.2 UPC 8E-06","3.761E-08","0.8161","133","PWins",3.6E-7,0,1,0.613094,1,1,1,1,0.11316,5.40475,2,1.1414,0.000757214,0.0069304,0.0449866,0.168435,0.314176,0.284609,0.13795,0.0421558,1,1,0.382896,0.0625024,,,0,,,,,0,0,1,1,10,8.84998,18.85,1.15002,1000,998.326,0.15,0.685288,0,0.685288,0.718375,0,0.886856,1.03686,1.6E-05,0.88684,0.410834,0.476006,0,0,,0,0,0,0.464712,0,4.68834,3.19087E-12,5.2683E-12,6.98004E-12,4.16354E-07,3.87609E-07,7.75576E-06,0.672662,0.327329,0.0643809,0.232281,0.703324,4.1038E-06,7.04275E-06,2.37297E-06,7.08126E-08,6.68929E-08,1,1,0,0,0,0,0,0,1
