"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 FSM 2 DM 0.5 LT 1 UPC 1E-05","5.57E-08","0.9351","146","All",1,0.999911,8.942E-05,0.5,4.68E-05,4.67997E-05,1,8.942E-05,1.0018E-05,4.5,1.96173,0.802111,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.415585,0.0905862,,,1.57771E-06,,,,,4.65768E-06,8.58206E-12,4.056E-5,0.337948,9.99991,9.99997,19.9999,0.000115746,9.99991,9.99997,6.70818E-06,7.8352E-6,6.4482E-6,1.42834E-5,5.3977E-06,6.64813E-06,9.90195E-05,0.000105728,1.96175E-05,7.9402E-05,6.72736E-06,7.26747E-05,0,1.57771E-6,0.0937557,4.65768E-06,8.58206E-12,9.3191E-13,0.0850673,0,-2.21221E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,4.67997E-5,4.67997E-05,0.999953,9.36368E-12,1.57771E-06,4.65768E-06,8.58206E-12,2.68557E-5,1.3709E-5
"Risk Neutral CM 0.25 FSM 2 DM 0.5 LT 1 UPC 1E-05","5.57E-08","0.9351","146","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,1.96175,0.802111,0.124998,0.124998,0.124999,0.124999,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,1.96177E-05,10,9.99998,0,0,0,0,0,0,1.96177E-05,1.96177E-05,1.96177E-05,0,0,0,0,0,,0,0,0,,0,-9.52742E-06,0.10283,0.127185,0.135105,0.134876,0.134876,0.135107,0.127189,0.102833,0.102829,0.127185,0.135104,0.134875,0.134876,0.135107,0.12719,0.102834,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 FSM 2 DM 0.5 LT 1 UPC 1E-05","5.57E-08","0.9351","146","DisputeArises",8.9E-5,0,1,0.454076,0.523369,0.523369,1,1,0.112033,4.13261,1.71226,0.791995,0.161318,0.147967,0.135396,0.125617,0.116641,0.108641,0.103711,0.100709,1,1,0.415585,0.0905862,,,0.0176438,,,,,0.0520877,9.59747E-08,0.453638,0.337948,9.01874,9.90622,18.925,1.07504,9.01874,9.90622,0.0750188,0.0876227,0.0721111,0.159734,0.0603635,0.0743472,0.887985,0.963003,1.71226E-05,0.887967,0.0752333,0.812734,0,0.0176438,0.0937557,0.0520877,9.59747E-08,1.04217E-08,0.0850673,0,0.106537,0.119766,0.145462,0.149546,0.141562,0.131684,0.121971,0.107338,0.0826715,0.126496,0.148052,0.153137,0.151237,0.134709,0.117432,0.09457,0.0743673,0.523369,0.523369,0.476631,1.04716E-07,0.0176438,0.0520877,9.59747E-08,0.300332,0.153306
"Risk Neutral CM 0.25 FSM 2 DM 0.5 LT 1 UPC 1E-05","5.57E-08","0.9351","146","PFiles",4.7E-5,0,1,0.480611,1,1,1,1,0.107035,4.34489,1.41093,0.854733,0.10609,0.111823,0.13225,0.165316,0.175028,0.146204,0.101534,0.0617546,1,1,0.415585,0.0905862,,,0.033712,,,,,0.0995238,1.83379E-07,0.866764,0.337948,9.03581,9.82083,18.8566,1.14335,9.03581,9.82083,0.143338,0.16742,0.135677,0.303098,0.115336,0.13995,0.89298,1.03632,1.41093E-05,0.892965,0.141863,0.751102,0,0.033712,0.0937557,0.0995238,1.83379E-07,1.99127E-08,0.160433,0,1.15916,0.00441833,0.0965092,0.0851973,0.245184,0.205695,0.163561,0.120629,0.0788069,0.173256,0.118222,0.124034,0.169317,0.190794,0.224376,2.29652E-07,1.86602E-07,1,1,0,2.0008E-07,0.033712,0.0995238,1.83379E-07,0.573843,0.292921
"Risk Neutral CM 0.25 FSM 2 DM 0.5 LT 1 UPC 1E-05","5.57E-08","0.9351","146","DAnswers",4.7E-5,0,1,0.480611,1,1,1,1,0.107035,4.34489,1.41093,0.854733,0.10609,0.111823,0.13225,0.165316,0.175028,0.146204,0.101534,0.0617546,1,1,0.415585,0.0905862,,,0.033712,,,,,0.0995239,1.83379E-07,0.866764,0.337948,9.03581,9.82083,18.8566,1.14335,9.03581,9.82083,0.143338,0.16742,0.135677,0.303098,0.115336,0.13995,0.89298,1.03632,1.41093E-05,0.892965,0.141863,0.751102,0,0.033712,0.0937557,0.0995239,1.83379E-07,1.99127E-08,0.160433,0,1.15916,0.00441833,0.0965092,0.0851973,0.245184,0.205695,0.163561,0.120629,0.0788069,0.173256,0.118222,0.124034,0.169317,0.190794,0.224376,2.29652E-07,1.86602E-07,1,1,0,0,0.033712,0.0995239,1.83379E-07,0.573843,0.292921
"Risk Neutral CM 0.25 FSM 2 DM 0.5 LT 1 UPC 1E-05","5.57E-08","0.9351","146","Litigated",4.7E-5,0,1,0.480611,1,1,1,1,0.107035,4.34489,1.41093,0.854733,0.10609,0.111823,0.13225,0.165316,0.175028,0.146204,0.101534,0.0617546,1,1,0.415585,0.0905862,,,0.033712,,,,,0.0995239,1.83379E-07,0.866764,0.337948,9.03581,9.82083,18.8566,1.14335,9.03581,9.82083,0.143338,0.16742,0.135677,0.303098,0.115336,0.13995,0.89298,1.03632,1.41093E-05,0.892965,0.141863,0.751102,0,0.033712,0.0937557,0.0995239,1.83379E-07,1.99127E-08,0.160433,0,1.15916,0.00441833,0.0965092,0.0851973,0.245184,0.205695,0.163561,0.120629,0.0788069,0.173256,0.118222,0.124034,0.169317,0.190794,0.224376,2.29652E-07,1.86602E-07,1,1,0,0,0.033712,0.0995239,1.83379E-07,0.573843,0.292921
"Risk Neutral CM 0.25 FSM 2 DM 0.5 LT 1 UPC 1E-05","5.57E-08","0.9351","146","Not Litigated",1,0.999957,4.26223E-05,0.500001,9.364E-12,0,1,4.26223E-05,5.009E-06,4.50001,1.96175,0.802108,0.125002,0.125001,0.124999,0.124997,0.124997,0.124999,0.125001,0.125004,1,1,,,,,0,,,,,0,0,0,,9.99996,9.99998,19.9999,6.224E-05,9.99996,9.99998,2.34103E-13,3.931E-12,9.8517E-8,9.85213E-8,1.96545E-12,9.8517E-08,5.7231E-05,5.7231E-05,1.96177E-05,3.76133E-05,8.82181E-08,3.75251E-05,0,0,,0,0,0,0.00231142,0,-5.42507E-05,0.102836,0.127188,0.135108,0.134871,0.134873,0.135105,0.127187,0.102832,0.102828,0.127187,0.135106,0.134875,0.134874,0.135102,0.127193,0.102836,9.3641E-12,0,1,9.36412E-12,0,0,0,0,0
"Risk Neutral CM 0.25 FSM 2 DM 0.5 LT 1 UPC 1E-05","5.57E-08","0.9351","146","Settles",1.6E-6,0,1,0.180838,1,1,1,1,0.0909018,1.9467,7.78056E-05,0.732696,0.388179,0.351134,0.195441,0.0568827,0.00781517,0.000516608,2.47161E-05,6.75833E-06,1,1,0.187506,0.187516,,,1,,,,,0,0,0,,9.04376,9.85624,18.9,1.1,9.04376,9.85624,0.1,0.142554,0.0079792,0.150533,0.0204934,0.00762863,0.909098,1.0091,7.78056E-10,0.909098,0.00758758,0.901511,0,1,0.0937557,0,0,0,0.00834652,0,0.460847,1.14652E-06,0.539119,0.460841,1.1E-05,9.1548E-06,7.82287E-06,6.4433E-06,4.71725E-06,7.09553E-06,0.999952,5.1981E-06,7.00425E-06,7.36131E-06,1.19165E-05,5.12326E-06,4.4036E-06,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 FSM 2 DM 0.5 LT 1 UPC 1E-05","5.57E-08","0.9351","146","Tried",4.1E-5,0,1,0.482625,1,1,1,1,0.105652,4.361,1.28334,0.87056,0.106476,0.111967,0.134093,0.164169,0.168229,0.142501,0.105034,0.0675308,1,1,0.450645,0.0900411,,,0,,,,,0,0,1,0.337948,9.04536,9.80463,18.85,1.15001,9.04536,9.80463,0.15,0.182056,0.152321,0.334377,0.13199,0.157069,0.89436,1.04436,1.28334E-05,0.894348,0.160175,0.734173,0,0,,0,0,0,0.181053,0,1.56209,1.68182E-08,0.0792913,0.0597339,0.249929,0.192252,0.188702,0.139171,0.0909206,0.199888,0.0975023,0.1431,0.195343,0.220122,0.144044,6.56891E-08,4.40116E-08,1,1,0,0,0,0,0,0.662052,0.337948
"Risk Neutral CM 0.25 FSM 2 DM 0.5 LT 1 UPC 1E-05","5.57E-08","0.9351","146","PWins",1.4E-5,0,1,0.531698,1,1,1,1,0.105825,4.75359,1.27376,0.91497,0.0712581,0.0827566,0.112511,0.161722,0.189925,0.171904,0.128041,0.0818822,1,1,0.488471,0.0967323,,,0,,,,,0,0,1,1,9.575,9.27499,18.85,1.15001,9.575,9.27499,0.15,0.53871,0.109205,0.647914,0.390565,0.0464119,0.894187,1.04419,1.27376E-05,0.894175,0.228036,0.666139,0,0,,0,0,0,0.256952,0,1.72794,1.13969E-08,0.0591332,0.0484787,0.218079,0.198079,0.202894,0.161998,0.111338,0.16843,0.0895513,0.146772,0.244359,0.230085,0.120803,1.10951E-07,7.43386E-08,1,1,0,0,0,0,0,0,1
