"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 1.2E-05","3.85E-08","0.9038","104","All",1,0.99989,0.000109999,0.5,2.201E-11,2.20086E-11,1,0.000109999,9.999E-06,4.5,5.60224E-06,0.850655,0.125001,0.125,0.124999,0.124999,0.124999,0.124999,0.125,0.125001,1,1,0.0625007,0.0625007,,,2.20086E-11,,,,,2.76546E-17,3.40076E-24,3.17E-18,0.231233,9.99989,10,19.9999,0.000109999,9.99989,10,8.80344E-12,7.153E-12,0,7.1528E-12,2.3247E-12,0,0.0001,0.0001,2.67307E-10,9.99999E-05,0,9.99999E-05,0,2.2009E-11,0.125001,2.76546E-17,3.40076E-24,5.53314E-24,0,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,2.2009E-11,2.20086E-11,1,4.40348E-18,2.20086E-11,2.76546E-17,3.40076E-24,2.4368E-18,7.329E-19
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 1.2E-05","3.85E-08","0.9038","104","NoDispute",0.9999,1,0,0.5,0,0,1,0,0,4.5,5.60246E-06,0.850655,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,10,10,20,2.67332E-10,10,10,0,0,0,0,0,0,2.67332E-10,2.67332E-10,2.67332E-10,0,0,0,0,0,,0,0,0,,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 1.2E-05","3.85E-08","0.9038","104","DisputeArises",0.0001,0,1,0.500216,2.0008E-7,2.0008E-07,1,1,0.0909009,4.50173,3.62896E-06,0.849888,0.136137,0.127116,0.119725,0.116594,0.116729,0.120019,0.127386,0.136293,1,1,0.0625007,0.0625007,,,2.0008E-07,,,,,2.51408E-13,3.09163E-20,2.88E-14,0.231233,9,10,19,1,9,10,8.0032E-08,6.5026E-8,0,6.50262E-8,2.11338E-08,0,0.909099,0.909099,4.35476E-11,0.909099,0,0.909099,0,2.0008E-07,0.125001,2.51408E-13,3.09163E-20,5.03018E-20,0,0,-3.85196E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,2.0008E-07,2.0008E-07,1,4.0032E-14,2.0008E-07,2.51408E-13,3.09163E-20,2.2153E-14,6.663E-15
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 1.2E-05","3.85E-08","0.9038","104","PFiles",2E-11,0,1,0.500216,1,1,1,1,0.0909009,4.50173,3.62896E-06,0.849888,0.136137,0.127116,0.119725,0.116594,0.116729,0.120019,0.127386,0.136293,1,1,0.0625007,0.0625007,,,0.999998,,,,,1.25654E-06,1.54520E-13,1.44E-07,0.231233,8.925,9.675,18.6,1.4,8.925,9.675,0.4,0.325001,0,0.325001,0.105627,0,0.909099,1.3091,4.35476E-11,0.909099,0,0.909099,0,0.999998,0.125001,1.25654E-06,1.54520E-13,2.51408E-13,0,0,-3.32533E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,1,0,2.0008E-07,0.999998,1.25654E-06,1.54520E-13,1.10719E-7,3.3302E-8
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 1.2E-05","3.85E-08","0.9038","104","DAnswers",2E-11,0,1,0.500216,1,1,1,1,0.0909009,4.50173,3.62896E-06,0.849888,0.136137,0.127116,0.119725,0.116594,0.116729,0.120019,0.127386,0.136293,1,1,0.0625007,0.0625007,,,0.999999,,,,,1.25654E-06,1.54520E-13,1.44E-07,0.231233,8.925,9.675,18.6,1.4,8.925,9.675,0.4,0.325001,0,0.325001,0.105626,0,0.909099,1.3091,4.35476E-11,0.909099,0,0.909099,0,0.999999,0.125001,1.25654E-06,1.54520E-13,2.51408E-13,0,0,-3.14740E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,1,0,0,0.999999,1.25654E-06,1.54520E-13,1.10719E-7,3.3302E-8
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 1.2E-05","3.85E-08","0.9038","104","Litigated",2E-11,0,1,0.500216,1,1,1,1,0.0909009,4.50173,3.62896E-06,0.849888,0.136137,0.127116,0.119725,0.116594,0.116729,0.120019,0.127386,0.136293,1,1,0.0625007,0.0625007,,,0.999999,,,,,1.25654E-06,1.54520E-13,1.44E-07,0.231233,8.925,9.675,18.6,1.4,8.925,9.675,0.4,0.325001,0,0.325001,0.105626,0,0.909099,1.3091,4.35476E-11,0.909099,0,0.909099,0,0.999999,0.125001,1.25654E-06,1.54520E-13,2.51408E-13,0,0,-3.14740E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,1,0,0,0.999999,1.25654E-06,1.54520E-13,1.10719E-7,3.3302E-8
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 1.2E-05","3.85E-08","0.9038","104","Not Litigated",1,0.99989,0.000109999,0.5,4.403E-18,0,1,0.000109999,9.999E-06,4.5,5.60224E-06,0.850655,0.125001,0.125,0.124999,0.124999,0.124999,0.124999,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99989,10,19.9999,0.000109999,9.99989,10,0,0,0,0,0,0,0.0001,0.0001,2.67307E-10,9.99999E-05,0,9.99999E-05,0,0,,0,0,0,0,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,4.4035E-18,0,1,4.40349E-18,0,0,0,0,0
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 1.2E-05","3.85E-08","0.9038","104","Settles",2E-11,0,1,0.500216,1,1,1,1,0.0909009,4.50173,3.62896E-06,0.849888,0.136137,0.127116,0.119725,0.116594,0.116729,0.120019,0.127386,0.136293,1,1,0.0625,0.0625007,,,1,,,,,0,0,0,,8.925,9.675,18.6,1.4,8.925,9.675,0.4,0.325001,0,0.325001,0.105626,0,0.909099,1.3091,4.35476E-11,0.909099,0,0.909099,0,1,0.125001,0,0,0,0,0,-1.40336E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 1.2E-05","3.85E-08","0.9038","104","Tried",3E-18,0,1,0.84623,1,1,1,1,0.0909008,7.26984,7.06092E-12,1.09217,2.14064E-05,0.00021217,0.00168013,0.0098745,0.0419832,0.129593,0.295701,0.520934,1,1,0.5625,0.0625002,,,0,,,,,0,0,1,0.231233,8.83995,9.56005,18.4,1.6,8.83995,9.56005,0.6,0.670577,0,0.670577,1.94467,0,0.909099,1.5091,0,0.909099,0,0.909099,0,0,,0,0,0,0,0,1.50626,2.0008E-07,2.47469E-07,2.62877E-07,2.6243E-07,2.6243E-07,2.62877E-07,2.47469E-07,0.999998,0.00225358,0.00784828,0.0234008,0.0593234,0.125441,0.214216,0.284352,0.283165,1,1,0,0,0,0,0,0.768767,0.231233
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 1.2E-05","3.85E-08","0.9038","104","PWins",7E-19,0,1,0.860233,1,1,1,1,0.0909008,7.38187,3.01301E-13,1.10084,2.90662E-06,4.41019E-05,0.000539829,0.00475105,0.02813,0.109948,0.291859,0.564725,1,1,0.5625,0.0625002,,,0,,,,,0,0,1,1,11.3,7.1,18.4,1.6,11.3,7.1,0.6,2.9,0,2.9,8.41,0,0.909099,1.5091,0,0.909099,0,0.909099,0,0,,0,0,0,0,0,1.38437,2.89797E-08,4.814E-08,7.46341E-08,1.1135E-07,1.57969E-07,2.04015E-07,2.25473E-07,0.999999,0.00111552,0.00475901,0.016865,0.0491581,0.115473,0.212308,0.296019,0.304303,1,1,0,0,0,0,0,0,1
