"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 8E-06","7.197E-08","0.9408","110","All",1,0.999918,8.19612E-05,0.5,7.289E-06,7.28904E-06,1,8.19612E-05,1.0016E-05,4.5,2.90509,0.877676,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.27886,0.137557,,,3.53616E-06,,,,,1.01478E-12,7.50875E-13,3.753E-6,0.285943,9.99992,9.99997,19.9999,0.000108868,9.99992,9.99997,3.66619E-06,4.4912E-6,1.4915E-6,5.98266E-6,8.66571E-06,1.90005E-06,9.51862E-05,9.88524E-05,2.32409E-05,7.19453E-05,1.41819E-06,7.05271E-05,0,3.53616E-6,0.375001,1.01478E-12,7.50875E-13,2.03037E-19,0.0197026,0,-2.39831E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,7.28905E-6,7.28904E-06,0.999993,9.49425E-12,3.53616E-06,1.01478E-12,7.50875E-13,2.67977E-6,1.0731E-6
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 8E-06","7.197E-08","0.9408","110","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,2.9051,0.877677,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.3241E-05,10,9.99998,0,0,0,0,0,0,2.3241E-05,2.3241E-05,2.3241E-05,0,0,0,0,0,,0,0,0,,0,-6.11989E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,0.102829,0.127184,0.135105,0.134876,0.134876,0.135108,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 8E-06","7.197E-08","0.9408","110","DisputeArises",8.2E-5,0,1,0.453588,0.0889329,0.0889328,1,1,0.122204,4.1287,2.72324,0.856925,0.166415,0.149561,0.133344,0.121294,0.112659,0.10704,0.105069,0.104617,1,1,0.27886,0.137557,,,0.0431443,,,,,1.23812E-08,9.16135E-09,0.045788,0.285943,9.00824,9.94701,18.9552,1.04475,9.00824,9.94701,0.0447308,0.0547963,0.0181975,0.0729937,0.105729,0.0231823,0.877818,0.922549,2.17859E-05,0.877796,0.0173032,0.860493,0,0.0431443,0.375001,1.23812E-08,9.16135E-09,2.47723E-15,0.0197026,0,0.074662,0.121839,0.146693,0.149184,0.139909,0.129846,0.121044,0.107689,0.0837976,0.128999,0.158622,0.143315,0.137987,0.1326,0.114166,0.103176,0.081135,0.0889329,0.0889328,0.911067,1.15838E-07,0.0431443,1.23812E-08,9.16135E-09,0.0326955,0.0130929
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 8E-06","7.197E-08","0.9408","110","PFiles",7.3E-6,0,1,0.570071,1,0.999999,1,1,0.117687,5.06057,2.20116,1.05512,0.0296888,0.0717755,0.122569,0.151786,0.176751,0.195653,0.1594,0.092375,1,1,0.27886,0.137557,,,0.485134,,,,,1.39219E-07,1.03014E-07,0.514865,0.285943,9.09263,9.40438,18.497,1.50299,9.09263,9.40438,0.502973,0.616153,0.151964,0.768117,1.18887,0.208016,0.882331,1.3853,1.76093E-05,0.882313,0.148322,0.733991,0,0.485134,0.375001,1.39219E-07,1.03014E-07,2.78550E-14,0.168888,0,3.34061,5.84599E-07,7.14056E-07,7.43573E-07,7.2201E-07,0.236494,0.107,0.418538,0.237966,0.132684,0.266731,0.0848471,0.182023,0.333712,1.27466E-06,1.28179E-06,1.07579E-06,1,0.999999,0,1.30254E-06,0.485134,1.39219E-07,1.03014E-07,0.367643,0.147222
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 8E-06","7.197E-08","0.9408","110","DAnswers",7.3E-6,0,1,0.570071,1,1,1,1,0.117687,5.06057,2.20116,1.05512,0.0296889,0.0717756,0.12257,0.151786,0.176751,0.195653,0.1594,0.0923748,1,1,0.27886,0.137557,,,0.485134,,,,,1.3922E-07,1.03014E-07,0.514865,0.285943,9.09263,9.40438,18.497,1.50299,9.09263,9.40438,0.502973,0.616152,0.151964,0.768117,1.18887,0.208016,0.882331,1.3853,1.76093E-05,0.882313,0.148321,0.733992,0,0.485134,0.375001,1.3922E-07,1.03014E-07,2.78551E-14,0.168887,0,3.34061,5.74198E-07,6.88679E-07,6.8936E-07,6.20315E-07,0.236494,0.107,0.418538,0.237966,0.132684,0.266731,0.0848472,0.182023,0.333712,8.66719E-07,8.97764E-07,7.653E-07,1,1,0,0,0.485134,1.3922E-07,1.03014E-07,0.367643,0.147222
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 8E-06","7.197E-08","0.9408","110","Litigated",7.3E-6,0,1,0.570071,1,1,1,1,0.117687,5.06057,2.20116,1.05512,0.0296889,0.0717756,0.12257,0.151786,0.176751,0.195653,0.1594,0.0923748,1,1,0.27886,0.137557,,,0.485134,,,,,1.3922E-07,1.03014E-07,0.514865,0.285943,9.09263,9.40438,18.497,1.50299,9.09263,9.40438,0.502973,0.616152,0.151964,0.768117,1.18887,0.208016,0.882331,1.3853,1.76093E-05,0.882313,0.148321,0.733992,0,0.485134,0.375001,1.3922E-07,1.03014E-07,2.78551E-14,0.168887,0,3.34061,5.74198E-07,6.88679E-07,6.8936E-07,6.20315E-07,0.236494,0.107,0.418538,0.237966,0.132684,0.266731,0.0848472,0.182023,0.333712,8.66719E-07,8.97764E-07,7.653E-07,1,1,0,0,0.485134,1.3922E-07,1.03014E-07,0.367643,0.147222
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 8E-06","7.197E-08","0.9408","110","Not Litigated",1,0.999925,7.46727E-05,0.499999,9.494E-12,0,1,7.46727E-05,9.15822E-06,4.5,2.90509,0.877674,0.125002,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99998,19.9999,9.79137E-05,9.99993,9.99998,9.49432E-13,1.09E-11,3.8381E-7,3.83825E-7,1.37205E-11,3.83814E-07,8.87555E-05,8.87555E-05,2.32409E-05,6.55145E-05,3.37079E-07,6.51774E-05,0,0,,0,0,0,0.00514006,0,-2.435E-05,0.102832,0.127188,0.135107,0.134877,0.134875,0.135106,0.127185,0.10283,0.102831,0.127186,0.135106,0.134876,0.134875,0.135107,0.127188,0.102832,9.4943E-12,0,1,9.49432E-12,0,0,0,0,0
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 8E-06","7.197E-08","0.9408","110","Settles",3.5E-6,0,1,0.624197,1,1,1,1,0.121499,5.49358,2.37575,1.08254,0.0222491,0.0609754,0.103825,0.109365,0.132157,0.207011,0.217745,0.146672,1,1,0.1875,0.187501,,,1,,,,,0,0,0,,9.175,9.42498,18.6,1.40002,9.175,9.42498,0.4,0.467129,0.154771,0.6219,0.2686,0.127686,0.87852,1.27852,1.9006E-05,0.878501,0.163084,0.715417,0,1,0.375001,0,0,0,0.187602,0,2.58748,8.2037E-07,6.8028E-07,6.91836E-07,5.74195E-07,0.312122,9.57989E-07,0.412506,0.275369,8.20229E-07,0.312121,1.14117E-06,1.36817E-06,0.687873,8.6924E-07,8.40723E-07,1.04137E-06,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 8E-06","7.197E-08","0.9408","110","Tried",3.8E-6,0,1,0.519071,1,1,1,1,0.114096,4.65257,2.03665,1.02929,0.036699,0.0819521,0.140231,0.191758,0.21877,0.184952,0.104424,0.0412132,1,1,0.364944,0.0904963,,,0,,,,,0,0,1,0.285943,9.01502,9.38497,18.4,1.60002,9.01502,9.38497,0.6,0.75657,0.14932,0.90589,2.05599,0.283707,0.885921,1.48592,1.62932E-05,0.885904,0.13441,0.751494,0,0,,0,0,0,0.151253,0,4.05025,3.42241E-07,6.96593E-07,6.87026E-07,5.93456E-07,0.165233,0.20782,0.424222,0.202723,0.257706,0.223962,0.164794,0.353534,2.32256E-06,8.64343E-07,9.51511E-07,5.05173E-07,1,1,0,0,0,0,0,0.714057,0.285943
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 8E-06","7.197E-08","0.9408","110","PWins",1.1E-6,0,1,0.549828,1,1,1,1,0.11263,4.89862,1.86007,1.08674,0.0192,0.0567693,0.126631,0.19917,0.227347,0.196532,0.121419,0.0529311,1,1,0.43171,0.102274,,,0,,,,,0,0,1,1,11.3,7.09999,18.4,1.60001,11.3,7.09999,0.6,2.64588,0,2.64588,7.19022,0,0.887385,1.48739,1.48805E-05,0.88737,0.226453,0.660917,0,0,,0,0,0,0.254121,0,4.1768,3.04984E-07,7.85892E-07,9.27702E-07,9.75905E-07,0.144475,0.256454,0.388132,0.210935,0.251779,0.318174,0.119614,0.310423,3.86066E-06,1.75286E-06,2.08955E-06,1.18571E-06,1,1,0,0,0,0,0,0,1
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 8E-06","7.197E-08","0.9408","110","DWins",2.7E-6,0,1,0.506754,1,1,1,1,0.114683,4.55403,2.10736,1.00629,0.0437064,0.0920366,0.145678,0.18879,0.215336,0.180315,0.0976179,0.0365208,1,1,0.338207,0.08578,,,0,,,,,0,0,1,0,8.1,10.3,18.4,1.60002,8.1,10.3,0.6,0,0.209114,0.209114,0,0.397317,0.885334,1.48533,1.68589E-05,0.885317,0.0975514,0.787766,0,0,,0,0,0,0.11006,0,3.99958,3.5716E-07,6.60833E-07,5.90647E-07,4.40304E-07,0.173545,0.188344,0.438674,0.199434,0.260079,0.186236,0.182886,0.370797,1.70663E-06,5.08536E-07,4.95785E-07,2.32654E-07,1,1,0,0,0,0,0,1,0
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 8E-06","7.197E-08","0.9408","110","Abandoned",2E-12,0,1,0.472139,1,1,1,1,0.111636,4.27711,1.88173,1.00034,0.077339,0.12258,0.155293,0.17546,0.188003,0.157448,0.0888224,0.0350547,1,1,0.338426,0.0863121,,,0,,,,,0.574732,0.425268,0,,9.65054,8.94945,18.6,1.40002,9.65054,8.94945,0.4,0.972933,0.079676,1.05261,1.85993,0.0956112,0.888379,1.28838,1.50538E-05,0.888364,0.116184,0.77218,0,0,,0.574732,0.425268,1.14992E-07,0.13072,0,3.89324,1.79546E-06,2.40446E-06,2.42949E-06,0.149455,0.140538,0.17676,0.360817,0.172424,0.368643,0.190489,0.140165,0.300695,2.87431E-06,2.22021E-06,2.1514E-06,1.48507E-06,1,1,0,0,0,0.574732,0.425268,0,0
"Risk Neutral CM 1 FSM 2 DM 2 LT 1.2 UPC 8E-06","7.197E-08","0.9408","110","PrecPower1",0.125,0.999891,0.000109116,0.0625,1.7312E-6,1.73121E-06,1,0.000109116,1.07855E-05,1,1.56363,0.610799,1,0,0,0,0,0,0,0,1,1,0.263148,0.115651,,,6.29406E-07,,,,,8.71973E-13,2.20449E-13,1.102E-6,0.149598,9.99989,9.99999,19.9999,0.000122538,9.99989,9.99999,9.12846E-07,8.3991E-7,0,8.39907E-7,1.5943E-06,0,0.00011084,0.000111753,1.25093E-05,9.83305E-05,0,9.83305E-05,0,6.29406E-7,0.374995,8.71973E-13,2.20449E-13,1.74464E-19,0,0,0.936699,0.224524,0.243922,0.207842,0.146449,0.0898702,0.0498807,0.0255098,0.012003,0.394013,0.326145,0.184955,0.0718392,0.0191031,0.00347586,0.000432503,3.67801E-05,1.73121E-6,1.73121E-06,0.999998,4.15642E-13,6.29406E-07,8.71973E-13,2.20449E-13,9.36977E-7,1.6483E-7
