"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 1.2E-05","8.308E-07","0.9646","144","All",1,0.99989,0.000109999,0.5,2.201E-11,1.97454E-11,1,0.000109999,9.999E-06,4.5,5.60224E-06,0.850655,0.125001,0.125,0.124999,0.124999,0.124999,0.124999,0.125,0.125001,1,1,0.0933113,0.0625007,,,1.81231E-11,,,,,2.26879E-17,3.24596E-19,1.62E-12,0.498169,9.99989,10,19.9999,0.000109999,9.99989,10,3.37958E-11,1.523E-11,2.895E-05,2.89501E-5,1.39446E-11,2.89501E-05,0.0001,0.0001,2.67307E-10,9.99999E-05,2.63185E-05,7.36814E-05,0,1.8123E-11,0.0625004,2.26879E-17,3.24596E-19,4.5394E-24,0.263185,0,-2.34302E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,2.2009E-11,1.97454E-11,1,2.26317E-12,1.81231E-11,2.26879E-17,3.24596E-19,8.1413E-13,8.082E-13
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 1.2E-05","8.308E-07","0.9646","144","NoDispute",0.9999,1,0,0.5,0,0,1,0,0,4.5,5.60246E-06,0.850655,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,10,10,20,2.67332E-10,10,10,0,0,0,0,0,0,2.67332E-10,2.67332E-10,2.67332E-10,0,0,0,0,0,,0,0,0,,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 1.2E-05","8.308E-07","0.9646","144","DisputeArises",0.0001,0,1,0.5002,2.0008E-7,1.79506E-07,1,1,0.0909009,4.5016,3.62896E-06,0.849909,0.135739,0.126997,0.119936,0.117009,0.117057,0.120076,0.127207,0.135979,1,1,0.0933113,0.0625007,,,1.64757E-07,,,,,2.06256E-13,2.95090E-15,1.475E-8,0.498169,9,10,19,1,9,10,3.07238E-07,1.3845E-7,0.263185,0.263185,1.2677E-07,0.263185,0.909099,0.909099,4.35476E-11,0.909099,0.239262,0.669838,0,1.64757E-7,0.0625004,2.06256E-13,2.95090E-15,4.12677E-20,0.263185,0,-4.33836E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,2.0008E-07,1.79506E-07,1,2.05745E-08,1.64757E-07,2.06256E-13,2.95090E-15,7.40125E-9,7.3472E-9
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 1.2E-05","8.308E-07","0.9646","144","PFiles",2E-11,0,1,0.5002,1,0.897169,1,1,0.0909009,4.5016,3.62896E-06,0.849909,0.135739,0.126997,0.119936,0.117009,0.117057,0.120076,0.127207,0.135979,1,1,0.0933113,0.0625007,,,0.823455,,,,,1.03087E-06,1.47486E-08,0.073713,0.498169,8.40267,9.06176,17.4644,2.53557,8.40267,9.06176,1.53557,0.691966,0.341774,1.03374,0.633596,0.557475,0.909099,2.44467,4.35476E-11,0.909099,0.239262,0.669838,0,0.823455,0.0625004,1.03087E-06,1.47486E-08,2.06256E-13,0.263185,0,-3.3648E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,0.897169,0,0.102831,0.823455,1.03087E-06,1.47486E-08,0.0369914,0.0367214
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 1.2E-05","8.308E-07","0.9646","144","DAnswers",2E-11,0,1,0.460564,1,1,1,1,0.0909009,4.18451,4.0449E-06,0.822157,0.151294,0.141529,0.133488,0.129279,0.125635,0.118952,0.107893,0.0919302,1,1,0.0933113,0.0625007,,,0.917837,,,,,1.14902E-06,1.6439E-08,0.082162,0.498169,8.26543,9.06884,17.3343,2.66573,8.26543,9.06884,1.66573,0.750188,0.343536,1.09372,0.685128,0.606406,0.909099,2.57483,4.85389E-11,0.909099,0.181659,0.72744,0,0.917837,0.0625004,1.14902E-06,1.6439E-08,2.29897E-13,0.199823,0,0.172644,0.114359,0.140865,0.147909,0.143536,0.135958,0.126038,0.109173,0.0821617,0.114617,0.141765,0.150591,0.150335,0.150335,0.150591,0.141765,1.2129E-07,1,1,0,0,0.917837,1.14902E-06,1.6439E-08,0.0412313,0.0409304
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 1.2E-05","8.308E-07","0.9646","144","Litigated",2E-11,0,1,0.460564,1,1,1,1,0.0909009,4.18451,4.0449E-06,0.822157,0.151294,0.141529,0.133488,0.129279,0.125635,0.118952,0.107893,0.0919302,1,1,0.0933113,0.0625007,,,0.917837,,,,,1.14902E-06,1.6439E-08,0.082162,0.498169,8.26543,9.06884,17.3343,2.66573,8.26543,9.06884,1.66573,0.750188,0.343536,1.09372,0.685128,0.606406,0.909099,2.57483,4.85389E-11,0.909099,0.181659,0.72744,0,0.917837,0.0625004,1.14902E-06,1.6439E-08,2.29897E-13,0.199823,0,0.172644,0.114359,0.140865,0.147909,0.143536,0.135958,0.126038,0.109173,0.0821617,0.114617,0.141765,0.150591,0.150335,0.150335,0.150591,0.141765,1.2129E-07,1,1,0,0,0.917837,1.14902E-06,1.6439E-08,0.0412313,0.0409304
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 1.2E-05","8.308E-07","0.9646","144","Not Litigated",1,0.99989,0.000109999,0.5,2.263E-12,0,1,0.000109999,9.999E-06,4.5,5.60224E-06,0.850655,0.125001,0.125,0.124999,0.124999,0.124999,0.124999,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99989,10,19.9999,0.000109999,9.99989,10,9.05268E-13,4.164E-13,2.895E-05,2.89501E-5,4.16421E-13,2.89501E-05,0.0001,0.0001,2.67307E-10,9.99999E-05,2.63185E-05,7.36814E-05,0,0,,0,0,0,0.263185,0,-3.41044E-12,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,2.2632E-12,0,1,2.26317E-12,0,0,0,0,0
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 1.2E-05","8.308E-07","0.9646","144","Settles",2E-11,0,1,0.427765,1,1,1,1,0.0909009,3.92212,4.40699E-06,0.799032,0.164835,0.154171,0.145226,0.139614,0.131763,0.115018,0.0890956,0.0602772,1,1,0.0625,0.0625008,,,1,,,,,0,0,0,,8.2625,9.1375,17.4,2.6,8.2625,9.1375,1.6,0.733667,0.259535,0.993201,0.632788,0.450941,0.909099,2.5091,5.28839E-11,0.909099,0.135794,0.773305,0,1,0.0625004,0,0,0,0.149373,0,1.88174E-07,0.124596,0.153475,0.16115,0.156385,0.148128,0.137321,0.118946,2.14625E-07,0.124596,0.153475,0.16115,0.156385,0.148128,0.137321,0.118946,1.25073E-07,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 1.2E-05","8.308E-07","0.9646","144","Tried",2E-12,0,1,0.826959,1,1,1,1,0.0909008,7.11568,0,1.08049,2.97192E-05,0.000298375,0.00236563,0.0138244,0.0571798,0.16289,0.317882,0.44553,1,1,0.4375,0.0625001,,,0,,,,,0,0,1,0.498169,8.29817,8.30183,16.6,3.4,8.29817,8.30183,2.4,0.934756,1.28192,2.21668,1.26983,2.34313,0.909099,3.3091,0,0.909099,0.694018,0.215082,0,0,,0,0,0,0.763412,0,2.10127,3.90038E-13,4.80440E-13,5.04465E-13,4.89549E-13,4.63703E-13,4.29872E-13,1.861E-06,0.999998,0.00314353,0.0109482,0.0326443,0.0827572,0.174992,0.298837,0.396678,7.90358E-08,1,1,0,0,0,0,0,0.501831,0.498169
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 1.2E-05","8.308E-07","0.9646","144","PWins",8E-13,0,1,0.838897,1,1,1,1,0.0909008,7.21117,0,1.08795,7.62363E-06,0.000102088,0.00109431,0.00848246,0.0441887,0.148032,0.320131,0.477962,1,1,0.4375,0.0625001,,,0,,,,,0,0,1,1,8.8,7.8,16.6,3.4,8.8,7.8,2.4,1.40191,0.957712,2.35962,2.12648,1.14925,0.909099,3.3091,0,0.909099,0.725546,0.183553,0,0,,0,0,0,0.798093,0,2.01939,1.02004E-13,1.50858E-13,2.02287E-13,2.57593E-13,3.12453E-13,3.5012E-13,1.72147E-06,0.999998,0.001937,0.00781204,0.0263913,0.0739903,0.168726,0.303719,0.417425,8.50443E-08,1,1,0,0,0,0,0,0,1
