"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 8E-06","5.09E-08","0.9716","97","All",1,0.999922,7.77516E-05,0.5,3.696E-07,3.69559E-07,1,7.77516E-05,1.00108E-05,4.5,3.53996,0.794151,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.626067,0.43411,,,2.02792E-07,,,,,7.49021E-13,3.33693E-14,1.668E-7,0.523538,9.99992,9.99997,19.9999,0.000106796,9.99992,9.99997,7.24725E-07,7.2912E-7,1.7428E-5,1.81567E-5,2.68408E-06,1.78999E-05,9.60607E-05,9.67854E-05,2.83199E-05,6.77408E-05,1.46851E-05,5.30557E-05,0,2.02792E-7,1.12492,7.49021E-13,3.33693E-14,4.02770E-19,0.223837,0,-1.22778E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,3.69603E-7,3.69559E-07,1,4.37048E-11,2.02792E-07,7.49021E-13,3.33693E-14,7.94577E-8,8.7308E-8
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 8E-06","5.09E-08","0.9716","97","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50003,3.53997,0.794153,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,2.832E-05,10,9.99997,0,0,0,0,0,0,2.832E-05,2.832E-05,2.832E-05,0,0,0,0,0,,0,0,0,,0,-3.1433E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102832,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 8E-06","5.09E-08","0.9716","97","DisputeArises",7.8E-5,0,1,0.456676,0.0047536,0.00475307,1,1,0.128754,4.1534,3.43286,0.768442,0.166896,0.148357,0.131143,0.118987,0.111342,0.107533,0.10743,0.108312,1,1,0.626067,0.43411,,,0.00260821,,,,,9.63352E-09,4.29179E-10,0.002145,0.523538,9.00076,9.98989,18.9907,1.00935,9.00076,9.98989,0.00932103,0.0093775,0.224145,0.233522,0.0345213,0.230219,0.871273,0.880595,2.74629E-05,0.871246,0.188872,0.682374,0,0.00260821,1.12492,9.63352E-09,4.29179E-10,5.18021E-15,0.223837,0,0.0404243,0.121404,0.14577,0.147893,0.138723,0.12939,0.121724,0.109352,0.0857445,0.12762,0.155951,0.141157,0.134007,0.126629,0.120347,0.108762,0.0855278,0.00475363,0.00475307,0.995246,5.62108E-07,0.00260821,9.63352E-09,4.29179E-10,0.00102194,0.0011229
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 8E-06","5.09E-08","0.9716","97","PFiles",3.7E-7,0,1,0.495194,1,0.999882,1,1,0.110695,4.46156,1.9999,1.02413,0.00827849,0.0441156,0.155455,0.304922,0.29725,0.144081,0.0389256,0.00697221,1,1,0.626067,0.43411,,,0.548676,,,,,2.02656E-06,9.02843E-08,0.451203,0.523538,9.16044,7.87872,17.0392,2.96084,9.16044,7.87872,1.96082,1.9727,0.551851,2.52455,7.26208,1.82961,0.889321,2.85014,1.59992E-05,0.889305,0.431972,0.457333,0,0.548676,1.12492,2.02656E-06,9.02843E-08,1.08974E-12,0.487239,0,5.50695,1.69567E-05,2.07468E-05,2.16827E-05,2.11911E-05,2.07154E-05,2.60319E-05,0.748721,0.251151,0.256714,0.743143,2.25597E-05,2.32408E-05,2.43967E-05,2.57457E-05,2.52664E-05,2.09952E-05,1,0.999882,0,0.000118248,0.548676,2.02656E-06,9.02843E-08,0.214981,0.236222
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 8E-06","5.09E-08","0.9716","97","DAnswers",3.7E-7,0,1,0.495185,1,1,1,1,0.110697,4.46148,2.00006,1.0241,0.00826932,0.04411,0.155461,0.304946,0.297271,0.144081,0.0389107,0.00695002,1,1,0.626067,0.43411,,,0.548741,,,,,2.0268E-06,9.0295E-08,0.451257,0.523538,9.16027,7.87871,17.039,2.96102,9.16027,7.87871,1.96101,1.97279,0.551916,2.52471,7.26274,1.82983,0.889319,2.85032,1.60004E-05,0.889303,0.43194,0.457363,0,0.548741,1.12492,2.0268E-06,9.0295E-08,1.08987E-12,0.487204,0,5.5076,8.37185E-06,9.55651E-06,8.97213E-06,7.59788E-06,6.37993E-06,9.22065E-06,0.748787,0.251163,0.256739,0.743223,6.72999E-06,7.08279E-06,7.63698E-06,8.22943E-06,4.57834E-06,3.60028E-06,1,1,0,0,0.548741,2.0268E-06,9.0295E-08,0.215007,0.23625
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 8E-06","5.09E-08","0.9716","97","Litigated",3.7E-7,0,1,0.495185,1,1,1,1,0.110697,4.46148,2.00006,1.0241,0.00826932,0.04411,0.155461,0.304946,0.297271,0.144081,0.0389107,0.00695002,1,1,0.626067,0.43411,,,0.548741,,,,,2.0268E-06,9.0295E-08,0.451257,0.523538,9.16027,7.87871,17.039,2.96102,9.16027,7.87871,1.96101,1.97279,0.551916,2.52471,7.26274,1.82983,0.889319,2.85032,1.60004E-05,0.889303,0.43194,0.457363,0,0.548741,1.12492,2.0268E-06,9.0295E-08,1.08987E-12,0.487204,0,5.5076,8.37185E-06,9.55651E-06,8.97213E-06,7.59788E-06,6.37993E-06,9.22065E-06,0.748787,0.251163,0.256739,0.743223,6.72999E-06,7.08279E-06,7.63698E-06,8.22943E-06,4.57834E-06,3.60028E-06,1,1,0,0,0.548741,2.0268E-06,9.0295E-08,0.215007,0.23625
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 8E-06","5.09E-08","0.9716","97","Not Litigated",1,0.999923,7.73821E-05,0.5,4.37E-11,0,1,7.73821E-05,9.96992E-06,4.5,3.53996,0.794151,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99997,19.9999,0.000105702,9.99992,9.99997,1.74819E-11,5.334E-11,1.7224E-5,1.72237E-5,7.26041E-11,1.72236E-05,9.57321E-05,9.57321E-05,2.83199E-05,6.74122E-05,1.45255E-05,5.28867E-05,0,0,,0,0,0,0.22258,0,-2.03538E-06,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,4.3705E-11,0,1,4.37048E-11,0,0,0,0,0
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 8E-06","5.09E-08","0.9716","97","Settles",2E-07,0,1,0.495612,1,1,1,1,0.11071,4.46489,2.0001,1.02483,0.00559652,0.0368759,0.150777,0.319081,0.310948,0.139583,0.0324559,0.00468272,1,1,0.562454,0.562461,,,1,,,,,0,0,0,,9.32492,8.07507,17.4,2.60002,9.32492,8.07507,1.6,1.43726,0.329184,1.76645,2.31561,0.222229,0.889306,2.48931,1.60008E-05,0.88929,0.432399,0.456891,0,1,1.12492,0,0,0,0.487652,0,4.99953,1.52565E-05,1.74153E-05,1.13451E-05,1.06416E-05,9.92571E-06,1.25049E-05,0.999916,7.04212E-06,1.60659E-05,0.999923,1.08284E-05,1.02799E-05,1.16315E-05,1.33797E-05,8.34333E-06,6.56097E-06,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 8E-06","5.09E-08","0.9716","97","Tried",1.7E-7,0,1,0.494665,1,1,1,1,0.110681,4.45732,1.99999,1.0232,0.0115195,0.0529068,0.161157,0.287757,0.280641,0.149551,0.0467599,0.00970706,1,1,0.703423,0.278033,,,0,,,,,0,0,1,0.523538,8.96006,7.63992,16.6,3.40002,8.96006,7.63992,2.4,2.62402,0.822766,3.44678,13.2786,3.78472,0.889335,3.28934,1.59999E-05,0.889319,0.431382,0.457937,0,0,,0,0,0,0.48666,0,6.12544,7.68873E-13,7.72099E-13,6.08653E-06,3.8966E-06,2.06816E-06,9.3572E-07,0.443411,0.556576,0.568921,0.431073,7.41992E-07,1.59181E-06,1.88341E-06,1.96653E-06,9.32193E-14,7.64524E-14,1,1,0,0,0,0,0,0.476462,0.523538
"Risk Neutral CM 4 FSM 2 DM 2 LT 1 UPC 8E-06","5.09E-08","0.9716","97","PWins",8.7E-8,0,1,0.533982,1,1,1,1,0.111509,4.77185,1.99999,1.06289,0.00501991,0.0294716,0.115733,0.261859,0.311791,0.193624,0.0674572,0.0150444,1,1,0.718367,0.307409,,,0,,,,,0,0,1,1,12.2,4.39998,16.6,3.40002,12.2,4.39998,2.4,5.01208,0,5.01208,25.3632,0,0.888507,3.28851,1.6E-05,0.888491,0.521024,0.367467,0,0,,0,0,0,0.587918,0,6.12572,7.43133E-13,7.72003E-13,4.80508E-06,3.42965E-06,2.05815E-06,1.05327E-06,0.384385,0.615603,0.51017,0.489823,6.18005E-07,1.52042E-06,2.03859E-06,2.33033E-06,1.10462E-13,9.42043E-14,1,1,0,0,0,0,0,0,1
