"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 4 PCPM 10 UPC 8E-06","3.163E-07","0.9631","43","All",1,0.999918,8.2407E-05,0.8,7.659E-11,1.64880E-11,1,8.2407E-05,1.00004E-05,4.5,3,0.885376,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.100001,0.100001,,,1.64880E-11,,,,,1.35944E-17,3.81724E-19,1.48E-19,0.52311,9.99992,9.99998,19.9999,0.000106407,1000,1000,5.042E-11,3.281E-11,2.8676E-5,2.86761E-5,3.1847E-11,2.86761E-05,9.64068E-05,9.64068E-05,2.40002E-05,7.24066E-05,2.48298E-05,4.75768E-05,0,1.6488E-11,0.100001,1.35944E-17,3.81724E-19,2.16784E-19,0.347981,0,0,0.177373,0.214817,0.21562,0.214817,0.177373,0.177373,0.214817,0.21562,0.214817,0.177373,7.6586E-11,1.64880E-11,1,6.0098E-11,1.64880E-11,1.35944E-17,3.81724E-19,7.0801E-20,7.766E-20
"MODRA CM 4 PCPM 10 UPC 8E-06","3.163E-07","0.9631","43","NoDispute",0.9999,1,0,0.800003,0,0,1,0,0,4.50002,3,0.885378,0.124999,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.40002E-05,1000,1000,0,0,0,0,0,0,2.40002E-05,2.40002E-05,2.40002E-05,0,0,0,0,0,,0,0,0,,0,0,0.177371,0.214816,0.21562,0.214818,0.177374,0.177371,0.214816,0.21562,0.214818,0.177374,0,0,1,0,0,0,0,0,0
"MODRA CM 4 PCPM 10 UPC 8E-06","3.163E-07","0.9631","43","DisputeArises",8.2E-5,0,1,0.75981,9.2936E-7,2.0008E-07,1,1,0.121354,4.29905,3,0.861573,0.153885,0.138614,0.126112,0.118713,0.114696,0.113463,0.11565,0.118868,1,1,0.100001,0.100001,,,2.0008E-07,,,,,1.64967E-13,4.63218E-15,1.8E-15,0.52311,9,9.99998,19,1.00002,998.808,1000,6.11841E-07,3.982E-07,0.347981,0.347982,3.86461E-07,0.347981,0.87867,0.878671,2.4E-05,0.878646,0.301307,0.577339,0,2.0008E-07,0.100001,1.64967E-13,4.63218E-15,2.63065E-15,0.347981,0,-5.08862E-15,0.194834,0.227217,0.215096,0.202118,0.160734,0.194834,0.227217,0.215096,0.202118,0.160734,9.29363E-7,2.0008E-07,0.999999,7.29283E-07,2.0008E-07,1.64967E-13,4.63218E-15,8.5916E-16,9.424E-16
"MODRA CM 4 PCPM 10 UPC 8E-06","3.163E-07","0.9631","43","PFiles",8E-11,0,1,0.781964,1,0.215287,1,1,0.104489,4.40982,1.37984,1.08735,0.143429,0.132325,0.123179,0.11817,0.116025,0.116889,0.121801,0.128182,1,1,0.100001,0.100001,,,0.215287,,,,,1.77505E-07,4.98425E-09,1.939E-9,0.52311,9.32013,9.02152,18.3416,1.65836,998.657,998.862,0.658345,0.428467,0.320389,0.748856,0.415834,0.29372,0.895523,1.55387,1.10387E-05,0.895511,0.498993,0.396518,0,0.215287,0.100001,1.77505E-07,4.98425E-09,2.8306E-09,0.557496,0,-4.46607E-14,0.185021,0.220223,0.215361,0.209265,0.170131,0.185021,0.220223,0.215361,0.209265,0.170131,1,0.215287,0,0.784713,0.215287,1.77505E-07,4.98425E-09,9.2446E-10,1.0141E-9
"MODRA CM 4 PCPM 10 UPC 8E-06","3.163E-07","0.9631","43","DAnswers",2E-11,0,1,0.75981,1,1,1,1,0.121354,4.29905,3,0.861573,0.153885,0.138614,0.126112,0.118713,0.114696,0.113463,0.11565,0.118868,1,1,0.100001,0.100001,,,0.999999,,,,,8.24503E-07,2.31516E-08,9.004E-9,0.52311,8.3,9.09998,17.4,2.60002,994.596,999.058,1.6,0.586817,0.591568,1.17839,0.528136,1.00567,0.87867,2.47867,2.4E-05,0.878646,0.301307,0.577339,0,0.999999,0.100001,8.24503E-07,2.31516E-08,1.3148E-08,0.347981,0,-3.17439E-14,0.194834,0.227217,0.215096,0.202118,0.160734,0.194834,0.227217,0.215096,0.202118,0.160734,1,1,0,0,0.999999,8.24503E-07,2.31516E-08,4.2941E-09,4.7103E-9
"MODRA CM 4 PCPM 10 UPC 8E-06","3.163E-07","0.9631","43","Litigated",2E-11,0,1,0.75981,1,1,1,1,0.121354,4.29905,3,0.861573,0.153885,0.138614,0.126112,0.118713,0.114696,0.113463,0.11565,0.118868,1,1,0.100001,0.100001,,,0.999999,,,,,8.24503E-07,2.31516E-08,9.004E-9,0.52311,8.3,9.09998,17.4,2.60002,994.596,999.058,1.6,0.586817,0.591568,1.17839,0.528136,1.00567,0.87867,2.47867,2.4E-05,0.878646,0.301307,0.577339,0,0.999999,0.100001,8.24503E-07,2.31516E-08,1.3148E-08,0.347981,0,-3.17439E-14,0.194834,0.227217,0.215096,0.202118,0.160734,0.194834,0.227217,0.215096,0.202118,0.160734,1,1,0,0,0.999999,8.24503E-07,2.31516E-08,4.2941E-09,4.7103E-9
"MODRA CM 4 PCPM 10 UPC 8E-06","3.163E-07","0.9631","43","Not Litigated",1,0.999918,8.2407E-05,0.8,6.01E-11,0,1,8.2407E-05,1.00004E-05,4.5,3,0.885376,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99998,19.9999,0.000106407,1000,1000,2.40392E-11,2.314E-11,2.8676E-5,2.86761E-5,2.31392E-11,2.86761E-05,9.64067E-05,9.64068E-05,2.40002E-05,7.24065E-05,2.48298E-05,4.75768E-05,0,0,,0,0,0,0.347981,0,0,0.177373,0.214817,0.21562,0.214817,0.177373,0.177373,0.214817,0.21562,0.214817,0.177373,6.0098E-11,0,1,6.0098E-11,0,0,0,0,0
"MODRA CM 4 PCPM 10 UPC 8E-06","3.163E-07","0.9631","43","Settles",2E-11,0,1,0.75981,1,1,1,1,0.121354,4.29905,3,0.861573,0.153885,0.138614,0.126112,0.118713,0.114696,0.113463,0.11565,0.118868,1,1,0.1,0.100001,,,1,,,,,0,0,0,,8.3,9.09998,17.4,2.60002,994.596,999.058,1.6,0.586817,0.591568,1.17839,0.528136,1.00566,0.87867,2.47867,2.4E-05,0.878646,0.301307,0.577339,0,1,0.100001,0,0,0,0.347981,0,-6.86317E-08,0.194834,0.227217,0.215096,0.202118,0.160734,0.194834,0.227217,0.215096,0.202118,0.160734,1,1,0,0,1,0,0,0,0
"MODRA CM 4 PCPM 10 UPC 8E-06","3.163E-07","0.9631","43","Tried",1E-19,0,1,0.790925,1,1,1,1,0.110672,4.45462,2.00002,1.02263,0.0147046,0.0570684,0.160661,0.281294,0.274306,0.149081,0.0504698,0.0124146,1,1,0.899994,0.1,,,0,,,,,0,0,1,0.52311,8.32311,8.27687,16.6,3.40002,991.864,991.255,2.4,1.23684,0.760892,1.99773,1.91999,1.30328,0.889344,3.28934,1.60001E-05,0.889328,0.430997,0.458331,0,0,,0,0,0,0.48627,0,2.45563,3.4648E-06,4.04069E-06,4.64541E-06,0.776488,0.2235,0.232172,0.767817,4.58664E-06,3.59434E-06,2.85838E-06,1,1,0,0,0,0,0,0.47689,0.52311
"MODRA CM 4 PCPM 10 UPC 8E-06","3.163E-07","0.9631","43","PWins",8E-20,0,1,0.857967,1,1,1,1,0.111554,4.78983,2.00001,1.06492,0.00638336,0.031664,0.115288,0.256154,0.304954,0.193299,0.0729818,0.0192754,1,1,0.899996,0.1,,,0,,,,,0,0,1,1,8.8,7.79998,16.6,3.40002,998.13,984.988,2.4,1.60949,0.708611,2.3181,2.83227,0.850333,0.888462,3.28846,1.60001E-05,0.888446,0.523265,0.365181,0,0,,0,0,0,0.590509,0,2.45437,9.26376E-07,1.64584E-06,3.12344E-06,0.736409,0.263586,0.190815,0.809174,3.5967E-06,3.50031E-06,3.32647E-06,1,1,0,0,0,0,0,0,1
