"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 PCPM 2 LT 0.8","1.491E-07","0.9112","36","All",1,0.999929,7.11524E-05,0.8,4.1122E-6,4.11223E-06,1,7.11524E-05,1.00139E-05,4.5,4.60754,0.509113,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.300003,0.233842,,,2.7519E-06,,,,,1.09899E-06,2.59119E-12,2.613E-7,0.265097,9.99993,9.99995,19.9999,0.000118925,1000,1000,1.69716E-06,1.4199E-6,6.7036E-7,2.09029E-6,6.93248E-07,6.26233E-07,0.000107214,0.000108911,4.60756E-05,6.11385E-05,6.15541E-07,6.0523E-05,0,2.7519E-06,0.300003,1.09899E-06,2.59119E-12,2.19886E-13,0.0102491,0,0,0.177373,0.214817,0.21562,0.214817,0.177373,0.177373,0.214817,0.21562,0.214817,0.177373,4.11225E-6,4.11223E-06,0.999996,1.71177E-11,2.7519E-06,1.09899E-06,2.59119E-12,1.92062E-7,6.9281E-8
"MODRA CM 1 PCPM 2 LT 0.8","1.491E-07","0.9112","36","NoDispute",0.9999,1,0,0.800006,0,0,1,0,0,4.50003,4.60754,0.509115,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99995,20,4.60756E-05,1000,1000,0,0,0,0,0,0,4.60756E-05,4.60756E-05,4.60756E-05,0,0,0,0,0,,0,0,0,,0,-1.02522E-06,0.17737,0.214816,0.21562,0.214819,0.177375,0.17737,0.214815,0.21562,0.214819,0.177375,0,0,1,0,0,0,0,0,0
"MODRA CM 1 PCPM 2 LT 0.8","1.491E-07","0.9112","36","DisputeArises",7.1E-5,0,1,0.7201,0.0577949,0.0577947,1,1,0.140739,4.1005,4.54613,0.484617,0.170993,0.150598,0.13284,0.120418,0.111909,0.10655,0.104266,0.102427,1,1,0.300003,0.233842,,,0.0386761,,,,,0.0154456,3.64175E-08,0.003673,0.265097,9.00065,9.97545,18.9761,1.0239,998.805,999.983,0.0238525,0.0199561,0.0094215,0.0293776,0.00974314,0.00880129,0.859306,0.883159,4.54613E-05,0.859261,0.00865102,0.85061,0,0.0386761,0.300003,0.0154456,3.64175E-08,3.09036E-09,0.0102491,0,0.0144077,0.210986,0.239593,0.21547,0.189949,0.144002,0.213918,0.241481,0.215701,0.186503,0.142397,0.0577949,0.0577947,0.942205,2.40577E-07,0.0386761,0.0154456,3.64175E-08,0.0026993,0.0009737
"MODRA CM 1 PCPM 2 LT 0.8","1.491E-07","0.9112","36","PFiles",4.1E-6,0,1,0.893149,1,0.999996,1,1,0.137601,4.96574,3.99995,0.630402,0.0112351,0.0409543,0.112389,0.212152,0.259232,0.2048,0.112035,0.0472018,1,1,0.300003,0.233842,,,0.669195,,,,,0.267248,6.30115E-07,0.063552,0.265097,9.01126,9.57599,18.5873,1.41275,998.759,999.715,0.412709,0.345292,0.144922,0.490214,0.168581,0.134192,0.862439,1.27515,3.99995E-05,0.862399,0.134387,0.728012,0,0.669195,0.300003,0.267248,6.30115E-07,5.3471E-08,0.159242,0,2.00868,4.17621E-06,4.93085E-06,4.7568E-06,0.728067,0.271919,0.178126,0.380549,0.441315,4.97464E-06,4.0993E-06,1,0.999996,0,4.1626E-06,0.669195,0.267248,6.30115E-07,0.0467048,0.0168475
"MODRA CM 1 PCPM 2 LT 0.8","1.491E-07","0.9112","36","DAnswers",4.1E-6,0,1,0.893148,1,1,1,1,0.137601,4.96574,3.99997,0.6304,0.0112351,0.0409545,0.112389,0.212153,0.259233,0.204801,0.112035,0.0472007,1,1,0.300003,0.233842,,,0.669198,,,,,0.267249,6.30118E-07,0.063553,0.265097,9.01125,9.576,18.5872,1.41275,998.759,999.715,0.412711,0.345293,0.144922,0.490215,0.168582,0.134192,0.862439,1.27515,3.99997E-05,0.862399,0.134384,0.728014,0,0.669198,0.300003,0.267249,6.30118E-07,5.34713E-08,0.159239,0,2.00869,4.08046E-06,4.60796E-06,3.96787E-06,0.728069,0.271919,0.178127,0.380551,0.441317,2.79969E-06,2.31174E-06,1,1,0,0,0.669198,0.267249,6.30118E-07,0.046705,0.0168476
"MODRA CM 1 PCPM 2 LT 0.8","1.491E-07","0.9112","36","Litigated",4.1E-6,0,1,0.893148,1,1,1,1,0.137601,4.96574,3.99997,0.6304,0.0112351,0.0409545,0.112389,0.212153,0.259233,0.204801,0.112035,0.0472007,1,1,0.300003,0.233842,,,0.669198,,,,,0.267249,6.30118E-07,0.063553,0.265097,9.01125,9.576,18.5872,1.41275,998.759,999.715,0.412711,0.345293,0.144922,0.490215,0.168582,0.134192,0.862439,1.27515,3.99997E-05,0.862399,0.134384,0.728014,0,0.669198,0.300003,0.267249,6.30118E-07,5.34713E-08,0.159239,0,2.00869,4.08046E-06,4.60796E-06,3.96787E-06,0.728069,0.271919,0.178127,0.380551,0.441317,2.79969E-06,2.31174E-06,1,1,0,0,0.669198,0.267249,6.30118E-07,0.046705,0.0168476
"MODRA CM 1 PCPM 2 LT 0.8","1.491E-07","0.9112","36","Not Litigated",1,0.999933,6.70405E-05,0.8,1.712E-11,0,1,6.70405E-05,9.44811E-06,4.5,4.60754,0.509112,0.125001,0.125,0.125,0.124999,0.124999,0.124999,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99995,19.9999,0.000113116,1000,1000,1.71177E-12,9.962E-13,7.4406E-8,7.4407E-08,9.96162E-13,7.44045E-08,0.000103668,0.000103668,4.60756E-05,5.75923E-05,6.29213E-08,5.75294E-05,0,0,,0,0,0,0.00111008,0,-8.26024E-06,0.177374,0.214818,0.21562,0.214815,0.177372,0.177373,0.214817,0.215619,0.214818,0.177374,1.7118E-11,0,1,1.71177E-11,0,0,0,0,0
"MODRA CM 1 PCPM 2 LT 0.8","1.491E-07","0.9112","36","Settles",2.8E-6,0,1,0.981992,1,1,1,1,0.140915,5.40996,3.99996,0.668972,0.00215356,0.013873,0.0625371,0.173411,0.275041,0.254258,0.151757,0.0669695,1,1,0.300002,0.300003,,,1,,,,,0,0,0,,9.1,9.49996,18.6,1.40004,999.058,999.679,0.4,0.390636,0.196855,0.587491,0.195319,0.177169,0.859125,1.25913,3.99996E-05,0.859085,0.184571,0.674515,0,1,0.300003,0,0,0,0.21873,0,1.65185,6.09753E-06,6.88578E-06,5.08601E-06,0.688614,0.311368,5.97755E-06,0.340517,0.65947,4.18365E-06,3.4545E-06,1,1,0,0,1,0,0,0,0
"MODRA CM 1 PCPM 2 LT 0.8","1.491E-07","0.9112","36","Tried",2.6E-7,0,1,0.903039,1,1,1,1,0.137829,5.0152,3.99994,0.63423,0.00329793,0.0209718,0.0902519,0.227879,0.308971,0.225078,0.0960427,0.0275076,1,1,0.300013,0.100008,,,0,,,,,0,0,1,0.265097,8.9651,9.43486,18.4,1.60004,998.25,999.271,0.6,0.494589,0.11286,0.607449,0.430901,0.132387,0.862211,1.46221,3.99994E-05,0.862171,0.104357,0.757814,0,0,,0,0,0,0.123562,0,3.4274,3.28772E-11,4.02289E-11,3.55681E-06,1.60578E-05,0.99998,0.427434,0.572556,1.05123E-05,2.74809E-11,2.44183E-11,1,1,0,0,0,0,0,0.734903,0.265097
"MODRA CM 1 PCPM 2 LT 0.8","1.491E-07","0.9112","36","PWins",6.9E-8,0,1,0.972854,1,1,1,1,0.140481,5.36427,3.99985,0.664731,0.00110704,0.00919423,0.0527374,0.176213,0.306619,0.27396,0.136499,0.0436698,1,1,0.30003,0.10002,,,0,,,,,0,0,1,1,9.7,8.69996,18.4,1.60004,999.847,997.674,0.6,1.1198,0.0540602,1.17386,1.40168,0.0162181,0.859559,1.45956,3.99985E-05,0.859519,0.152162,0.707357,0,0,,0,0,0,0.180201,0,3.36645,5.11163E-11,6.96597E-11,8.82391E-06,3.153E-05,0.99996,0.366519,0.633458,2.25734E-05,5.48680E-11,5.3128E-11,1,1,0,0,0,0,0,0,1
