Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000000530,4E-05,0,0,0.1,0.1,0.2,0,0.40004
0.000002796,4E-05,0,1,0.1,0.1,0.2,0,1.40004
0.000000525,4E-05,1,0,0.1,0.1,0.2,0,1.40004
0.000000036,4E-05,0,0,0.1,0.1,0.2,0.2,0.60004
0.000000198,4E-05,0,1,0.1,0.1,0.2,0.2,1.60004
0.000000027,4E-05,1,0,0.1,0.1,0.2,0.2,1.60004
0.392428707,4E-05,0,0,0,0,0,0,4E-05
0.000024778,4E-05,0,1,0,0,0,0,1.00004
0.000000063,4E-05,1,0,0,0,0,0,1.00004
0.607509589,5E-05,0,0,0,0,0,0,5E-05
0.000032751,5E-05,0,1,0,0,0,0,1.00005
