Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000001058,0,0,0,0.025,0.025,0.05,0,0.1
0.000010575,0,0,1,0.025,0.025,0.05,0,1.1
0.000003582,0,0,0,0.025,0.025,0.05,0.05,0.15
0.000026951,0,0,1,0.025,0.025,0.05,0.05,1.15
0.000008877,0,1,0,0.025,0.025,0.05,0.05,1.15
0.464012190,0,0,0,0,0,0,0,0
0.000000725,1E-05,0,0,0.025,0.025,0.05,0,0.10001
0.000006701,1E-05,0,1,0.025,0.025,0.05,0,1.10001
0.000000584,1E-05,0,0,0.025,0.025,0.05,0.05,0.15001
0.000004974,1E-05,0,1,0.025,0.025,0.05,0.05,1.15001
0.000000249,1E-05,1,0,0.025,0.025,0.05,0.05,1.15001
0.130984335,1E-05,0,0,0,0,0,0,1E-05
0.000000880,2E-05,0,0,0.025,0.025,0.05,0,0.10002
0.000007314,2E-05,0,1,0.025,0.025,0.05,0,1.10002
0.000000552,2E-05,0,0,0.025,0.025,0.05,0.05,0.15002
0.000004219,2E-05,0,1,0.025,0.025,0.05,0.05,1.15002
0.143198698,2E-05,0,0,0,0,0,0,2E-05
0.000002626,3E-05,0,0,0.025,0.025,0.05,0,0.10003
0.000017665,3E-05,0,1,0.025,0.025,0.05,0,1.10003
0.261707246,3E-05,0,0,0,0,0,0,3E-05
