"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 CN High Both DM 2","1.089E-07","0.834","115","All",1,0.999935,6.47285E-05,0.5,1.185E-10,1.18493E-10,1,6.47285E-05,1.0005E-05,4.5,5.99999,0.32601,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,0.328928,0.299728,,,9.24502E-11,,,,,5.21065E-18,5.21064E-18,2.6E-11,0.34391,9.99994,9.99994,19.9999,0.000124729,9.99994,9.99994,5.26058E-11,7.868E-11,8.006E-12,8.6683E-11,8.50484E-11,5.93497E-12,0.000114724,0.000114724,6.00001E-05,5.47234E-05,2.20541E-11,5.47234E-05,0,9.245E-11,0.615668,5.21065E-18,5.21064E-18,1.04255E-24,3.79866E-07,0,2.34819E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1.1849E-10,1.18493E-10,1,2.37081E-17,9.24502E-11,5.21065E-18,5.21064E-18,1.7086E-11,8.956E-12
"Risk Neutral CM 1 CN High Both DM 2","1.089E-07","0.834","115","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,5.99999,0.326012,0.124997,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99994,19.9999,6.00001E-05,10,9.99994,0,0,0,0,0,0,6.00001E-05,6.00001E-05,6.00001E-05,0,0,0,0,0,,0,0,0,,0,1.12059E-15,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 CN High Both DM 2","1.089E-07","0.834","115","DisputeArises",6.5E-5,0,1,0.441472,1.8306E-6,1.83062E-06,1,1,0.15457,4.03178,5.99999,0.297994,0.171111,0.153407,0.138141,0.125575,0.115176,0.106375,0.0987146,0.0914997,1,1,0.328928,0.299728,,,1.42828E-06,,,,,8.05001E-14,8.05000E-14,4.023E-7,0.34391,9,9.99994,18.9999,1.00006,9,9.99994,8.12715E-07,1.2155E-6,1.2368E-7,1.33918E-6,1.31393E-06,9.16903E-08,0.84549,0.845491,5.99999E-05,0.84543,3.40717E-07,0.84543,0,1.42828E-6,0.615668,8.05001E-14,8.05000E-14,1.61065E-20,3.79866E-07,0,-2.47374E-13,0.127274,0.151794,0.152436,0.140778,0.128412,0.117555,0.102827,0.0789229,0.127274,0.151794,0.152436,0.140778,0.128412,0.117555,0.102827,0.0789229,1.83062E-6,1.83062E-06,0.999998,3.66270E-13,1.42828E-06,8.05001E-14,8.05000E-14,2.63971E-7,1.3837E-7
"Risk Neutral CM 1 CN High Both DM 2","1.089E-07","0.834","115","PFiles",1E-10,0,1,0.476316,1,1,1,1,0.118203,4.31053,2.64228,0.718719,0.147212,0.137107,0.128774,0.122616,0.118405,0.115914,0.114972,0.115,1,1,0.328928,0.299728,,,0.780217,,,,,4.39743E-08,4.39742E-08,0.219783,0.34391,9.40955,9.14647,18.556,1.44398,9.40955,9.14647,0.443957,0.663983,0.0675626,0.731546,0.71775,0.050087,0.881824,1.32578,2.64228E-05,0.881797,0.186122,0.695676,0,0.780217,0.615668,4.39743E-08,4.39742E-08,8.79837E-15,0.207507,0,-6.22171E-13,0.112823,0.137192,0.142079,0.137161,0.132156,0.127962,0.117374,0.0932532,0.112823,0.137192,0.142079,0.137161,0.132156,0.127962,0.117374,0.0932532,1,1,0,2.0008E-07,0.780217,4.39743E-08,4.39742E-08,0.144198,0.0755856
"Risk Neutral CM 1 CN High Both DM 2","1.089E-07","0.834","115","DAnswers",1E-10,0,1,0.476316,1,1,1,1,0.118203,4.31053,2.64228,0.718719,0.147212,0.137107,0.128774,0.122616,0.118405,0.115914,0.114972,0.115,1,1,0.328928,0.299728,,,0.780217,,,,,4.39743E-08,4.39742E-08,0.219783,0.34391,9.40955,9.14647,18.556,1.44398,9.40955,9.14647,0.443957,0.663983,0.0675626,0.731546,0.717749,0.0500871,0.881824,1.32578,2.64228E-05,0.881797,0.186122,0.695676,0,0.780217,0.615668,4.39743E-08,4.39742E-08,8.79838E-15,0.207507,0,-6.32491E-13,0.112823,0.137192,0.142079,0.137161,0.132156,0.127962,0.117374,0.0932532,0.112823,0.137192,0.142079,0.137161,0.132156,0.127962,0.117374,0.0932532,1,1,0,0,0.780217,4.39743E-08,4.39742E-08,0.144198,0.0755856
"Risk Neutral CM 1 CN High Both DM 2","1.089E-07","0.834","115","Litigated",1E-10,0,1,0.476316,1,1,1,1,0.118203,4.31053,2.64228,0.718719,0.147212,0.137107,0.128774,0.122616,0.118405,0.115914,0.114972,0.115,1,1,0.328928,0.299728,,,0.780217,,,,,4.39743E-08,4.39742E-08,0.219783,0.34391,9.40955,9.14647,18.556,1.44398,9.40955,9.14647,0.443957,0.663983,0.0675626,0.731546,0.717749,0.0500871,0.881824,1.32578,2.64228E-05,0.881797,0.186122,0.695676,0,0.780217,0.615668,4.39743E-08,4.39742E-08,8.79838E-15,0.207507,0,-6.32491E-13,0.112823,0.137192,0.142079,0.137161,0.132156,0.127962,0.117374,0.0932532,0.112823,0.137192,0.142079,0.137161,0.132156,0.127962,0.117374,0.0932532,1,1,0,0,0.780217,4.39743E-08,4.39742E-08,0.144198,0.0755856
"Risk Neutral CM 1 CN High Both DM 2","1.089E-07","0.834","115","Not Litigated",1,0.999935,6.47283E-05,0.5,2.371E-17,0,1,6.47283E-05,1.0005E-05,4.5,5.99999,0.32601,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,9.99994,9.99994,19.9999,0.000124728,9.99994,9.99994,0,0,0,0,0,0,0.000114723,0.000114723,6.00001E-05,5.47233E-05,0,5.47233E-05,0,0,,0,0,0,1.52007E-13,0,2.58176E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,2.3708E-17,0,1,2.37081E-17,0,0,0,0,0
"Risk Neutral CM 1 CN High Both DM 2","1.089E-07","0.834","115","Settles",9E-11,0,1,0.505063,1,1,1,1,0.121042,4.5405,2.78321,0.723246,0.128281,0.121972,0.119764,0.120821,0.122891,0.125214,0.128493,0.132563,1,1,0.307579,0.308089,,,1,,,,,0,0,0,,9.41567,9.1843,18.6,1.40003,9.41567,9.1843,0.4,0.603183,0.0509645,0.654147,0.473206,0.0178771,0.878986,1.27899,2.78321E-05,0.878958,0.19429,0.684668,0,1,0.615668,0,0,0,0.216352,0,-0.286348,0.118358,0.122195,0.135139,0.141548,0.123928,0.130109,0.125753,0.102971,0.0864291,0.101966,0.126007,0.136079,0.154307,0.145208,0.130483,0.119522,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 CN High Both DM 2","1.089E-07","0.834","115","Tried",3E-11,0,1,0.374266,1,1,1,1,0.108125,3.49413,2.14197,0.702651,0.214415,0.190835,0.160759,0.128988,0.102478,0.0828982,0.0669737,0.0526523,1,1,0.404714,0.270047,,,0,,,,,0,0,1,0.34391,9.38782,9.01216,18.4,1.60002,9.38782,9.01216,0.6,0.879821,0.126485,1.00631,1.58586,0.16443,0.891897,1.4919,2.14197E-05,0.891875,0.157124,0.734751,0,0,,0,0,0,0.176106,0,1.01652,0.0931747,0.19043,0.166717,0.121588,0.161364,0.120341,0.0876285,0.0587571,0.206519,0.262244,0.199133,0.141002,0.0535235,0.066741,0.0708368,5.92931E-07,1,1,0,0,0,0,0,0.65609,0.34391
"Risk Neutral CM 1 CN High Both DM 2","1.089E-07","0.834","115","PWins",9E-12,0,1,0.41155,1,1,1,1,0.103362,3.7924,1.38696,0.806253,0.169516,0.169616,0.160673,0.142001,0.119131,0.09777,0.0789874,0.0623052,1,1,0.463015,0.330817,,,0,,,,,0,0,1,1,10.7,7.69999,18.4,1.60001,10.7,7.69999,0.6,2.07084,0,2.07084,4.46503,0,0.896652,1.49665,1.38696E-05,0.896638,0.204908,0.69173,0,0,,0,0,0,0.229157,0,1.06471,0.0494526,0.180012,0.16407,0.126264,0.174398,0.135416,0.101354,0.0690332,0.171138,0.226652,0.194685,0.193686,0.0585926,0.0746615,0.0805839,6.20153E-07,1,1,0,0,0,0,0,0,1
