"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 0.25 CN High Indet LT 1.2","6.663E-08","0.8938","149","All",1,0.999918,8.2407E-05,0.5,8.2407E-5,8.2407E-05,1,8.2407E-05,9.99982E-06,4.5,3,0.708301,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.1875,0.1875,,,8.2407E-05,,,,,0,0,0,,9.99993,9.99995,19.9999,0.000120648,1000,1000,8.2407E-06,1.9572E-5,0,1.95717E-5,4.64827E-06,0,0.000102407,0.000110648,3E-05,7.24072E-05,0,7.24072E-05,0,8.2407E-05,0.1875,0,0,0,0,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,8.2407E-05,8.2407E-05,0.999918,0,8.2407E-05,0,0,0,0
"MODRA CM 0.25 CN High Indet LT 1.2","6.663E-08","0.8938","149","NoDispute",0.9999,1,0,0.500002,0,0,1,0,0,4.50002,3,0.708303,0.124999,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3E-05,1000,1000,0,0,0,0,0,0,3E-05,3E-05,3E-05,0,0,0,0,0,,0,0,0,,0,0,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"MODRA CM 0.25 CN High Indet LT 1.2","6.663E-08","0.8938","149","DisputeArises",8.2E-5,0,1,0.474649,1,1,1,1,0.121347,4.29719,3,0.689073,0.155036,0.139043,0.125807,0.117833,0.113724,0.112956,0.115854,0.119749,1,1,0.1875,0.1875,,,1,,,,,0,0,0,,9.1375,9.76247,18.9,1.10003,999.139,999.887,0.1,0.2375,0,0.2375,0.0564062,0,0.878683,0.978683,3E-05,0.878653,0,0.878653,0,1,0.1875,0,0,0,0,0,1.17788E-15,0.113606,0.137935,0.14254,0.137241,0.131883,0.127426,0.116716,0.0926534,0.113606,0.137935,0.14254,0.137241,0.131883,0.127426,0.116716,0.0926534,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 CN High Indet LT 1.2","6.663E-08","0.8938","149","PFiles",8.2E-5,0,1,0.474649,1,1,1,1,0.121347,4.29719,3,0.689073,0.155036,0.139043,0.125807,0.117833,0.113724,0.112956,0.115854,0.119749,1,1,0.1875,0.1875,,,1,,,,,0,0,0,,9.1375,9.76247,18.9,1.10003,999.139,999.887,0.1,0.2375,0,0.2375,0.0564062,0,0.878683,0.978683,3E-05,0.878653,0,0.878653,0,1,0.1875,0,0,0,0,0,1.17788E-15,0.113606,0.137935,0.14254,0.137241,0.131883,0.127426,0.116716,0.0926534,0.113606,0.137935,0.14254,0.137241,0.131883,0.127426,0.116716,0.0926534,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 CN High Indet LT 1.2","6.663E-08","0.8938","149","DAnswers",8.2E-5,0,1,0.474649,1,1,1,1,0.121347,4.29719,3,0.689073,0.155036,0.139043,0.125807,0.117833,0.113724,0.112956,0.115854,0.119749,1,1,0.1875,0.1875,,,1,,,,,0,0,0,,9.1375,9.76247,18.9,1.10003,999.139,999.887,0.1,0.2375,0,0.2375,0.0564062,0,0.878683,0.978683,3E-05,0.878653,0,0.878653,0,1,0.1875,0,0,0,0,0,1.17788E-15,0.113606,0.137935,0.14254,0.137241,0.131883,0.127426,0.116716,0.0926534,0.113606,0.137935,0.14254,0.137241,0.131883,0.127426,0.116716,0.0926534,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 CN High Indet LT 1.2","6.663E-08","0.8938","149","Litigated",8.2E-5,0,1,0.474649,1,1,1,1,0.121347,4.29719,3,0.689073,0.155036,0.139043,0.125807,0.117833,0.113724,0.112956,0.115854,0.119749,1,1,0.1875,0.1875,,,1,,,,,0,0,0,,9.1375,9.76247,18.9,1.10003,999.139,999.887,0.1,0.2375,0,0.2375,0.0564062,0,0.878683,0.978683,3E-05,0.878653,0,0.878653,0,1,0.1875,0,0,0,0,0,1.17788E-15,0.113606,0.137935,0.14254,0.137241,0.131883,0.127426,0.116716,0.0926534,0.113606,0.137935,0.14254,0.137241,0.131883,0.127426,0.116716,0.0926534,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 CN High Indet LT 1.2","6.663E-08","0.8938","149","Not Litigated",0.9999,1,0,0.500002,0,0,1,0,0,4.50002,3,0.708303,0.124999,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3E-05,1000,1000,0,0,0,0,0,0,3E-05,3E-05,3E-05,0,0,0,0,0,,0,0,0,,0,0,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"MODRA CM 0.25 CN High Indet LT 1.2","6.663E-08","0.8938","149","Settles",8.2E-5,0,1,0.474649,1,1,1,1,0.121347,4.29719,3,0.689073,0.155036,0.139043,0.125807,0.117833,0.113724,0.112956,0.115854,0.119749,1,1,0.1875,0.1875,,,1,,,,,0,0,0,,9.1375,9.76247,18.9,1.10003,999.139,999.887,0.1,0.2375,0,0.2375,0.0564062,0,0.878683,0.978683,3E-05,0.878653,0,0.878653,0,1,0.1875,0,0,0,0,0,1.17788E-15,0.113606,0.137935,0.14254,0.137241,0.131883,0.127426,0.116716,0.0926534,0.113606,0.137935,0.14254,0.137241,0.131883,0.127426,0.116716,0.0926534,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 CN High Indet LT 1.2","6.663E-08","0.8938","149","Tried",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MODRA CM 0.25 CN High Indet LT 1.2","6.663E-08","0.8938","149","PWins",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
