"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 CN Low Indet DM 2","2.674E-08","0.7301","135","All",1,0.999908,9.21056E-05,0.5,1.1876E-6,1.18757E-06,1,9.21056E-05,1.00039E-05,4.5,1.76998,0.837927,0.125001,0.125,0.124999,0.124999,0.125,0.125,0.125,0.125001,1,1,0.437498,0.437496,,,1.18756E-06,,,,,1.91328E-12,4.76744E-18,7.04E-12,0.407305,9.99991,9.99998,19.9999,0.000111706,9.99991,9.99998,1.90012E-06,1.8609E-6,2.2266E-5,2.41265E-5,3.03036E-06,2.22567E-05,9.98017E-05,0.000101702,1.77E-05,8.21017E-05,1.96387E-05,6.2463E-05,0,1.18756E-6,0.874995,1.91328E-12,4.76744E-18,3.82809E-19,0.241845,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1.18758E-6,1.18757E-06,0.999999,1.06063E-11,1.18756E-06,1.91328E-12,4.76744E-18,4.1733E-12,2.868E-12
"Risk Neutral CM 4 CN Low Indet DM 2","2.674E-08","0.7301","135","NoDispute",0.9999,1,0,0.500002,0,0,1,0,0,4.50001,1.76999,0.837929,0.124999,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,1.77001E-05,10,9.99998,0,0,0,0,0,0,1.77001E-05,1.77001E-05,1.77001E-05,0,0,0,0,0,,0,0,0,,0,-1.95331E-06,0.10283,0.127186,0.135105,0.134876,0.134876,0.135106,0.127188,0.102832,0.10283,0.127186,0.135106,0.134876,0.134877,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 CN Low Indet DM 2","2.674E-08","0.7301","135","DisputeArises",9.2E-5,0,1,0.48147,0.0128937,0.0128936,1,1,0.108614,4.35176,1.74406,0.824733,0.14798,0.135431,0.124779,0.118917,0.116498,0.11616,0.118419,0.121817,1,1,0.437498,0.437496,,,0.0128935,,,,,2.07727E-08,5.17606E-14,7.645E-8,0.407305,9.00097,9.97839,18.9794,1.02065,9.00097,9.97839,0.0206298,0.0202037,0.24174,0.261944,0.0329009,0.241644,0.891404,0.912033,1.74406E-05,0.891386,0.213219,0.678167,0,0.0128935,0.874995,2.07727E-08,5.17606E-14,4.1562E-15,0.241845,0,0.0212054,0.1115,0.135809,0.140961,0.136532,0.132225,0.128887,0.119017,0.0950692,0.114791,0.141151,0.137385,0.134046,0.130781,0.128173,0.118714,0.0949588,0.0128937,0.0128936,0.987106,1.15154E-07,0.0128935,2.07727E-08,5.17606E-14,4.53098E-8,3.1137E-8
"Risk Neutral CM 4 CN Low Indet DM 2","2.674E-08","0.7301","135","PFiles",1.2E-6,0,1,0.434017,1,0.999991,1,1,0.0997777,3.97214,0.999997,0.874709,0.026354,0.0946316,0.228064,0.315749,0.227149,0.0858063,0.0192147,0.00303053,1,1,0.437498,0.437496,,,0.999984,,,,,1.61107E-06,4.01441E-12,5.929E-6,0.407305,9.075,8.32499,17.4,2.6,9.075,8.32499,1.59999,1.56695,0.0999418,1.66689,2.5517,0.0924497,0.900232,2.50023,9.99997E-06,0.900222,0.0970057,0.803217,0,0.999984,0.874995,1.61107E-06,4.01441E-12,3.22344E-13,0.108052,0,4.72205,1.73022E-06,2.10743E-06,4.6912E-06,4.61822E-06,4.55138E-06,0.656734,0.25652,0.0867277,0.292227,0.707743,4.01848E-06,4.54846E-06,5.12402E-06,5.61681E-06,5.59615E-06,4.67085E-06,1,0.999991,0,8.93101E-06,0.999984,1.61107E-06,4.01441E-12,3.5141E-06,2.4149E-6
"Risk Neutral CM 4 CN Low Indet DM 2","2.674E-08","0.7301","135","DAnswers",1.2E-6,0,1,0.434015,1,1,1,1,0.0997778,3.97212,1.00001,0.874706,0.0263542,0.0946324,0.228066,0.315751,0.22715,0.0858052,0.0192127,0.00302816,1,1,0.437498,0.437496,,,0.999992,,,,,1.61108E-06,4.01444E-12,5.929E-6,0.407305,9.07499,8.32499,17.4,2.60001,9.07499,8.32499,1.6,1.56695,0.0999427,1.66689,2.55171,0.0924505,0.900232,2.50024,1.00001E-05,0.900222,0.0969996,0.803223,0,0.999992,0.874995,1.61108E-06,4.01444E-12,3.22346E-13,0.108045,0,4.7221,1.73024E-06,2.10745E-06,4.0499E-06,3.59144E-06,3.07866E-06,0.656738,0.256521,0.0867268,0.29223,0.707749,4.01851E-06,4.5485E-06,2.94008E-06,3.25681E-06,3.29568E-06,2.78444E-06,1,1,0,0,0.999992,1.61108E-06,4.01444E-12,3.51414E-6,2.4149E-6
"Risk Neutral CM 4 CN Low Indet DM 2","2.674E-08","0.7301","135","Litigated",1.2E-6,0,1,0.434015,1,1,1,1,0.0997778,3.97212,1.00001,0.874706,0.0263542,0.0946324,0.228066,0.315751,0.22715,0.0858052,0.0192127,0.00302816,1,1,0.437498,0.437496,,,0.999992,,,,,1.61108E-06,4.01444E-12,5.929E-6,0.407305,9.07499,8.32499,17.4,2.60001,9.07499,8.32499,1.6,1.56695,0.0999427,1.66689,2.55171,0.0924505,0.900232,2.50024,1.00001E-05,0.900222,0.0969996,0.803223,0,0.999992,0.874995,1.61108E-06,4.01444E-12,3.22346E-13,0.108045,0,4.7221,1.73024E-06,2.10745E-06,4.0499E-06,3.59144E-06,3.07866E-06,0.656738,0.256521,0.0867268,0.29223,0.707749,4.01851E-06,4.5485E-06,2.94008E-06,3.25681E-06,3.29568E-06,2.78444E-06,1,1,0,0,0.999992,1.61108E-06,4.01444E-12,3.51414E-6,2.4149E-6
"Risk Neutral CM 4 CN Low Indet DM 2","2.674E-08","0.7301","135","Not Litigated",1,0.999909,9.09181E-05,0.5,1.061E-11,0,1,9.09181E-05,9.88547E-06,4.5,1.76999,0.837927,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99991,9.99998,19.9999,0.000108618,9.99991,9.99998,4.24253E-12,1.205E-11,2.2147E-5,2.2147E-05,1.49473E-11,2.2147E-05,9.87327E-05,9.87327E-05,1.77001E-05,8.10327E-05,1.95235E-05,6.15092E-05,0,0,,0,0,0,0.243593,0,-5.60783E-06,0.102831,0.127187,0.135106,0.134876,0.134876,0.135105,0.127187,0.102831,0.102831,0.127186,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1.0606E-11,0,1,1.06063E-11,0,0,0,0,0
"Risk Neutral CM 4 CN Low Indet DM 2","2.674E-08","0.7301","135","Settles",1.2E-6,0,1,0.434014,1,1,1,1,0.0997778,3.97211,1,0.874706,0.026354,0.0946325,0.228067,0.315752,0.22715,0.0858048,0.019212,0.0030273,1,1,0.437497,0.437498,,,1,,,,,0,0,0,,9.075,8.32499,17.4,2.60001,9.075,8.32499,1.6,1.56695,0.0999409,1.66689,2.55171,0.0924462,0.900232,2.50023,1E-05,0.900222,0.0969981,0.803224,0,1,0.874995,0,0,0,0.108043,0,4.72211,1.73025E-06,2.10747E-06,3.3913E-06,3.17953E-06,1.9136E-06,0.656741,0.256521,0.0867257,0.292231,0.707753,3.1576E-06,3.09277E-06,1.76637E-06,2.94079E-06,2.87874E-06,2.371E-06,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 CN Low Indet DM 2","2.674E-08","0.7301","135","Tried",7E-12,0,1,0.585731,1,1,1,1,0.104476,5.18585,1.15624,0.975484,0.0281111,0.0604256,0.113196,0.169217,0.186375,0.15856,0.135726,0.14839,1,1,0.545306,0.233927,,,0,,,,,0,0,1,0.407305,8.61461,7.98538,16.6,3.40001,8.61461,7.98538,2.4,1.60332,0.408616,2.01193,3.45602,0.799711,0.895535,3.29554,1.15624E-05,0.895524,0.366683,0.52884,0,0,,0,0,0,0.411292,0,2.89154,8.10509E-14,9.7863E-14,3.33951E-07,0.0694763,0.0358612,0.389777,0.208672,0.296213,0.139184,0.239404,0.101851,0.189763,0.136439,0.0533041,0.0703238,0.0697325,1,1,0,0,0,0,0,0.592695,0.407305
"Risk Neutral CM 4 CN Low Indet DM 2","2.674E-08","0.7301","135","PWins",3E-12,0,1,0.67178,1,1,1,1,0.104547,5.87424,1.0835,1.05529,0.00545977,0.0196367,0.0585235,0.1306,0.193395,0.195919,0.182682,0.213784,1,1,0.596375,0.252426,,,0,,,,,0,0,1,1,9.8,6.79999,16.6,3.40001,9.8,6.79999,2.4,2.59084,0.121832,2.71267,6.95054,0.0243663,0.895463,3.29546,1.0835E-05,0.895453,0.544351,0.351101,0,0,,0,0,0,0.609159,0,2.72199,7.66395E-15,1.3827E-14,2.12305E-07,0.0390113,0.0270335,0.327734,0.224033,0.382188,0.0814604,0.196007,0.107174,0.242137,0.122502,0.0645425,0.0913627,0.0948135,1,1,0,0,0,0,0,0,1
