Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000002939,1E-05,0,0,0.025,0.025,0.05,0,0.10001
0.000026751,1E-05,0,1,0.025,0.025,0.05,0,1.10001
0.000000391,1E-05,1,0,0.025,0.025,0.05,0,1.10001
0.000000107,1E-05,0,1,0.025,0.025,0.05,0.05,1.15001
0.000000090,1E-05,1,0,0.025,0.025,0.05,0.05,1.15001
0.296347811,1E-05,0,0,0,0,0,0,1E-05
0.000002422,2E-05,0,0,0.025,0.025,0.05,0,0.10002
0.000018621,2E-05,0,1,0.025,0.025,0.05,0,1.10002
0.000001216,2E-05,1,0,0.025,0.025,0.05,0,1.10002
0.000000073,2E-05,0,0,0.025,0.025,0.05,0.05,0.15002
0.000000329,2E-05,0,1,0.025,0.025,0.05,0.05,1.15002
0.000000234,2E-05,1,0,0.025,0.025,0.05,0.05,1.15002
0.249627460,2E-05,0,0,0,0,0,0,2E-05
0.000004557,3E-05,0,0,0.025,0.025,0.05,0,0.10003
0.000022271,3E-05,0,1,0.025,0.025,0.05,0,1.10003
0.000008086,3E-05,1,0,0.025,0.025,0.05,0,1.10003
0.453936642,3E-05,0,0,0,0,0,0,3E-05
