"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 4 CN Perfect FSM 1","7.744E-09","0.8534","118","All",1,0.9999,9.97911E-05,0.5,4.197E-11,1.99662E-11,1,9.97911E-05,9.99816E-06,4.5,1,0.921114,0.125002,0.124999,0.124999,0.124999,0.125001,0.125,0.124999,0.125001,1,1,0.0625008,0.0625008,,,1.99662E-11,,,,,2.84693E-17,8.41971E-19,1.03E-21,0.499307,9.9999,9.99999,19.9999,0.000109791,1000,1000,4.07494E-11,2.194E-11,3.6421E-5,3.64208E-5,2.04364E-11,3.64208E-05,9.97932E-05,9.97932E-05,1.00002E-05,8.97929E-05,3.26706E-05,5.71223E-05,0,1.9966E-11,0.0625004,2.84693E-17,8.41971E-19,6.52057E-19,0.364971,0,-3.29877E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,4.1975E-11,1.99662E-11,1,2.20086E-11,1.99662E-11,2.84693E-17,8.41971E-19,5.1376E-22,5.123E-22
"MODRA CM 4 CN Perfect FSM 1","7.744E-09","0.8534","118","NoDispute",0.9999,1,0,0.500001,0,0,1,0,0,4.50001,1,0.921114,0.124999,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,10,9.99999,20,1.00002E-05,1000,1000,0,0,0,0,0,0,1.00002E-05,1.00002E-05,1.00002E-05,0,0,0,0,0,,0,0,0,,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0,0,1,0,0,0,0,0,0
"MODRA CM 4 CN Perfect FSM 1","7.744E-09","0.8534","118","DisputeArises",0.0001,0,1,0.492228,4.2063E-7,2.0008E-07,1,1,0.100191,4.43783,1,0.914083,0.145903,0.120732,0.116431,0.117067,0.134897,0.126214,0.108921,0.129835,1,1,0.0625008,0.0625008,,,2.0008E-07,,,,,2.85289E-13,8.43733E-15,1.03E-17,0.499307,9,9.99999,19,1.00001,998.808,1000,4.08347E-07,2.1986E-7,0.364971,0.364971,2.04792E-07,0.364971,0.899819,0.89982,1E-05,0.899809,0.32739,0.572419,0,2.0008E-07,0.0625004,2.85289E-13,8.43733E-15,6.53422E-15,0.364971,0,-3.27377E-14,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,4.20627E-7,2.0008E-07,1,2.20547E-07,2.0008E-07,2.85289E-13,8.43733E-15,5.1484E-18,5.134E-18
"MODRA CM 4 CN Perfect FSM 1","7.744E-09","0.8534","118","PFiles",4E-11,0,1,0.496303,1,0.475671,1,1,0.0953198,4.47043,0.475673,0.969676,0.142379,0.117667,0.114265,0.125751,0.134232,0.118919,0.112049,0.134736,1,1,0.0625008,0.0625008,,,0.47567,,,,,6.78246E-07,2.0059E-08,2.44E-11,0.499307,8.96379,9.0654,18.0292,1.97081,997.103,998.966,0.970805,0.522696,0.406506,0.929202,0.486873,0.566046,0.904685,1.87549,4.75673E-06,0.90468,0.394064,0.510617,0,0.47567,0.0625004,6.78246E-07,2.0059E-08,1.55345E-08,0.43577,0,-2.71727E-13,0.104315,0.128658,0.136112,0.135182,0.134452,0.134053,0.125767,0.10146,0.104315,0.128658,0.136112,0.135182,0.134452,0.134053,0.125767,0.10146,1,0.475671,0,0.524329,0.47567,6.78246E-07,2.0059E-08,1.224E-11,1.221E-11
"MODRA CM 4 CN Perfect FSM 1","7.744E-09","0.8534","118","DAnswers",2E-11,0,1,0.492228,1,1,1,1,0.100191,4.43783,1,0.914083,0.145903,0.120732,0.116431,0.117067,0.134897,0.126214,0.108921,0.129835,1,1,0.0625008,0.0625008,,,0.999999,,,,,1.42587E-06,4.21698E-08,5.14E-11,0.499307,8.2625,9.13749,17.4,2.60001,994.161,999.139,1.6,0.547713,0.634136,1.18185,0.472403,1.10181,0.899819,2.49982,1E-05,0.899809,0.32739,0.572419,0,0.999999,0.0625004,1.42587E-06,4.21698E-08,3.26581E-08,0.364971,0,-3.08279E-13,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,1,1,0,0,0.999999,1.42587E-06,4.21698E-08,2.5731E-11,2.566E-11
"MODRA CM 4 CN Perfect FSM 1","7.744E-09","0.8534","118","Litigated",2E-11,0,1,0.492228,1,1,1,1,0.100191,4.43783,1,0.914083,0.145903,0.120732,0.116431,0.117067,0.134897,0.126214,0.108921,0.129835,1,1,0.0625008,0.0625008,,,0.999999,,,,,1.42587E-06,4.21698E-08,5.14E-11,0.499307,8.2625,9.13749,17.4,2.60001,994.161,999.139,1.6,0.547713,0.634136,1.18185,0.472403,1.10181,0.899819,2.49982,1E-05,0.899809,0.32739,0.572419,0,0.999999,0.0625004,1.42587E-06,4.21698E-08,3.26581E-08,0.364971,0,-3.08279E-13,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,1,1,0,0,0.999999,1.42587E-06,4.21698E-08,2.5731E-11,2.566E-11
"MODRA CM 4 CN Perfect FSM 1","7.744E-09","0.8534","118","Not Litigated",1,0.9999,9.97911E-05,0.5,2.201E-11,0,1,9.97911E-05,9.99815E-06,4.5,1,0.921114,0.125002,0.124999,0.124999,0.124999,0.125001,0.125,0.124999,0.125001,1,1,,,,,0,,,,,0,0,0,,9.9999,9.99999,19.9999,0.000109791,1000,1000,8.80344E-12,1.1E-11,3.6421E-5,3.64208E-5,1.10043E-11,3.64208E-05,9.97931E-05,9.97932E-05,1.00002E-05,8.97929E-05,3.26706E-05,5.71223E-05,0,0,,0,0,0,0.364971,0,-3.10042E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,2.2009E-11,0,1,2.20086E-11,0,0,0,0,0
"MODRA CM 4 CN Perfect FSM 1","7.744E-09","0.8534","118","Settles",2E-11,0,1,0.492228,1,1,1,1,0.100191,4.43783,1,0.914083,0.145903,0.120732,0.116431,0.117067,0.134897,0.126214,0.108921,0.129835,1,1,0.0625001,0.0625008,,,1,,,,,0,0,0,,8.2625,9.13749,17.4,2.60001,994.161,999.139,1.6,0.547713,0.634136,1.18185,0.472403,1.10181,0.899819,2.49982,1E-05,0.899809,0.32739,0.572419,0,1,0.0625004,0,0,0,0.364971,0,-1.01197E-07,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,1,1,0,0,1,0,0,0,0
"MODRA CM 4 CN Perfect FSM 1","7.744E-09","0.8534","118","Tried",1E-21,0,1,0.499986,1,1,1,1,0.0909515,4.49989,0.00545272,1.03818,0.00106765,0.0088892,0.102087,0.387914,0.388015,0.102157,0.00885213,0.00101803,1,1,0.686835,0.311172,,,0,,,,,0,0,1,0.499307,8.29764,8.30236,16.6,3.4,916.22,916.452,2.4,1.19834,0,1.19834,2.87601,0,0.909049,3.30905,5.45272E-08,0.909049,0.453895,0.455153,0,0,,0,0,0,0.499307,0,6.96107,0.000577718,0.000710382,0.000748229,0.000750022,0.000735818,0.000726693,0.000786449,0.994965,0.995008,0.000713002,0.000754891,0.000753568,0.000746873,0.000748226,0.000704849,0.000570093,1,1,0,0,0,0,0,0.500693,0.499307
"MODRA CM 4 CN Perfect FSM 1","7.744E-09","0.8534","118","PWins",5E-22,0,1,0.593272,1,1,1,1,0.0909489,5.24617,0.00398568,1.12004,0,0,0,0,0.775634,0.204598,0.0177288,0.0020389,1,1,0.687033,0.311572,,,0,,,,,0,0,1,1,10,6.6,16.6,3.4,1000,832.672,2.4,2.4,0,2.4,5.76,0,0.909051,3.30905,3.98568E-08,0.909051,0.909051,0,0,0,,0,0,0,1,0,6.97076,3.56712E-06,2.10083E-05,8.74794E-05,0.000261884,0.0005701,0.000920598,0.00131909,0.996816,0.995799,2.38915E-05,9.72527E-05,0.000286688,0.000599581,0.000965893,0.00116834,0.00105973,1,1,0,0,0,0,0,0,1
