"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 CN Perfect FSM 0 DM 1 LT 1 UPC 1E-05","2.237E-08","0.7918","119","All",1,0.999912,8.78412E-05,0.5,8.7841E-5,8.78412E-05,1,8.78412E-05,1.00477E-05,4.5,2.13488,0.776705,0.125002,0.124999,0.124999,0.124999,0.125001,0.124999,0.125,0.125001,1,1,0.185667,0.0625008,,,6.81516E-05,,,,,8.11804E-11,3.93948E-12,1.969E-5,0.216312,9.99992,9.99997,19.9999,0.000118959,9.99992,9.99997,9.76859E-06,9.0629E-6,1.0293E-6,1.00923E-5,9.64237E-07,7.24984E-07,9.91425E-05,0.000108911,2.1349E-05,7.77935E-05,4.47369E-06,7.33198E-05,0,6.81516E-5,0.0625006,8.11804E-11,3.93948E-12,1.62426E-17,0.05667,0,-1.23133E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,8.78412E-5,8.78412E-05,0.999912,1.75753E-11,6.81516E-05,8.11804E-11,3.93948E-12,1.54304E-5,4.2591E-6
"Risk Neutral CM 0.25 CN Perfect FSM 0 DM 1 LT 1 UPC 1E-05","2.237E-08","0.7918","119","NoDispute",0.9999,1,0,0.500005,0,0,1,0,0,4.50004,2.13491,0.776705,0.124997,0.124998,0.124998,0.124999,0.125,0.125002,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.13493E-05,10,9.99998,0,0,0,0,0,0,2.13493E-05,2.13493E-05,2.13493E-05,0,0,0,0,0,,0,0,0,,0,-1.05898E-05,0.102829,0.127185,0.135104,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127184,0.135103,0.134876,0.134877,0.135108,0.12719,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 CN Perfect FSM 0 DM 1 LT 1 UPC 1E-05","2.237E-08","0.7918","119","DisputeArises",8.8E-5,0,1,0.448819,1,1,1,1,0.114385,4.09055,1.76627,0.773832,0.173672,0.141559,0.132357,0.12688,0.126847,0.0996841,0.0951778,0.103824,1,1,0.185667,0.0625008,,,0.77585,,,,,9.24172E-07,4.48477E-08,0.224148,0.216312,9.04137,9.8474,18.8888,1.11123,9.04137,9.8474,0.111207,0.103174,0.0117181,0.114892,0.010977,0.00825335,0.885633,0.99684,1.76627E-05,0.885615,0.0509293,0.834686,0,0.77585,0.0625006,9.24172E-07,4.48477E-08,1.84908E-13,0.05667,0,0.120546,0.123869,0.14965,0.152309,0.141977,0.129819,0.11869,0.103816,0.0798693,0.12877,0.159269,0.169186,0.140554,0.123724,0.106523,0.0962697,0.0757039,1,1,2.0008E-07,2.0008E-07,0.77585,9.24172E-07,4.48477E-08,0.175662,0.0484859
"Risk Neutral CM 0.25 CN Perfect FSM 0 DM 1 LT 1 UPC 1E-05","2.237E-08","0.7918","119","PFiles",8.8E-5,0,1,0.448819,1,1,1,1,0.114385,4.09055,1.76627,0.773832,0.173672,0.141559,0.132357,0.12688,0.126847,0.0996841,0.0951778,0.103824,1,1,0.185667,0.0625008,,,0.775851,,,,,9.24172E-07,4.48478E-08,0.224148,0.216312,9.04137,9.8474,18.8888,1.11123,9.04137,9.8474,0.111207,0.103174,0.0117181,0.114892,0.0109771,0.00825334,0.885633,0.99684,1.76627E-05,0.885615,0.0509293,0.834686,0,0.775851,0.0625006,9.24172E-07,4.48478E-08,1.84908E-13,0.05667,0,0.120546,0.123869,0.14965,0.152309,0.141977,0.129819,0.11869,0.103816,0.0798693,0.12877,0.159269,0.169186,0.140554,0.123724,0.106523,0.0962697,0.0757039,1,1,0,2.0008E-07,0.775851,9.24172E-07,4.48478E-08,0.175662,0.0484859
"Risk Neutral CM 0.25 CN Perfect FSM 0 DM 1 LT 1 UPC 1E-05","2.237E-08","0.7918","119","DAnswers",8.8E-5,0,1,0.448819,1,1,1,1,0.114385,4.09055,1.76627,0.773832,0.173672,0.141559,0.132357,0.12688,0.126847,0.0996841,0.0951778,0.103824,1,1,0.185667,0.0625008,,,0.775851,,,,,9.24172E-07,4.48478E-08,0.224148,0.216312,9.04137,9.8474,18.8888,1.11123,9.04137,9.8474,0.111207,0.103174,0.0117181,0.114892,0.0109769,0.00825334,0.885633,0.99684,1.76627E-05,0.885615,0.0509293,0.834686,0,0.775851,0.0625006,9.24172E-07,4.48478E-08,1.84908E-13,0.05667,0,0.120546,0.123869,0.14965,0.152309,0.141977,0.129819,0.11869,0.103816,0.0798693,0.12877,0.159269,0.169186,0.140554,0.123724,0.106523,0.0962697,0.0757039,1,1,0,0,0.775851,9.24172E-07,4.48478E-08,0.175662,0.048486
"Risk Neutral CM 0.25 CN Perfect FSM 0 DM 1 LT 1 UPC 1E-05","2.237E-08","0.7918","119","Litigated",8.8E-5,0,1,0.448819,1,1,1,1,0.114385,4.09055,1.76627,0.773832,0.173672,0.141559,0.132357,0.12688,0.126847,0.0996841,0.0951778,0.103824,1,1,0.185667,0.0625008,,,0.775851,,,,,9.24172E-07,4.48478E-08,0.224148,0.216312,9.04137,9.8474,18.8888,1.11123,9.04137,9.8474,0.111207,0.103174,0.0117181,0.114892,0.0109769,0.00825334,0.885633,0.99684,1.76627E-05,0.885615,0.0509293,0.834686,0,0.775851,0.0625006,9.24172E-07,4.48478E-08,1.84908E-13,0.05667,0,0.120546,0.123869,0.14965,0.152309,0.141977,0.129819,0.11869,0.103816,0.0798693,0.12877,0.159269,0.169186,0.140554,0.123724,0.106523,0.0962697,0.0757039,1,1,0,0,0.775851,9.24172E-07,4.48478E-08,0.175662,0.048486
"Risk Neutral CM 0.25 CN Perfect FSM 0 DM 1 LT 1 UPC 1E-05","2.237E-08","0.7918","119","Not Litigated",0.9999,1,3.51536E-11,0.500005,1.758E-11,0,1,3.51536E-11,4.02105E-12,4.50004,2.13491,0.776705,0.124997,0.124998,0.124998,0.124999,0.125,0.125002,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.13493E-05,10,9.99998,4.39420E-13,1.658E-11,1.021E-12,1.7602E-11,1.65807E-11,9.96701E-13,2.13493E-05,2.13493E-05,2.13493E-05,3.11326E-11,1.79035E-12,2.93422E-11,0,0,,0,0,0,0.05667,0,-1.05898E-05,0.102829,0.127185,0.135104,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127184,0.135103,0.134876,0.134877,0.135108,0.12719,0.102833,1.7577E-11,0,1,1.75768E-11,0,0,0,0,0
"Risk Neutral CM 0.25 CN Perfect FSM 0 DM 1 LT 1 UPC 1E-05","2.237E-08","0.7918","119","Settles",6.8E-5,0,1,0.439204,1,1,1,1,0.118034,4.01363,2.02797,0.732304,0.212851,0.152022,0.116681,0.10448,0.102374,0.0885526,0.098731,0.124309,1,1,0.0625002,0.0625009,,,1,,,,,0,0,0,,9.0125,9.88748,18.9,1.10002,9.0125,9.88748,0.1,0.111314,0.0104165,0.12173,0.012523,0.0102862,0.881987,0.981987,2.02797E-05,0.881966,0.00946433,0.872502,0,1,0.0625006,0,0,0,0.0105484,0,-0.566318,0.159656,0.192885,0.196312,0.0939596,0.112963,0.0841522,0.0847458,0.0753262,0.129746,0.14345,0.124621,0.137534,0.105693,0.137299,0.124082,0.0975752,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 CN Perfect FSM 0 DM 1 LT 1 UPC 1E-05","2.237E-08","0.7918","119","Tried",2E-05,0,1,0.482102,1,1,1,1,0.101756,4.35681,0.860424,0.917575,0.0380588,0.105342,0.186617,0.204413,0.21156,0.138214,0.0828788,0.032917,1,1,0.611985,0.0625002,,,0,,,,,0,0,1,0.216312,9.14131,9.70868,18.85,1.15001,9.14131,9.70868,0.15,0.075,0.0162234,0.0912234,0.005625,0.00121675,0.898253,1.04825,8.60424E-06,0.898244,0.194453,0.703791,0,0,,0,0,0,0.216312,0,2.49801,1.54858E-13,1.87089E-13,6.04137E-07,0.308181,0.188165,0.238237,0.169823,0.0955942,0.12539,0.214025,0.32344,0.151008,0.186136,3.67267E-07,2.54827E-07,8.77349E-08,1,1,0,0,0,0,0,0.783688,0.216312
"Risk Neutral CM 0.25 CN Perfect FSM 0 DM 1 LT 1 UPC 1E-05","2.237E-08","0.7918","119","PWins",4.3E-6,0,1,0.671407,1,1,1,1,0.101051,5.87125,0.683322,1.10234,0,0,0,0,0.578836,0.123248,0.145742,0.152174,1,1,0.695596,0.0625004,,,0,,,,,0,0,1,1,9.925,8.92499,18.85,1.15001,9.925,8.92499,0.15,0.075,0.075,0.15,0.005625,0.005625,0.898955,1.04896,6.83322E-06,0.898949,0.898949,0,0,0,,0,0,0,1,0,2.95907,2.06222E-15,8.07324E-15,1.07174E-07,0.144498,0.193054,0.246209,0.235486,0.180752,0.0403506,0.169197,0.512888,0.149365,0.128197,1.17115E-06,8.45223E-07,2.79081E-07,1,1,0,0,0,0,0,0,1
