"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 Noise 0.25,0.25 DM 0.5","3.169E-07","0.9805","146","All",1,0.999907,9.30657E-05,0.5,2.7215E-6,2.72152E-06,1,9.30657E-05,1.00008E-05,4.5,1.5,0.853271,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,0.437499,0.416052,,,2.56587E-06,,,,,1.08869E-12,9.8534E-13,1.557E-7,0.301338,9.99991,9.99998,19.9999,0.000109186,1000,1000,1.11974E-06,1.094E-06,1.0259E-5,1.13526E-5,4.68557E-07,1.02564E-05,9.80651E-05,9.91849E-05,1.50002E-05,8.30649E-05,8.85763E-06,7.42073E-05,0,2.56587E-6,0.218749,1.08869E-12,9.8534E-13,4.08741E-19,0.110254,0,0,0.123441,0.126556,0.125002,0.125,0.125,0.125002,0.126556,0.123441,0.123441,0.126556,0.125002,0.125,0.125,0.125002,0.126556,0.123441,2.72154E-6,2.72152E-06,0.999997,1.08845E-11,2.56587E-06,1.08869E-12,9.8534E-13,1.08749E-7,4.6904E-8
"MODRA CM 1 Noise 0.25,0.25 DM 0.5","3.169E-07","0.9805","146","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,1.50002,0.853272,0.124998,0.124998,0.124998,0.125,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,1.50004E-05,1000,1000,0,0,0,0,0,0,1.50004E-05,1.50004E-05,1.50004E-05,0,0,0,0,0,,0,0,0,,0,-7.34673E-07,0.123439,0.126554,0.125001,0.125,0.125,0.125003,0.126559,0.123444,0.123439,0.126554,0.125,0.125,0.125,0.125003,0.126559,0.123444,0,0,1,0,0,0,0,0,0
"MODRA CM 1 Noise 0.25,0.25 DM 0.5","3.169E-07","0.9805","146","DisputeArises",9.3E-5,0,1,0.457178,0.0292432,0.0292431,1,1,0.107459,4.15742,1.31079,0.837342,0.151332,0.144133,0.145616,0.125089,0.119765,0.115782,0.0991609,0.0991225,1,1,0.437499,0.416052,,,0.0275705,,,,,1.16981E-08,1.05876E-08,0.001673,0.301338,9.00027,9.98769,18.988,1.01204,998.808,999.993,0.0120317,0.0117555,0.110229,0.121985,0.00503469,0.110206,0.892554,0.904586,1.31079E-05,0.892541,0.0951761,0.797365,0,0.0275705,0.218749,1.16981E-08,1.05876E-08,4.39196E-15,0.110254,0,0.00789339,0.145901,0.149334,0.14354,0.12684,0.119912,0.114627,0.103855,0.0959915,0.145901,0.149583,0.147747,0.122668,0.119776,0.117071,0.101424,0.0958291,0.0292432,0.0292431,0.970757,1.16955E-07,0.0275705,1.16981E-08,1.05876E-08,0.00116852,0.000504
"MODRA CM 1 Noise 0.25,0.25 DM 0.5","3.169E-07","0.9805","146","PFiles",2.7E-6,0,1,0.394412,1,0.999996,1,1,0.0920698,3.65529,0.0886911,0.933571,1.03561E-06,0.000132986,0.477598,0.477786,0.000134808,0.000100864,0.0441603,8.54696E-05,1,1,0.437499,0.416052,,,0.942802,,,,,4.00027E-07,3.62053E-07,0.057193,0.301338,9.00914,9.57942,18.5886,1.41144,998.818,999.751,0.411437,0.401991,0.0435465,0.445537,0.172166,0.0427291,0.907931,1.31937,8.86911E-07,0.90793,0.0391794,0.868751,0,0.942802,0.218749,4.00027E-07,3.62053E-07,1.50187E-13,0.0443802,0,1.15897,9.98245E-07,1.02174E-06,9.82092E-07,0.898456,0.0571001,9.7076E-05,2.67711E-06,0.0443413,9.53868E-05,0.0570985,0.898454,2.45751E-06,7.6662E-05,0.0442668,2.76591E-06,3.13394E-06,1,0.999996,0,3.99938E-06,0.942802,4.00027E-07,3.62053E-07,0.0399587,0.0172345
"MODRA CM 1 Noise 0.25,0.25 DM 0.5","3.169E-07","0.9805","146","DAnswers",2.7E-6,0,1,0.39441,1,1,1,1,0.0920698,3.65528,0.0886897,0.93357,1.03561E-06,0.000132986,0.4776,0.477788,0.000134808,0.000100678,0.0441588,8.35276E-05,1,1,0.437499,0.416052,,,0.942806,,,,,4.00029E-07,3.62055E-07,0.057193,0.301338,9.00914,9.57942,18.5886,1.41144,998.818,999.751,0.411439,0.401992,0.0435444,0.445537,0.172167,0.0427279,0.907931,1.31937,8.86897E-07,0.90793,0.0391761,0.868754,0,0.942806,0.218749,4.00029E-07,3.62055E-07,1.50188E-13,0.0443766,0,1.15897,9.98248E-07,1.02174E-06,9.82096E-07,0.898459,0.0571003,9.67372E-05,1.08959E-06,0.0443397,9.53871E-05,0.0570987,0.898458,2.45751E-06,7.66623E-05,0.044267,8.39114E-07,1.26145E-06,1,1,0,0,0.942806,4.00029E-07,3.62055E-07,0.0399588,0.0172345
"MODRA CM 1 Noise 0.25,0.25 DM 0.5","3.169E-07","0.9805","146","Litigated",2.7E-6,0,1,0.39441,1,1,1,1,0.0920698,3.65528,0.0886897,0.93357,1.03561E-06,0.000132986,0.4776,0.477788,0.000134808,0.000100678,0.0441588,8.35276E-05,1,1,0.437499,0.416052,,,0.942806,,,,,4.00029E-07,3.62055E-07,0.057193,0.301338,9.00914,9.57942,18.5886,1.41144,998.818,999.751,0.411439,0.401992,0.0435444,0.445537,0.172167,0.0427279,0.907931,1.31937,8.86897E-07,0.90793,0.0391761,0.868754,0,0.942806,0.218749,4.00029E-07,3.62055E-07,1.50188E-13,0.0443766,0,1.15897,9.98248E-07,1.02174E-06,9.82096E-07,0.898459,0.0571003,9.67372E-05,1.08959E-06,0.0443397,9.53871E-05,0.0570987,0.898458,2.45751E-06,7.66623E-05,0.044267,8.39114E-07,1.26145E-06,1,1,0,0,0.942806,4.00029E-07,3.62055E-07,0.0399588,0.0172345
"MODRA CM 1 Noise 0.25,0.25 DM 0.5","3.169E-07","0.9805","146","Not Litigated",1,0.99991,9.03444E-05,0.5,1.088E-11,0,1,9.03444E-05,9.75021E-06,4.5,1.5,0.853271,0.125001,0.125,0.124999,0.124999,0.125,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99991,9.99998,19.9999,0.000105345,1000,1000,1.08845E-12,2.602E-13,1.014E-05,1.01401E-5,1.30106E-13,1.01401E-05,9.55944E-05,9.55944E-05,1.50002E-05,8.05942E-05,8.75104E-06,7.18432E-05,0,0,,0,0,0,0.112238,0,-3.15418E-06,0.123441,0.126557,0.125003,0.124998,0.125,0.125003,0.126557,0.123441,0.123441,0.126557,0.125,0.125,0.125,0.125003,0.126557,0.123441,1.0884E-11,0,1,1.08845E-11,0,0,0,0,0
"MODRA CM 1 Noise 0.25,0.25 DM 0.5","3.169E-07","0.9805","146","Settles",2.6E-6,0,1,0.399378,1,1,1,1,0.0921407,3.69503,0.0940691,0.937514,1.09819E-06,9.698E-06,0.446174,0.50664,0.000142862,0.000106561,0.0468374,8.85945E-05,1,1,0.437499,0.437499,,,1,,,,,0,0,0,,9.01875,9.58125,18.6,1.4,998.859,999.755,0.4,0.39904,0.0461856,0.445225,0.167098,0.0453196,0.90786,1.30786,9.40691E-07,0.907859,0.0415523,0.866307,0,1,0.218749,0,0,0,0.0470681,0,1.10775,1.0588E-06,1.08372E-06,8.50985E-07,0.8924,0.0604639,0.000102554,7.5366E-07,0.0470293,1.04679E-06,9.67545E-07,0.95296,2.41686E-06,8.12899E-05,0.0469519,8.90016E-07,1.33797E-06,1,1,0,0,1,0,0,0,0
"MODRA CM 1 Noise 0.25,0.25 DM 0.5","3.169E-07","0.9805","146","Tried",1.6E-7,0,1,0.312503,1,1,1,1,0.0909009,3.00002,3.84616E-06,0.868556,3.51226E-09,0.00216367,0.995656,0.0021781,8.62627E-07,7.30729E-07,1.08206E-06,2.04567E-09,1,1,0.437505,0.0625066,,,0,,,,,0,0,1,0.301338,8.85067,9.54933,18.4,1.6,998.153,999.671,0.6,0.450668,1.941E-06,0.45067,0.255735,2.0349E-06,0.909099,1.5091,3.84616E-11,0.909099,1.75364E-06,0.909097,0,0,,0,0,0,1.9626E-06,0,2.00328,4.86701E-18,4.65256E-18,9.74315E-12,0.998345,0.00165166,8.58955E-07,8.73474E-07,1.63658E-06,0.00165034,0.998325,2.27674E-05,7.13059E-07,1.79873E-07,1.08399E-06,1.95112E-11,3.08089E-11,1,1,0,0,0,0,0,0.698662,0.301338
"MODRA CM 1 Noise 0.25,0.25 DM 0.5","3.169E-07","0.9805","146","PWins",4.7E-8,0,1,0.3127,1,1,1,1,0.0909009,3.0016,6.81708E-06,0.868747,1.18644E-09,0.00143614,0.995535,0.00302331,1.6661E-06,1.21423E-06,2.17322E-06,4.57453E-09,1,1,0.437507,0.0625091,,,0,,,,,0,0,1,1,9.2,9.2,18.4,1.6,999.262,999.262,0.6,0.799997,3.2411E-6,0.8,0.639997,2.5929E-06,0.909099,1.5091,6.81708E-11,0.909099,3.62156E-06,0.909095,0,0,,0,0,0,4.0514E-06,0,2.00336,1.29997E-18,2.36471E-18,9.58961E-12,0.997863,0.00213079,1.26961E-06,1.86379E-06,3.01628E-06,0.00124936,0.998717,3.03516E-05,1.00382E-06,3.78314E-07,2.17713E-06,2.98595E-11,6.26935E-11,1,1,0,0,0,0,0,0,1
