"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 Noise 0.25,0.25 LT 0.8","1.012E-06","0.9325","153","All",1,0.999922,7.76963E-05,0.5,1.8297E-6,1.82962E-06,1,7.76963E-05,1.00024E-05,4.5,3.375,0.628974,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,0.0627762,0.0625007,,,1.82904E-06,,,,,2.20225E-12,1.17609E-16,5.77E-10,0.502346,9.99992,9.99996,19.9999,0.000114374,9.99992,9.99996,2.92787E-06,1.5778E-6,1.3405E-9,1.57918E-6,1.36139E-06,2.29818E-09,0.000101444,0.000104372,3.37502E-05,6.76939E-05,7.36386E-10,6.76932E-05,0,1.82904E-6,0.0625004,2.20225E-12,1.17609E-16,4.40627E-19,1.08041E-05,0,0,0.123441,0.126556,0.125002,0.125,0.125,0.125002,0.126556,0.123441,0.123441,0.126556,0.125002,0.125,0.125,0.125002,0.126556,0.123441,1.82967E-6,1.82962E-06,0.999998,4.97240E-11,1.82904E-06,2.20225E-12,1.17609E-16,2.8691E-10,2.896E-10
"Risk Neutral CM 4 Noise 0.25,0.25 LT 0.8","1.012E-06","0.9325","153","NoDispute",0.9999,1,0,0.500005,0,0,1,0,0,4.50004,3.37503,0.628974,0.124997,0.124997,0.124999,0.124999,0.125001,0.125002,0.125003,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.37505E-05,10,9.99997,0,0,0,0,0,0,3.37505E-05,3.37505E-05,3.37505E-05,0,0,0,0,0,,0,0,0,,0,-7.1913E-07,0.123438,0.126554,0.125001,0.124999,0.125001,0.125004,0.126559,0.123444,0.123438,0.126553,0.125001,0.124999,0.125001,0.125004,0.126559,0.123444,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 Noise 0.25,0.25 LT 0.8","1.012E-06","0.9325","153","DisputeArises",7.8E-5,0,1,0.432617,0.023549,0.0235483,1,1,0.128737,3.96093,3.00636,0.620898,0.171153,0.159088,0.142056,0.133419,0.117371,0.100391,0.0896112,0.0869097,1,1,0.0627762,0.0625007,,,0.0235409,,,,,2.83444E-08,1.5137E-12,7.42E-06,0.502346,8.98263,9.97965,18.9623,1.03771,8.98263,9.97965,0.0376835,0.0203078,1.7253E-5,0.0203251,0.0175219,2.9579E-05,0.871293,0.908976,3.00636E-05,0.871263,9.47775E-06,0.871253,0,0.0235409,0.0625004,2.83444E-08,1.5137E-12,5.67115E-15,1.08041E-05,0,0.00925494,0.164626,0.163283,0.143497,0.132583,0.117284,0.101359,0.0930207,0.0843473,0.164847,0.167109,0.139833,0.134476,0.117202,0.0992964,0.0928896,0.0843471,0.023549,0.0235483,0.976451,6.39979E-07,0.0235409,2.83444E-08,1.5137E-12,3.69266E-6,3.7275E-6
"Risk Neutral CM 4 Noise 0.25,0.25 LT 0.8","1.012E-06","0.9325","153","PFiles",1.8E-6,0,1,0.598571,1,0.999973,1,1,0.136956,5.28856,3.70267,0.68961,1.63576E-06,0.000174429,0.0780165,0.000321137,0.476174,0.445183,0.00012293,6.67205E-06,1,1,0.0627762,0.0625007,,,0.999657,,,,,1.20363E-06,6.42787E-11,0.000315,0.502346,8.26255,9.13719,17.3997,2.60026,8.26255,9.13719,1.60022,0.862366,0.0007126,0.863078,0.744061,0.00123599,0.863081,2.4633,3.70267E-05,0.863044,0.000384663,0.862659,0,0.999657,0.0625004,1.20363E-06,6.42787E-11,2.40823E-13,0.000438724,0,1.19424,1.39871E-06,2.90962E-06,2.72282E-06,0.0782296,0.000133623,0.868321,0.0532162,9.19999E-05,0.000131812,0.0782255,0.000107778,0.0620836,0.859432,6.51466E-06,6.74626E-06,6.44413E-06,1,0.999973,0,2.71765E-05,0.999657,1.20363E-06,6.42787E-11,0.00015681,0.0001583
"Risk Neutral CM 4 Noise 0.25,0.25 LT 0.8","1.012E-06","0.9325","153","DAnswers",1.8E-6,0,1,0.598568,1,1,1,1,0.136957,5.28854,3.70273,0.689601,1.6358E-06,0.000174304,0.0780171,0.000317397,0.476183,0.445189,0.000117172,7.38602E-07,1,1,0.0627762,0.0625007,,,0.999684,,,,,1.20367E-06,6.42804E-11,0.000315,0.502346,8.26251,9.1372,17.3997,2.60029,8.26251,9.1372,1.60025,0.862387,0.0007027,0.863089,0.744079,0.00123205,0.86308,2.46333,3.70273E-05,0.863043,0.000362509,0.862681,0,0.999684,0.0625004,1.20367E-06,6.42804E-11,2.4083E-13,0.000413877,0,1.19428,1.39875E-06,2.64228E-06,1.48665E-06,0.0782279,0.000129564,0.868339,0.0532117,8.62747E-05,0.000131815,0.0782277,0.000106049,0.0620816,0.859451,8.43679E-07,7.89242E-07,7.1666E-07,1,1,0,0,0.999684,1.20367E-06,6.42804E-11,0.00015681,0.0001583
"Risk Neutral CM 4 Noise 0.25,0.25 LT 0.8","1.012E-06","0.9325","153","Litigated",1.8E-6,0,1,0.598568,1,1,1,1,0.136957,5.28854,3.70273,0.689601,1.6358E-06,0.000174304,0.0780171,0.000317397,0.476183,0.445189,0.000117172,7.38602E-07,1,1,0.0627762,0.0625007,,,0.999684,,,,,1.20367E-06,6.42804E-11,0.000315,0.502346,8.26251,9.1372,17.3997,2.60029,8.26251,9.1372,1.60025,0.862387,0.0007027,0.863089,0.744079,0.00123205,0.86308,2.46333,3.70273E-05,0.863043,0.000362509,0.862681,0,0.999684,0.0625004,1.20367E-06,6.42804E-11,2.4083E-13,0.000413877,0,1.19428,1.39875E-06,2.64228E-06,1.48665E-06,0.0782279,0.000129564,0.868339,0.0532117,8.62747E-05,0.000131815,0.0782277,0.000106049,0.0620816,0.859451,8.43679E-07,7.89242E-07,7.1666E-07,1,1,0,0,0.999684,1.20367E-06,6.42804E-11,0.00015681,0.0001583
"Risk Neutral CM 4 Noise 0.25,0.25 LT 0.8","1.012E-06","0.9325","153","Not Litigated",1,0.999924,7.58668E-05,0.5,4.972E-11,0,1,7.58668E-05,9.75185E-06,4.5,3.375,0.628974,0.125001,0.125,0.125,0.125,0.124999,0.124999,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99997,19.9999,0.000109617,9.99992,9.99997,1.98896E-11,4.242E-12,5.491E-11,5.9151E-11,4.2424E-12,4.39931E-11,9.98652E-05,9.98652E-05,3.37502E-05,6.6115E-05,7.31325E-11,6.61149E-05,0,0,,0,0,0,1.08345E-06,0,-2.18508E-06,0.123441,0.126557,0.125003,0.125,0.125,0.125001,0.126557,0.123441,0.123441,0.126557,0.125003,0.125,0.124999,0.125003,0.126557,0.123441,4.9724E-11,0,1,4.97241E-11,0,0,0,0,0
"Risk Neutral CM 4 Noise 0.25,0.25 LT 0.8","1.012E-06","0.9325","153","Settles",1.8E-6,0,1,0.598582,1,1,1,1,0.136962,5.28865,3.70313,0.689565,1.63631E-06,0.000174359,0.077977,0.000253554,0.476281,0.445236,7.56196E-05,7.38667E-07,1,1,0.0625,0.0625007,,,1,,,,,0,0,0,,8.2625,9.13746,17.4,2.60004,8.2625,9.13746,1.6,0.862277,0.0004501,0.862727,0.743714,0.000782022,0.863075,2.46308,3.70313E-05,0.863038,0.00022681,0.862811,0,1,0.0625004,0,0,0,0.000259042,0,1.19371,1.39919E-06,2.64311E-06,1.48712E-06,0.0782525,9.96852E-07,0.868613,0.0531277,7.16905E-07,0.000131802,0.0781237,0.000106026,0.0620004,0.859636,8.43944E-07,7.89491E-07,7.16886E-07,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 Noise 0.25,0.25 LT 0.8","1.012E-06","0.9325","153","Tried",6E-10,0,1,0.55573,1,1,1,1,0.121601,4.94584,2.4542,0.801872,1.60611E-12,1.61704E-06,0.205726,0.202864,0.163193,0.29627,0.131945,5.31026E-07,1,1,0.937266,0.0625005,,,0,,,,,0,0,1,0.502346,8.30235,8.29763,16.6,3.40002,8.30235,8.29763,2.4,1.2107,0.802034,2.01274,1.90052,1.42898,0.878424,3.27842,2.4542E-05,0.878399,0.430878,0.447521,0,0,,0,0,0,0.491642,0,2.99989,1.24392E-15,2.3498E-15,1.18863E-09,0.000401628,0.408019,0.000446808,0.319609,0.271524,0.000173456,0.408373,0.000182363,0.319879,0.271392,6.39275E-12,1.02764E-10,1.22866E-15,1,1,0,0,0,0,0,0.497654,0.502346
"Risk Neutral CM 4 Noise 0.25,0.25 LT 0.8","1.012E-06","0.9325","153","PWins",3E-10,0,1,0.552469,1,1,1,1,0.120336,4.91975,2.36321,0.810318,7.33622E-13,1.156E-06,0.191418,0.246903,0.144583,0.2847,0.132395,6.20713E-07,1,1,0.937293,0.0625005,,,0,,,,,0,0,1,1,8.8,7.79998,16.6,3.40002,8.8,7.79998,2.4,1.64346,0.667852,2.31131,2.94775,0.801423,0.879688,3.27969,2.36321E-05,0.879664,0.488677,0.390987,0,0,,0,0,0,0.556544,0,2.99998,4.29167E-16,1.47053E-15,1.18351E-09,0.000378349,0.437731,0.000450559,0.321413,0.240026,0.000156365,0.438125,0.000159469,0.321685,0.239874,6.56765E-12,1.18539E-10,1.22621E-15,1,1,0,0,0,0,0,0,1
