Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000003806,3.2E-05,0,0,0.025,0.025,0.05,0,0.100032
0.000028180,3.2E-05,0,1,0.025,0.025,0.05,0,1.100032
0.000000075,3.2E-05,1,0,0.025,0.025,0.05,0,1.100032
0.000000094,3.2E-05,0,0,0.025,0.025,0.05,0.05,0.150032
0.000000485,3.2E-05,0,1,0.025,0.025,0.05,0.05,1.150032
0.000000092,3.2E-05,1,0,0.025,0.025,0.05,0.05,1.150032
0.392157485,3.2E-05,0,0,0,0,0,0,3.2E-05
0.000006116,4E-05,0,0,0.025,0.025,0.05,0,0.10004
0.000032209,4E-05,0,1,0.025,0.025,0.05,0,1.10004
0.607771457,4E-05,0,0,0,0,0,0,4E-05
