Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000000326,3.2E-05,0,1,0.0375,0.0375,0.05,0,1.125032
0.000000238,3.2E-05,0,1,0.0375,0.0375,0.05,0.025,1.150032
0.007364921,3.2E-05,0,0,0,0,0,0,3.2E-05
0.000007001,4E-05,0,0,0.0375,0.0375,0.05,0,0.12504
0.000044769,4E-05,0,1,0.0375,0.0375,0.05,0,1.12504
0.000000612,4E-05,0,0,0.0375,0.0375,0.05,0.025,0.15004
0.000003142,4E-05,0,1,0.0375,0.0375,0.05,0.025,1.15004
0.762560948,4E-05,0,0,0,0,0,0,4E-05
0.000002330,4.8E-05,0,0,0.0375,0.0375,0.05,0,0.125048
0.000009435,4.8E-05,0,1,0.0375,0.0375,0.05,0,1.125048
0.230006279,4.8E-05,0,0,0,0,0,0,4.8E-05
