"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 TIME 0 UPC 8E-06","2.484E-08","0.8775","162","All",1,0.999928,7.16553E-05,0.5,7.1655E-5,7.16553E-05,1,7.16553E-05,1.00155E-05,4.5,4.5,0.651397,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.15232,0.0856394,,,5.17254E-05,,,,,0,0,1.993E-5,0.158128,9.99993,9.99995,19.9999,0.000113231,9.99993,9.99995,5.57575E-06,1.0423E-5,5.1135E-7,1.09342E-5,4.2898E-06,5.27836E-07,9.76397E-05,0.000103215,3.6E-05,6.16397E-05,6.05547E-07,6.10342E-05,0,5.17254E-5,0.0923166,0,0,0,0.0100073,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,7.16553E-5,7.16553E-05,0.999928,0,5.17254E-05,0,0,1.67784E-5,3.1515E-6
"Risk Neutral CM 0.25 TIME 0 UPC 8E-06","2.484E-08","0.8775","162","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,4.50001,0.651399,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.6E-05,10,9.99996,0,0,0,0,0,0,3.6E-05,3.6E-05,3.6E-05,0,0,0,0,0,,0,0,0,,0,-1.90459E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,0.10283,0.127185,0.135105,0.134875,0.134877,0.135107,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 TIME 0 UPC 8E-06","2.484E-08","0.8775","162","DisputeArises",7.2E-5,0,1,0.44959,1,1,1,1,0.139774,4.09672,4.42761,0.621576,0.169962,0.150414,0.133749,0.121893,0.112846,0.106407,0.103387,0.101341,1,1,0.15232,0.0856394,,,0.721864,,,,,0,0,0.278136,0.158128,9.07171,9.85044,18.9222,1.07785,9.07171,9.85044,0.0778136,0.145458,0.0071362,0.152594,0.0598672,0.00736633,0.860262,0.938075,3.54209E-05,0.860226,0.00845083,0.851775,0,0.721864,0.0923166,0,0,0,0.0100073,0,0.026578,0.123483,0.14831,0.150365,0.140444,0.129603,0.119944,0.105924,0.0819255,0.124104,0.149714,0.153166,0.145408,0.125443,0.11705,0.104144,0.0809707,1,1,0,0,0.721864,0,0,0.234155,0.0439809
"Risk Neutral CM 0.25 TIME 0 UPC 8E-06","2.484E-08","0.8775","162","PFiles",7.2E-5,0,1,0.44959,1,1,1,1,0.139774,4.09672,4.42761,0.621576,0.169962,0.150414,0.133749,0.121893,0.112846,0.106407,0.103387,0.101341,1,1,0.15232,0.0856394,,,0.721864,,,,,0,0,0.278136,0.158128,9.07171,9.85044,18.9222,1.07785,9.07171,9.85044,0.0778136,0.145458,0.0071362,0.152594,0.0598672,0.00736633,0.860262,0.938075,3.54209E-05,0.860226,0.00845083,0.851775,0,0.721864,0.0923166,0,0,0,0.0100073,0,0.026578,0.123483,0.14831,0.150365,0.140444,0.129603,0.119944,0.105924,0.0819255,0.124104,0.149714,0.153166,0.145408,0.125443,0.11705,0.104144,0.0809707,1,1,0,0,0.721864,0,0,0.234155,0.0439809
"Risk Neutral CM 0.25 TIME 0 UPC 8E-06","2.484E-08","0.8775","162","DAnswers",7.2E-5,0,1,0.44959,1,1,1,1,0.139774,4.09672,4.42761,0.621576,0.169962,0.150414,0.133749,0.121893,0.112846,0.106407,0.103387,0.101341,1,1,0.15232,0.0856394,,,0.721864,,,,,0,0,0.278136,0.158128,9.07171,9.85044,18.9222,1.07785,9.07171,9.85044,0.0778136,0.145458,0.0071362,0.152594,0.0598672,0.00736633,0.860262,0.938075,3.54209E-05,0.860226,0.00845083,0.851775,0,0.721864,0.0923166,0,0,0,0.0100073,0,0.026578,0.123483,0.14831,0.150365,0.140444,0.129603,0.119944,0.105924,0.0819255,0.124104,0.149714,0.153166,0.145408,0.125443,0.11705,0.104144,0.0809707,1,1,0,0,0.721864,0,0,0.234155,0.0439809
"Risk Neutral CM 0.25 TIME 0 UPC 8E-06","2.484E-08","0.8775","162","Litigated",7.2E-5,0,1,0.44959,1,1,1,1,0.139774,4.09672,4.42761,0.621576,0.169962,0.150414,0.133749,0.121893,0.112846,0.106407,0.103387,0.101341,1,1,0.15232,0.0856394,,,0.721864,,,,,0,0,0.278136,0.158128,9.07171,9.85044,18.9222,1.07785,9.07171,9.85044,0.0778136,0.145458,0.0071362,0.152594,0.0598672,0.00736633,0.860262,0.938075,3.54209E-05,0.860226,0.00845083,0.851775,0,0.721864,0.0923166,0,0,0,0.0100073,0,0.026578,0.123483,0.14831,0.150365,0.140444,0.129603,0.119944,0.105924,0.0819255,0.124104,0.149714,0.153166,0.145408,0.125443,0.11705,0.104144,0.0809707,1,1,0,0,0.721864,0,0,0.234155,0.0439809
"Risk Neutral CM 0.25 TIME 0 UPC 8E-06","2.484E-08","0.8775","162","Not Litigated",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,4.50001,0.651399,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.6E-05,10,9.99996,0,0,0,0,0,0,3.6E-05,3.6E-05,3.6E-05,0,0,0,0,0,,0,0,0,,0,-1.90459E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,0.10283,0.127185,0.135105,0.134875,0.134877,0.135107,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 TIME 0 UPC 8E-06","2.484E-08","0.8775","162","Settles",5.2E-5,0,1,0.388811,1,1,1,1,0.135507,3.61049,4.3796,0.579035,0.230788,0.194696,0.152128,0.106559,0.0709043,0.0630549,0.080121,0.101749,1,1,0.0900782,0.094555,,,1,,,,,0,0,0,,9.06732,9.88265,18.95,1.05004,9.06732,9.88265,0.05,0.117276,0.0004476,0.117724,0.0164578,0.000430832,0.864528,0.914528,3.50368E-05,0.864493,0.000393391,0.8641,0,1,0.0923166,0,0,0,0.000465058,0,-0.599292,0.171062,0.205454,0.208301,0.194558,0.0368649,0.0552164,0.0665563,0.0619881,0.156945,0.178101,0.161677,0.123672,0.0772824,0.0458812,0.144271,0.112169,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 TIME 0 UPC 8E-06","2.484E-08","0.8775","162","Tried",2E-05,0,1,0.607335,1,1,1,1,0.150848,5.35868,4.5522,0.731988,0.0120968,0.0354853,0.0860495,0.161693,0.221699,0.218923,0.16377,0.100283,1,1,0.313861,0.0625,,,0,,,,,0,0,1,0.158128,9.08313,9.76684,18.85,1.15004,9.08313,9.76684,0.15,0.218601,0.0244957,0.243097,0.172531,0.0253665,0.849188,0.999188,3.64176E-05,0.849152,0.0293628,0.819789,0,0,,0,0,0,0.0347729,0,1.65094,0,0,0,0,0.370293,0.287937,0.208099,0.13367,0.0388668,0.0760381,0.131077,0.201819,0.250439,0.30176,0,0,1,1,0,0,0,0,0,0.841872,0.158128
"Risk Neutral CM 0.25 TIME 0 UPC 8E-06","2.484E-08","0.8775","162","PWins",3.2E-6,0,1,0.652665,1,1,1,1,0.15258,5.72132,4.45659,0.78713,0.00374202,0.0154878,0.0536622,0.134492,0.221934,0.244942,0.1976,0.128141,1,1,0.345328,0.0625,,,0,,,,,0,0,1,1,9.925,8.92496,18.85,1.15004,9.925,8.92496,0.15,0.993514,0.0061114,0.999626,1.06192,0.000458358,0.847455,0.997455,3.56527E-05,0.84742,0.06879,0.77863,0,0,,0,0,0,0.0814858,0,1.8997,0,0,0,0,0.306962,0.288096,0.237987,0.166954,0.0254746,0.0667703,0.151893,0.299274,0.186083,0.270505,0,0,1,1,0,0,0,0,0,0,1
