"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 TIME 1 DM 2","1.535E-07","0.937","113","All",1,0.999934,6.58733E-05,0.5,7.8961E-7,7.89606E-07,1,6.58733E-05,1.00205E-05,4.5,5.63487,0.366015,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.187522,0.175781,,,7.15418E-07,,,,,1.48436E-14,1.48436E-14,7.419E-8,0.0206096,9.99993,9.99994,19.9999,0.000122696,1000,1000,4.73764E-07,5.0823E-7,8.82E-12,5.08242E-7,3.40622E-07,3.67994E-12,0.000112202,0.000112675,5.63489E-05,5.58528E-05,2.22976E-11,5.58527E-05,0,7.15418E-7,0.37505,1.48436E-14,1.48436E-14,2.96990E-21,3.77471E-07,0,-1.30992E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,7.89606E-7,7.89606E-07,0.999999,1.57985E-13,7.15418E-07,1.48436E-14,1.48436E-14,7.26591E-8,1.529E-09
"MODRA CM 1 TIME 1 DM 2","1.535E-07","0.937","113","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,5.63488,0.366017,0.124997,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99994,19.9999,5.6349E-05,1000,1000,0,0,0,0,0,0,5.6349E-05,5.6349E-05,5.6349E-05,0,0,0,0,0,,0,0,0,,0,-1.22524E-06,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127185,0.135104,0.134876,0.134877,0.135107,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"MODRA CM 1 TIME 1 DM 2","1.535E-07","0.937","113","DisputeArises",6.6E-5,0,1,0.438633,0.0119867,0.0119867,1,1,0.152118,4.00906,5.55861,0.343625,0.179199,0.155976,0.13576,0.121112,0.110546,0.103341,0.0991244,0.0949421,1,1,0.187522,0.175781,,,0.0108605,,,,,2.25335E-10,2.25335E-10,0.001126,0.0206096,9.00052,9.99223,18.9928,1.00725,998.809,999.994,0.00719205,0.0077153,1.3389E-7,0.00771545,0.00517086,5.5864E-08,0.847938,0.85513,5.55861E-05,0.847882,3.38492E-07,0.847882,0,0.0108605,0.37505,2.25335E-10,2.25335E-10,4.5085E-17,3.77471E-07,0,0.0185987,0.128193,0.152891,0.153368,0.141203,0.128159,0.116698,0.101659,0.0778308,0.129295,0.155029,0.157061,0.138331,0.12618,0.115512,0.10104,0.0775512,0.0119867,0.0119867,0.988013,2.39831E-09,0.0108605,2.25335E-10,2.25335E-10,0.00110301,2.3211E-5
"MODRA CM 1 TIME 1 DM 2","1.535E-07","0.937","113","PFiles",7.9E-7,0,1,0.554103,1,1,1,1,0.150617,4.93282,4.99964,0.493061,0.00398847,0.0231706,0.0959589,0.239144,0.315804,0.216184,0.0840813,0.0216684,1,1,0.187522,0.175781,,,0.906044,,,,,1.87987E-08,1.87987E-08,0.093956,0.0206096,9.04369,9.35626,18.4,1.60005,998.88,999.467,0.6,0.643654,1.117E-05,0.643665,0.431381,4.66047E-06,0.849433,1.44943,4.99964E-05,0.849383,2.82388E-05,0.849355,0,0.906044,0.37505,1.87987E-08,1.87987E-08,3.76124E-15,3.14907E-05,0,4.73252,1.25716E-05,1.80625E-05,1.87594E-05,1.81775E-05,1.75875E-05,1.70973E-05,0.718859,0.281039,0.0939654,0.26414,0.641811,1.81228E-05,1.79104E-05,1.77525E-05,1.65794E-05,1.3332E-05,1,1,0,2.0008E-07,0.906044,1.87987E-08,1.87987E-08,0.0920193,0.0019364
"MODRA CM 1 TIME 1 DM 2","1.535E-07","0.937","113","DAnswers",7.9E-7,0,1,0.554103,1,1,1,1,0.150617,4.93282,4.99964,0.493061,0.00398847,0.0231706,0.0959589,0.239144,0.315804,0.216184,0.0840813,0.0216684,1,1,0.187522,0.175781,,,0.906044,,,,,1.87987E-08,1.87987E-08,0.093956,0.0206096,9.04368,9.35627,18.4,1.60005,998.88,999.467,0.6,0.643653,1.117E-05,0.643665,0.431381,4.66047E-06,0.849433,1.44943,4.99964E-05,0.849383,2.82388E-05,0.849355,0,0.906044,0.37505,1.87987E-08,1.87987E-08,3.76124E-15,3.14907E-05,0,4.73252,1.25716E-05,1.80625E-05,1.87594E-05,1.81775E-05,1.75875E-05,1.70973E-05,0.718859,0.281039,0.0939654,0.26414,0.641811,1.81228E-05,1.79104E-05,1.77525E-05,1.65794E-05,1.3332E-05,1,1,0,0,0.906044,1.87987E-08,1.87987E-08,0.0920194,0.0019364
"MODRA CM 1 TIME 1 DM 2","1.535E-07","0.937","113","Litigated",7.9E-7,0,1,0.554103,1,1,1,1,0.150617,4.93282,4.99964,0.493061,0.00398847,0.0231706,0.0959589,0.239144,0.315804,0.216184,0.0840813,0.0216684,1,1,0.187522,0.175781,,,0.906044,,,,,1.87987E-08,1.87987E-08,0.093956,0.0206096,9.04368,9.35627,18.4,1.60005,998.88,999.467,0.6,0.643653,1.117E-05,0.643665,0.431381,4.66047E-06,0.849433,1.44943,4.99964E-05,0.849383,2.82388E-05,0.849355,0,0.906044,0.37505,1.87987E-08,1.87987E-08,3.76124E-15,3.14907E-05,0,4.73252,1.25716E-05,1.80625E-05,1.87594E-05,1.81775E-05,1.75875E-05,1.70973E-05,0.718859,0.281039,0.0939654,0.26414,0.641811,1.81228E-05,1.79104E-05,1.77525E-05,1.65794E-05,1.3332E-05,1,1,0,0,0.906044,1.87987E-08,1.87987E-08,0.0920194,0.0019364
"MODRA CM 1 TIME 1 DM 2","1.535E-07","0.937","113","Not Litigated",1,0.999935,6.50837E-05,0.5,1.58E-13,0,1,6.50837E-05,9.90159E-06,4.5,5.63487,0.366015,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99994,19.9999,0.000121433,1000,1000,3.15969E-14,3.16E-13,0,3.1597E-13,6.31924E-13,0,0.000111531,0.000111531,5.63489E-05,5.51821E-05,0,5.51821E-05,0,0,,0,0,0,1.52882E-13,0,-3.73683E-06,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127186,0.102831,0.102831,0.127187,0.135105,0.134876,0.134876,0.135106,0.127187,0.102831,1.5798E-13,0,1,1.57985E-13,0,0,0,0,0
"MODRA CM 1 TIME 1 DM 2","1.535E-07","0.937","113","Settles",7.2E-7,0,1,0.567483,1,1,1,1,0.151752,5.03986,4.99961,0.501181,0.002082,0.0158569,0.0805496,0.229034,0.325712,0.231418,0.0915703,0.023778,1,1,0.187523,0.187527,,,1,,,,,0,0,0,,9.07505,9.3249,18.4,1.60005,999,999.467,0.6,0.675016,1.2266E-5,0.675028,0.455668,5.06305E-06,0.848298,1.4483,4.99961E-05,0.848248,3.10574E-05,0.848217,0,1,0.37505,0,0,0,3.46356E-05,0,4.57872,1.31827E-05,1.91568E-05,2.01284E-05,1.97331E-05,1.90995E-05,1.81348E-05,0.712092,0.287798,1.27978E-05,0.29153,0.708365,2.00021E-05,1.97676E-05,1.95933E-05,1.82986E-05,1.47145E-05,1,1,0,0,1,0,0,0,0
"MODRA CM 1 TIME 1 DM 2","1.535E-07","0.937","113","Tried",7.4E-8,0,1,0.42508,1,1,1,1,0.139673,3.90064,4.99997,0.414758,0.0223731,0.0936987,0.244555,0.336643,0.220265,0.0692782,0.0118627,0.00132494,1,1,0.187508,0.0625041,,,0,,,,,0,0,1,0.0206096,8.74122,9.65873,18.4,1.60005,997.725,999.471,0.6,0.341218,5.9867E-7,0.341219,0.197168,7.78275E-07,0.860377,1.46038,4.99997E-05,0.860327,1.05794E-06,0.860325,0,0,,0,0,0,1.16389E-06,0,6.2157,6.67909E-06,7.50926E-06,5.5578E-06,3.1763E-06,3.0067E-06,7.09195E-06,0.784112,0.215855,0.999979,8.1611E-06,1.31337E-05,2.56401E-10,2.56511E-10,2.57337E-10,2.4253E-10,1.96144E-10,1,1,0,0,0,0,0,0.97939,0.0206096
"MODRA CM 1 TIME 1 DM 2","1.535E-07","0.937","113","PWins",1.5E-9,0,1,0.494069,1,1,1,1,0.145261,4.45256,4.99951,0.455791,0.00626651,0.0382384,0.151697,0.318987,0.310461,0.13838,0.0315716,0.00439798,1,1,0.187547,0.0625403,,,0,,,,,0,0,1,1,10.7,7.69995,18.4,1.60005,1000.14,981.624,0.6,2.29997,0,2.29997,5.28988,0,0.854789,1.45479,4.99951E-05,0.854739,3.10227E-05,0.854708,0,0,,0,0,0,3.41283E-05,0,6.26494,1.55192E-06,2.47815E-06,2.18202E-06,1.56917E-06,1.18414E-05,6.72291E-05,0.73471,0.265203,0.999899,7.0761E-05,3.04952E-05,2.92583E-09,3.77803E-09,4.56873E-09,4.84074E-09,4.1867E-09,1,1,0,0,0,0,0,0,1
