Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.365086687,0,0,0,0,0,0,0,0
0.000029506,0,0,1,0,0,0,0,1
0.000000658,0,1,0,0,0,0,0,1
0.000000468,0,0,0,0.05,0.1,0.2,0.15,0.5
0.000003021,0,0,1,0.05,0.1,0.2,0.15,1.5
0.000001662,0,1,0,0.05,0.1,0.2,0.15,1.5
0.000000166,0,0,0,0.05,0.1,0.2,0,0.35
0.000001185,0,0,1,0.05,0.1,0.2,0,1.35
0.000000480,0,1,0,0.05,0.1,0.2,0,1.35
0.269730447,2E-05,0,0,0,0,0,0,2E-05
0.000018374,2E-05,0,1,0,0,0,0,1.00002
0.000001874,2E-05,1,0,0,0,0,0,1.00002
0.000000191,2E-05,0,0,0.05,0.1,0.2,0.15,0.50002
0.000000595,2E-05,0,1,0.05,0.1,0.2,0.15,1.50002
0.000000852,2E-05,1,0,0.05,0.1,0.2,0.15,1.50002
0.365099746,3E-05,0,0,0,0,0,0,3E-05
0.000016380,3E-05,0,1,0,0,0,0,1.00003
0.000007708,3E-05,1,0,0,0,0,0,1.00003
