"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 WA 0.0001 LT 1.2","8.242E-07","0.9179","107","All",1,0.999818,0.000182098,0.5,2.254E-06,2.25399E-06,1,0.000182098,0.000100004,4.5,1.76998,0.837852,0.125002,0.125,0.124999,0.124998,0.124999,0.124999,0.125,0.125002,1,1,0.312499,0.0625056,,,6.46411E-11,,,,,2.05745E-06,2.45137E-13,1.965E-7,0.210229,9.99982,9.99998,19.9998,0.000200739,1000,1000,9.40889E-07,5.0912E-7,7.4808E-9,5.16598E-7,1.63629E-07,8.84716E-09,9.97942E-05,0.000100735,1.77E-05,8.20942E-05,3.28547E-09,8.20909E-05,0,6.4641E-11,0.25059,2.05745E-06,2.45137E-13,4.11655E-13,3.89556E-05,0,-1.99384E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,2.25399E-6,2.25399E-06,0.999998,4.50978E-13,6.46411E-11,2.05745E-06,2.45137E-13,1.55166E-7,4.1304E-8
"MODRA CM 1 WA 0.0001 LT 1.2","8.242E-07","0.9179","107","NoDispute",0.9998,1,0,0.500002,0,0,1,0,0,4.50001,1.76999,0.837853,0.124999,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,1.77001E-05,1000,1000,0,0,0,0,0,0,1.77001E-05,1.77001E-05,1.77001E-05,0,0,0,0,0,,0,0,0,,0,-1.95331E-06,0.10283,0.127186,0.135105,0.134876,0.134876,0.135106,0.127188,0.102832,0.10283,0.127186,0.135106,0.134876,0.134877,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"MODRA CM 1 WA 0.0001 LT 1.2","8.242E-07","0.9179","107","DisputeArises",0.0002,0,1,0.490101,0.0123779,0.0123779,1,1,0.549176,4.42081,1.75687,0.830334,0.143501,0.132106,0.122278,0.11696,0.115306,0.117048,0.122807,0.129995,1,1,0.312499,0.0625056,,,3.54979E-07,,,,,0.0112986,1.34618E-09,0.001079,0.210229,8.99764,9.99717,18.9948,1.00518,998.8,999.998,0.00516693,0.0027958,4.1081E-5,0.00283692,0.000898577,4.85846E-05,0.450841,0.456008,1.75687E-05,0.450824,1.80423E-05,0.450806,0,3.54979E-7,0.25059,0.0112986,1.34618E-09,2.26062E-09,3.89556E-05,0,0.0107247,0.107216,0.131547,0.138067,0.135714,0.133535,0.131961,0.123055,0.0989055,0.10888,0.13425,0.136258,0.134456,0.132805,0.131599,0.122902,0.0988496,0.0123779,0.0123779,0.987622,2.47657E-09,3.54979E-07,0.0112986,1.34618E-09,0.0008521,0.0002268
"MODRA CM 1 WA 0.0001 LT 1.2","8.242E-07","0.9179","107","PFiles",2.3E-6,0,1,0.431168,1,1,1,1,0.5256,3.94934,1,0.87214,0.0272909,0.0975058,0.231996,0.315168,0.222711,0.0834888,0.0188203,0.00301807,1,1,0.312499,0.0625056,,,2.86785E-05,,,,,0.912806,1.08757E-07,0.087165,0.210229,8.80962,9.77294,18.5826,1.41744,998.13,999.863,0.417433,0.225874,0.0031899,0.229064,0.0725954,0.00379611,0.47441,0.891843,1E-05,0.4744,0.00139788,0.473002,0,2.86785E-5,0.25059,0.912806,1.08757E-07,1.82634E-07,0.00301819,0,4.72272,1.73307E-06,2.12638E-06,2.23176E-06,4.58811E-06,4.5529E-06,0.655809,0.257006,0.0871699,0.291515,0.708457,3.53198E-06,4.15236E-06,4.86364E-06,5.49173E-06,5.5711E-06,4.69502E-06,1,1,0,2.0008E-07,2.86785E-05,0.912806,1.08757E-07,0.0688408,0.0183247
"MODRA CM 1 WA 0.0001 LT 1.2","8.242E-07","0.9179","107","DAnswers",2.3E-6,0,1,0.431168,1,1,1,1,0.5256,3.94934,1,0.87214,0.0272909,0.0975058,0.231996,0.315168,0.222711,0.0834888,0.0188203,0.00301807,1,1,0.312499,0.0625056,,,2.86785E-05,,,,,0.912806,1.08757E-07,0.087165,0.210229,8.80962,9.77294,18.5826,1.41744,998.13,999.863,0.417433,0.225873,0.0031899,0.229063,0.0725952,0.00379611,0.47441,0.891843,1E-05,0.4744,0.00139788,0.473002,0,2.86785E-5,0.25059,0.912806,1.08757E-07,1.82634E-07,0.00301819,0,4.72272,1.73307E-06,2.12638E-06,2.23176E-06,4.58811E-06,4.5529E-06,0.655809,0.257006,0.0871699,0.291515,0.708457,3.53198E-06,4.15236E-06,4.86364E-06,5.49173E-06,5.5711E-06,4.69502E-06,1,1,0,0,2.86785E-05,0.912806,1.08757E-07,0.0688408,0.0183247
"MODRA CM 1 WA 0.0001 LT 1.2","8.242E-07","0.9179","107","Litigated",2.3E-6,0,1,0.431168,1,1,1,1,0.5256,3.94934,1,0.87214,0.0272909,0.0975058,0.231996,0.315168,0.222711,0.0834888,0.0188203,0.00301807,1,1,0.312499,0.0625056,,,2.86785E-05,,,,,0.912806,1.08757E-07,0.087165,0.210229,8.80962,9.77294,18.5826,1.41744,998.13,999.863,0.417433,0.225873,0.0031899,0.229063,0.0725952,0.00379611,0.47441,0.891843,1E-05,0.4744,0.00139788,0.473002,0,2.86785E-5,0.25059,0.912806,1.08757E-07,1.82634E-07,0.00301819,0,4.72272,1.73307E-06,2.12638E-06,2.23176E-06,4.58811E-06,4.5529E-06,0.655809,0.257006,0.0871699,0.291515,0.708457,3.53198E-06,4.15236E-06,4.86364E-06,5.49173E-06,5.5711E-06,4.69502E-06,1,1,0,0,2.86785E-05,0.912806,1.08757E-07,0.0688408,0.0183247
"MODRA CM 1 WA 0.0001 LT 1.2","8.242E-07","0.9179","107","Not Litigated",1,0.99982,0.000179845,0.5,4.51E-13,0,1,0.000179845,9.88196E-05,4.5,1.76999,0.837852,0.125002,0.125,0.124999,0.124998,0.124998,0.124999,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,9.99982,9.99998,19.9998,0.000197545,1000,1000,4.50979E-14,4.496E-13,2.908E-10,2.9121E-10,4.49618E-13,2.90764E-10,9.87251E-05,9.87251E-05,1.77001E-05,8.1025E-05,1.34655E-10,8.10249E-05,0,0,,0,0,0,1.61676E-06,0,-1.0645E-05,0.102831,0.127187,0.135106,0.134876,0.134876,0.135105,0.127187,0.102831,0.102831,0.127186,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,4.5098E-13,0,1,4.50979E-13,0,0,0,0,0
"MODRA CM 1 WA 0.0001 LT 1.2","8.242E-07","0.9179","107","Settles",6E-11,0,1,0.662598,1,1,1,1,0.533235,5.80078,1.10705,1.04632,0.0238071,0.0415822,0.0705693,0.108984,0.145551,0.176428,0.204784,0.228294,1,1,0.24405,0.257131,,,1,,,,,0,0,0,,9.05059,9.5494,18.6,1.40001,998.866,999.699,0.4,0.311909,0.185473,0.497382,0.14895,0.149348,0.466776,0.866776,1.10705E-05,0.466765,0.113135,0.35363,0,1,0.25059,0,0,0,0.231539,0,0.230088,0.0255299,0.0374901,0.0483259,0.106906,0.127828,0.248454,0.225643,0.179824,0.0142366,0.0345987,0.0873197,0.14479,0.169591,0.191492,0.19426,0.163712,1,1,0,0,1,0,0,0,0
"MODRA CM 1 WA 0.0001 LT 1.2","8.242E-07","0.9179","107","Tried",2E-07,0,1,0.561558,1,1,1,1,0.528796,4.99247,0.999994,0.983066,0.00182196,0.0150048,0.0808762,0.237964,0.337294,0.227695,0.0812418,0.0181023,1,1,0.312501,0.0625001,,,0,,,,,0,0,1,0.210229,8.91023,9.48976,18.4,1.60001,998.131,999.39,0.6,0.500083,0.0167985,0.516882,0.414567,0.0198176,0.471214,1.07121,9.99994E-06,0.471204,0.00838328,0.462821,0,0,,0,0,0,0.0181027,0,6.22364,2.29749E-12,2.41296E-12,1.94156E-12,2.74792E-11,2.95227E-11,5.1622E-06,2.89163E-06,0.999992,0.223657,0.776339,3.65682E-06,2.97580E-11,4.25008E-11,5.47660E-11,6.03349E-11,5.34367E-11,1,1,0,0,0,0,0,0.789771,0.210229
"MODRA CM 1 WA 0.0001 LT 1.2","8.242E-07","0.9179","107","PWins",4.1E-8,0,1,0.608029,1,1,1,1,0.529889,5.36423,0.999992,1.02122,0.000412182,0.00509171,0.0409053,0.17293,0.333964,0.289534,0.125127,0.0320355,1,1,0.312501,0.0625001,,,0,,,,,0,0,1,1,9.7,8.69999,18.4,1.60001,999.847,997.675,0.6,1.26796,0.0096109,1.27757,1.63874,0.00288326,0.470121,1.07012,9.99992E-06,0.470111,0.0148359,0.455275,0,0,,0,0,0,0.0320362,0,6.19064,4.51896E-13,5.54834E-13,5.50396E-13,3.38873E-11,4.84627E-11,5.39547E-06,3.50122E-06,0.999991,0.190656,0.809338,5.46565E-06,4.08608E-11,6.89127E-11,9.96616E-11,1.18089E-10,1.0921E-10,1,1,0,0,0,0,0,0,1
