"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 WA 0 UPC 1.2E-05","8.636E-08","0.8712","127","All",1,0.99991,8.9792E-05,0.5,3.337E-11,3.33714E-11,1,8.9792E-05,0,4.5,1,0.767602,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.268594,0.251023,,,2.98494E-11,,,,,2.6644E-12,4.38134E-19,8.58E-13,0.238675,9.99991,9.99999,19.9999,0.000101792,1000,1000,1.35201E-11,1.064E-11,1.1754E-5,1.17544E-5,5.22427E-12,1.17544E-05,0.000101792,0.000101792,1.20002E-05,8.9792E-05,1.17544E-05,7.80376E-05,0,2.9849E-11,0.265766,2.6644E-12,4.38134E-19,5.33094E-19,0.130907,0,-2.53033E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,3.3371E-11,3.33714E-11,1,6.67695E-18,2.98494E-11,2.6644E-12,4.38134E-19,6.5291E-13,2.047E-13
"MODRA CM 1 WA 0 UPC 1.2E-05","8.636E-08","0.8712","127","NoDispute",0.9999,1,0,0.500001,0,0,1,0,0,4.50001,1,0.767603,0.124999,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,10,9.99999,20,1.20002E-05,1000,1000,0,0,0,0,0,0,1.20002E-05,1.20002E-05,1.20002E-05,0,0,0,0,0,,0,0,0,,0,-1.55624E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0,0,1,0,0,0,0,0,0
"MODRA CM 1 WA 0 UPC 1.2E-05","8.636E-08","0.8712","127","DisputeArises",9E-05,0,1,0.492125,3.7165E-7,3.71652E-07,1,1,0,4.437,1,0.761411,0.141965,0.130787,0.121704,0.117192,0.115977,0.11783,0.123636,0.130907,1,1,0.268594,0.251023,,,3.32428E-07,,,,,2.96731E-08,4.87944E-15,9.551E-9,0.238675,9,9.99999,19,1.00001,998.808,1000,1.50571E-07,1.1845E-7,0.130907,0.130907,5.81819E-08,0.130907,1.00001,1.00001,1.2E-05,1,0.130907,0.869093,0,3.32428E-7,0.265766,2.96731E-08,4.87944E-15,5.93699E-15,0.130907,0,-3.47826E-14,0.106298,0.130625,0.137457,0.135591,0.133885,0.132647,0.12387,0.0996267,0.106298,0.130625,0.137457,0.135591,0.133885,0.132647,0.12387,0.0996267,3.71652E-7,3.71652E-07,1,7.43602E-14,3.32428E-07,2.96731E-08,4.87944E-15,7.27134E-9,2.2796E-9
"MODRA CM 1 WA 0 UPC 1.2E-05","8.636E-08","0.8712","127","PFiles",3E-11,0,1,0.539075,1,1,1,1,0,4.8126,0.538354,0.834728,0.09889,0.105471,0.114156,0.123,0.12923,0.134599,0.142675,0.151978,1,1,0.268594,0.251023,,,0.89446,,,,,0.0798409,1.3129E-08,0.025698,0.238675,9.04128,9.55357,18.5949,1.40515,998.837,999.698,0.40514,0.318699,0.191639,0.510338,0.156549,0.164198,1.00001,1.40515,6.46025E-06,1,0.228093,0.771907,0,0.89446,0.265766,0.0798409,1.3129E-08,1.59746E-08,0.228093,0,0.156695,0.0572258,0.0703224,0.155004,0.153861,0.152943,0.152414,0.142942,0.115287,0.0838896,0.10977,0.125319,0.13475,0.142733,0.147762,0.141112,0.114665,1,1,0,2.0008E-07,0.89446,0.0798409,1.3129E-08,0.0195649,0.0061336
"MODRA CM 1 WA 0 UPC 1.2E-05","8.636E-08","0.8712","127","DAnswers",3E-11,0,1,0.539075,1,1,1,1,0,4.8126,0.538354,0.834728,0.09889,0.105471,0.114156,0.123,0.12923,0.134599,0.142675,0.151978,1,1,0.268594,0.251023,,,0.894461,,,,,0.079841,1.3129E-08,0.025698,0.238675,9.04128,9.55357,18.5949,1.40515,998.837,999.698,0.40514,0.318699,0.191639,0.510338,0.156549,0.164198,1.00001,1.40515,6.46025E-06,1,0.228093,0.771907,0,0.894461,0.265766,0.079841,1.3129E-08,1.59746E-08,0.228093,0,0.156695,0.0572258,0.0703224,0.155004,0.153861,0.152943,0.152414,0.142942,0.115287,0.0838896,0.10977,0.125319,0.13475,0.142733,0.147762,0.141112,0.114665,1,1,0,0,0.894461,0.079841,1.3129E-08,0.0195649,0.0061336
"MODRA CM 1 WA 0 UPC 1.2E-05","8.636E-08","0.8712","127","Litigated",3E-11,0,1,0.539075,1,1,1,1,0,4.8126,0.538354,0.834728,0.09889,0.105471,0.114156,0.123,0.12923,0.134599,0.142675,0.151978,1,1,0.268594,0.251023,,,0.894461,,,,,0.079841,1.3129E-08,0.025698,0.238675,9.04128,9.55357,18.5949,1.40515,998.837,999.698,0.40514,0.318699,0.191639,0.510338,0.156549,0.164198,1.00001,1.40515,6.46025E-06,1,0.228093,0.771907,0,0.894461,0.265766,0.079841,1.3129E-08,1.59746E-08,0.228093,0,0.156695,0.0572258,0.0703224,0.155004,0.153861,0.152943,0.152414,0.142942,0.115287,0.0838896,0.10977,0.125319,0.13475,0.142733,0.147762,0.141112,0.114665,1,1,0,0,0.894461,0.079841,1.3129E-08,0.0195649,0.0061336
"MODRA CM 1 WA 0 UPC 1.2E-05","8.636E-08","0.8712","127","Not Litigated",1,0.99991,8.9792E-05,0.5,6.677E-18,0,1,8.9792E-05,0,4.5,1,0.767602,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99991,9.99999,19.9999,0.000101792,1000,1000,0,0,1.1754E-5,1.17544E-5,0,1.17544E-05,0.000101792,0.000101792,1.20002E-05,8.9792E-05,1.17544E-05,7.80375E-05,0,0,,0,0,0,0.130907,0,-5.23197E-12,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,6.6769E-18,0,1,6.67695E-18,0,0,0,0,0
"MODRA CM 1 WA 0 UPC 1.2E-05","8.636E-08","0.8712","127","Settles",3E-11,0,1,0.565846,1,1,1,1,0,5.02676,0.563471,0.851914,0.0898371,0.0906158,0.0990669,0.114973,0.131926,0.145727,0.15822,0.169633,1,1,0.258265,0.273268,,,1,,,,,0,0,0,,9.06577,9.53423,18.6,1.40001,998.918,999.689,0.4,0.323289,0.213762,0.537051,0.158274,0.183009,1.00001,1.40001,6.76165E-06,1,0.254457,0.745543,0,1,0.265766,0,0,0,0.254457,0,-0.135264,0.063978,0.0786198,0.138269,0.149106,0.137978,0.153686,0.152376,0.125988,0.0581351,0.0668837,0.113605,0.15065,0.159574,0.165197,0.157762,0.128194,1,1,0,0,1,0,0,0,0
"MODRA CM 1 WA 0 UPC 1.2E-05","8.636E-08","0.8712","127","Tried",9E-13,0,1,0.422799,1,1,1,1,0,3.88239,0.246359,0.781594,0.0510425,0.127979,0.22683,0.261971,0.195039,0.0963069,0.0326651,0.00816531,1,1,0.37592,0.0625073,,,0,,,,,0,0,1,0.238675,8.93867,9.46132,18.4,1.6,998.193,999.328,0.6,0.528071,0.0148959,0.542967,0.45869,0.017055,1,1.6,2.9563E-06,1,0.0173806,0.982619,0,0,,0,0,0,0.0173806,0,4.02875,6.04753E-13,7.94098E-13,1.79094E-06,5.29501E-06,0.435737,0.204557,0.258668,0.10103,0.244545,0.514776,0.240648,5.0141E-06,6.20301E-06,7.02543E-06,7.08425E-06,5.92008E-06,1,1,0,0,0,0,0,0.761325,0.238675
"MODRA CM 1 WA 0 UPC 1.2E-05","8.636E-08","0.8712","127","PWins",2E-13,0,1,0.476096,1,1,1,1,0,4.30877,0.250447,0.821319,0.0255133,0.0802172,0.182654,0.267201,0.240801,0.137389,0.0520773,0.0141473,1,1,0.374902,0.0625116,,,0,,,,,0,0,1,1,9.7,8.7,18.4,1.6,999.847,997.675,0.6,1.26774,0.009677,1.27742,1.63839,0.00290311,1,1.6,3.00537E-06,1,0.0322568,0.967743,0,0,,0,0,0,0.0322568,0,4.07277,1.97615E-13,3.27819E-13,1.70475E-06,5.81926E-06,0.381498,0.217403,0.275417,0.125675,0.202811,0.522061,0.275078,5.82723E-06,8.7193E-06,1.14339E-05,1.26987E-05,1.12592E-05,1,1,0,0,0,0,0,0,1
