"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 PA DM 0.5","1.156E-08","0.6719","425","All",1,0.999909,9.13396E-05,0.5,9.134E-05,9.13396E-05,1,9.13396E-05,1.00436E-05,4.5,1.73002,0.823629,0.125002,0.124999,0.124999,0.124999,0.125,0.125,0.125,0.125001,1,1,0.244228,0.0625009,,,5.99926E-05,,,,,2.12870E-11,3.05268E-12,3.135E-5,0.279257,9.99991,9.99998,19.9999,0.00010864,1000,1000,0,1.8408E-6,5.432E-06,7.2728E-06,5.7532E-08,3.2106E-06,9.85964E-05,9.85964E-05,1.73004E-05,8.1296E-05,8.78101E-06,7.2515E-05,0,5.99926E-5,0.0312504,2.12870E-11,3.05268E-12,4.24429E-18,0.107763,0,-8.39748E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,9.13396E-5,9.13396E-05,0.999909,1.82752E-11,5.99926E-05,2.12870E-11,3.05268E-12,2.25931E-5,8.7538E-6
"MODRA CM 1 PA DM 0.5","1.156E-08","0.6719","425","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,1.73005,0.823629,0.124998,0.124998,0.124998,0.124999,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,1.73007E-05,1000,1000,0,0,0,0,0,0,1.73007E-05,1.73007E-05,1.73007E-05,0,0,0,0,0,,0,0,0,,0,-1.09784E-05,0.102829,0.127185,0.135104,0.134875,0.134876,0.135107,0.127189,0.102833,0.102829,0.127184,0.135103,0.134875,0.134876,0.135108,0.12719,0.102834,0,0,1,0,0,0,0,0,0
"MODRA CM 1 PA DM 0.5","1.156E-08","0.6719","425","DisputeArises",9.1E-5,0,1,0.455396,1,1,1,1,0.109959,4.14317,1.41825,0.82031,0.16739,0.137349,0.129938,0.126403,0.128911,0.109767,0.0994331,0.100808,1,1,0.244228,0.0625009,,,0.656808,,,,,2.33053E-07,3.34212E-08,0.343191,0.279257,9.06844,9.93154,19,1.00001,998.946,999.961,0,0.0201529,0.0594708,0.0796237,0.00062987,0.0351502,0.890055,0.890055,1.41825E-05,0.890041,0.0961358,0.793905,0,0.656808,0.0312504,2.33053E-07,3.34212E-08,4.64671E-14,0.107763,0,0.120183,0.12068,0.146681,0.150707,0.142202,0.131502,0.120995,0.10592,0.0813131,0.123838,0.153169,0.162706,0.148058,0.131878,0.114964,0.0925825,0.0728044,1,1,2.0008E-07,2.0008E-07,0.656808,2.33053E-07,3.34212E-08,0.247353,0.0958383
"MODRA CM 1 PA DM 0.5","1.156E-08","0.6719","425","PFiles",9.1E-5,0,1,0.455396,1,1,1,1,0.109959,4.14317,1.41825,0.82031,0.16739,0.137349,0.129938,0.126403,0.128911,0.109767,0.0994331,0.100808,1,1,0.244228,0.0625009,,,0.656809,,,,,2.33053E-07,3.34212E-08,0.343191,0.279257,9.06844,9.93154,19,1.00001,998.946,999.961,0,0.0201529,0.0594708,0.0796237,0.00062987,0.0351502,0.890055,0.890055,1.41825E-05,0.890041,0.0961358,0.793905,0,0.656809,0.0312504,2.33053E-07,3.34212E-08,4.64671E-14,0.107763,0,0.120183,0.12068,0.146681,0.150707,0.142202,0.131502,0.120995,0.10592,0.0813131,0.123838,0.153169,0.162706,0.148058,0.131878,0.114964,0.0925825,0.0728044,1,1,0,2.0008E-07,0.656809,2.33053E-07,3.34212E-08,0.247353,0.0958384
"MODRA CM 1 PA DM 0.5","1.156E-08","0.6719","425","DAnswers",9.1E-5,0,1,0.455396,1,1,1,1,0.109959,4.14317,1.41825,0.82031,0.16739,0.137349,0.129938,0.126403,0.128911,0.109767,0.0994331,0.100808,1,1,0.244228,0.0625009,,,0.656809,,,,,2.33054E-07,3.34212E-08,0.343191,0.279257,9.06844,9.93154,19,1.00001,998.946,999.961,0,0.0201528,0.0594708,0.0796236,0.000629825,0.0351502,0.890055,0.890055,1.41825E-05,0.890041,0.0961358,0.793905,0,0.656809,0.0312504,2.33054E-07,3.34212E-08,4.64671E-14,0.107763,0,0.120183,0.12068,0.146681,0.150707,0.142202,0.131502,0.120995,0.10592,0.0813131,0.123838,0.153169,0.162706,0.148058,0.131878,0.114964,0.0925825,0.0728044,1,1,0,0,0.656809,2.33054E-07,3.34212E-08,0.247353,0.0958384
"MODRA CM 1 PA DM 0.5","1.156E-08","0.6719","425","Litigated",9.1E-5,0,1,0.455396,1,1,1,1,0.109959,4.14317,1.41825,0.82031,0.16739,0.137349,0.129938,0.126403,0.128911,0.109767,0.0994331,0.100808,1,1,0.244228,0.0625009,,,0.656809,,,,,2.33054E-07,3.34212E-08,0.343191,0.279257,9.06844,9.93154,19,1.00001,998.946,999.961,0,0.0201528,0.0594708,0.0796236,0.000629825,0.0351502,0.890055,0.890055,1.41825E-05,0.890041,0.0961358,0.793905,0,0.656809,0.0312504,2.33054E-07,3.34212E-08,4.64671E-14,0.107763,0,0.120183,0.12068,0.146681,0.150707,0.142202,0.131502,0.120995,0.10592,0.0813131,0.123838,0.153169,0.162706,0.148058,0.131878,0.114964,0.0925825,0.0728044,1,1,0,0,0.656809,2.33054E-07,3.34212E-08,0.247353,0.0958384
"MODRA CM 1 PA DM 0.5","1.156E-08","0.6719","425","Not Litigated",0.9999,1,3.65538E-11,0.500004,1.828E-11,0,1,3.65538E-11,4.01942E-12,4.50003,1.73005,0.823629,0.124998,0.124998,0.124998,0.124999,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,1.73007E-05,1000,1000,0,8.154E-12,2.954E-12,1.1108E-11,4.07683E-12,2.46196E-12,1.73007E-05,1.73007E-05,1.73007E-05,3.25344E-11,3.5141299999999997E-12,2.9020200000000003E-11,0,0,,0,0,0,0.107763,0,-1.09784E-05,0.102829,0.127185,0.135104,0.134875,0.134876,0.135107,0.127189,0.102833,0.102829,0.127184,0.135103,0.134875,0.134876,0.135108,0.12719,0.102834,1.8277E-11,0,1,1.82769E-11,0,0,0,0,0
"MODRA CM 1 PA DM 0.5","1.156E-08","0.6719","425","Settles",6E-05,0,1,0.402629,1,1,1,1,0.112138,3.72103,1.54343,0.754353,0.242353,0.174225,0.132154,0.102931,0.0831522,0.0683859,0.0784317,0.118368,1,1,0.0625003,0.0625012,,,1,,,,,0,0,0,,9.03125,9.96873,19,1.00002,998.891,999.988,0,0.030683,0.0175874,0.0482704,0.000958909,0.0170378,0.887877,0.887877,1.54343E-05,0.887862,0.0162625,0.871599,0,1,0.0312504,0,0,0,0.0181549,0,-0.804487,0.183737,0.223324,0.229452,0.11536,0.0662847,0.0542073,0.0658885,0.0617466,0.147392,0.162959,0.14157,0.133977,0.0846607,0.0776377,0.140958,0.110845,1,1,0,0,1,0,0,0,0
"MODRA CM 1 PA DM 0.5","1.156E-08","0.6719","425","Tried",3.1E-5,0,1,0.556384,1,1,1,1,0.105788,4.95107,1.17869,0.946542,0.0239248,0.0667762,0.125697,0.171325,0.216486,0.188965,0.139626,0.0672005,1,1,0.592022,0.0625003,,,0,,,,,0,0,1,0.279257,9.13963,9.86036,19,1.00001,999.051,999.91,0,0,0.139628,0.139628,0,0.0698142,0.894224,0.894224,1.17869E-05,0.894212,0.249,0.645212,0,0,,0,0,0,0.279257,0,1.88984,4.84791E-07,5.88463E-07,5.90112E-07,0.193573,0.256317,0.248815,0.182534,0.11876,0.0787598,0.134433,0.203157,0.175007,0.222243,0.1864,1.37371E-07,6.19409E-08,1,1,0,0,0,0,0,0.720743,0.279257
"MODRA CM 1 PA DM 0.5","1.156E-08","0.6719","425","PWins",8.8E-6,0,1,0.74277,1,1,1,1,0.108348,6.44216,1.23398,1.09651,0,0,0,0,0.281625,0.235232,0.242502,0.240641,1,1,0.680841,0.0625008,,,0,,,,,0,0,1,1,9.5,9.49999,19,1.00001,999.679,999.679,0,0,0.5,0.5,0,0.25,0.891664,0.891664,1.23398E-05,0.891652,0.891652,0,0,0,,0,0,0,1,0,2.31336,5.65499E-09,2.34486E-08,6.99711E-08,0.0703037,0.173133,0.250946,0.271742,0.233875,0.019632,0.0823204,0.249539,0.235073,0.241403,0.172032,3.72975E-07,1.8588E-07,1,1,0,0,0,0,0,0,1
