"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 DM 4 LT 1.2","1.148E-07","0.7876","465","All",1,0.999907,9.31452E-05,0.5,3.3982E-7,3.39822E-07,1,9.31452E-05,1.00039E-05,4.5,1.63488,0.851129,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.312496,0.236725,,,2.36824E-07,,,,,6.70437E-13,9.52248E-20,1.03E-07,0.20976,9.99991,9.99998,19.9999,0.00011012,9.99991,9.99998,6.26113E-07,6.7722E-7,3.1675E-8,7.08896E-7,1.63762E-06,3.06553E-08,9.94902E-05,0.000100116,1.6349E-05,8.31413E-05,3.43878E-08,8.31069E-05,0,2.36824E-7,1.24998,6.70437E-13,9.52248E-20,1.87466E-24,0.000411987,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,3.39822E-7,3.39822E-07,1,6.79916E-14,2.36824E-07,6.70437E-13,9.52248E-20,8.13926E-8,2.1605E-8
"Risk Neutral CM 4 DM 4 LT 1.2","1.148E-07","0.7876","465","NoDispute",0.9999,1,0,0.500002,0,0,1,0,0,4.50002,1.63488,0.85113,0.124999,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,1.6349E-05,10,9.99998,0,0,0,0,0,0,1.6349E-05,1.6349E-05,1.6349E-05,0,0,0,0,0,,0,0,0,,0,-2.58316E-06,0.10283,0.127186,0.135105,0.134876,0.134876,0.135106,0.127188,0.102832,0.10283,0.127186,0.135105,0.134876,0.134877,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 DM 4 LT 1.2","1.148E-07","0.7876","465","DisputeArises",9.3E-5,0,1,0.478649,0.0036483,0.0036483,1,1,0.107402,4.32919,1.5999,0.836294,0.150601,0.137764,0.126094,0.11836,0.114034,0.113415,0.117179,0.122553,1,1,0.312496,0.236725,,,0.00254253,,,,,7.19776E-09,1.02233E-15,0.001106,0.20976,9.00074,9.99252,18.9933,1.00674,9.00074,9.99252,0.0067219,0.0072706,0.0003401,0.00761066,0.0175814,0.000329113,0.892614,0.899336,1.5999E-05,0.892598,0.000369185,0.892229,0,0.00254253,1.24998,7.19776E-09,1.02233E-15,2.01262E-20,0.000411987,0,0.02773,0.11177,0.136315,0.14159,0.137017,0.1323,0.128468,0.11826,0.0942799,0.11351,0.139576,0.147012,0.13255,0.129321,0.126742,0.117389,0.0938989,0.00364831,0.0036483,0.996352,7.29953E-10,0.00254253,7.19776E-09,1.02233E-15,0.00087382,0.0002319
"Risk Neutral CM 4 DM 4 LT 1.2","1.148E-07","0.7876","465","PFiles",3.4E-7,0,1,0.628314,1,1,1,1,0.101469,5.52651,0.999992,1.03709,0.000652382,0.00595719,0.0387857,0.149521,0.297356,0.295157,0.15878,0.0537895,1,1,0.312496,0.236725,,,0.696906,,,,,1.97291E-06,2.80220E-13,0.303092,0.20976,9.20419,7.95333,17.1575,2.84248,9.20419,7.95333,1.84247,1.99287,0.0340763,2.02695,4.81906,0.0310752,0.898541,2.74101,9.99992E-06,0.898531,0.0482026,0.850328,0,0.696906,1.24998,1.97291E-06,2.80220E-13,5.51659E-18,0.0537909,0,5.37054,6.12968E-06,7.47578E-06,7.76509E-06,1.62495E-05,1.59909E-05,1.57956E-05,1.47228E-05,0.999916,0.067952,0.235137,0.696839,1.27834E-05,1.43859E-05,1.57967E-05,1.5797E-05,1.32426E-05,1,1,0,2.0008E-07,0.696906,1.97291E-06,2.80220E-13,0.239515,0.0635766
"Risk Neutral CM 4 DM 4 LT 1.2","1.148E-07","0.7876","465","DAnswers",3.4E-7,0,1,0.628314,1,1,1,1,0.101469,5.52651,0.999992,1.03709,0.000652382,0.00595719,0.0387857,0.149521,0.297356,0.295157,0.15878,0.0537895,1,1,0.312496,0.236725,,,0.696906,,,,,1.97291E-06,2.80220E-13,0.303092,0.20976,9.20419,7.95333,17.1575,2.84248,9.20419,7.95333,1.84247,1.99287,0.0340763,2.02695,4.81906,0.0310753,0.898541,2.74101,9.99992E-06,0.898531,0.0482026,0.850328,0,0.696906,1.24998,1.97291E-06,2.80220E-13,5.51659E-18,0.0537909,0,5.37054,6.12968E-06,7.47578E-06,7.76509E-06,1.62495E-05,1.59909E-05,1.57956E-05,1.47228E-05,0.999916,0.067952,0.235137,0.696839,1.27834E-05,1.43859E-05,1.57967E-05,1.5797E-05,1.32426E-05,1,1,0,0,0.696906,1.97291E-06,2.80220E-13,0.239515,0.0635766
"Risk Neutral CM 4 DM 4 LT 1.2","1.148E-07","0.7876","465","Litigated",3.4E-7,0,1,0.628314,1,1,1,1,0.101469,5.52651,0.999992,1.03709,0.000652382,0.00595719,0.0387857,0.149521,0.297356,0.295157,0.15878,0.0537895,1,1,0.312496,0.236725,,,0.696906,,,,,1.97291E-06,2.80220E-13,0.303092,0.20976,9.20419,7.95333,17.1575,2.84248,9.20419,7.95333,1.84247,1.99287,0.0340763,2.02695,4.81906,0.0310753,0.898541,2.74101,9.99992E-06,0.898531,0.0482026,0.850328,0,0.696906,1.24998,1.97291E-06,2.80220E-13,5.51659E-18,0.0537909,0,5.37054,6.12968E-06,7.47578E-06,7.76509E-06,1.62495E-05,1.59909E-05,1.57956E-05,1.47228E-05,0.999916,0.067952,0.235137,0.696839,1.27834E-05,1.43859E-05,1.57967E-05,1.5797E-05,1.32426E-05,1,1,0,0,0.696906,1.97291E-06,2.80220E-13,0.239515,0.0635766
"Risk Neutral CM 4 DM 4 LT 1.2","1.148E-07","0.7876","465","Not Litigated",1,0.999907,9.28054E-05,0.5,6.799E-14,0,1,9.28054E-05,9.96946E-06,4.5,1.63488,0.851129,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99991,9.99998,19.9999,0.000109154,9.99991,9.99998,2.71967E-14,2.683E-13,2.0095E-8,2.00955E-8,1.06226E-12,2.00953E-08,9.91849E-05,9.91849E-05,1.6349E-05,8.28359E-05,1.80075E-08,8.28179E-05,0,0,,0,0,0,0.000216531,0,-1.82503E-06,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,6.7992E-14,0,1,6.79916E-14,0,0,0,0,0
"Risk Neutral CM 4 DM 4 LT 1.2","1.148E-07","0.7876","465","Settles",2.4E-7,0,1,0.657749,1,1,1,1,0.101717,5.76199,0.999999,1.06088,0.000124031,0.00191201,0.0201055,0.11054,0.280031,0.325017,0.19285,0.0694205,1,1,0.312493,0.312496,,,1,,,,,0,0,0,,9.44998,7.95001,17.4,2.60001,9.44998,7.95001,1.6,1.98056,0.0381707,2.01873,3.98722,0.0209933,0.898293,2.49829,9.99999E-06,0.898283,0.0622101,0.836073,0,1,1.24998,0,0,0,0.0694223,0,4.9994,8.79555E-06,1.07271E-05,1.11422E-05,1.31875E-05,1.35274E-05,1.64456E-05,1.73819E-05,0.999909,7.1572E-06,8.25155E-06,0.999897,6.76526E-06,1.6927E-05,2.26668E-05,2.26674E-05,1.90019E-05,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 DM 4 LT 1.2","1.148E-07","0.7876","465","Tried",1E-07,0,1,0.560635,1,1,1,1,0.100899,4.98508,0.999976,0.982394,0.00186579,0.0152564,0.0817359,0.239152,0.337194,0.226503,0.0804444,0.0178491,1,1,0.312504,0.0625054,,,0,,,,,0,0,1,0.20976,8.63904,7.96095,16.6,3.40001,8.63904,7.96095,2.4,2.02119,0.0246623,2.04585,6.73176,0.0542571,0.899111,3.29911,9.99976E-06,0.899101,0.0159951,0.883106,0,0,,0,0,0,0.0178495,0,6.22391,5.52307E-18,6.63617E-18,6.76085E-18,1.69811E-05,2.16553E-05,1.4301E-05,8.60885E-06,0.999938,0.224177,0.775772,1.5591E-05,2.66211E-05,8.54317E-06,6.79698E-11,7.05732E-11,6.01591E-11,1,1,0,0,0,0,0,0.79024,0.20976
"Risk Neutral CM 4 DM 4 LT 1.2","1.148E-07","0.7876","465","PWins",2.2E-8,0,1,0.6072,1,1,1,1,0.101298,5.3576,0.999963,1.02065,0.000423264,0.00518733,0.0414172,0.174116,0.334495,0.288571,0.124141,0.0316496,1,1,0.312506,0.0625066,,,0,,,,,0,0,1,1,11.8,4.79999,16.6,3.40001,11.8,4.79999,2.4,5.16835,0,5.16835,26.7425,0,0.898712,3.29871,9.99963E-06,0.898702,0.0283638,0.870339,0,0,,0,0,0,0.0316522,0,6.1908,1.15819E-18,1.71063E-18,2.30686E-18,1.46337E-05,1.81637E-05,1.48186E-05,1.05094E-05,0.999942,0.191046,0.808899,1.81165E-05,3.04841E-05,6.2744E-06,1.05616E-10,1.22096E-10,1.11145E-10,1,1,0,0,0,0,0,0,1
