Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000000009,0,0,0,0.4,0.4,0.8,0,1.6
0.000000075,0,0,1,0.4,0.4,0.8,0,2.6
0.000000011,0,1,0,0.4,0.4,0.8,0,2.6
0.000000010,0,0,0,0.4,0.4,0.8,0.8,2.4
0.000000069,0,0,1,0.4,0.4,0.8,0.8,3.4
0.000000035,0,1,0,0.4,0.4,0.8,0.8,3.4
0.000000050,0,0,0,0.4,0,0,0,0.4
0.000000272,0,0,1,0.4,0,0,0,1.4
0.000000225,0,1,0,0.4,0,0,0,1.4
0.229995002,0,0,0,0,0,0,0,0
0.000021850,0,0,1,0,0,0,0,1
0.000000464,0,1,0,0,0,0,0,1
0.769921101,2E-05,0,0,0,0,0,0,2E-05
0.000041236,2E-05,0,1,0,0,0,0,1.00002
0.000019591,2E-05,1,0,0,0,0,0,1.00002
