"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 D Risk Averse FSM 2","1.961E-08","0.7938","495","All",1,0.999921,7.85228E-05,0.5,7.8523E-5,7.85227E-05,1,7.85228E-05,1.00127E-05,4.5,3.40486,0.649531,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.0713704,0.0625011,,,7.68205E-05,,,,,8.42449E-11,3.40584E-13,1.702E-6,0.218771,9.99992,9.99996,19.9999,0.000120509,9.99992,1000,7.93738E-06,9.0809E-6,4.0013E-8,9.12088E-6,1.50665E-06,4.72017E-08,0.000102559,0.000110496,3.40488E-05,6.85101E-05,4.44207E-08,6.84657E-05,0,7.68205E-5,0.0625007,8.42449E-11,3.40584E-13,1.68557E-17,0.000649092,0,-1.39756E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,7.85228E-5,7.85227E-05,0.999921,1.57108E-11,7.68205E-05,8.42449E-11,3.40584E-13,1.32977E-6,3.7238E-7
"Risk Neutral CM 0.25 D Risk Averse FSM 2","1.961E-08","0.7938","495","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50003,3.40487,0.649532,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.40489E-05,10,1000,0,0,0,0,0,0,3.40489E-05,3.40489E-05,3.40489E-05,0,0,0,0,0,,0,0,0,,0,-3.63893E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102832,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 D Risk Averse FSM 2","1.961E-08","0.7938","495","DisputeArises",7.9E-5,0,1,0.455491,1,1,1,1,0.127513,4.14393,3.28884,0.628835,0.167244,0.149075,0.132002,0.1194,0.111003,0.106786,0.106714,0.107775,1,1,0.0713704,0.0625011,,,0.978321,,,,,1.07287E-06,4.3374E-09,0.021677,0.218771,9.01352,9.88537,18.8989,1.10112,9.01352,999.945,0.101084,0.115646,0.0005096,0.116156,0.0191875,0.000601121,0.87252,0.973604,3.28884E-05,0.872487,0.000565704,0.871921,0,0.978321,0.0625007,1.07287E-06,4.3374E-09,2.1466E-13,0.000649092,0,0.0463388,0.121509,0.146086,0.148364,0.139133,0.129505,0.12145,0.1088,0.0851538,0.126366,0.15442,0.149591,0.132691,0.125385,0.119165,0.107694,0.0846878,1,1,2.0008E-07,2.0008E-07,0.978321,1.07287E-06,4.3374E-09,0.0169348,0.0047423
"Risk Neutral CM 0.25 D Risk Averse FSM 2","1.961E-08","0.7938","495","PFiles",7.9E-5,0,1,0.455491,1,1,1,1,0.127513,4.14393,3.28884,0.628835,0.167244,0.149075,0.132002,0.1194,0.111003,0.106786,0.106714,0.107775,1,1,0.0713704,0.0625011,,,0.978322,,,,,1.07287E-06,4.3374E-09,0.021677,0.218771,9.01352,9.88537,18.8989,1.10112,9.01352,999.945,0.101084,0.115646,0.0005096,0.116156,0.0191875,0.000601121,0.87252,0.973604,3.28884E-05,0.872487,0.000565704,0.871921,0,0.978322,0.0625007,1.07287E-06,4.3374E-09,2.1466E-13,0.000649092,0,0.0463388,0.121509,0.146086,0.148364,0.139133,0.129505,0.12145,0.1088,0.0851538,0.126366,0.15442,0.149591,0.132691,0.125385,0.119165,0.107694,0.0846878,1,1,0,2.0008E-07,0.978322,1.07287E-06,4.3374E-09,0.0169348,0.0047423
"Risk Neutral CM 0.25 D Risk Averse FSM 2","1.961E-08","0.7938","495","DAnswers",7.9E-5,0,1,0.455491,1,1,1,1,0.127513,4.14393,3.28884,0.628835,0.167244,0.149075,0.132002,0.1194,0.111003,0.106786,0.106714,0.107775,1,1,0.0713704,0.0625011,,,0.978322,,,,,1.07287E-06,4.3374E-09,0.021677,0.218771,9.01352,9.88537,18.8989,1.10112,9.01352,999.945,0.101084,0.115646,0.0005096,0.116156,0.0191873,0.000601121,0.87252,0.973604,3.28884E-05,0.872487,0.000565704,0.871921,0,0.978322,0.0625007,1.07287E-06,4.3374E-09,2.1466E-13,0.000649092,0,0.0463388,0.121509,0.146086,0.148364,0.139133,0.129505,0.12145,0.1088,0.0851538,0.126366,0.15442,0.149591,0.132691,0.125385,0.119165,0.107694,0.0846878,1,1,0,0,0.978322,1.07287E-06,4.3374E-09,0.0169348,0.0047423
"Risk Neutral CM 0.25 D Risk Averse FSM 2","1.961E-08","0.7938","495","Litigated",7.9E-5,0,1,0.455491,1,1,1,1,0.127513,4.14393,3.28884,0.628835,0.167244,0.149075,0.132002,0.1194,0.111003,0.106786,0.106714,0.107775,1,1,0.0713704,0.0625011,,,0.978322,,,,,1.07287E-06,4.3374E-09,0.021677,0.218771,9.01352,9.88537,18.8989,1.10112,9.01352,999.945,0.101084,0.115646,0.0005096,0.116156,0.0191873,0.000601121,0.87252,0.973604,3.28884E-05,0.872487,0.000565704,0.871921,0,0.978322,0.0625007,1.07287E-06,4.3374E-09,2.1466E-13,0.000649092,0,0.0463388,0.121509,0.146086,0.148364,0.139133,0.129505,0.12145,0.1088,0.0851538,0.126366,0.15442,0.149591,0.132691,0.125385,0.119165,0.107694,0.0846878,1,1,0,0,0.978322,1.07287E-06,4.3374E-09,0.0169348,0.0047423
"Risk Neutral CM 0.25 D Risk Averse FSM 2","1.961E-08","0.7938","495","Not Litigated",0.9999,1,3.14241E-11,0.500003,1.571E-11,0,1,3.14241E-11,4.00699E-12,4.50003,3.40487,0.649532,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.40489E-05,10,1000,3.92802E-13,1.57E-11,1.045E-14,1.5712E-11,1.57019E-11,1.0205E-14,3.40489E-05,3.40489E-05,3.40489E-05,2.74172E-11,1.7776800000000003E-14,2.7399400000000003E-11,0,0,,0,0,0,0.000649092,0,-3.63893E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102832,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,1.5712E-11,0,1,1.57121E-11,0,0,0,0,0
"Risk Neutral CM 0.25 D Risk Averse FSM 2","1.961E-08","0.7938","495","Settles",7.7E-5,0,1,0.45474,1,1,1,1,0.127784,4.13792,3.30934,0.625683,0.170538,0.15089,0.13117,0.11607,0.107752,0.105859,0.10787,0.109851,1,1,0.0625003,0.0625011,,,1,,,,,0,0,0,,9.0125,9.88747,18.9,1.10003,9.0125,999.953,0.1,0.112489,9.9235E-5,0.112588,0.0126553,9.79483E-05,0.872249,0.972249,3.30934E-05,0.872216,8.74429E-05,0.872128,0,1,0.0625007,0,0,0,0.000100678,0,-0.0538868,0.124201,0.149322,0.151651,0.142216,0.132374,0.114845,0.102016,0.0833738,0.12502,0.147882,0.144855,0.135631,0.128164,0.121805,0.11008,0.0865643,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 D Risk Averse FSM 2","1.961E-08","0.7938","495","Tried",1.7E-6,0,1,0.489404,1,1,1,1,0.115265,4.41523,2.36335,0.771073,0.0186033,0.067178,0.169551,0.269704,0.257698,0.14864,0.0545403,0.0140871,1,1,0.471668,0.0625021,,,0,,,,,0,0,1,0.218771,9.0594,9.79057,18.85,1.15002,9.0594,999.588,0.15,0.258129,0.0190286,0.277157,0.313988,0.0233101,0.884759,1.03476,2.36335E-05,0.884735,0.0221504,0.862585,0,0,,0,0,0,0.0253998,0,4.56969,4.83840E-12,5.76527E-12,2.84826E-07,1.11158E-06,2.99305E-06,0.419551,0.41495,0.165495,0.187146,0.449504,0.363335,3.12742E-06,2.79551E-06,2.67582E-06,3.25245E-06,3.048E-06,1,1,0,0,0,0,0,0.781229,0.218771
"Risk Neutral CM 0.25 D Risk Averse FSM 2","1.961E-08","0.7938","495","PWins",3.7E-7,0,1,0.53502,1,1,1,1,0.116082,4.78016,2.33325,0.811026,0.00763789,0.0364785,0.122765,0.250755,0.289274,0.191996,0.07884,0.0222531,1,1,0.479192,0.0625047,,,0,,,,,0,0,1,1,10.075,8.77498,18.85,1.15002,10.075,998.024,0.15,1.1799,0,1.1799,1.43523,0,0.883941,1.03394,2.33325E-05,0.883918,0.0394059,0.844512,0,0,,0,0,0,0.0450984,0,4.62471,3.70440E-12,5.02015E-12,3.57081E-07,1.43055E-06,4.40704E-06,0.399798,0.409378,0.190818,0.167007,0.499728,0.333249,5.00173E-06,4.22105E-06,1.87271E-06,2.45625E-06,2.41932E-06,1,1,0,0,0,0,0,0,1
