"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 MILDRA DM 2","2.454E-08","0.816","536","All",1,0.999924,7.63555E-05,0.5,7.6355E-5,7.63554E-05,1,7.63555E-05,1.00119E-05,4.5,3.73771,0.61297,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.0656256,0.062501,,,7.5401E-05,,,,,6.49380E-12,1.90961E-13,9.544E-7,0.184912,9.99993,9.99995,19.9999,0.000121416,1000,1000,7.68326E-06,1.361E-05,2.1982E-8,1.36322E-5,3.04962E-06,2.28615E-08,0.000103721,0.000111404,3.73773E-05,6.63435E-05,2.47601E-08,6.63188E-05,0,7.5401E-05,0.125001,6.49380E-12,1.90961E-13,1.29928E-18,0.000376588,0,-1.46338E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,7.63554E-5,7.63554E-05,0.999924,1.52772E-11,7.5401E-05,6.49380E-12,1.90961E-13,7.7794E-07,1.7648E-7
"Risk Neutral CM 0.25 MILDRA DM 2","2.454E-08","0.816","536","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50003,3.73771,0.612972,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.73773E-05,1000,1000,0,0,0,0,0,0,3.73773E-05,3.73773E-05,3.73773E-05,0,0,0,0,0,,0,0,0,,0,-3.15347E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,0.10283,0.127185,0.135104,0.134876,0.134877,0.135107,0.127188,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 MILDRA DM 2","2.454E-08","0.816","536","DisputeArises",7.6E-5,0,1,0.455094,1,1,1,1,0.131123,4.14075,3.65067,0.591254,0.166218,0.148147,0.132159,0.120862,0.113103,0.108383,0.106521,0.104607,1,1,0.0656256,0.062501,,,0.9875,,,,,8.5047E-08,2.50095E-09,0.0125,0.184912,9.07775,9.82159,18.8993,1.10066,997.619,999.678,0.100625,0.178248,0.0002879,0.178535,0.0399398,0.000299409,0.868914,0.969539,3.65067E-05,0.868877,0.000324274,0.868553,0,0.9875,0.125001,8.5047E-08,2.50095E-09,1.70162E-14,0.000376588,0,0.0412967,0.121034,0.145841,0.148628,0.139886,0.130336,0.121779,0.108332,0.0841642,0.12261,0.148867,0.153837,0.136457,0.128944,0.122547,0.110751,0.0759864,1,1,2.0008E-07,2.0008E-07,0.9875,8.5047E-08,2.50095E-09,0.0101884,0.0023114
"Risk Neutral CM 0.25 MILDRA DM 2","2.454E-08","0.816","536","PFiles",7.6E-5,0,1,0.455094,1,1,1,1,0.131123,4.14075,3.65067,0.591254,0.166218,0.148147,0.132159,0.120862,0.113103,0.108383,0.106521,0.104607,1,1,0.0656256,0.062501,,,0.9875,,,,,8.5047E-08,2.50095E-09,0.0125,0.184912,9.07775,9.82159,18.8993,1.10066,997.619,999.678,0.100625,0.178248,0.0002879,0.178535,0.0399398,0.000299409,0.868914,0.969539,3.65067E-05,0.868877,0.000324274,0.868553,0,0.9875,0.125001,8.5047E-08,2.50095E-09,1.70162E-14,0.000376588,0,0.0412967,0.121034,0.145841,0.148628,0.139886,0.130336,0.121779,0.108332,0.0841642,0.12261,0.148867,0.153837,0.136457,0.128944,0.122547,0.110751,0.0759864,1,1,0,2.0008E-07,0.9875,8.5047E-08,2.50095E-09,0.0101884,0.0023114
"Risk Neutral CM 0.25 MILDRA DM 2","2.454E-08","0.816","536","DAnswers",7.6E-5,0,1,0.455094,1,1,1,1,0.131123,4.14075,3.65067,0.591254,0.166218,0.148147,0.132159,0.120862,0.113103,0.108383,0.106521,0.104607,1,1,0.0656256,0.062501,,,0.9875,,,,,8.5047E-08,2.50095E-09,0.0125,0.184912,9.07775,9.82159,18.8993,1.10066,997.619,999.678,0.100625,0.178247,0.0002879,0.178535,0.039939,0.000299409,0.868914,0.969539,3.65067E-05,0.868877,0.000324274,0.868553,0,0.9875,0.125001,8.5047E-08,2.50095E-09,1.70162E-14,0.000376588,0,0.0412967,0.121034,0.145841,0.148628,0.139886,0.130336,0.121779,0.108332,0.0841642,0.12261,0.148867,0.153837,0.136457,0.128944,0.122547,0.110751,0.0759864,1,1,0,0,0.9875,8.5047E-08,2.50095E-09,0.0101884,0.0023114
"Risk Neutral CM 0.25 MILDRA DM 2","2.454E-08","0.816","536","Litigated",7.6E-5,0,1,0.455094,1,1,1,1,0.131123,4.14075,3.65067,0.591254,0.166218,0.148147,0.132159,0.120862,0.113103,0.108383,0.106521,0.104607,1,1,0.0656256,0.062501,,,0.9875,,,,,8.5047E-08,2.50095E-09,0.0125,0.184912,9.07775,9.82159,18.8993,1.10066,997.619,999.678,0.100625,0.178247,0.0002879,0.178535,0.039939,0.000299409,0.868914,0.969539,3.65067E-05,0.868877,0.000324274,0.868553,0,0.9875,0.125001,8.5047E-08,2.50095E-09,1.70162E-14,0.000376588,0,0.0412967,0.121034,0.145841,0.148628,0.139886,0.130336,0.121779,0.108332,0.0841642,0.12261,0.148867,0.153837,0.136457,0.128944,0.122547,0.110751,0.0759864,1,1,0,0,0.9875,8.5047E-08,2.50095E-09,0.0101884,0.0023114
"Risk Neutral CM 0.25 MILDRA DM 2","2.454E-08","0.816","536","Not Litigated",0.9999,1,3.05567E-11,0.500003,1.528E-11,0,1,3.05567E-11,4.00668E-12,4.50003,3.73771,0.612972,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.73774E-05,1000,1000,3.81959E-13,3.055E-11,5.754E-15,3.0557E-11,6.10962E-11,5.75365E-15,3.73774E-05,3.73774E-05,3.73773E-05,2.65501E-11,9.90877E-15,2.65401E-11,0,0,,0,0,0,0.000376588,0,-3.15347E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,0.10283,0.127185,0.135104,0.134876,0.134877,0.135107,0.127188,0.102833,1.5278E-11,0,1,1.52784E-11,0,0,0,0,0
"Risk Neutral CM 0.25 MILDRA DM 2","2.454E-08","0.816","536","Settles",7.5E-5,0,1,0.453751,1,1,1,1,0.131208,4.13001,3.65891,0.589172,0.168278,0.149756,0.132694,0.119466,0.110539,0.106921,0.106724,0.105623,1,1,0.0625003,0.062501,,,1,,,,,0,0,0,,9.075,9.82496,18.9,1.10004,997.618,999.701,0.1,0.174988,6.7884E-5,0.175056,0.0306238,6.27754E-05,0.868829,0.968829,3.65891E-05,0.868792,6.3441E-05,0.868729,0,1,0.125001,0,0,0,7.36655E-05,0,-0.0180291,0.122566,0.147687,0.150509,0.141657,0.131985,0.12332,0.100662,0.0816133,0.123011,0.147448,0.147582,0.138184,0.130576,0.124098,0.112153,0.0769481,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 MILDRA DM 2","2.454E-08","0.816","536","Tried",9.5E-7,0,1,0.56117,1,1,1,1,0.124393,4.98936,3.00006,0.755732,0.00353476,0.0210817,0.0899055,0.2312,0.315628,0.223861,0.0904747,0.0243152,1,1,0.312527,0.0625011,,,0,,,,,0,0,1,0.184912,9.29482,9.55515,18.85,1.15003,997.712,997.885,0.15,0.435719,0.0176687,0.453387,0.775856,0.0189939,0.875637,1.02564,3.00006E-05,0.875607,0.0209305,0.854677,0,0,,0,0,0,0.0243079,0,4.72812,1.3538E-05,1.62626E-05,1.66533E-05,1.56738E-05,1.5257E-05,1.55078E-05,0.714225,0.285682,0.0909717,0.260972,0.647997,1.64305E-05,1.37024E-05,1.16337E-05,9.67014E-06,8.41215E-06,1,1,0,0,0,0,0,0.815088,0.184912
"Risk Neutral CM 0.25 MILDRA DM 2","2.454E-08","0.816","536","PWins",1.8E-7,0,1,0.61287,1,1,1,1,0.126354,5.40296,3.00001,0.794676,0.000865811,0.00739392,0.0459432,0.168352,0.312321,0.283981,0.138571,0.0425723,1,1,0.312514,0.0625028,,,0,,,,,0,0,1,1,10.925,7.92497,18.85,1.15003,1000.94,989.099,0.15,2.03243,0,2.03243,4.17153,0,0.873676,1.02368,3.00001E-05,0.873646,0.0366563,0.83699,0,0,,0,0,0,0.0425711,0,4.68863,2.95569E-06,4.22002E-06,5.42431E-06,6.59765E-06,8.45091E-06,1.30395E-05,0.672517,0.327442,0.06458,0.232226,0.703161,9.51533E-06,6.76769E-06,7.10015E-06,7.21152E-06,2.78104E-06,1,1,0,0,0,0,0,0,1
