"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 MILDRA FSM 2","1.071E-07","0.9716","364","All",1,0.9999,9.97911E-05,0.5,4.197E-11,1.99662E-11,1,9.97911E-05,9.99846E-06,4.5,1,0.921114,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.0625008,0.0625008,,,1.99662E-11,,,,,2.84015E-17,9.08365E-19,1.52E-20,0.429142,9.9999,9.99999,19.9999,0.000109791,1000,1000,4.07494E-11,2.181E-11,3.7205E-5,3.72049E-5,2.03226E-11,3.72049E-05,9.97929E-05,9.97929E-05,1.00002E-05,8.97926E-05,3.33731E-05,5.64195E-05,0,1.9966E-11,0.0625004,2.84015E-17,9.08365E-19,8.75277E-24,0.372828,0,-1.31308E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,4.1975E-11,1.99662E-11,1,2.20086E-11,1.99662E-11,2.84015E-17,9.08365E-19,8.6632E-21,6.513E-21
"Risk Neutral CM 4 MILDRA FSM 2","1.071E-07","0.9716","364","NoDispute",0.9999,1,0,0.500001,0,0,1,0,0,4.50001,1,0.921114,0.124999,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,10,9.99999,20,1.00002E-05,1000,1000,0,0,0,0,0,0,1.00002E-05,1.00002E-05,1.00002E-05,0,0,0,0,0,,0,0,0,,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 MILDRA FSM 2","1.071E-07","0.9716","364","DisputeArises",0.0001,0,1,0.492902,4.2063E-7,2.0008E-07,1,1,0.100194,4.44321,1,0.914383,0.140777,0.130232,0.121814,0.117766,0.116583,0.118169,0.123735,0.130923,1,1,0.0625008,0.0625008,,,2.0008E-07,,,,,2.84609E-13,9.10267E-15,1.52E-16,0.429142,9,9.99999,19,1.00001,997.311,1000,4.08347E-07,2.1853E-7,0.372828,0.372828,2.03651E-07,0.372828,0.899816,0.899816,1E-05,0.899806,0.33443,0.565376,0,2.0008E-07,0.0625004,2.84609E-13,9.10267E-15,8.77109E-20,0.372828,0,-4.99802E-14,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,4.20627E-7,2.0008E-07,1,2.20547E-07,2.0008E-07,2.84609E-13,9.10267E-15,8.6813E-17,6.526E-17
"Risk Neutral CM 4 MILDRA FSM 2","1.071E-07","0.9716","364","PFiles",4E-11,0,1,0.496636,1,0.475671,1,1,0.0953213,4.47309,0.475673,0.969652,0.137875,0.128505,0.121038,0.117688,0.117039,0.119159,0.125379,0.133317,1,1,0.0625008,0.0625008,,,0.47567,,,,,6.76632E-07,2.16407E-08,3.62E-10,0.429142,8.96379,9.0654,18.0292,1.97081,996.11,997.571,0.970805,0.519542,0.412972,0.932514,0.484162,0.577318,0.904683,1.87549,4.75673E-06,0.904679,0.397349,0.50733,0,0.47567,0.0625004,6.76632E-07,2.16407E-08,2.08524E-13,0.439438,0,-3.72644E-13,0.104315,0.128658,0.136112,0.135182,0.134452,0.134053,0.125767,0.10146,0.104315,0.128658,0.136112,0.135182,0.134452,0.134053,0.125767,0.10146,1,0.475671,0,0.524329,0.47567,6.76632E-07,2.16407E-08,2.0639E-10,1.552E-10
"Risk Neutral CM 4 MILDRA FSM 2","1.071E-07","0.9716","364","DAnswers",2E-11,0,1,0.492902,1,1,1,1,0.100194,4.44321,1,0.914383,0.140777,0.130232,0.121814,0.117766,0.116583,0.118169,0.123735,0.130923,1,1,0.0625008,0.0625008,,,0.999999,,,,,1.42248E-06,4.54952E-08,7.6E-10,0.429142,8.2625,9.13749,17.4,2.60001,992.67,997.857,1.6,0.540936,0.647788,1.18872,0.466558,1.12553,0.899816,2.49982,1E-05,0.899806,0.33443,0.565376,0,0.999999,0.0625004,1.42248E-06,4.54952E-08,4.38379E-13,0.372828,0,-4.13183E-13,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,1,1,0,0,0.999999,1.42248E-06,4.54952E-08,4.3389E-10,3.262E-10
"Risk Neutral CM 4 MILDRA FSM 2","1.071E-07","0.9716","364","Litigated",2E-11,0,1,0.492902,1,1,1,1,0.100194,4.44321,1,0.914383,0.140777,0.130232,0.121814,0.117766,0.116583,0.118169,0.123735,0.130923,1,1,0.0625008,0.0625008,,,0.999999,,,,,1.42248E-06,4.54952E-08,7.6E-10,0.429142,8.2625,9.13749,17.4,2.60001,992.67,997.857,1.6,0.540936,0.647788,1.18872,0.466558,1.12553,0.899816,2.49982,1E-05,0.899806,0.33443,0.565376,0,0.999999,0.0625004,1.42248E-06,4.54952E-08,4.38379E-13,0.372828,0,-4.13183E-13,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,1,1,0,0,0.999999,1.42248E-06,4.54952E-08,4.3389E-10,3.262E-10
"Risk Neutral CM 4 MILDRA FSM 2","1.071E-07","0.9716","364","Not Litigated",1,0.9999,9.97911E-05,0.5,2.201E-11,0,1,9.97911E-05,9.99846E-06,4.5,1,0.921114,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.9999,9.99999,19.9999,0.000109791,1000,1000,8.80344E-12,1.101E-11,3.7205E-5,3.72049E-5,1.10072E-11,3.72049E-05,9.97928E-05,9.97929E-05,1.00002E-05,8.97926E-05,3.33731E-05,5.64195E-05,0,0,,0,0,0,0.372828,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,2.2009E-11,0,1,2.20086E-11,0,0,0,0,0
"Risk Neutral CM 4 MILDRA FSM 2","1.071E-07","0.9716","364","Settles",2E-11,0,1,0.492902,1,1,1,1,0.100194,4.44321,1,0.914383,0.140777,0.130232,0.121814,0.117766,0.116583,0.118169,0.123735,0.130923,1,1,0.0625001,0.0625008,,,1,,,,,0,0,0,,8.2625,9.13749,17.4,2.60001,992.67,997.857,1.6,0.540936,0.647788,1.18872,0.466558,1.12553,0.899816,2.49982,1E-05,0.899806,0.33443,0.565376,0,1,0.0625004,0,0,0,0.372828,0,-1.14385E-07,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 MILDRA FSM 2","1.071E-07","0.9716","364","Tried",2E-20,0,1,0.370944,1,1,1,1,0.0909043,3.46755,0.000368681,0.9185,0.0543409,0.159635,0.295659,0.296885,0.148649,0.038311,0.00585324,0.000667939,1,1,0.937361,0.248479,,,0,,,,,0,0,1,0.429142,7.88902,8.71098,16.6,3.4,912.474,934.474,2.4,1.8608,0.368845,2.22964,8.15196,1.69669,0.909096,3.3091,3.68681E-09,0.909096,0.175852,0.733243,0,0,,0,0,0,0.193438,0,5.3668,3.90619E-05,4.80319E-05,5.05908E-05,4.99632E-05,4.93975E-05,0.698274,0.234216,0.0672733,0.99967,4.80319E-05,5.05908E-05,4.99632E-05,4.93975E-05,4.8995E-05,4.57911E-05,3.68488E-05,1,1,0,0,0,0,0,0.570858,0.429142
"Risk Neutral CM 4 MILDRA FSM 2","1.071E-07","0.9716","364","PWins",7E-21,0,1,0.406805,1,1,1,1,0.0909045,3.75444,0.000344706,0.952017,0.0322616,0.115269,0.263647,0.324869,0.194788,0.0580766,0.00988392,0.00120482,1,1,0.93737,0.248483,,,0,,,,,0,0,1,1,11.2,5.4,16.6,3.4,1001.09,845.855,2.4,4.33609,0,4.33609,18.996,0,0.909096,3.3091,3.44706E-09,0.909096,0.239916,0.66918,0,0,,0,0,0,0.263908,0,5.42047,1.5782E-05,2.32914E-05,3.13979E-05,4.08697E-05,5.17961E-05,0.660932,0.255438,0.0834673,0.999671,2.32914E-05,3.13979E-05,4.08697E-05,5.17961E-05,6.16291E-05,6.45379E-05,5.54013E-05,1,1,0,0,0,0,0,0,1
