"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1E-05","6.101E-08","0.8431","583","All",1,0.999928,7.19619E-05,0.5,7.1962E-5,7.19619E-05,1,7.19619E-05,1.00044E-05,4.5,4.59514,0.520778,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.14995,0.136996,,,6.72007E-05,,,,,2.94731E-11,5.40327E-13,4.761E-6,0.268767,9.99993,9.99994,19.9999,0.000125348,1000,1000,7.43425E-06,1.2137E-5,4.8334E-6,1.69707E-5,2.87812E-06,4.37249E-06,0.000107909,0.000115343,4.59516E-05,6.19576E-05,5.09425E-06,5.68633E-05,0,6.72007E-5,0.133754,2.94731E-11,5.40327E-13,5.05455E-18,0.0839593,0,-7.38493E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,7.19619E-5,7.19619E-05,0.999928,1.43981E-11,6.72007E-05,2.94731E-11,5.40327E-13,3.4815E-06,1.2796E-6
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1E-05","6.101E-08","0.8431","583","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50002,4.59514,0.52078,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99995,20,4.59516E-05,1000,1000,0,0,0,0,0,0,4.59516E-05,4.59516E-05,4.59516E-05,0,0,0,0,0,,0,0,0,,0,-3.30094E-07,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127186,0.135105,0.134875,0.134876,0.135106,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1E-05","6.101E-08","0.8431","583","DisputeArises",7.2E-5,0,1,0.458621,1,1,1,1,0.139023,4.16897,4.58836,0.496467,0.164619,0.145012,0.129744,0.120887,0.115339,0.11106,0.10822,0.105118,1,1,0.14995,0.136996,,,0.933837,,,,,4.09565E-07,7.50851E-09,0.066162,0.268767,9.09103,9.80561,18.8966,1.10335,999.008,999.894,0.103308,0.168663,0.0671664,0.235829,0.0399951,0.0607611,0.861023,0.964331,4.58836E-05,0.860977,0.0707909,0.790186,0,0.933837,0.133754,4.09565E-07,7.50851E-09,7.02393E-14,0.0839593,0,0.00458673,0.119614,0.144221,0.147434,0.13964,0.131094,0.123128,0.109702,0.0851664,0.118355,0.141912,0.143772,0.144788,0.136817,0.130029,0.103701,0.0806256,1,1,2.0008E-07,2.0008E-07,0.933837,4.09565E-07,7.50851E-09,0.0483797,0.0177821
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1E-05","6.101E-08","0.8431","583","PFiles",7.2E-5,0,1,0.458621,1,1,1,1,0.139023,4.16897,4.58836,0.496467,0.164619,0.145012,0.129744,0.120887,0.115339,0.11106,0.10822,0.105118,1,1,0.14995,0.136996,,,0.933838,,,,,4.09565E-07,7.50852E-09,0.066162,0.268767,9.09103,9.80561,18.8966,1.10335,999.008,999.894,0.103308,0.168663,0.0671664,0.235829,0.0399951,0.0607611,0.861023,0.964331,4.58836E-05,0.860977,0.0707909,0.790186,0,0.933838,0.133754,4.09565E-07,7.50852E-09,7.02393E-14,0.0839593,0,0.00458673,0.119614,0.144221,0.147434,0.13964,0.131094,0.123128,0.109702,0.0851664,0.118355,0.141912,0.143772,0.144788,0.136817,0.130029,0.103701,0.0806256,1,1,0,2.0008E-07,0.933838,4.09565E-07,7.50852E-09,0.0483797,0.0177821
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1E-05","6.101E-08","0.8431","583","DAnswers",7.2E-5,0,1,0.458621,1,1,1,1,0.139023,4.16897,4.58836,0.496467,0.164619,0.145012,0.129744,0.120887,0.115339,0.11106,0.10822,0.105118,1,1,0.14995,0.136996,,,0.933838,,,,,4.09565E-07,7.50852E-09,0.066162,0.268767,9.09103,9.80561,18.8966,1.10335,999.008,999.894,0.103308,0.168662,0.0671664,0.235829,0.0399949,0.0607611,0.861023,0.964331,4.58836E-05,0.860977,0.0707909,0.790186,0,0.933838,0.133754,4.09565E-07,7.50852E-09,7.02393E-14,0.0839593,0,0.00458673,0.119614,0.144221,0.147434,0.13964,0.131094,0.123128,0.109702,0.0851664,0.118355,0.141912,0.143772,0.144788,0.136817,0.130029,0.103701,0.0806256,1,1,0,0,0.933838,4.09565E-07,7.50852E-09,0.0483797,0.0177821
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1E-05","6.101E-08","0.8431","583","Litigated",7.2E-5,0,1,0.458621,1,1,1,1,0.139023,4.16897,4.58836,0.496467,0.164619,0.145012,0.129744,0.120887,0.115339,0.11106,0.10822,0.105118,1,1,0.14995,0.136996,,,0.933838,,,,,4.09565E-07,7.50852E-09,0.066162,0.268767,9.09103,9.80561,18.8966,1.10335,999.008,999.894,0.103308,0.168662,0.0671664,0.235829,0.0399949,0.0607611,0.861023,0.964331,4.58836E-05,0.860977,0.0707909,0.790186,0,0.933838,0.133754,4.09565E-07,7.50852E-09,7.02393E-14,0.0839593,0,0.00458673,0.119614,0.144221,0.147434,0.13964,0.131094,0.123128,0.109702,0.0851664,0.118355,0.141912,0.143772,0.144788,0.136817,0.130029,0.103701,0.0806256,1,1,0,0,0.933838,4.09565E-07,7.50852E-09,0.0483797,0.0177821
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1E-05","6.101E-08","0.8431","583","Not Litigated",0.9999,1,2.87984E-11,0.500003,1.44E-11,0,1,2.87984E-11,4.00363E-12,4.50002,4.59514,0.52078,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99995,20,4.59516E-05,1000,1000,3.59979E-13,1.319E-11,1.239E-12,1.4429E-11,1.31902E-11,1.20970E-12,4.59516E-05,4.59516E-05,4.59516E-05,2.47947E-11,2.0386599999999997E-12,2.27561E-11,0,0,,0,0,0,0.0839593,0,-3.30094E-07,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127186,0.135105,0.134875,0.134876,0.135106,0.127189,0.102833,1.4399E-11,0,1,1.43992E-11,0,0,0,0,0
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1E-05","6.101E-08","0.8431","583","Settles",6.7E-5,0,1,0.443959,1,1,1,1,0.138282,4.05167,4.59938,0.485522,0.175794,0.153393,0.133651,0.120008,0.11213,0.105969,0.100796,0.0982601,1,1,0.130257,0.137251,,,1,,,,,0,0,0,,9.08375,9.8162,18.9,1.10005,999.012,999.915,0.1,0.168995,0.0535968,0.222592,0.0338715,0.0462271,0.861764,0.961764,4.59938E-05,0.861718,0.052425,0.809293,0,1,0.133754,0,0,0,0.0621415,0,-0.22403,0.128089,0.154439,0.15788,0.149533,0.140381,0.112937,0.109028,0.0477132,0.122949,0.143121,0.135932,0.14886,0.13378,0.117973,0.111048,0.0863378,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1E-05","6.101E-08","0.8431","583","Tried",4.8E-6,0,1,0.665568,1,1,1,1,0.149479,5.82454,4.4328,0.650955,0.00689071,0.0267115,0.074593,0.133303,0.160634,0.182929,0.213016,0.201922,1,1,0.427896,0.133401,,,0,,,,,0,0,1,0.268767,9.19377,9.65619,18.85,1.15004,998.957,999.598,0.15,0.163966,0.258695,0.42266,0.126423,0.265902,0.850566,1.00057,4.4328E-05,0.850521,0.330015,0.520506,0,0,,0,0,0,0.391905,0,3.23139,5.24879E-07,8.38685E-07,1.15212E-06,2.96675E-06,2.87669E-06,0.266975,0.119218,0.613799,0.0535198,0.124843,0.254434,0.0873211,0.179681,0.300197,2.02914E-06,1.67142E-06,1,1,0,0,0,0,0,0.731233,0.268767
"MODRA CM 0.25 FSM 0 DM 1 LT 0.8 UPC 1E-05","6.101E-08","0.8431","583","PWins",1.3E-6,0,1,0.769439,1,1,1,1,0.153301,6.65551,4.17686,0.755972,0.00097794,0.00496351,0.0192148,0.0508663,0.103554,0.198055,0.301547,0.320821,1,1,0.536366,0.165392,,,0,,,,,0,0,1,1,9.925,8.92496,18.85,1.15004,999.97,998.585,0.15,0.470002,0.0453749,0.515377,0.459877,0.00340312,0.846741,0.996741,4.17686E-05,0.846699,0.50935,0.337348,0,0,,0,0,0,0.604998,0,2.84027,2.31076E-07,4.5346E-07,7.742E-07,1.689E-06,2.46734E-06,0.0973006,0.0540276,0.848666,0.0155018,0.0456651,0.115699,0.113249,0.255163,0.454718,1.60584E-06,1.43699E-06,1,1,0,0,0,0,0,0,1
