"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 FSM 0 DM 0.5 LT 1.2 UPC 1.2E-05","2.835E-08","0.896","791","All",1,0.99989,0.000109999,0.5,6.9836E-5,6.98356E-05,1,0.000109999,9.999E-06,4.5,5.60224E-06,0.850655,0.125001,0.125,0.124999,0.124999,0.124999,0.124999,0.125,0.125001,1,1,0.1875,0.159087,,,5.39613E-05,,,,,1.78985E-12,1.95696E-17,1.587E-5,0.0866013,9.99989,9.99999,19.9999,0.000117776,9.99989,9.99999,7.77728E-06,9.6349E-6,0,9.63489E-6,1.65115E-06,0,0.0001,0.000107777,2.67307E-10,9.99999E-05,0,9.99999E-05,0,5.39613E-5,0.0937501,1.78985E-12,1.95696E-17,5.0126E-24,0,0,-9.0361E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,6.98356E-5,6.98356E-05,0.99993,1.39727E-11,5.39613E-05,1.78985E-12,1.95696E-17,1.44996E-5,1.3747E-6
"Risk Neutral CM 0.25 FSM 0 DM 0.5 LT 1.2 UPC 1.2E-05","2.835E-08","0.896","791","NoDispute",0.9999,1,0,0.5,0,0,1,0,0,4.5,5.60246E-06,0.850655,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,10,10,20,2.67332E-10,10,10,0,0,0,0,0,0,2.67332E-10,2.67332E-10,2.67332E-10,0,0,0,0,0,,0,0,0,,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 FSM 0 DM 0.5 LT 1.2 UPC 1.2E-05","2.835E-08","0.896","791","DisputeArises",0.0001,0,1,0.500216,0.634876,0.634875,1,1,0.0909009,4.50173,3.62896E-06,0.849888,0.136137,0.127116,0.119725,0.116594,0.116729,0.120019,0.127386,0.136293,1,1,0.1875,0.159087,,,0.490562,,,,,1.62715E-08,1.77907E-13,0.144313,0.0866013,9.01689,9.91241,18.9293,1.0707,9.01689,9.91241,0.0707032,0.0875908,0,0.0875908,0.0150106,0,0.909099,0.979802,4.35476E-11,0.909099,0,0.909099,0,0.490562,0.0937501,1.62715E-08,1.77907E-13,4.55695E-20,0,0,-1.67371E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.634876,0.634875,0.365124,1.27026E-07,0.490562,1.62715E-08,1.77907E-13,0.131816,0.0124977
"Risk Neutral CM 0.25 FSM 0 DM 0.5 LT 1.2 UPC 1.2E-05","2.835E-08","0.896","791","PFiles",7E-05,0,1,0.655398,1,1,1,1,0.0909008,5.74318,6.40864E-08,0.964872,0.019241,0.0415249,0.0766379,0.118318,0.153868,0.178555,0.197807,0.214048,1,1,0.1875,0.159087,,,0.77269,,,,,2.56294E-08,2.80224E-13,0.227309,0.0866013,9.0266,9.86203,18.8886,1.11137,9.0266,9.86203,0.111365,0.137965,0,0.137965,0.0236434,0,0.909099,1.02046,7.69037E-13,0.909099,0,0.909099,0,0.77269,0.0937501,2.56294E-08,2.80224E-13,7.17771E-20,0,0,0.488967,3.24071E-08,4.00827E-08,4.25784E-08,0.212445,0.212445,0.212807,0.200333,0.16197,0.0353526,0.0603424,0.0911906,0.125556,0.159394,0.184525,0.187095,0.156544,1,1,0,2.0008E-07,0.77269,2.56294E-08,2.80224E-13,0.207624,0.0196853
"Risk Neutral CM 0.25 FSM 0 DM 0.5 LT 1.2 UPC 1.2E-05","2.835E-08","0.896","791","DAnswers",7E-05,0,1,0.655398,1,1,1,1,0.0909008,5.74318,6.40864E-08,0.964872,0.019241,0.0415249,0.0766379,0.118318,0.153868,0.178555,0.197807,0.214048,1,1,0.1875,0.159087,,,0.77269,,,,,2.56294E-08,2.80224E-13,0.22731,0.0866013,9.0266,9.86203,18.8886,1.11137,9.0266,9.86203,0.111365,0.137965,0,0.137965,0.0236433,0,0.909099,1.02046,7.69037E-13,0.909099,0,0.909099,0,0.77269,0.0937501,2.56294E-08,2.80224E-13,7.17771E-20,0,0,0.488967,3.24071E-08,4.00827E-08,4.25784E-08,0.212445,0.212445,0.212807,0.200333,0.16197,0.0353526,0.0603424,0.0911906,0.125556,0.159394,0.184525,0.187095,0.156544,1,1,0,0,0.77269,2.56294E-08,2.80224E-13,0.207624,0.0196853
"Risk Neutral CM 0.25 FSM 0 DM 0.5 LT 1.2 UPC 1.2E-05","2.835E-08","0.896","791","Litigated",7E-05,0,1,0.655398,1,1,1,1,0.0909008,5.74318,6.40864E-08,0.964872,0.019241,0.0415249,0.0766379,0.118318,0.153868,0.178555,0.197807,0.214048,1,1,0.1875,0.159087,,,0.77269,,,,,2.56294E-08,2.80224E-13,0.22731,0.0866013,9.0266,9.86203,18.8886,1.11137,9.0266,9.86203,0.111365,0.137965,0,0.137965,0.0236433,0,0.909099,1.02046,7.69037E-13,0.909099,0,0.909099,0,0.77269,0.0937501,2.56294E-08,2.80224E-13,7.17771E-20,0,0,0.488967,3.24071E-08,4.00827E-08,4.25784E-08,0.212445,0.212445,0.212807,0.200333,0.16197,0.0353526,0.0603424,0.0911906,0.125556,0.159394,0.184525,0.187095,0.156544,1,1,0,0,0.77269,2.56294E-08,2.80224E-13,0.207624,0.0196853
"Risk Neutral CM 0.25 FSM 0 DM 0.5 LT 1.2 UPC 1.2E-05","2.835E-08","0.896","791","Not Litigated",0.9999,0.99996,4.01661E-05,0.499989,1.397E-11,0,1,4.01661E-05,3.65114E-06,4.49991,5.60263E-06,0.850647,0.125009,0.125006,0.125003,0.125,0.124997,0.124996,0.124995,0.124995,1,1,,,,,0,,,,,0,0,0,,9.99996,10,20,4.01664E-05,9.99996,10,3.49342E-13,6.987E-12,0,6.9868E-12,3.49342E-12,0,3.65153E-05,3.65153E-05,2.67326E-10,3.6515E-05,0,3.6515E-05,0,0,,0,0,0,0,0,-3.41497E-05,0.102838,0.127196,0.135115,0.134871,0.134871,0.1351,0.127182,0.102827,0.102836,0.127192,0.135109,0.134877,0.134874,0.135102,0.127183,0.102827,1.3974E-11,0,1,1.39737E-11,0,0,0,0,0
"Risk Neutral CM 0.25 FSM 0 DM 0.5 LT 1.2 UPC 1.2E-05","2.835E-08","0.896","791","Settles",5.4E-5,0,1,0.732897,1,1,1,1,0.0909008,6.36318,4.29875E-08,1.0195,0.00122775,0.00702477,0.0292049,0.0810153,0.150345,0.208458,0.248042,0.274682,1,1,0.1875,0.187501,,,1,,,,,0,0,0,,9.04375,9.85625,18.9,1.1,9.04375,9.85625,0.1,0.14375,0,0.14375,0.0206641,0,0.909099,1.0091,5.15850E-13,0.909099,0,0.909099,0,1,0.0937501,0,0,0,0,0,-0.0736466,4.19405E-08,5.18742E-08,5.5104E-08,0.14654,0.192025,0.22788,0.234961,0.198592,1.20435E-07,1.84614E-07,2.53505E-07,0.110177,0.206284,0.238809,0.242134,0.202596,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 FSM 0 DM 0.5 LT 1.2 UPC 1.2E-05","2.835E-08","0.896","791","Tried",1.6E-5,0,1,0.391954,1,1,1,1,0.0909008,3.63563,1.35808E-07,0.779169,0.0804734,0.158801,0.237876,0.245119,0.165845,0.0769059,0.0270443,0.00793561,1,1,0.187502,0.0625005,,,0,,,,,0,0,1,0.0866013,8.9683,9.8817,18.85,1.15,8.9683,9.8817,0.15,0.118301,0,0.118301,0.0337704,0,0.909099,1.0591,1.62969E-12,0.909099,0,0.909099,0,0,,0,0,0,0,0,2.40145,3.89359E-20,4.76262E-20,2.48365E-13,0.436473,0.281856,0.161566,0.0826225,0.0374822,0.155526,0.265463,0.401173,0.177834,1.02134E-06,1.19763E-06,1.15278E-06,9.6454E-07,1,1,0,0,0,0,0,0.913399,0.0866013
"Risk Neutral CM 0.25 FSM 0 DM 0.5 LT 1.2 UPC 1.2E-05","2.835E-08","0.896","791","PWins",1.4E-6,0,1,0.493469,1,1,1,1,0.0909008,4.44775,1.86841E-07,0.855844,0.0258456,0.0725156,0.1633,0.253253,0.245885,0.151803,0.0654595,0.0219374,1,1,0.187504,0.0625011,,,0,,,,,0,0,1,1,9.425,9.425,18.85,1.15,9.425,9.425,0.15,0.575,0,0.575,0.330625,0,0.909099,1.0591,2.2421E-12,0.909099,0,0.909099,0,0,,0,0,0,0,0,2.51596,1.4831E-20,2.41765E-20,1.83032E-13,0.313843,0.273298,0.206067,0.133415,0.0733777,0.0912948,0.212405,0.438106,0.258184,1.86528E-06,2.60633E-06,2.88173E-06,2.60409E-06,1,1,0,0,0,0,0,0,1
