"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.648E-08","0.8531","389","All",1,0.999931,6.93771E-05,0.5,6.536E-06,6.53597E-06,1,6.93771E-05,1.00263E-05,4.5,4.86512,0.573384,0.125001,0.125,0.125,0.124999,0.125,0.125,0.125,0.125001,1,1,0.514633,0.266632,,,1.97704E-06,,,,,2.35845E-12,8.73387E-13,4.559E-6,0.408842,9.99993,9.99996,19.9999,0.000111824,9.99993,9.99996,3.52618E-06,3.5478E-6,3.3701E-6,6.91793E-6,4.99104E-06,4.67168E-06,9.82719E-05,0.000101798,3.89212E-05,5.93508E-05,3.13961E-06,5.62112E-05,0,1.97704E-6,0.562496,2.35845E-12,8.73387E-13,3.2829E-24,0.053971,0,-8.36846E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,6.53603E-6,6.53597E-06,0.999993,6.20242E-11,1.97704E-06,2.35845E-12,8.73387E-13,2.69505E-6,1.8639E-6
"Risk Neutral CM 1 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.648E-08","0.8531","389","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,4.86513,0.573385,0.124997,0.124998,0.124999,0.124999,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.89213E-05,10,9.99996,0,0,0,0,0,0,3.89213E-05,3.89213E-05,3.89213E-05,0,0,0,0,0,,0,0,0,,0,-3.55314E-06,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127185,0.135104,0.134875,0.134877,0.135108,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.648E-08","0.8531","389","DisputeArises",6.9E-5,0,1,0.438143,0.0942102,0.0942093,1,1,0.14452,4.00514,4.68806,0.555892,0.175152,0.155271,0.138102,0.125075,0.113713,0.103991,0.0972362,0.09146,1,1,0.514633,0.266632,,,0.028497,,,,,3.39946E-08,1.2589E-08,0.065712,0.408842,9.01029,9.93884,18.9491,1.05086,9.01029,9.93884,0.0508262,0.0511381,0.0485768,0.0997149,0.0719407,0.0673375,0.855518,0.906344,3.75045E-05,0.85548,0.0452542,0.810226,0,0.028497,0.562496,3.39946E-08,1.2589E-08,4.73197E-20,0.053971,0,0.0512113,0.127345,0.152652,0.154046,0.14245,0.129193,0.116858,0.100863,0.0765938,0.128179,0.15463,0.158196,0.150183,0.129563,0.109678,0.0959374,0.0736346,0.0942102,0.0942093,0.90579,8.94016E-07,0.028497,3.39946E-08,1.2589E-08,0.0388463,0.0268659
"Risk Neutral CM 1 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.648E-08","0.8531","389","PFiles",6.5E-6,0,1,0.61253,1,0.999991,1,1,0.146674,5.40024,4.29172,0.782035,0.00536733,0.022668,0.0743059,0.168787,0.247391,0.238128,0.161077,0.0822766,1,1,0.514633,0.266632,,,0.302484,,,,,3.60838E-07,1.33627E-07,0.697506,0.408842,9.10928,9.35119,18.4605,1.53953,9.10928,9.35119,0.539498,0.542809,0.337154,0.879963,0.763619,0.536291,0.85336,1.39286,3.43337E-05,0.853326,0.330827,0.522499,0,0.302484,0.562496,3.60838E-07,1.33627E-07,5.02278E-19,0.394412,0,3.05354,1.24412E-06,1.86959E-06,1.94821E-06,1.89483E-06,1.83927E-06,0.39483,0.388647,0.216514,0.04166,0.0981668,0.202334,0.366088,0.291746,2.0151E-06,1.9207E-06,1.56415E-06,1,0.999991,0,9.48959E-06,0.302484,3.60838E-07,1.33627E-07,0.412337,0.28517
"Risk Neutral CM 1 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.648E-08","0.8531","389","DAnswers",6.5E-6,0,1,0.61253,1,1,1,1,0.146674,5.40024,4.29175,0.782031,0.00536645,0.0226673,0.0743056,0.168787,0.247392,0.238129,0.161077,0.0822758,1,1,0.514633,0.266632,,,0.302487,,,,,3.60841E-07,1.33628E-07,0.697513,0.408842,9.10927,9.3512,18.4605,1.53954,9.10927,9.3512,0.539503,0.542813,0.337157,0.87997,0.763625,0.536296,0.85336,1.39286,3.4334E-05,0.853326,0.330823,0.522503,0,0.302487,0.562496,3.60841E-07,1.33628E-07,5.02282E-19,0.394407,0,3.05357,5.09187E-07,8.83943E-07,8.24492E-07,6.713E-07,5.12345E-07,0.394832,0.38865,0.216515,0.0416597,0.0981668,0.202335,0.36609,0.291747,4.77701E-07,4.8594E-07,4.11688E-07,1,1,0,0,0.302487,3.60841E-07,1.33628E-07,0.412341,0.285172
"Risk Neutral CM 1 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.648E-08","0.8531","389","Litigated",6.5E-6,0,1,0.61253,1,1,1,1,0.146674,5.40024,4.29175,0.782031,0.00536645,0.0226673,0.0743056,0.168787,0.247392,0.238129,0.161077,0.0822758,1,1,0.514633,0.266632,,,0.302487,,,,,3.60841E-07,1.33628E-07,0.697513,0.408842,9.10927,9.3512,18.4605,1.53954,9.10927,9.3512,0.539503,0.542813,0.337157,0.87997,0.763625,0.536296,0.85336,1.39286,3.4334E-05,0.853326,0.330823,0.522503,0,0.302487,0.562496,3.60841E-07,1.33628E-07,5.02282E-19,0.394407,0,3.05357,5.09187E-07,8.83943E-07,8.24492E-07,6.713E-07,5.12345E-07,0.394832,0.38865,0.216515,0.0416597,0.0981668,0.202335,0.36609,0.291747,4.77701E-07,4.8594E-07,4.11688E-07,1,1,0,0,0.302487,3.60841E-07,1.33628E-07,0.412341,0.285172
"Risk Neutral CM 1 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.648E-08","0.8531","389","Not Litigated",1,0.999937,6.28416E-05,0.499999,6.202E-11,0,1,6.28416E-05,9.06775E-06,4.49999,4.86512,0.573383,0.125002,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99994,9.99996,19.9999,0.000101763,9.99994,9.99996,6.20246E-12,7.81E-12,1.1665E-6,1.16649E-6,7.80976E-12,1.16647E-06,9.2695E-05,9.2695E-05,3.89212E-05,5.37738E-05,9.77367E-07,5.27964E-05,0,0,,0,0,0,0.018563,0,-1.99581E-05,0.102832,0.127188,0.135107,0.134877,0.134877,0.135104,0.127185,0.10283,0.102832,0.127187,0.135105,0.134875,0.134875,0.135107,0.127188,0.102832,6.2025E-11,0,1,6.20246E-11,0,0,0,0,0
"Risk Neutral CM 1 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.648E-08","0.8531","389","Settles",2E-06,0,1,0.600603,1,1,1,1,0.139996,5.30483,4,0.824258,0.000727194,0.00768262,0.0518249,0.187166,0.324176,0.270684,0.122305,0.0354349,1,1,0.562496,0.562497,,,1,,,,,0,0,0,,9.3625,9.23747,18.6,1.40003,9.3625,9.23747,0.4,0.435825,0.27312,0.708944,0.332315,0.174114,0.860036,1.26004,3.2E-05,0.860004,0.364617,0.495388,0,1,0.562496,0,0,0,0.428422,0,2.38853,1.63523E-06,2.28043E-06,1.48961E-06,8.48205E-07,7.44263E-07,0.611444,0.388547,1.9082E-06,1.33933E-06,2.59596E-06,2.81478E-06,0.999987,1.9364E-06,1.4346E-06,1.41758E-06,1.17503E-06,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.648E-08","0.8531","389","Tried",4.6E-6,0,1,0.617703,1,1,1,1,0.149571,5.44162,4.41826,0.763719,0.00737827,0.0291656,0.0840547,0.160817,0.214094,0.224011,0.177891,0.102589,1,1,0.493877,0.138325,,,0,,,,,0,0,1,0.408842,8.99945,9.40051,18.4,1.60004,8.99945,9.40051,0.6,0.58921,0.364927,0.954138,0.95067,0.693362,0.850465,1.45046,3.53461E-05,0.850429,0.316168,0.534262,0,0,,0,0,0,0.379656,0,3.34197,4.35817E-13,1.57444E-07,4.83378E-07,5.28689E-07,3.41166E-07,0.300895,0.388694,0.310409,0.0597255,0.140737,0.290079,0.0911921,0.418266,6.27275E-08,2.28001E-13,2.01233E-13,1,1,0,0,0,0,0,0.591158,0.408842
"Risk Neutral CM 1 FSM 2 DM 1 LT 0.8 UPC 8E-06","3.648E-08","0.8531","389","PWins",1.9E-6,0,1,0.648652,1,1,1,1,0.150874,5.68921,4.37408,0.798256,0.00317825,0.0158749,0.0589351,0.141179,0.216618,0.241429,0.201188,0.121598,1,1,0.518434,0.156357,,,0,,,,,0,0,1,1,10.3,8.09997,18.4,1.60003,10.3,8.09997,0.6,1.44117,0,1.44117,2.32528,0,0.849161,1.44916,3.49926E-05,0.849126,0.383248,0.465877,0,0,,0,0,0,0.45883,0,3.42108,5.10430E-13,1.71065E-07,4.92975E-07,6.68522E-07,4.85329E-07,0.278264,0.365309,0.356425,0.0462611,0.130542,0.317144,0.13197,0.374083,1.02963E-07,2.48441E-13,2.21188E-13,1,1,0,0,0,0,0,0,1
