"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 FSM 2 DM 2 LT 0.8 UPC 1.2E-05","6.434E-08","0.9564","320","All",1,0.999921,7.94304E-05,0.5,5.8096E-6,5.80955E-06,1,7.94304E-05,1.00141E-05,4.5,3.26975,0.552645,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.292688,0.129956,,,1.52575E-06,,,,,2.16840E-13,2.11652E-13,4.284E-6,0.298578,9.99992,9.99996,19.9999,0.000121848,9.99992,9.99996,3.18058E-06,4.2564E-6,7.6568E-7,5.02206E-6,9.93107E-06,1.29791E-06,0.000108653,0.000111834,3.92372E-05,6.94162E-05,6.7742E-07,6.87388E-05,0,1.52575E-6,0.375001,2.16840E-13,2.11652E-13,3.05720E-24,0.0096417,0,-6.24842E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,5.80956E-6,5.80955E-06,0.999994,6.22475E-12,1.52575E-06,2.16840E-13,2.11652E-13,3.00475E-6,1.279E-06
"Risk Neutral CM 1 FSM 2 DM 2 LT 0.8 UPC 1.2E-05","6.434E-08","0.9564","320","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,3.26976,0.552646,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.92374E-05,10,9.99996,0,0,0,0,0,0,3.92374E-05,3.92374E-05,3.92374E-05,0,0,0,0,0,,0,0,0,,0,-4.20394E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,0.102829,0.127185,0.135104,0.134876,0.134877,0.135107,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 FSM 2 DM 2 LT 0.8 UPC 1.2E-05","6.434E-08","0.9564","320","DisputeArises",7.9E-5,0,1,0.454137,0.0731403,0.0731402,1,1,0.126074,4.1331,3.12623,0.53684,0.166946,0.149766,0.133291,0.120438,0.111173,0.106151,0.105657,0.106579,1,1,0.292688,0.129956,,,0.0192087,,,,,2.72994E-09,2.66462E-09,0.053932,0.298578,9.00635,9.95357,18.9599,1.04008,9.00635,9.95357,0.0400424,0.0535863,0.0096396,0.0632259,0.125029,0.0163402,0.873963,0.914006,3.75147E-05,0.873926,0.00852848,0.865397,0,0.0192087,0.375001,2.72994E-09,2.66462E-09,3.84891E-20,0.0096417,0,0.0529219,0.121652,0.146469,0.148916,0.139603,0.129624,0.121119,0.108151,0.0844655,0.124922,0.152655,0.159308,0.131174,0.123953,0.117803,0.106464,0.0837202,0.0731403,0.0731402,0.92686,7.83674E-08,0.0192087,2.72994E-09,2.66462E-09,0.0378288,0.0161028
"Risk Neutral CM 1 FSM 2 DM 2 LT 0.8 UPC 1.2E-05","6.434E-08","0.9564","320","PFiles",5.8E-6,0,1,0.423658,1,0.999999,1,1,0.109175,3.88927,1.99999,0.63367,0.0430406,0.116836,0.229662,0.285162,0.2057,0.0884361,0.0255054,0.00565813,1,1,0.292688,0.129956,,,0.262628,,,,,3.73247E-08,3.64316E-08,0.737371,0.298578,9.08685,9.36565,18.4525,1.5475,9.08685,9.36565,0.547474,0.732651,0.119571,0.852222,1.70944,0.211183,0.890849,1.43832,2.39999E-05,0.890825,0.105784,0.785041,0,0.262628,0.375001,3.73247E-08,3.64316E-08,5.26237E-19,0.119599,0,3.31213,7.22347E-07,1.33025E-06,1.3908E-06,1.3586E-06,0.536452,0.281456,0.129706,0.0523804,0.153791,0.306572,0.539629,1.61325E-06,1.74299E-06,1.84581E-06,1.79291E-06,1.47121E-06,1,0.999999,0,1.07147E-06,0.262628,3.73247E-08,3.64316E-08,0.517208,0.220163
"Risk Neutral CM 1 FSM 2 DM 2 LT 0.8 UPC 1.2E-05","6.434E-08","0.9564","320","DAnswers",5.8E-6,0,1,0.423658,1,1,1,1,0.109175,3.88926,2,0.633669,0.0430406,0.116836,0.229662,0.285162,0.2057,0.088436,0.0255052,0.00565776,1,1,0.292688,0.129956,,,0.262628,,,,,3.73247E-08,3.64317E-08,0.737372,0.298578,9.08685,9.36565,18.4525,1.5475,9.08685,9.36565,0.547474,0.732651,0.119571,0.852222,1.70944,0.211184,0.890849,1.43832,2.39999E-05,0.890825,0.105784,0.785041,0,0.262628,0.375001,3.73247E-08,3.64317E-08,5.26237E-19,0.119599,0,3.31213,7.18412E-07,1.31869E-06,1.3614E-06,1.29409E-06,0.536453,0.281456,0.129706,0.0523802,0.153791,0.306572,0.539629,1.61325E-06,1.74299E-06,1.84581E-06,1.31108E-06,1.08165E-06,1,1,0,0,0.262628,3.73247E-08,3.64317E-08,0.517209,0.220163
"Risk Neutral CM 1 FSM 2 DM 2 LT 0.8 UPC 1.2E-05","6.434E-08","0.9564","320","Litigated",5.8E-6,0,1,0.423658,1,1,1,1,0.109175,3.88926,2,0.633669,0.0430406,0.116836,0.229662,0.285162,0.2057,0.088436,0.0255052,0.00565776,1,1,0.292688,0.129956,,,0.262628,,,,,3.73247E-08,3.64317E-08,0.737372,0.298578,9.08685,9.36565,18.4525,1.5475,9.08685,9.36565,0.547474,0.732651,0.119571,0.852222,1.70944,0.211184,0.890849,1.43832,2.39999E-05,0.890825,0.105784,0.785041,0,0.262628,0.375001,3.73247E-08,3.64317E-08,5.26237E-19,0.119599,0,3.31213,7.18412E-07,1.31869E-06,1.3614E-06,1.29409E-06,0.536453,0.281456,0.129706,0.0523802,0.153791,0.306572,0.539629,1.61325E-06,1.74299E-06,1.84581E-06,1.31108E-06,1.08165E-06,1,1,0,0,0.262628,3.73247E-08,3.64317E-08,0.517209,0.220163
"Risk Neutral CM 1 FSM 2 DM 2 LT 0.8 UPC 1.2E-05","6.434E-08","0.9564","320","Not Litigated",1,0.999926,7.36212E-05,0.5,6.225E-12,0,1,7.36212E-05,9.37991E-06,4.5,3.26976,0.552644,0.125002,0.125,0.124999,0.124998,0.124999,0.125,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99996,19.9999,0.000112859,9.99993,9.99996,6.22478E-13,7.285E-12,7.1024E-8,7.10313E-8,9.40515E-12,7.1024E-08,0.000103479,0.000103479,3.92373E-05,6.42413E-05,6.28653E-08,6.41785E-05,0,0,,0,0,0,0.000964792,0,-1.92421E-05,0.102832,0.127188,0.135107,0.134877,0.134874,0.135105,0.127187,0.102831,0.102831,0.127186,0.135104,0.134877,0.134877,0.135107,0.127188,0.102832,6.2248E-12,0,1,6.22478E-12,0,0,0,0,0
"Risk Neutral CM 1 FSM 2 DM 2 LT 0.8 UPC 1.2E-05","6.434E-08","0.9564","320","Settles",1.5E-6,0,1,0.416218,1,1,1,1,0.109027,3.82975,2.00001,0.629293,0.0237308,0.0996183,0.256885,0.34172,0.209342,0.0591955,0.00870684,0.000801625,1,1,0.1875,0.187502,,,1,,,,,0,0,0,,9.175,9.42497,18.6,1.40002,9.175,9.42497,0.4,0.535498,0.0566757,0.592174,0.307913,0.046757,0.890997,1.291,2.40002E-05,0.890973,0.0607906,0.830182,0,1,0.375001,0,0,0,0.0686992,0,1.99997,1.57592E-06,2.40206E-06,1.58218E-06,1.53241E-06,0.999983,4.90951E-06,2.61649E-06,1.90584E-06,2.30449E-06,3.50425E-06,0.999981,2.2966E-06,2.33195E-06,2.92178E-06,2.72318E-06,2.59855E-06,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 FSM 2 DM 2 LT 0.8 UPC 1.2E-05","6.434E-08","0.9564","320","Tried",4.3E-6,0,1,0.426308,1,1,1,1,0.109228,3.91046,1.99999,0.635228,0.0499181,0.122968,0.219967,0.265018,0.204403,0.0988505,0.0314882,0.00738736,1,1,0.330152,0.10946,,,0,,,,,0,0,1,0.298578,9.05545,9.34453,18.4,1.60002,9.05545,9.34453,0.6,0.80287,0.141972,0.944842,2.20861,0.269747,0.890796,1.4908,2.39999E-05,0.890772,0.121809,0.768964,0,0,,0,0,0,0.137727,0,3.77948,4.12996E-07,9.32829E-07,1.28277E-06,1.2092E-06,0.371358,0.3817,0.175902,0.0710356,0.208565,0.415762,0.375667,1.36987E-06,1.53323E-06,1.46258E-06,8.08136E-07,5.41375E-07,1,1,0,0,0,0,0,0.701422,0.298578
"Risk Neutral CM 1 FSM 2 DM 2 LT 0.8 UPC 1.2E-05","6.434E-08","0.9564","320","PWins",1.3E-6,0,1,0.481368,1,1,1,1,0.110393,4.35094,1.99998,0.672683,0.0257562,0.0766114,0.171896,0.262883,0.251838,0.145014,0.0525394,0.0134621,1,1,0.357335,0.119553,,,0,,,,,0,0,1,1,11.3,7.09998,18.4,1.60002,11.3,7.09998,0.6,2.68898,0,2.68898,7.39711,0,0.889631,1.48963,2.39998E-05,0.889607,0.186607,0.703,0,0,,0,0,0,0.211018,0,3.82209,4.54214E-07,1.04385E-06,1.63804E-06,1.83046E-06,0.291907,0.396636,0.213198,0.0982548,0.160745,0.382839,0.456405,2.16812E-06,2.76666E-06,3.09035E-06,1.6519E-06,1.16545E-06,1,1,0,0,0,0,0,0,1
