Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000004365,0,0,0,0.025,0.025,0.05,0,0.1
0.000040138,0,0,1,0.025,0.025,0.05,0,1.1
0.000003513,0,1,0,0.025,0.025,0.05,0,1.1
0.000000635,0,0,0,0.025,0.025,0.05,0.05,0.15
0.000002148,0,0,1,0.025,0.025,0.05,0.05,1.15
0.000004201,0,1,0,0.025,0.025,0.05,0.05,1.15
0.499944901,0,0,0,0,0,0,0,0
0.000001032,3E-05,0,0,0.025,0.025,0.05,0,0.10003
0.000003274,3E-05,0,1,0.025,0.025,0.05,0,1.10003
0.000003329,3E-05,1,0,0.025,0.025,0.05,0,1.10003
0.102823608,3E-05,0,0,0,0,0,0,3E-05
0.000003393,4E-05,0,0,0.025,0.025,0.05,0,0.10004
0.000019609,4E-05,0,1,0.025,0.025,0.05,0,1.10004
0.397141796,4E-05,0,0,0,0,0,0,4E-05
0.000004058,4E-05,0,1,0,0,0,0,1.00004
