Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000003424,2.4E-05,0,0,0.025,0.025,0.05,0,0.100024
0.000026978,2.4E-05,0,1,0.025,0.025,0.05,0,1.100024
0.000000295,2.4E-05,1,0,0.025,0.025,0.05,0,1.100024
0.000000113,2.4E-05,0,0,0.025,0.025,0.05,0.05,0.150024
0.000000533,2.4E-05,0,1,0.025,0.025,0.05,0.05,1.150024
0.000000263,2.4E-05,1,0,0.025,0.025,0.05,0.05,1.150024
0.355090644,2.4E-05,0,0,0,0,0,0,2.4E-05
0.000000675,3.2E-05,0,1,0.025,0.025,0.05,0,1.100032
0.000000030,3.2E-05,0,1,0.025,0.025,0.05,0.05,1.150032
0.010000992,3.2E-05,0,0,0,0,0,0,3.2E-05
0.000006383,4E-05,0,0,0.025,0.025,0.05,0,0.10004
0.000033940,4E-05,0,1,0.025,0.025,0.05,0,1.10004
0.634835729,4E-05,0,0,0,0,0,0,4E-05
