Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000000618,1.2E-05,0,0,0.025,0.025,0.05,0,0.100012
0.000003280,1.2E-05,0,1,0.025,0.025,0.05,0,1.100012
0.000002285,1.2E-05,1,0,0.025,0.025,0.05,0,1.100012
0.000000298,1.2E-05,0,0,0.025,0.025,0.05,0.05,0.150012
0.000001354,1.2E-05,0,1,0.025,0.025,0.05,0.05,1.150012
0.000001319,1.2E-05,1,0,0.025,0.025,0.05,0.05,1.150012
0.433650714,1.2E-05,0,0,0,0,0,0,1.2E-05
0.000030496,1.2E-05,0,1,0,0,0,0,1.000012
0.000001078,1.2E-05,1,0,0,0,0,0,1.000012
0.566270056,3.6E-05,0,0,0,0,0,0,3.6E-05
0.000030127,3.6E-05,0,1,0,0,0,0,1.000036
0.000008376,3.6E-05,1,0,0,0,0,0,1.000036
