Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000000233,8E-06,0,0,0.025,0.025,0.05,0,0.100008
0.000001842,8E-06,0,1,0.025,0.025,0.05,0,1.100008
0.000000278,8E-06,1,0,0.025,0.025,0.05,0,1.100008
0.000000953,8E-06,0,0,0.025,0.025,0.05,0.05,0.150008
0.000006655,8E-06,0,1,0.025,0.025,0.05,0.05,1.150008
0.000002004,8E-06,1,0,0.025,0.025,0.05,0.05,1.150008
0.365088936,8E-06,0,0,0,0,0,0,8E-06
0.000022622,8E-06,0,1,0,0,0,0,1.000008
0.000000220,8E-06,1,0,0,0,0,0,1.000008
0.000000555,1.6E-05,0,0,0.025,0.025,0.05,0.05,0.150016
0.000002746,1.6E-05,0,1,0.025,0.025,0.05,0.05,1.150016
0.000001635,1.6E-05,1,0,0.025,0.025,0.05,0.05,1.150016
0.134864705,1.6E-05,0,0,0,0,0,0,1.6E-05
0.000006430,1.6E-05,0,1,0,0,0,0,1.000016
0.000000187,1.6E-05,1,0,0,0,0,0,1.000016
0.000000555,2.4E-05,0,0,0.025,0.025,0.05,0,0.100024
0.000002831,2.4E-05,0,1,0.025,0.025,0.05,0,1.100024
0.000000818,2.4E-05,1,0,0.025,0.025,0.05,0,1.100024
0.000000776,2.4E-05,0,0,0.025,0.025,0.05,0.05,0.150024
0.000003944,2.4E-05,0,1,0.025,0.025,0.05,0.05,1.150024
0.000001180,2.4E-05,1,0,0.025,0.025,0.05,0.05,1.150024
0.269962028,2.4E-05,0,0,0,0,0,0,2.4E-05
0.000009717,2.4E-05,0,1,0,0,0,0,1.000024
0.000000171,2.4E-05,1,0,0,0,0,0,1.000024
0.230005189,3.2E-05,0,0,0,0,0,0,3.2E-05
0.000012791,3.2E-05,0,1,0,0,0,0,1.000032
