Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.666613588,2E-05,0,0,0,0,0,0,2E-05
0.000036608,2E-05,0,1,0,0,0,0,1.00002
0.000016472,2E-05,1,0,0,0,0,0,1.00002
0.059118682,1E-05,0,0,0,0,0,0,1E-05
0.000004336,1E-05,0,1,0,0,0,0,1.00001
0.000000124,1E-05,0,0,0.4,0.4,0.8,0,1.60001
0.000001120,1E-05,0,1,0.4,0.4,0.8,0,2.60001
0.000000021,1E-05,1,0,0.4,0.4,0.8,0,2.60001
0.274180163,0,0,0,0,0,0,0,0
0.000011843,0,0,1,0,0,0,0,1
0.000000918,0,1,0,0,0,0,0,1
0.000000391,0,0,0,0.4,0.4,0.8,0,1.6
0.000002902,0,0,1,0.4,0.4,0.8,0,2.6
0.000001011,0,1,0,0.4,0.4,0.8,0,2.6
0.000000005,0,0,0,0.4,0.4,0.8,0.8,2.4
0.000000025,0,0,1,0.4,0.4,0.8,0.8,3.4
0.000000025,0,1,0,0.4,0.4,0.8,0.8,3.4
0.000001070,0,0,0,0.4,0,0,0,0.4
0.000001776,0,0,1,0.4,0,0,0,1.4
0.000008921,0,1,0,0.4,0,0,0,1.4
