"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 CN High Indet FSM 1","1.769E-08","0.8883","443","All",1,0.999916,8.41739E-05,0.5,8.4174E-5,8.41738E-05,1,8.41739E-05,1.00126E-05,4.5,2.62719,0.736131,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.580236,0.179614,,,9.18538E-06,,,,,2.37636E-15,3.39427E-12,7.499E-5,0.313178,9.99993,9.99994,19.9999,0.000122613,9.99993,9.99994,1.21668E-05,2.7706E-5,2.3168E-6,3.00224E-5,2.96484E-05,2.66423E-06,0.000100433,0.0001126,2.62721E-05,7.41612E-05,3.0326E-06,7.11286E-05,0,9.18538E-6,0.187503,2.37636E-15,3.39427E-12,7.46135E-24,0.0415576,0,-3.48801E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,8.41739E-5,8.41738E-05,0.999916,1.68415E-11,9.18538E-06,2.37636E-15,3.39427E-12,5.15037E-5,2.3485E-5
"Risk Neutral CM 0.25 CN High Indet FSM 1","1.769E-08","0.8883","443","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50003,2.6272,0.736133,0.124998,0.124998,0.124999,0.124999,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,2.62722E-05,10,9.99997,0,0,0,0,0,0,2.62722E-05,2.62722E-05,2.62722E-05,0,0,0,0,0,,0,0,0,,0,-5.97296E-06,0.10283,0.127185,0.135105,0.134876,0.134876,0.135107,0.127188,0.102833,0.102829,0.127185,0.135105,0.134875,0.134877,0.135107,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 CN High Indet FSM 1","1.769E-08","0.8883","443","DisputeArises",8.4E-5,0,1,0.45782,1,1,1,1,0.118952,4.16256,2.48719,0.718445,0.162561,0.146653,0.132338,0.122181,0.114617,0.109234,0.106857,0.105558,1,1,0.580236,0.179614,,,0.109124,,,,,2.82315E-11,4.03245E-08,0.890876,0.313178,9.20223,9.6532,18.8554,1.14457,9.20223,9.6532,0.144544,0.329147,0.0275243,0.356672,0.352228,0.0316516,0.881073,1.02562,2.48719E-05,0.881048,0.0360278,0.84502,0,0.109124,0.187503,2.82315E-11,4.03245E-08,8.86421E-20,0.0415576,0,0.0709538,0.119054,0.144197,0.147949,0.140221,0.131293,0.122922,0.109385,0.0849806,0.125608,0.144053,0.15033,0.146678,0.129114,0.124751,0.100464,0.0790022,1,1,2.0008E-07,2.0008E-07,0.109124,2.82315E-11,4.03245E-08,0.611873,0.279003
"Risk Neutral CM 0.25 CN High Indet FSM 1","1.769E-08","0.8883","443","PFiles",8.4E-5,0,1,0.45782,1,1,1,1,0.118952,4.16256,2.48719,0.718445,0.162561,0.146653,0.132338,0.122181,0.114617,0.109234,0.106857,0.105558,1,1,0.580236,0.179614,,,0.109124,,,,,2.82315E-11,4.03245E-08,0.890876,0.313178,9.20223,9.6532,18.8554,1.14457,9.20223,9.6532,0.144544,0.329147,0.0275243,0.356672,0.352228,0.0316515,0.881073,1.02562,2.48719E-05,0.881048,0.0360278,0.84502,0,0.109124,0.187503,2.82315E-11,4.03245E-08,8.86421E-20,0.0415576,0,0.0709538,0.119054,0.144197,0.147949,0.140221,0.131293,0.122922,0.109385,0.0849806,0.125608,0.144053,0.15033,0.146678,0.129114,0.124751,0.100464,0.0790022,1,1,0,2.0008E-07,0.109124,2.82315E-11,4.03245E-08,0.611873,0.279003
"Risk Neutral CM 0.25 CN High Indet FSM 1","1.769E-08","0.8883","443","DAnswers",8.4E-5,0,1,0.45782,1,1,1,1,0.118952,4.16256,2.48719,0.718445,0.162561,0.146653,0.132338,0.122181,0.114617,0.109234,0.106857,0.105558,1,1,0.580236,0.179614,,,0.109124,,,,,2.82315E-11,4.03245E-08,0.890876,0.313178,9.20223,9.6532,18.8554,1.14457,9.20223,9.6532,0.144544,0.329147,0.0275243,0.356672,0.352228,0.0316516,0.881073,1.02562,2.48719E-05,0.881048,0.0360278,0.84502,0,0.109124,0.187503,2.82315E-11,4.03245E-08,8.86422E-20,0.0415576,0,0.0709538,0.119054,0.144197,0.147949,0.140221,0.131293,0.122922,0.109385,0.0849806,0.125608,0.144053,0.15033,0.146678,0.129114,0.124751,0.100464,0.0790022,1,1,0,0,0.109124,2.82315E-11,4.03245E-08,0.611873,0.279003
"Risk Neutral CM 0.25 CN High Indet FSM 1","1.769E-08","0.8883","443","Litigated",8.4E-5,0,1,0.45782,1,1,1,1,0.118952,4.16256,2.48719,0.718445,0.162561,0.146653,0.132338,0.122181,0.114617,0.109234,0.106857,0.105558,1,1,0.580236,0.179614,,,0.109124,,,,,2.82315E-11,4.03245E-08,0.890876,0.313178,9.20223,9.6532,18.8554,1.14457,9.20223,9.6532,0.144544,0.329147,0.0275243,0.356672,0.352228,0.0316516,0.881073,1.02562,2.48719E-05,0.881048,0.0360278,0.84502,0,0.109124,0.187503,2.82315E-11,4.03245E-08,8.86422E-20,0.0415576,0,0.0709538,0.119054,0.144197,0.147949,0.140221,0.131293,0.122922,0.109385,0.0849806,0.125608,0.144053,0.15033,0.146678,0.129114,0.124751,0.100464,0.0790022,1,1,0,0,0.109124,2.82315E-11,4.03245E-08,0.611873,0.279003
"Risk Neutral CM 0.25 CN High Indet FSM 1","1.769E-08","0.8883","443","Not Litigated",0.9999,1,3.36859E-11,0.500003,1.684E-11,0,1,3.36859E-11,4.00700E-12,4.50003,2.6272,0.736133,0.124998,0.124998,0.124999,0.124999,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,2.62722E-05,10,9.99997,4.21073E-13,1.614E-11,7.174E-13,1.686E-11,1.6143E-11,7.00389E-13,2.62722E-05,2.62722E-05,2.62722E-05,2.96789E-11,1.21363E-12,2.84652E-11,0,0,,0,0,0,0.0415576,0,-5.97296E-06,0.10283,0.127185,0.135105,0.134876,0.134876,0.135107,0.127188,0.102833,0.102829,0.127185,0.135105,0.134875,0.134877,0.135107,0.127189,0.102833,1.6843E-11,0,1,1.68429E-11,0,0,0,0,0
"Risk Neutral CM 0.25 CN High Indet FSM 1","1.769E-08","0.8883","443","Settles",9.2E-6,0,1,0.23116,1,1,1,1,0.109456,2.34928,2.42029,0.552376,0.360982,0.26998,0.17221,0.102812,0.0569173,0.0260368,0.00884155,0.00222055,1,1,0.187502,0.187504,,,1,,,,,0,0,0,,9.1375,9.76247,18.9,1.10002,9.1375,9.76247,0.1,0.23749,4.5393E-5,0.237536,0.0564064,3.90565E-05,0.890569,0.990569,2.42029E-05,0.890544,4.57072E-05,0.890499,0,1,0.187503,0,0,0,5.29485E-05,0,-2.46639,0.763363,0.175906,0.0607218,2.48303E-06,2.11397E-06,1.98945E-06,1.75876E-06,1.37335E-06,2.11986E-06,0.308873,0.231013,0.133965,0.160555,0.0714635,0.0674438,0.0266849,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 CN High Indet FSM 1","1.769E-08","0.8883","443","Tried",7.5E-5,0,1,0.485583,1,1,1,1,0.120115,4.38467,2.49539,0.738787,0.138257,0.131547,0.127454,0.124554,0.121685,0.119424,0.118863,0.118215,1,1,0.628343,0.178647,,,0,,,,,0,0,1,0.313178,9.21015,9.63982,18.85,1.15002,9.21015,9.63982,0.15,0.340374,0.0308903,0.371264,0.388463,0.0355238,0.87991,1.02991,2.49539E-05,0.879885,0.0404352,0.83945,0,0,,0,0,0,0.0466415,0,0.381755,0.0401318,0.140312,0.158633,0.157396,0.147375,0.137979,0.122783,0.0953897,0.140994,0.123864,0.140447,0.148235,0.125263,0.131278,0.104509,0.0854106,1,1,0,0,0,0,0,0.686822,0.313178
"Risk Neutral CM 0.25 CN High Indet FSM 1","1.769E-08","0.8883","443","PWins",2.3E-5,0,1,0.51503,1,1,1,1,0.120872,4.62024,2.49862,0.762384,0.116249,0.114099,0.11801,0.125315,0.130862,0.132593,0.132345,0.130527,1,1,0.633784,0.178842,,,0,,,,,0,0,1,1,10,8.84998,18.85,1.15002,10,8.84998,0.15,1.08684,0,1.08684,1.24039,0,0.879153,1.02915,2.49862E-05,0.879128,0.0547995,0.824328,0,0,,0,0,0,0.0631603,0,0.516477,0.0370577,0.120609,0.143259,0.151541,0.152002,0.149795,0.137383,0.108354,0.137887,0.106954,0.135573,0.163386,0.127615,0.148272,0.0972377,0.0830747,1,1,0,0,0,0,0,0,1
