"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 4 Noise 0.25,0.25 FSM 1","3.582E-07","0.9943","382","All",1,0.999898,0.00010213,0.5,2.043E-11,2.04343E-11,1,0.00010213,9.99996E-06,4.5,0.625002,0.952075,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,0.0625007,0.0625007,,,2.04342E-11,,,,,2.57570E-17,4.21754E-24,2.86E-18,0.70457,9.9999,9.99999,19.9999,0.000108381,1000,1000,3.26948E-11,9.882E-12,4.4869E-5,4.48688E-5,8.52289E-12,4.48688E-05,9.83807E-05,9.83807E-05,6.25022E-06,9.21304E-05,4.01113E-05,5.20192E-05,0,2.0434E-11,0.0625004,2.57570E-17,4.21754E-24,7.28965E-24,0.439328,0,0,0.123441,0.126556,0.125002,0.125,0.125,0.125002,0.126556,0.123441,0.123441,0.126556,0.125002,0.125,0.125,0.125002,0.126556,0.123441,2.0434E-11,2.04343E-11,1,4.63206E-18,2.04342E-11,2.57570E-17,4.21754E-24,8.4564E-19,2.017E-18
"MODRA CM 4 Noise 0.25,0.25 FSM 1","3.582E-07","0.9943","382","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50002,0.625011,0.952076,0.124999,0.124999,0.124999,0.124999,0.124999,0.125,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99999,20,6.25031E-06,1000,1000,0,0,0,0,0,0,6.25031E-06,6.25031E-06,6.25031E-06,0,0,0,0,0,,0,0,0,,0,-6.04209E-07,0.12344,0.126555,0.125001,0.124999,0.124999,0.125003,0.126558,0.123443,0.12344,0.126555,0.125001,0.124999,0.124999,0.125003,0.126559,0.123443,0,0,1,0,0,0,0,0,0
"MODRA CM 4 Noise 0.25,0.25 FSM 1","3.582E-07","0.9943","382","DisputeArises",0.0001,0,1,0.473929,2.0008E-7,2.0008E-07,1,1,0.0979136,4.29143,0.533707,0.94,0.1379,0.13134,0.134646,0.134645,0.133329,0.120103,0.103224,0.104813,1,1,0.0625007,0.0625007,,,2.0008E-07,,,,,2.52197E-13,4.12956E-20,2.80E-14,0.70457,9,9.99999,19,1.00001,998.808,1000,3.20128E-07,9.6755E-8,0.439328,0.439328,8.3451E-08,0.439328,0.902092,0.902092,5.33707E-06,0.902086,0.392746,0.509341,0,2.0008E-07,0.0625004,2.52197E-13,4.12956E-20,7.13759E-20,0.439328,0,0.00591545,0.132952,0.136307,0.134633,0.134479,0.131978,0.120002,0.108288,0.101362,0.132952,0.136307,0.134633,0.13463,0.13463,0.119991,0.105658,0.101198,2.0008E-07,2.0008E-07,1,4.53543E-14,2.0008E-07,2.52197E-13,4.12956E-20,8.2800E-15,1.975E-14
"MODRA CM 4 Noise 0.25,0.25 FSM 1","3.582E-07","0.9943","382","PFiles",2E-11,0,1,0.473929,1,1,1,1,0.0979136,4.29143,0.533707,0.94,0.1379,0.13134,0.134646,0.134645,0.133329,0.120103,0.103224,0.104813,1,1,0.0625007,0.0625007,,,0.999998,,,,,1.26048E-06,2.06395E-13,1.401E-7,0.70457,8.2625,9.13749,17.4,2.60001,994.161,999.139,1.6,0.48358,0.763332,1.24691,0.417088,1.32629,0.902092,2.50209,5.33707E-06,0.902086,0.392746,0.509341,0,0.999998,0.0625004,1.26048E-06,2.06395E-13,3.56737E-13,0.439328,0,0.00591545,0.132952,0.136307,0.134633,0.134479,0.131978,0.120002,0.108288,0.101362,0.132952,0.136307,0.134633,0.13463,0.13463,0.119991,0.105658,0.101198,1,1,0,2.26681E-07,0.999998,1.26048E-06,2.06395E-13,4.13835E-8,9.8695E-8
"MODRA CM 4 Noise 0.25,0.25 FSM 1","3.582E-07","0.9943","382","DAnswers",2E-11,0,1,0.473929,1,1,1,1,0.0979136,4.29143,0.533707,0.94,0.1379,0.13134,0.134646,0.134645,0.133329,0.120103,0.103224,0.104813,1,1,0.0625007,0.0625007,,,0.999999,,,,,1.26048E-06,2.06395E-13,1.401E-7,0.70457,8.2625,9.13749,17.4,2.60001,994.161,999.139,1.6,0.48358,0.763332,1.24691,0.417088,1.32629,0.902092,2.50209,5.33707E-06,0.902086,0.392746,0.509341,0,0.999999,0.0625004,1.26048E-06,2.06395E-13,3.56737E-13,0.439328,0,0.00591545,0.132952,0.136307,0.134633,0.134479,0.131978,0.120002,0.108288,0.101362,0.132952,0.136307,0.134633,0.13463,0.13463,0.119991,0.105658,0.101198,1,1,0,0,0.999999,1.26048E-06,2.06395E-13,4.13835E-8,9.8695E-8
"MODRA CM 4 Noise 0.25,0.25 FSM 1","3.582E-07","0.9943","382","Litigated",2E-11,0,1,0.473929,1,1,1,1,0.0979136,4.29143,0.533707,0.94,0.1379,0.13134,0.134646,0.134645,0.133329,0.120103,0.103224,0.104813,1,1,0.0625007,0.0625007,,,0.999999,,,,,1.26048E-06,2.06395E-13,1.401E-7,0.70457,8.2625,9.13749,17.4,2.60001,994.161,999.139,1.6,0.48358,0.763332,1.24691,0.417088,1.32629,0.902092,2.50209,5.33707E-06,0.902086,0.392746,0.509341,0,0.999999,0.0625004,1.26048E-06,2.06395E-13,3.56737E-13,0.439328,0,0.00591545,0.132952,0.136307,0.134633,0.134479,0.131978,0.120002,0.108288,0.101362,0.132952,0.136307,0.134633,0.13463,0.13463,0.119991,0.105658,0.101198,1,1,0,0,0.999999,1.26048E-06,2.06395E-13,4.13835E-8,9.8695E-8
"MODRA CM 4 Noise 0.25,0.25 FSM 1","3.582E-07","0.9943","382","Not Litigated",1,0.999898,0.00010213,0.5,4.632E-18,0,1,0.00010213,9.99996E-06,4.5,0.625002,0.952075,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,9.9999,9.99999,19.9999,0.000108381,1000,1000,0,0,4.4869E-5,4.48688E-5,0,4.48688E-05,9.83806E-05,9.83806E-05,6.25022E-06,9.21304E-05,4.01113E-05,5.20192E-05,0,0,,0,0,0,0.439328,0,-1.20942E-13,0.123441,0.126556,0.125002,0.125,0.125,0.125002,0.126556,0.123441,0.123441,0.126556,0.125002,0.125,0.125,0.125002,0.126556,0.123441,4.6320E-18,0,1,4.63201E-18,0,0,0,0,0
"MODRA CM 4 Noise 0.25,0.25 FSM 1","3.582E-07","0.9943","382","Settles",2E-11,0,1,0.473929,1,1,1,1,0.0979136,4.29143,0.533707,0.94,0.1379,0.13134,0.134646,0.134645,0.133329,0.120103,0.103224,0.104813,1,1,0.0625,0.0625007,,,1,,,,,0,0,0,,8.2625,9.13749,17.4,2.60001,994.161,999.139,1.6,0.48358,0.763332,1.24691,0.417088,1.32629,0.902092,2.50209,5.33707E-06,0.902086,0.392746,0.509341,0,1,0.0625004,0,0,0,0.439328,0,0.00591545,0.132952,0.136307,0.134633,0.134479,0.131978,0.120002,0.108288,0.101362,0.132952,0.136307,0.134633,0.13463,0.13463,0.119991,0.105658,0.101198,1,1,0,0,1,0,0,0,0
"MODRA CM 4 Noise 0.25,0.25 FSM 1","3.582E-07","0.9943","382","Tried",3E-18,0,1,0.928021,1,1,1,1,0.119507,7.92417,2,1.15072,2.75865E-07,2.62743E-07,2.69355E-07,2.69354E-07,2.66721E-07,1.63009E-06,0.0758183,0.924179,1,1,0.5625,0.0625002,,,0,,,,,0,0,1,0.70457,8.99554,7.60444,16.6,3.40002,950.566,882.101,2.4,1.69097,1.00446,2.69543,4.05833,3.41515,0.880513,3.28051,2E-05,0.880493,0.880491,2.24928E-06,0,0,,0,0,0,0.999997,0,0.193314,2.65966E-07,2.72678E-07,2.69329E-07,2.69021E-07,2.64018E-07,2.4006E-07,2.16628E-07,0.999998,2.65966E-07,2.72678E-07,2.6933E-07,2.69324E-07,2.69328E-07,2.42399E-07,0.193314,0.806684,1,1,0,0,0,0,0,0.29543,0.70457
"MODRA CM 4 Noise 0.25,0.25 FSM 1","3.582E-07","0.9943","382","PWins",2E-18,0,1,0.929329,1,1,1,1,0.119533,7.93463,2,1.15166,2.92513E-08,5.887E-08,1.15417E-07,1.8204E-07,2.38442E-07,1.23518E-06,0.0653604,0.934638,1,1,0.5625,0.0625002,,,0,,,,,0,0,1,1,10,6.59998,16.6,3.40002,1000,832.665,2.4,2.4,0,2.4,5.76001,0,0.880487,3.28049,2E-05,0.880467,0.880466,1.27939E-06,0,0,,0,0,0,0.999999,0,0.18271,3.05224E-08,6.21663E-08,1.16286E-07,1.80897E-07,2.29871E-07,2.15927E-07,1.95451E-07,0.999999,3.05224E-08,6.21663E-08,1.16288E-07,1.81819E-07,2.45306E-07,2.17316E-07,0.18271,0.817289,1,1,0,0,0,0,0,0,1
