"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","6.814E-08","1.001","348","All",1,0.999899,0.00010084,0.5,2.3248E-7,2.32484E-07,1,0.00010084,1.00024E-05,4.5,0.749627,0.937922,0.125001,0.124999,0.125,0.125,0.125,0.125,0.125,0.125001,1,1,0.687444,0.647056,,,2.13699E-07,,,,,2.75329E-12,5.41306E-18,1.878E-8,0.485074,9.9999,9.99999,19.9999,0.000108433,1000,1000,9.67498E-08,1.001E-07,3.0139E-7,4.01488E-7,9.11495E-08,2.72654E-07,9.83342E-05,9.84309E-05,7.49647E-06,9.08377E-05,3.25811E-07,9.05119E-05,0,2.13699E-7,0.687449,2.75329E-12,5.41306E-18,1.95723E-18,0.00355403,0,-2.32558E-15,0.113878,0.133732,0.127201,0.125189,0.125189,0.127201,0.133732,0.113878,0.113878,0.133732,0.127201,0.125189,0.125189,0.127201,0.133732,0.113878,2.32484E-7,2.32484E-07,1,4.65153E-14,2.13699E-07,2.75329E-12,5.41306E-18,9.67108E-9,9.1104E-9
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","6.814E-08","1.001","348","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50002,0.749638,0.937924,0.124999,0.124999,0.124999,0.124999,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99999,20,7.49658E-06,1000,1000,0,0,0,0,0,0,7.49658E-06,7.49658E-06,7.49658E-06,0,0,0,0,0,,0,0,0,,0,-1.97289E-06,0.113877,0.133731,0.1272,0.125188,0.125188,0.127202,0.133734,0.11388,0.113877,0.133731,0.1272,0.125187,0.125187,0.127203,0.133734,0.11388,0,0,1,0,0,0,0,0,0
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","6.814E-08","1.001","348","DisputeArises",0.0001,0,1,0.471761,0.0023055,0.00230547,1,1,0.0991905,4.27409,0.636059,0.925948,0.145256,0.130182,0.133624,0.135668,0.129666,0.113157,0.101922,0.110524,1,1,0.687444,0.647056,,,0.00211919,,,,,2.73035E-08,5.36797E-14,0.000186,0.485074,9.00107,9.99797,18.999,1.00097,998.81,999.998,0.000959438,0.0009927,0.0029888,0.00398143,0.000903901,0.00270383,0.900816,0.901775,6.36059E-06,0.900809,0.00323097,0.897578,0,0.00211919,0.687449,2.73035E-08,5.36797E-14,1.94093E-14,0.00355403,0,0.0195626,0.12422,0.145847,0.138359,0.133965,0.127333,0.118846,0.115928,0.0955012,0.124221,0.145878,0.138754,0.136559,0.136559,0.109931,0.113094,0.0950028,0.00230547,0.00230547,0.997695,4.61278E-10,0.00211919,2.73035E-08,5.36797E-14,9.59052E-5,9.0345E-5
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","6.814E-08","1.001","348","PFiles",2.3E-7,0,1,0.752266,1,1,1,1,0.0909019,6.51813,8.65686E-05,1.24497,1.2606E-05,1.12979E-05,1.17031E-05,0.0001339,0.0245005,0.467525,0.472572,0.0352328,1,1,0.687444,0.647056,,,0.919202,,,,,1.18429E-05,2.32836E-11,0.080786,0.485074,9.46301,9.12083,18.5838,1.41616,999.591,999.062,0.416157,0.430572,0.262592,0.693164,0.392068,0.138999,0.909098,1.32526,8.65686E-10,0.909098,0.46162,0.447478,0,0.919202,0.687449,1.18429E-05,2.32836E-11,8.41880E-12,0.507777,0,3.08381,1.07804E-05,1.26573E-05,1.20074E-05,1.16262E-05,1.10506E-05,2.1046E-05,2.12365E-05,0.9999,1.14475E-05,8.02531E-05,0.00327217,0.0774697,0.919102,1.78847E-05,2.38187E-05,2.30481E-05,1,1,0,2.0008E-07,0.919202,1.18429E-05,2.32836E-11,0.041599,0.0391873
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","6.814E-08","1.001","348","DAnswers",2.3E-7,0,1,0.752266,1,1,1,1,0.0909019,6.51813,8.65686E-05,1.24497,1.2606E-05,1.12979E-05,1.17031E-05,0.0001339,0.0245005,0.467525,0.472572,0.0352328,1,1,0.687444,0.647056,,,0.919202,,,,,1.18429E-05,2.32836E-11,0.080786,0.485074,9.46301,9.12083,18.5838,1.41616,999.591,999.062,0.416157,0.430572,0.262592,0.693164,0.392068,0.138999,0.909098,1.32526,8.65686E-10,0.909098,0.46162,0.447478,0,0.919202,0.687449,1.18429E-05,2.32836E-11,8.41880E-12,0.507777,0,3.08381,1.07804E-05,1.26573E-05,1.20074E-05,1.16262E-05,1.10506E-05,2.1046E-05,2.12365E-05,0.9999,1.14475E-05,8.02531E-05,0.00327217,0.0774697,0.919102,1.78847E-05,2.38187E-05,2.30481E-05,1,1,0,0,0.919202,1.18429E-05,2.32836E-11,0.041599,0.0391873
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","6.814E-08","1.001","348","Litigated",2.3E-7,0,1,0.752266,1,1,1,1,0.0909019,6.51813,8.65686E-05,1.24497,1.2606E-05,1.12979E-05,1.17031E-05,0.0001339,0.0245005,0.467525,0.472572,0.0352328,1,1,0.687444,0.647056,,,0.919202,,,,,1.18429E-05,2.32836E-11,0.080786,0.485074,9.46301,9.12083,18.5838,1.41616,999.591,999.062,0.416157,0.430572,0.262592,0.693164,0.392068,0.138999,0.909098,1.32526,8.65686E-10,0.909098,0.46162,0.447478,0,0.919202,0.687449,1.18429E-05,2.32836E-11,8.41880E-12,0.507777,0,3.08381,1.07804E-05,1.26573E-05,1.20074E-05,1.16262E-05,1.10506E-05,2.1046E-05,2.12365E-05,0.9999,1.14475E-05,8.02531E-05,0.00327217,0.0774697,0.919102,1.78847E-05,2.38187E-05,2.30481E-05,1,1,0,0,0.919202,1.18429E-05,2.32836E-11,0.041599,0.0391873
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","6.814E-08","1.001","348","Not Litigated",1,0.999899,0.000100608,0.5,4.652E-14,0,1,0.000100608,9.98125E-06,4.5,0.749627,0.937922,0.125001,0.124999,0.125,0.125,0.125,0.125,0.124999,0.125001,1,1,,,,,0,,,,,0,0,0,,9.9999,9.99999,19.9999,0.000108104,1000,1000,4.65154E-15,2.290E-14,2.4034E-7,2.40339E-7,2.28959E-14,2.40339E-07,9.81228E-05,9.81228E-05,7.49647E-06,9.06264E-05,2.18492E-07,9.04079E-05,0,0,,0,0,0,0.00238887,0,-7.16936E-07,0.113878,0.133732,0.127201,0.125189,0.125189,0.127201,0.133732,0.113878,0.113878,0.133732,0.127201,0.125189,0.125188,0.127201,0.133732,0.113878,4.6515E-14,0,1,4.65154E-14,0,0,0,0,0
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","6.814E-08","1.001","348","Settles",2.1E-7,0,1,0.758019,1,1,1,1,0.090902,6.56415,9.28197E-05,1.24933,4.95257E-06,9.59418E-06,1.23527E-05,2.72592E-05,0.0142271,0.445364,0.502173,0.0381819,1,1,0.687446,0.687453,,,1,,,,,0,0,0,,9.48745,9.11255,18.6,1.4,999.666,999.086,0.4,0.407916,0.276921,0.684837,0.362006,0.141926,0.909098,1.3091,9.28197E-10,0.909098,0.491208,0.41789,0,1,0.687449,0,0,0,0.540324,0,2.99963,5.72279E-06,9.53545E-06,1.17921E-05,1.24481E-05,1.2005E-05,2.17387E-05,2.29171E-05,0.999904,3.63985E-11,1.37729E-05,1.31045E-05,1.29941E-05,0.99989,1.94568E-05,2.59123E-05,2.5074E-05,1,1,0,0,1,0,0,0,0
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","6.814E-08","1.001","348","Tried",1.9E-8,0,1,0.68689,1,1,1,1,0.0909009,5.99512,2.29557E-06,1.19549,7.73576E-12,3.23172E-10,1.25035E-06,0.00134468,0.141387,0.719745,0.13584,0.00168205,1,1,0.6875,0.187503,,,0,,,,,0,0,1,0.485074,9.18507,9.21493,18.4,1.6,998.728,998.793,0.6,0.688389,0.0995946,0.787983,0.734174,0.105718,0.909099,1.5091,2.29557E-11,0.909099,0.125021,0.784078,0,0,,0,0,0,0.137522,0,4.04203,3.47557E-17,9.63998E-12,3.82470E-12,6.86533E-12,3.84084E-14,8.11751E-09,2.11684E-06,0.999998,8.25624E-06,0.000836516,0.0403529,0.958786,1.59338E-05,1.07322E-10,3.13969E-10,3.63522E-10,1,1,0,0,0,0,0,0.514926,0.485074
"MODRA CM 1 Noise 0.5,0.5 LT 1.2","6.814E-08","1.001","348","PWins",9.1E-9,0,1,0.693763,1,1,1,1,0.0909008,6.0501,1.27722E-06,1.20085,4.40264E-13,6.24091E-11,4.85064E-07,0.000797405,0.113786,0.722175,0.160997,0.00224368,1,1,0.6875,0.187504,,,0,,,,,0,0,1,1,9.7,8.7,18.4,1.6,999.847,997.675,0.6,1.13676,0.0489722,1.18573,1.42881,0.0146917,0.909099,1.5091,1.27722E-11,0.909099,0.148402,0.760697,0,0,,0,0,0,0.163241,0,4.03573,2.16806E-18,6.32117E-13,4.51426E-13,1.74305E-12,8.7195E-15,2.62998E-09,1.15571E-06,0.999999,4.65722E-06,0.000590877,0.0345502,0.964836,1.83073E-05,9.07338E-11,2.93146E-10,3.7331E-10,1,1,0,0,0,0,0,0,1
