"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 4 Noise 0.5,0.5 DM 0.5","7.453E-09","0.8894","564","All",1,0.999898,0.000102225,0.5,0.0001022,2.04531E-11,1,0.000102225,1.00021E-05,4.5,0.622426,0.952414,0.125001,0.124999,0.125,0.125,0.125,0.125,0.125,0.125001,1,1,0.246224,0.219754,,,1.82888E-11,,,,,9.19351E-13,9.22654E-13,3.22E-13,0.628745,9.99991,9.99994,19.9999,0.000149339,1000,1000,4.08898E-05,3.0351E-5,3.7371E-5,6.77214E-5,1.51754E-05,3.36335E-05,9.84469E-05,0.000139337,6.22446E-06,9.22224E-05,3.71379E-05,5.50845E-05,0,1.8289E-11,0.10501,9.19351E-13,9.22654E-13,2.44708E-18,0.406193,0,-1.54799E-15,0.113878,0.133732,0.127201,0.125189,0.125189,0.127201,0.133732,0.113878,0.113878,0.133732,0.127201,0.125189,0.125189,0.127201,0.133732,0.113878,0.00010222,2.04531E-11,0.999898,0.000102224,1.82888E-11,9.19351E-13,9.22654E-13,1.1965E-13,2.026E-13
"MODRA CM 4 Noise 0.5,0.5 DM 0.5","7.453E-09","0.8894","564","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50002,0.622435,0.952415,0.124999,0.124999,0.124999,0.124999,0.124999,0.125,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99999,20,6.22455E-06,1000,1000,0,0,0,0,0,0,6.22455E-06,6.22455E-06,6.22455E-06,0,0,0,0,0,,0,0,0,,0,-2.05062E-06,0.113877,0.133731,0.1272,0.125188,0.125188,0.127202,0.133734,0.11388,0.113877,0.133731,0.1272,0.125188,0.125188,0.127202,0.133734,0.11388,0,0,1,0,0,0,0,0,0
"MODRA CM 4 Noise 0.5,0.5 DM 0.5","7.453E-09","0.8894","564","DisputeArises",0.0001,0,1,0.474804,1,2.0008E-07,1,1,0.0978445,4.29843,0.532546,0.940574,0.143113,0.128525,0.132011,0.134142,0.130658,0.118042,0.103951,0.109559,1,1,0.246224,0.219754,,,1.78908E-07,,,,,8.99345E-09,9.02576E-09,3.153E-9,0.628745,9.1,9.49999,18.6,1.40001,999.058,999.679,0.4,0.296904,0.365573,0.662477,0.148452,0.329016,0.902161,1.30216,5.32546E-06,0.902155,0.363298,0.538858,0,1.78908E-7,0.10501,8.99345E-09,9.02576E-09,2.39382E-14,0.406193,0,0.0200579,0.122538,0.143886,0.136653,0.13316,0.128593,0.121715,0.117808,0.0956461,0.122539,0.143903,0.136875,0.13471,0.134709,0.121986,0.111562,0.0937161,1,2.0008E-07,2.0008E-07,1,1.78908E-07,8.99345E-09,9.02576E-09,1.17046E-9,1.9822E-9
"MODRA CM 4 Noise 0.5,0.5 DM 0.5","7.453E-09","0.8894","564","PFiles",0.0001,0,1,0.474804,1,2.0008E-07,1,1,0.0978445,4.29843,0.532546,0.940574,0.143113,0.128525,0.132011,0.134142,0.130658,0.118042,0.103951,0.109559,1,1,0.246224,0.219754,,,1.78908E-07,,,,,8.99345E-09,9.02577E-09,3.153E-9,0.628745,9.1,9.49999,18.6,1.40001,999.058,999.679,0.4,0.296904,0.365573,0.662477,0.148452,0.329016,0.902161,1.30216,5.32546E-06,0.902155,0.363298,0.538858,0,1.78908E-7,0.10501,8.99345E-09,9.02577E-09,2.39382E-14,0.406193,0,0.0200579,0.122538,0.143886,0.136653,0.13316,0.128593,0.121715,0.117808,0.0956461,0.122539,0.143903,0.136875,0.13471,0.134709,0.121986,0.111562,0.0937161,1,2.0008E-07,0,1,1.78908E-07,8.99345E-09,9.02577E-09,1.17046E-9,1.9822E-9
"MODRA CM 4 Noise 0.5,0.5 DM 0.5","7.453E-09","0.8894","564","DAnswers",2E-11,0,1,0.474804,1,1,1,1,0.0978445,4.29843,0.532546,0.940574,0.143113,0.128525,0.132011,0.134142,0.130658,0.118042,0.103951,0.109559,1,1,0.246224,0.219754,,,0.894183,,,,,0.0449493,0.0451108,0.015757,0.628745,8.3151,9.07228,17.3874,2.61261,994.481,998.888,1.61261,0.557364,0.650722,1.20809,0.463424,1.06082,0.902161,2.51477,5.32546E-06,0.902155,0.363298,0.538858,0,0.894183,0.10501,0.0449493,0.0451108,1.19643E-07,0.406193,0,0.0200579,0.122538,0.143886,0.136653,0.13316,0.128593,0.121715,0.117808,0.0956461,0.122539,0.143903,0.136875,0.13471,0.134709,0.121986,0.111562,0.0937161,1,1,0,0,0.894183,0.0449493,0.0451108,0.00584994,0.0099073
"MODRA CM 4 Noise 0.5,0.5 DM 0.5","7.453E-09","0.8894","564","Litigated",2E-11,0,1,0.474804,1,1,1,1,0.0978445,4.29843,0.532546,0.940574,0.143113,0.128525,0.132011,0.134142,0.130658,0.118042,0.103951,0.109559,1,1,0.246224,0.219754,,,0.894183,,,,,0.0449493,0.0451108,0.015757,0.628745,8.3151,9.07228,17.3874,2.61261,994.481,998.888,1.61261,0.557364,0.650722,1.20809,0.463424,1.06082,0.902161,2.51477,5.32546E-06,0.902155,0.363298,0.538858,0,0.894183,0.10501,0.0449493,0.0451108,1.19643E-07,0.406193,0,0.0200579,0.122538,0.143886,0.136653,0.13316,0.128593,0.121715,0.117808,0.0956461,0.122539,0.143903,0.136875,0.13471,0.134709,0.121986,0.111562,0.0937161,1,1,0,0,0.894183,0.0449493,0.0451108,0.00584994,0.0099073
"MODRA CM 4 Noise 0.5,0.5 DM 0.5","7.453E-09","0.8894","564","Not Litigated",1,0.999898,0.000102225,0.5,0.0001022,0,1,0.000102225,1.00021E-05,4.5,0.622426,0.952414,0.125001,0.124999,0.125,0.125,0.125,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99991,9.99994,19.9999,0.000149339,1000,1000,4.08898E-05,3.0351E-5,3.7371E-5,6.77214E-5,1.51754E-05,3.36335E-05,9.84469E-05,0.000139337,6.22446E-06,9.22224E-05,3.71379E-05,5.50845E-05,0,0,,0,0,0,0.406193,0,-4.11467E-13,0.113878,0.133732,0.127201,0.125189,0.125189,0.127201,0.133732,0.113878,0.113878,0.133732,0.127201,0.125189,0.125189,0.127201,0.133732,0.113878,0.00010222,0,0.999898,0.000102224,0,0,0,0,0
"MODRA CM 4 Noise 0.5,0.5 DM 0.5","7.453E-09","0.8894","564","Settles",2E-11,0,1,0.464375,1,1,1,1,0.0986662,4.215,0.595567,0.922551,0.160048,0.143656,0.144062,0.119091,0.0970824,0.101149,0.112504,0.122408,1,1,0.200594,0.219445,,,1,,,,,0,0,0,,8.30501,9.09498,17.4,2.60001,994.438,998.983,1.6,0.570735,0.600799,1.17153,0.481449,0.987443,0.90134,2.50134,5.95567E-06,0.901334,0.330139,0.571194,0,1,0.10501,0,0,0,0.370496,0,-0.154238,0.137039,0.160913,0.152824,0.148918,0.0935432,0.0857565,0.116584,0.104422,0.136835,0.158507,0.138081,0.100383,0.100202,0.136421,0.124765,0.104806,1,1,0,0,1,0,0,0,0
"MODRA CM 4 Noise 0.5,0.5 DM 0.5","7.453E-09","0.8894","564","Tried",3E-13,0,1,0.562479,1,1,1,1,0.0909008,4.99983,7.07855E-07,1.09417,2.00908E-08,1.83507E-05,0.00424615,0.168396,0.654999,0.167927,0.00438783,2.49184E-05,1,1,0.763772,0.0625004,,,0,,,,,0,0,1,0.628745,8.11437,8.48563,16.6,3.4,991.03,995.908,2.4,0.687033,1.55022,2.23725,0.653547,2.9516,0.909099,3.3091,7.07855E-12,0.909099,0.752134,0.156965,0,0,,0,0,0,0.82734,0,2.32269,2.17595E-12,2.83005E-12,2.41429E-12,5.25669E-07,1.55135E-07,0.850722,0.137618,0.0116597,0.000480387,0.0115164,0.137283,0.85072,1.68368E-12,2.13453E-12,1.98401E-12,1.66663E-12,1,1,0,0,0,0,0,0.371255,0.628745
"MODRA CM 4 Noise 0.5,0.5 DM 0.5","7.453E-09","0.8894","564","PWins",2E-13,0,1,0.57032,1,1,1,1,0.0909008,5.06256,2.92219E-07,1.1008,5.11826E-09,7.49546E-06,0.00260181,0.138762,0.65784,0.195059,0.00569445,3.45306E-05,1,1,0.765366,0.0625004,,,0,,,,,0,0,1,1,8.3,8.3,16.6,3.4,994.596,994.596,2.4,0.841371,1.45967,2.30104,0.829292,2.48144,0.909099,3.3091,2.92219E-12,0.909099,0.780578,0.128521,0,0,,0,0,0,0.858629,0,2.32051,4.54364E-13,8.03088E-13,1.08714E-12,1.97524E-07,7.74763E-08,0.833885,0.152007,0.014108,0.00029754,0.00867909,0.122032,0.868991,1.56201E-12,2.112E-12,1.80648E-12,1.68581E-12,1,1,0,0,0,0,0,0,1
