Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000002329,0,0,0,0.025,0.025,0.05,0,0.1
0.000023289,0,0,1,0.025,0.025,0.05,0,1.1
0.000001419,0,0,0,0.025,0.025,0.05,0.05,0.15
0.000014192,0,0,1,0.025,0.025,0.05,0.05,1.15
0.374769973,0,0,0,0,0,0,0,0
0.000000419,1E-05,0,0,0.025,0.025,0.05,0,0.10001
0.000003813,1E-05,0,1,0.025,0.025,0.05,0,1.10001
0.000000833,1E-05,0,0,0.025,0.025,0.05,0.05,0.15001
0.000007476,1E-05,0,1,0.025,0.025,0.05,0.05,1.15001
0.125176158,1E-05,0,0,0,0,0,0,1E-05
0.000000418,2E-05,0,0,0.025,0.025,0.05,0,0.10002
0.000003368,2E-05,0,1,0.025,0.025,0.05,0,1.10002
0.000000834,2E-05,0,0,0.025,0.025,0.05,0.05,0.15002
0.000006548,2E-05,0,1,0.025,0.025,0.05,0.05,1.15002
0.125177531,2E-05,0,0,0,0,0,0,2E-05
0.000000545,3E-05,0,0,0.025,0.025,0.05,0,0.10003
0.000003759,3E-05,0,1,0.025,0.025,0.05,0,1.10003
0.000002068,3E-05,0,0,0.025,0.025,0.05,0.05,0.15003
0.000013450,3E-05,0,1,0.025,0.025,0.05,0.05,1.15003
0.260913192,3E-05,0,0,0,0,0,0,3E-05
0.000001143,4E-05,0,0,0.025,0.025,0.05,0,0.10004
0.000006010,4E-05,0,1,0.025,0.025,0.05,0,1.10004
0.113871235,4E-05,0,0,0,0,0,0,4E-05
