"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 Noise 0.5,2 DM 2","9.04E-08","0.9308","338","All",1,0.999931,6.9399E-05,0.5,1.055E-10,1.05542E-10,1,6.9399E-05,1.00059E-05,4.5,5,0.467059,0.125001,0.125,0.125,0.125,0.125,0.125,0.125,0.125001,1,1,0.408718,0.406734,,,1.03867E-10,,,,,1.57816E-12,2.23685E-23,9.7E-14,0.213101,9.99993,9.99995,19.9999,0.000119399,1000,1000,4.22363E-11,8.256E-11,3.076E-12,8.5641E-11,8.58829E-11,1.14357E-12,0.000109393,0.000109393,5.00002E-05,5.93932E-05,2.20459E-11,5.93931E-05,0,1.0387E-10,0.82457,1.57816E-12,2.23685E-23,1.4414E-23,3.54214E-07,0,-5.63797E-15,0.113878,0.133732,0.127201,0.125189,0.125189,0.127201,0.133732,0.113878,0.102735,0.121027,0.134542,0.141697,0.141697,0.134542,0.121027,0.102735,1.0554E-10,1.05542E-10,1,2.11169E-17,1.03867E-10,1.57816E-12,2.23685E-23,7.636E-14,2.068E-14
"MODRA CM 1 Noise 0.5,2 DM 2","9.04E-08","0.9308","338","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50003,5,0.467061,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99995,19.9999,5.00002E-05,1000,1000,0,0,0,0,0,0,5.00002E-05,5.00002E-05,5.00002E-05,0,0,0,0,0,,0,0,0,,0,1.38616E-05,0.113876,0.13373,0.1272,0.125188,0.125189,0.127202,0.133734,0.11388,0.102734,0.121026,0.134541,0.141697,0.141697,0.134542,0.121027,0.102735,0,0,1,0,0,0,0,0,0
"MODRA CM 1 Noise 0.5,2 DM 2","9.04E-08","0.9308","338","DisputeArises",6.9E-5,0,1,0.452966,1.5208E-6,1.5208E-06,1,1,0.144179,4.12373,5,0.438962,0.169375,0.141353,0.132185,0.1277,0.118929,0.107088,0.0998401,0.10353,1,1,0.408718,0.406734,,,1.49666E-06,,,,,2.27404E-08,3.22317E-19,1.398E-9,0.213101,9,9.99995,18.9999,1.00005,998.808,1000,6.086E-07,1.1897E-6,4.4324E-8,1.23404E-6,1.23752E-06,1.64782E-08,0.855871,0.855872,5E-05,0.855821,3.17669E-07,0.855821,0,1.49666E-6,0.82457,2.27404E-08,3.22317E-19,2.07697E-19,3.54214E-07,0,-0.199724,0.140284,0.158114,0.140783,0.129092,0.120069,0.112989,0.109882,0.0887868,0.113763,0.130698,0.141164,0.144012,0.139261,0.12786,0.111395,0.0918455,1.5208E-06,1.5208E-06,0.999998,3.04282E-13,1.49666E-06,2.27404E-08,3.22317E-19,1.1003E-09,2.98E-10
"MODRA CM 1 Noise 0.5,2 DM 2","9.04E-08","0.9308","338","PFiles",1E-10,0,1,0.480765,1,1,1,1,0.113753,4.34612,2.23026,0.770433,0.149249,0.128973,0.125086,0.125572,0.12198,0.114819,0.112007,0.122315,1,1,0.408718,0.406734,,,0.984127,,,,,0.0149529,2.11939E-13,0.000919,0.213101,9.61178,8.98801,18.5998,1.40021,999.598,998.222,0.400184,0.782293,0.0291448,0.811438,0.813731,0.0108352,0.886269,1.28645,2.23026E-05,0.886247,0.208883,0.677364,0,0.984127,0.82457,0.0149529,2.11939E-13,1.36571E-13,0.232912,0,-0.0818698,0.124827,0.143776,0.132708,0.126674,0.122976,0.121318,0.124006,0.103715,0.107269,0.124995,0.137251,0.142635,0.140687,0.131797,0.117082,0.0982841,1,1,0,2.0008E-07,0.984127,0.0149529,2.11939E-13,0.0007235,0.0001959
"MODRA CM 1 Noise 0.5,2 DM 2","9.04E-08","0.9308","338","DAnswers",1E-10,0,1,0.480765,1,1,1,1,0.113753,4.34612,2.23026,0.770433,0.149249,0.128973,0.125086,0.125572,0.12198,0.114819,0.112007,0.122315,1,1,0.408718,0.406734,,,0.984128,,,,,0.0149529,2.11939E-13,0.000919,0.213101,9.61178,8.98801,18.5998,1.40021,999.598,998.222,0.400184,0.782293,0.0291449,0.811437,0.81373,0.0108352,0.886269,1.28645,2.23026E-05,0.886247,0.208883,0.677364,0,0.984128,0.82457,0.0149529,2.11939E-13,1.36571E-13,0.232912,0,-0.0818698,0.124827,0.143776,0.132708,0.126674,0.122976,0.121318,0.124006,0.103715,0.107269,0.124995,0.137251,0.142635,0.140687,0.131797,0.117082,0.0982841,1,1,0,0,0.984128,0.0149529,2.11939E-13,0.0007235,0.0001959
"MODRA CM 1 Noise 0.5,2 DM 2","9.04E-08","0.9308","338","Litigated",1E-10,0,1,0.480765,1,1,1,1,0.113753,4.34612,2.23026,0.770433,0.149249,0.128973,0.125086,0.125572,0.12198,0.114819,0.112007,0.122315,1,1,0.408718,0.406734,,,0.984128,,,,,0.0149529,2.11939E-13,0.000919,0.213101,9.61178,8.98801,18.5998,1.40021,999.598,998.222,0.400184,0.782293,0.0291449,0.811437,0.81373,0.0108352,0.886269,1.28645,2.23026E-05,0.886247,0.208883,0.677364,0,0.984128,0.82457,0.0149529,2.11939E-13,1.36571E-13,0.232912,0,-0.0818698,0.124827,0.143776,0.132708,0.126674,0.122976,0.121318,0.124006,0.103715,0.107269,0.124995,0.137251,0.142635,0.140687,0.131797,0.117082,0.0982841,1,1,0,0,0.984128,0.0149529,2.11939E-13,0.0007235,0.0001959
"MODRA CM 1 Noise 0.5,2 DM 2","9.04E-08","0.9308","338","Not Litigated",1,0.999931,6.93989E-05,0.5,2.112E-17,0,1,6.93989E-05,1.00059E-05,4.5,5,0.467059,0.125001,0.125,0.125,0.125,0.125,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99995,19.9999,0.000119399,1000,1000,0,0,0,0,0,0,0.000109393,0.000109393,5.00002E-05,5.93931E-05,0,5.93931E-05,0,0,,0,0,0,1.41742E-13,0,8.63907E-12,0.113878,0.133732,0.127201,0.125189,0.125189,0.127201,0.133732,0.113878,0.102735,0.121027,0.134542,0.141697,0.141697,0.134542,0.121027,0.102735,2.1117E-17,0,1,2.11169E-17,0,0,0,0,0
"MODRA CM 1 Noise 0.5,2 DM 2","9.04E-08","0.9308","338","Settles",1E-10,0,1,0.483933,1,1,1,1,0.113613,4.37147,2.20172,0.775688,0.146366,0.127534,0.124549,0.12573,0.122682,0.115869,0.113313,0.123956,1,1,0.412285,0.412285,,,1,,,,,0,0,0,,9.62457,8.97541,18.6,1.40002,999.622,998.199,0.4,0.791193,0.0296148,0.820807,0.825128,0.0110098,0.886409,1.28641,2.20172E-05,0.886387,0.212251,0.674136,0,1,0.82457,0,0,0,0.236669,0,-0.114605,0.122745,0.142046,0.132,0.126744,0.123617,0.122387,0.125422,0.105039,0.0928716,0.127011,0.139464,0.144935,0.142956,0.133923,0.118971,0.0998691,1,1,0,0,1,0,0,0,0
"MODRA CM 1 Noise 0.5,2 DM 2","9.04E-08","0.9308","338","Tried",1E-13,0,1,0.824578,1,1,1,1,0.154428,7.09662,3.99783,0.818728,1.69785E-05,4.07573E-05,7.4684E-05,0.000394304,0.020492,0.208998,0.421593,0.34839,1,1,0.187876,0.0627325,,,0,,,,,0,0,1,0.213101,9.1262,9.27376,18.4,1.60004,998.2,995.963,0.6,0.72592,0.0001358,0.726056,1.19721,0.000176552,0.845612,1.44561,3.99783E-05,0.845572,0.000318184,0.845254,0,0,,0,0,0,0.000354787,0,6.36972,8.77018E-07,4.33471E-05,7.82527E-05,0.000109433,0.000108117,0.00013705,0.625528,0.373995,0.999274,7.25949E-05,9.05578E-05,0.000106166,0.000116822,0.00012039,0.000115862,0.0001038,1,1,0,0,0,0,0,0.786899,0.213101
"MODRA CM 1 Noise 0.5,2 DM 2","9.04E-08","0.9308","338","PWins",2E-14,0,1,0.843963,1,1,1,1,0.155701,7.25171,3.9946,0.833075,9.64768E-06,3.37223E-05,8.89057E-05,0.000258322,0.00997878,0.148982,0.418647,0.422002,1,1,0.188385,0.0630588,,,0,,,,,0,0,1,1,10.7,7.69996,18.4,1.60004,1000.14,981.624,0.6,2.29883,0,2.29883,5.28577,0,0.844339,1.44434,3.9946E-05,0.844299,0.00105574,0.843244,0,0,,0,0,0,0.00117465,0,6.42175,2.34561E-08,3.80628E-05,9.47116E-05,0.000175129,0.000245119,0.000354348,0.567898,0.431194,0.9983,0.000137611,0.000185579,0.000233318,0.000272901,0.000296276,0.000297839,0.000276595,1,1,0,0,0,0,0,0,1
