"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","All",1,0.999907,9.33696E-05,0.8,3.679E-11,2.25544E-11,1,9.33696E-05,1.00043E-05,4.5,1.60781,0.853879,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.10341,0.1,,,2.24354E-11,,,,,1.61181E-17,8.62202E-14,3.28E-14,0.532254,9.99991,9.99998,19.9999,0.000109448,9.99991,9.99998,4.1806E-11,1.961E-11,2.3168E-5,2.31677E-5,1.82641E-11,2.31677E-05,9.94436E-05,9.94437E-05,1.60783E-05,8.33653E-05,2.04404E-05,6.29249E-05,0,2.2435E-11,0.1,1.61181E-17,8.62202E-14,8.45757E-19,0.248129,0,0,0.177373,0.214817,0.21562,0.214817,0.177373,0.177373,0.214817,0.21562,0.214817,0.177373,3.6786E-11,2.25544E-11,1,1.42319E-11,2.24354E-11,1.61181E-17,8.62202E-14,1.5332E-14,1.745E-14
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","NoDispute",0.9999,1,0,0.800003,0,0,1,0,0,4.50002,1.60782,0.853881,0.124999,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,1.60784E-05,10,9.99998,0,0,0,0,0,0,1.60784E-05,1.60784E-05,1.60784E-05,0,0,0,0,0,,0,0,0,,0,-1.75868E-06,0.177371,0.214816,0.21562,0.214818,0.177374,0.177371,0.214816,0.21562,0.214819,0.177374,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","DisputeArises",9.3E-5,0,1,0.765521,3.9399E-7,2.41561E-07,1,1,0.107147,4.3276,1.57167,0.839,0.150199,0.137892,0.126504,0.118715,0.114177,0.113378,0.116983,0.122151,1,1,0.10341,0.1,,,2.40286E-07,,,,,1.72627E-13,9.23429E-10,3.51E-10,0.532254,9,9.99998,19,1.00002,9,9.99998,4.47748E-07,2.1E-07,0.248129,0.248129,1.95611E-07,0.248129,0.892868,0.892869,1.57167E-05,0.892853,0.218919,0.673934,0,2.40286E-7,0.1,1.72627E-13,9.23429E-10,9.05816E-15,0.248129,0,0.0188339,0.191931,0.22571,0.215407,0.203821,0.163131,0.194966,0.233369,0.208802,0.200747,0.162116,3.93985E-7,2.41561E-07,1,1.52425E-07,2.40286E-07,1.72627E-13,9.23429E-10,1.642E-10,1.868E-10
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","PFiles",4E-11,0,1,0.838192,1,0.61312,1,1,0.0991514,4.69096,0.798149,0.959469,0.108004,0.114199,0.119867,0.12411,0.126229,0.128992,0.135375,0.143225,1,1,0.10341,0.1,,,0.609885,,,,,4.38157E-07,0.00234382,0.000891,0.532254,8.80522,9.05832,17.8635,2.13647,8.80522,9.05832,1.13646,0.53302,0.345993,0.879013,0.496493,0.440639,0.900857,2.03731,7.98149E-06,0.900849,0.381012,0.519836,0,0.609885,0.1,4.38157E-07,0.00234382,2.29911E-08,0.422827,0,0.0983757,0.0974693,0.243145,0.238393,0.232029,0.188963,0.158963,0.209458,0.218257,0.225766,0.187556,1,0.61312,0,0.38688,0.609885,4.38157E-07,0.00234382,0.00041678,0.0004743
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","DAnswers",2E-11,0,1,0.708765,1,1,1,1,0.104358,4.04382,1.30178,0.835906,0.164877,0.160157,0.145266,0.124664,0.107085,0.0983577,0.0981319,0.10146,1,1,0.10341,0.1,,,0.994723,,,,,7.14634E-07,0.00382277,0.001453,0.532254,8.30371,9.09511,17.3988,2.60118,8.30371,9.09511,1.60116,0.703982,0.378064,1.08205,0.644406,0.644182,0.895656,2.49682,1.30178E-05,0.895642,0.198131,0.697512,0,0.994723,0.1,7.14634E-07,0.00382277,3.74985E-08,0.224005,0,0.219322,0.158972,0.282544,0.230006,0.188084,0.140394,0.259268,0.267233,0.172947,0.166275,0.134277,1,1,0,0,0.994723,7.14634E-07,0.00382277,0.00067976,0.0007735
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","Litigated",2E-11,0,1,0.708765,1,1,1,1,0.104358,4.04382,1.30178,0.835906,0.164877,0.160157,0.145266,0.124664,0.107085,0.0983577,0.0981319,0.10146,1,1,0.10341,0.1,,,0.994723,,,,,7.14634E-07,0.00382277,0.001453,0.532254,8.30371,9.09511,17.3988,2.60118,8.30371,9.09511,1.60116,0.703982,0.378064,1.08205,0.644406,0.644182,0.895656,2.49682,1.30178E-05,0.895642,0.198131,0.697512,0,0.994723,0.1,7.14634E-07,0.00382277,3.74985E-08,0.224005,0,0.219322,0.158972,0.282544,0.230006,0.188084,0.140394,0.259268,0.267233,0.172947,0.166275,0.134277,1,1,0,0,0.994723,7.14634E-07,0.00382277,0.00067976,0.0007735
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","Not Litigated",1,0.999907,9.33696E-05,0.8,1.423E-11,0,1,9.33696E-05,1.00043E-05,4.5,1.60781,0.853879,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99991,9.99998,19.9999,0.000109448,9.99991,9.99998,5.69274E-12,3.73E-12,2.3168E-5,2.31677E-5,3.72992E-12,2.31677E-05,9.94436E-05,9.94436E-05,1.60783E-05,8.33653E-05,2.04404E-05,6.29249E-05,0,0,,0,0,0,0.248129,0,-4.94695E-12,0.177373,0.214817,0.21562,0.214817,0.177373,0.177373,0.214817,0.21562,0.214817,0.177373,1.4232E-11,0,1,1.42319E-11,0,0,0,0,0
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","Settles",2E-11,0,1,0.707495,1,1,1,1,0.104429,4.03747,1.30869,0.834429,0.165742,0.160936,0.145687,0.124296,0.106021,0.0975174,0.0980051,0.101796,1,1,0.1,0.1,,,1,,,,,0,0,0,,8.3,9.09999,17.4,2.60001,8.3,9.09999,1.6,0.700785,0.376295,1.07708,0.630707,0.639701,0.895584,2.49558,1.30869E-05,0.895571,0.195688,0.699883,0,1,0.1,0,0,0,0.22135,0,0.203113,0.159816,0.284042,0.231226,0.189082,0.135835,0.259182,0.264807,0.173864,0.167157,0.13499,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","Tried",3E-14,0,1,0.79956,1,1,1,1,0.090901,4.4978,1.54706E-05,1.03593,0.0059993,0.0372771,0.147336,0.310157,0.309653,0.146639,0.0369987,0.00593984,1,1,0.746229,0.1,,,0,,,,,0,0,1,0.532254,8.48707,8.11293,16.6,3.4,8.48707,8.11293,2.4,2.14016,0.878694,3.01885,8.73519,4.04199,0.909099,3.3091,1.54706E-10,0.909099,0.453846,0.455253,0,0,,0,0,0,0.499227,0,3.99994,1.75164E-11,2.73522E-11,1.50737E-05,1.54705E-05,0.999969,0.999988,1.21296E-05,1.98101E-11,1.83210E-11,1.47953E-11,1,1,0,0,0,0,0,0.467746,0.532254
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","PWins",2E-14,0,1,0.845022,1,1,1,1,0.0909009,4.72511,1.09383E-05,1.06086,0.0029094,0.0224932,0.110709,0.284826,0.336956,0.18249,0.0508641,0.00875201,1,1,0.746231,0.1,,,0,,,,,0,0,1,1,11.2,5.4,16.6,3.4,11.2,5.4,2.4,4.02094,0,4.02094,16.4117,0,0.909099,3.3091,1.09383E-10,0.909099,0.526422,0.382677,0,0,,0,0,0,0.579059,0,3.99996,5.39096E-12,1.19082E-11,9.68029E-06,1.09382E-05,0.999979,0.999991,9.33464E-06,1.07181E-11,1.35552E-11,1.31366E-11,1,1,0,0,0,0,0,0,1
"Risk Neutral CM 4 PCPM 1 FSM 2","2.726E-07","0.9392","57","DWins",2E-14,0,1,0.747827,1,1,1,1,0.090901,4.23914,2.06281E-05,1.00756,0.00951533,0.0540998,0.189014,0.338982,0.278584,0.105845,0.021221,0.00273984,1,1,0.746228,0.1,,,0,,,,,0,0,1,0,5.4,11.2,16.6,3.4,5.4,11.2,2.4,0,1.87857,1.87857,0,8.64142,0.909099,3.3091,2.06281E-10,0.909099,0.371262,0.537837,0,0,,0,0,0,0.408385,0,3.99992,3.1314E-11,4.49261E-11,2.12108E-05,2.06279E-05,0.999958,0.999985,1.53101E-05,3.0156E-11,2.37440E-11,1.66828E-11,1,1,0,0,0,0,0,1,0
