"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 TIME 0.25 DM 2","8.697E-08","0.9643","329","All",1,0.999926,7.43916E-05,0.5,1.5461E-5,1.54615E-05,1,7.43916E-05,1.0019E-05,4.5,4,0.575059,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.109235,0.101755,,,1.11366E-05,,,,,1.98932E-17,4.6497E-18,4.325E-6,0.130054,9.99993,9.99995,19.9999,0.000120328,9.99993,9.99995,5.93592E-06,6.259E-06,2.2722E-8,6.28168E-6,4.724E-06,1.89875E-08,0.000104373,0.000110309,4.00002E-05,6.43726E-05,2.47601E-08,6.43478E-05,0,1.11366E-5,0.195838,1.98932E-17,4.6497E-18,3.5441E-24,0.000386529,0,-5.58451E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1.54615E-5,1.54615E-05,0.999985,3.09354E-12,1.11366E-05,1.98932E-17,4.6497E-18,3.76243E-6,5.6247E-7
"Risk Neutral CM 1 TIME 0.25 DM 2","8.697E-08","0.9643","329","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,4.00001,0.575061,0.124998,0.124998,0.124999,0.124999,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,4.00003E-05,10,9.99996,0,0,0,0,0,0,4.00003E-05,4.00003E-05,4.00003E-05,0,0,0,0,0,,0,0,0,,0,-4.01267E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127185,0.135104,0.134876,0.134876,0.135108,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 TIME 0.25 DM 2","8.697E-08","0.9643","329","DisputeArises",7.4E-5,0,1,0.446853,0.207839,0.207839,1,1,0.134679,4.07482,3.85451,0.555596,0.170592,0.151973,0.135255,0.122734,0.112932,0.105698,0.101797,0.0990199,1,1,0.109235,0.101755,,,0.149702,,,,,2.67412E-13,6.2503E-14,0.058137,0.130054,9.00454,9.91563,18.9202,1.07983,9.00454,9.91563,0.0797928,0.0841352,0.0003054,0.0844407,0.0635017,0.000255237,0.865359,0.945152,3.85451E-05,0.865321,0.000332835,0.864988,0,0.149702,0.195838,2.67412E-13,6.2503E-14,4.76411E-20,0.000386529,0,0.0539358,0.124013,0.149126,0.151283,0.141127,0.129718,0.119336,0.104755,0.0806425,0.125847,0.152797,0.157898,0.140059,0.132348,0.112745,0.100314,0.0779923,0.207839,0.207839,0.792161,4.15845E-08,0.149702,2.67412E-13,6.2503E-14,0.050576,0.007561
"Risk Neutral CM 1 TIME 0.25 DM 2","8.697E-08","0.9643","329","PFiles",1.5E-5,0,1,0.466422,1,1,1,1,0.126508,4.23137,3.34401,0.639009,0.0689409,0.128078,0.18045,0.188908,0.167521,0.13487,0.0873826,0.043849,1,1,0.109235,0.101755,,,0.720279,,,,,1.28663E-12,3.00728E-13,0.279721,0.130054,9.02186,9.59419,18.6161,1.38395,9.02186,9.59419,0.383916,0.404809,0.001468,0.406277,0.305533,0.00122647,0.873526,1.25744,3.34401E-05,0.873492,0.00160004,0.871892,0,0.720279,0.195838,1.28663E-12,3.00728E-13,2.29221E-19,0.00185817,0,2.48094,4.02577E-07,4.9284E-07,6.789E-07,0.311819,0.185846,0.225068,0.177412,0.0998531,0.128263,0.213685,0.314032,0.131148,0.212869,7.91684E-07,7.59176E-07,6.18626E-07,1,1,0,2.0008E-07,0.720279,1.28663E-12,3.00728E-13,0.243342,0.0363789
"Risk Neutral CM 1 TIME 0.25 DM 2","8.697E-08","0.9643","329","DAnswers",1.5E-5,0,1,0.466422,1,1,1,1,0.126508,4.23137,3.34401,0.639009,0.0689409,0.128078,0.18045,0.188908,0.167521,0.13487,0.0873826,0.043849,1,1,0.109235,0.101755,,,0.720279,,,,,1.28663E-12,3.00728E-13,0.279721,0.130054,9.02186,9.59419,18.6161,1.38395,9.02186,9.59419,0.383916,0.404809,0.001468,0.406277,0.305532,0.00122647,0.873526,1.25744,3.34401E-05,0.873492,0.00160004,0.871892,0,0.720279,0.195838,1.28663E-12,3.00728E-13,2.29221E-19,0.00185817,0,2.48094,4.02577E-07,4.9284E-07,6.789E-07,0.311819,0.185846,0.225068,0.177412,0.0998531,0.128263,0.213685,0.314032,0.131148,0.212869,7.91684E-07,7.59176E-07,6.18626E-07,1,1,0,0,0.720279,1.28663E-12,3.00728E-13,0.243342,0.0363789
"Risk Neutral CM 1 TIME 0.25 DM 2","8.697E-08","0.9643","329","Litigated",1.5E-5,0,1,0.466422,1,1,1,1,0.126508,4.23137,3.34401,0.639009,0.0689409,0.128078,0.18045,0.188908,0.167521,0.13487,0.0873826,0.043849,1,1,0.109235,0.101755,,,0.720279,,,,,1.28663E-12,3.00728E-13,0.279721,0.130054,9.02186,9.59419,18.6161,1.38395,9.02186,9.59419,0.383916,0.404809,0.001468,0.406277,0.305532,0.00122647,0.873526,1.25744,3.34401E-05,0.873492,0.00160004,0.871892,0,0.720279,0.195838,1.28663E-12,3.00728E-13,2.29221E-19,0.00185817,0,2.48094,4.02577E-07,4.9284E-07,6.789E-07,0.311819,0.185846,0.225068,0.177412,0.0998531,0.128263,0.213685,0.314032,0.131148,0.212869,7.91684E-07,7.59176E-07,6.18626E-07,1,1,0,0,0.720279,1.28663E-12,3.00728E-13,0.243342,0.0363789
"Risk Neutral CM 1 TIME 0.25 DM 2","8.697E-08","0.9643","329","Not Litigated",1,0.999941,5.8931E-05,0.5,3.094E-12,0,1,5.8931E-05,8.06315E-06,4.5,4.00001,0.575059,0.125002,0.125,0.124999,0.124998,0.124999,0.125,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,9.99994,9.99996,19.9999,9.89313E-05,9.99994,9.99996,1.54679E-13,6.181E-12,2.45E-11,3.0682E-11,1.23571E-11,2.45006E-11,9.08682E-05,9.08682E-05,4.00003E-05,5.08679E-05,2.11014E-11,5.08679E-05,0,0,,0,0,0,4.15848E-07,0,-3.83597E-05,0.102833,0.127189,0.135108,0.134873,0.134875,0.135104,0.127186,0.102831,0.102831,0.127186,0.135103,0.134876,0.134875,0.135108,0.127189,0.102833,3.0936E-12,0,1,3.09358E-12,0,0,0,0,0
"Risk Neutral CM 1 TIME 0.25 DM 2","8.697E-08","0.9643","329","Settles",1.1E-5,0,1,0.392936,1,1,1,1,0.120755,3.64348,3.17837,0.605484,0.0930183,0.168334,0.226717,0.217793,0.158708,0.0893312,0.0358408,0.0102581,1,1,0.0788379,0.117,,,1,,,,,0,0,0,,9.04584,9.65413,18.7,1.30003,9.04584,9.65413,0.3,0.344624,0.0018321,0.346456,0.126894,0.00143491,0.879277,1.17928,3.17837E-05,0.879245,0.0020178,0.877227,0,1,0.195838,0,0,0,0.00234337,0,2.20502,5.58918E-07,6.84234E-07,5.02361E-07,0.432913,0.258019,0.253532,0.0385745,0.0169602,0.151712,0.233931,0.435986,0.0757717,0.102598,6.43371E-07,6.02057E-07,8.58869E-07,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 TIME 0.25 DM 2","8.697E-08","0.9643","329","Tried",4.3E-6,0,1,0.655648,1,1,1,1,0.14132,5.74519,3.77054,0.725337,0.00694178,0.0244201,0.0613133,0.114532,0.190213,0.252132,0.220102,0.130345,1,1,0.187506,0.0625012,,,0,,,,,0,0,1,0.130054,8.96011,9.43985,18.4,1.60004,8.96011,9.43985,0.6,0.559785,0.0005306,0.560316,0.765523,0.000689721,0.858717,1.45872,3.77054E-05,0.85868,0.000524327,0.858155,0,0,,0,0,0,0.000608773,0,3.19144,1.41615E-12,1.74260E-12,1.13349E-06,3.15564E-06,2.38209E-06,0.151775,0.534917,0.313302,0.0678834,0.161552,2.50022E-06,0.273742,0.496818,1.17359E-06,1.16376E-06,2.68109E-12,1,1,0,0,0,0,0,0.869946,0.130054
"Risk Neutral CM 1 TIME 0.25 DM 2","8.697E-08","0.9643","329","PWins",5.6E-7,0,1,0.695918,1,1,1,1,0.143535,6.06734,3.77144,0.754574,0.0023448,0.0113934,0.0396473,0.0929343,0.170504,0.254711,0.256972,0.171493,1,1,0.187516,0.0625047,,,0,,,,,0,0,1,1,10.7,7.69996,18.4,1.60004,10.7,7.69996,0.6,2.29846,0,2.29846,5.28445,0,0.856502,1.4565,3.77144E-05,0.856465,0.0013292,0.855135,0,0,,0,0,0,0.00154285,0,3.20153,2.43610E-12,3.50934E-12,1.83268E-06,5.46949E-06,5.91636E-06,0.135351,0.5173,0.347336,0.0561301,0.172342,4.0322E-06,0.248046,0.523466,5.67089E-06,6.10602E-06,1.11051E-11,1,1,0,0,0,0,0,0,1
