"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 TIME 0 FSM 0 DM 1 LT 1 UPC 1E-05","5.885E-07","0.9881","472","All",1,0.999914,8.6088E-05,0.5,1.307E-05,1.30702E-05,1,8.6088E-05,1.00087E-05,4.5,2.42395,0.761562,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.0703307,0.19037,,,1.29672E-05,,,,,1.54252E-11,1.21833E-17,1.03E-07,0.44634,9.99991,9.99997,19.9999,0.000112983,1000,1000,2.65524E-06,2.8632E-6,1.0207E-5,1.307E-05,8.31976E-07,1.01589E-05,0.000100319,0.000102974,2.42397E-05,7.60793E-05,8.87627E-06,6.7203E-05,0,1.29672E-5,0.128903,1.54252E-11,1.21833E-17,4.68355E-18,0.119514,0,-1.18195E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1.30702E-5,1.30702E-05,0.999987,7.6546E-12,1.29672E-05,1.54252E-11,1.21833E-17,5.70241E-8,4.5971E-8
"MODRA CM 1 TIME 0 FSM 0 DM 1 LT 1 UPC 1E-05","5.885E-07","0.9881","472","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50002,2.42396,0.761564,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.42398E-05,1000,1000,0,0,0,0,0,0,2.42398E-05,2.42398E-05,2.42398E-05,0,0,0,0,0,,0,0,0,,0,-4.16779E-06,0.10283,0.127186,0.135105,0.134876,0.134877,0.135107,0.127188,0.102832,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"MODRA CM 1 TIME 0 FSM 0 DM 1 LT 1 UPC 1E-05","5.885E-07","0.9881","472","DisputeArises",8.6E-5,0,1,0.465159,0.151824,0.151824,1,1,0.116261,4.22127,2.31575,0.744343,0.160265,0.144657,0.129665,0.118777,0.111941,0.109303,0.111073,0.114319,1,1,0.0703307,0.19037,,,0.150627,,,,,1.79179E-07,1.41522E-13,0.001196,0.44634,9.00453,9.9646,18.9691,1.03087,998.815,999.981,0.0308433,0.0332587,0.118562,0.151821,0.00966425,0.118006,0.883762,0.914605,2.31575E-05,0.883739,0.103107,0.780632,0,0.150627,0.128903,1.79179E-07,1.41522E-13,5.44042E-14,0.119514,0,0.048409,0.117556,0.142076,0.145492,0.138091,0.130491,0.124304,0.112836,0.0891537,0.122815,0.151018,0.146156,0.131373,0.126244,0.121977,0.111725,0.0886917,0.151824,0.151824,0.848176,8.8916E-08,0.150627,1.79179E-07,1.41522E-13,0.00066239,0.000534
"MODRA CM 1 TIME 0 FSM 0 DM 1 LT 1 UPC 1E-05","5.885E-07","0.9881","472","PFiles",1.3E-5,0,1,0.288667,1,0.999999,1,1,0.0984217,2.80933,1,0.74408,0.194813,0.256883,0.254877,0.175894,0.08225,0.0270872,0.00679021,0.00140516,1,1,0.0703307,0.19037,,,0.992118,,,,,1.18018E-06,9.32145E-13,0.00788,0.44634,9.02983,9.76701,18.7968,1.20316,998.852,999.875,0.203152,0.219061,0.0290121,0.248073,0.0636544,0.0253497,0.901588,1.10474,1E-05,0.901578,0.0316741,0.869904,0,0.992118,0.128903,1.18018E-06,9.32145E-13,3.58338E-13,0.0352824,0,2.26049,3.06817E-07,5.87019E-07,0.33808,0.325744,0.186754,0.0930454,0.0407168,0.0156589,0.296691,0.447567,0.255738,7.14148E-07,7.38313E-07,7.51372E-07,7.10091E-07,5.73565E-07,1,0.999999,0,5.85652E-07,0.992118,1.18018E-06,9.32145E-13,0.00436291,0.0035172
"MODRA CM 1 TIME 0 FSM 0 DM 1 LT 1 UPC 1E-05","5.885E-07","0.9881","472","DAnswers",1.3E-5,0,1,0.288666,1,1,1,1,0.0984217,2.80933,1,0.74408,0.194813,0.256883,0.254877,0.175894,0.08225,0.0270872,0.0067901,0.00140499,1,1,0.0703307,0.19037,,,0.992119,,,,,1.18018E-06,9.32146E-13,0.00788,0.44634,9.02983,9.76701,18.7968,1.20316,998.852,999.875,0.203152,0.219061,0.0290121,0.248073,0.0636542,0.0253497,0.901588,1.10474,1E-05,0.901578,0.0316738,0.869905,0,0.992119,0.128903,1.18018E-06,9.32146E-13,3.58338E-13,0.035282,0,2.26049,3.06817E-07,5.81881E-07,0.33808,0.325744,0.186754,0.0930454,0.0407167,0.0156588,0.296691,0.447567,0.255738,7.14148E-07,7.38313E-07,7.51372E-07,4.97284E-07,4.008E-07,1,1,0,0,0.992119,1.18018E-06,9.32146E-13,0.00436291,0.0035172
"MODRA CM 1 TIME 0 FSM 0 DM 1 LT 1 UPC 1E-05","5.885E-07","0.9881","472","Litigated",1.3E-5,0,1,0.288666,1,1,1,1,0.0984217,2.80933,1,0.74408,0.194813,0.256883,0.254877,0.175894,0.08225,0.0270872,0.0067901,0.00140499,1,1,0.0703307,0.19037,,,0.992119,,,,,1.18018E-06,9.32146E-13,0.00788,0.44634,9.02983,9.76701,18.7968,1.20316,998.852,999.875,0.203152,0.219061,0.0290121,0.248073,0.0636542,0.0253497,0.901588,1.10474,1E-05,0.901578,0.0316738,0.869905,0,0.992119,0.128903,1.18018E-06,9.32146E-13,3.58338E-13,0.035282,0,2.26049,3.06817E-07,5.81881E-07,0.33808,0.325744,0.186754,0.0930454,0.0407167,0.0156588,0.296691,0.447567,0.255738,7.14148E-07,7.38313E-07,7.51372E-07,4.97284E-07,4.008E-07,1,1,0,0,0.992119,1.18018E-06,9.32146E-13,0.00436291,0.0035172
"MODRA CM 1 TIME 0 FSM 0 DM 1 LT 1 UPC 1E-05","5.885E-07","0.9881","472","Not Litigated",1,0.999927,7.30187E-05,0.500003,7.655E-12,0,1,7.30187E-05,8.72244E-06,4.50002,2.42397,0.761563,0.125,0.124998,0.124998,0.124999,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99998,19.9999,9.72587E-05,1000,1000,0,2.67E-12,9.8277E-6,9.82774E-6,2.66964E-12,9.82774E-06,8.85362E-05,8.85362E-05,2.42399E-05,6.42963E-05,8.4624E-06,5.58339E-05,0,0,,0,0,0,0.134592,0,-2.95454E-05,0.102832,0.127189,0.135103,0.134874,0.134875,0.135106,0.127188,0.102832,0.102829,0.127183,0.135104,0.134878,0.134878,0.135108,0.127189,0.102832,7.6547E-12,0,1,7.6547E-12,0,0,0,0,0
"MODRA CM 1 TIME 0 FSM 0 DM 1 LT 1 UPC 1E-05","5.885E-07","0.9881","472","Settles",1.3E-5,0,1,0.286512,1,1,1,1,0.098402,2.7921,1,0.742191,0.196345,0.258801,0.256247,0.175383,0.080225,0.0255113,0.00621047,0.00127602,1,1,0.0664208,0.191386,,,1,,,,,0,0,0,,9.0289,9.77109,18.8,1.20001,998.854,999.883,0.2,0.21664,0.0273336,0.243974,0.0601558,0.0234971,0.901608,1.10161,1E-05,0.901598,0.0296231,0.871975,0,1,0.128903,0,0,0,0.0329975,0,2.22901,3.09254E-07,5.86502E-07,0.340765,0.328331,0.188237,0.0937843,0.0410401,0.00784079,0.297267,0.44496,0.257769,5.84528E-07,7.44178E-07,7.5734E-07,5.01233E-07,4.03984E-07,1,1,0,0,1,0,0,0,0
"MODRA CM 1 TIME 0 FSM 0 DM 1 LT 1 UPC 1E-05","5.885E-07","0.9881","472","Tried",1E-07,0,1,0.559899,1,1,1,1,0.100893,4.97919,0.999958,0.98179,0.00188627,0.0154119,0.0823878,0.240208,0.337204,0.225492,0.0797669,0.0176435,1,1,0.562516,0.0625006,,,0,,,,,0,0,1,0.44634,9.14634,9.25365,18.4,1.60001,998.644,998.877,0.6,0.523855,0.240338,0.764193,0.504119,0.258606,0.899117,1.49912,9.99958E-06,0.899107,0.289861,0.609246,0,0,,0,0,0,0.32291,0,6.22401,9.83678E-18,1.83989E-17,1.07004E-11,1.69815E-05,1.18397E-05,7.39492E-06,4.13144E-06,0.99996,0.224181,0.775788,1.37538E-05,1.70335E-05,1.09136E-11,1.15254E-11,1.41829E-11,1.34102E-11,1,1,0,0,0,0,0,0.55366,0.44634
"MODRA CM 1 TIME 0 FSM 0 DM 1 LT 1 UPC 1E-05","5.885E-07","0.9881","472","PWins",4.6E-8,0,1,0.591714,1,1,1,1,0.101166,5.23371,0.999955,1.00803,0.000705735,0.0075438,0.0527843,0.196757,0.340182,0.268521,0.107544,0.0259616,1,1,0.562517,0.0625007,,,0,,,,,0,0,1,1,9.7,8.69999,18.4,1.60001,999.847,997.675,0.6,0.897963,0.120611,1.01857,1.04674,0.0361834,0.898844,1.49884,9.99955E-06,0.898834,0.360874,0.53796,0,0,,0,0,0,0.402037,0,6.20047,2.47451E-18,7.66405E-18,4.66115E-12,1.50605E-05,1.24193E-05,9.01403E-06,5.7024E-06,0.999958,0.20065,0.799315,1.47425E-05,2.12122E-05,1.18974E-11,1.20126E-11,1.55992E-11,1.52689E-11,1,1,0,0,0,0,0,0,1
