"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 TIME 0 FSM 1","3.289E-07","0.9787","417","All",1,0.999912,8.76731E-05,0.5,3.6812E-6,3.68118E-06,1,8.76731E-05,1.00109E-05,4.5,2.21201,0.78302,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.562497,0.159058,,,7.10909E-07,,,,,2.47062E-12,6.09643E-18,2.97E-06,0.399695,9.99991,9.99998,19.9999,0.000111718,9.99991,9.99998,1.92434E-06,1.7765E-6,1.0786E-5,1.25621E-5,2.41377E-06,1.09693E-05,9.97825E-05,0.000101707,2.21203E-05,7.76621E-05,9.63855E-06,6.80236E-05,0,7.10909E-7,0.562486,2.47062E-12,6.09643E-18,5.31002E-24,0.127017,0,-4.70701E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,3.68119E-6,3.68118E-06,0.999996,5.77604E-12,7.10909E-07,2.47062E-12,6.09643E-18,1.78307E-6,1.1872E-6
"Risk Neutral CM 1 TIME 0 FSM 1","3.289E-07","0.9787","417","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50002,2.21203,0.783022,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.21205E-05,10,9.99998,0,0,0,0,0,0,2.21205E-05,2.21205E-05,2.21205E-05,0,0,0,0,0,,0,0,0,,0,-5.02087E-06,0.10283,0.127186,0.135105,0.134876,0.134877,0.135107,0.127188,0.102832,0.10283,0.127185,0.135104,0.134876,0.134877,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 TIME 0 FSM 1","3.289E-07","0.9787","417","DisputeArises",8.8E-5,0,1,0.463726,0.0419877,0.0419876,1,1,0.114185,4.20981,2.08383,0.766669,0.159154,0.145132,0.131433,0.120671,0.112761,0.108777,0.109634,0.112437,1,1,0.562497,0.159058,,,0.00810864,,,,,2.81799E-08,6.9536E-14,0.033879,0.399695,9.00509,9.97294,18.978,1.02197,9.00509,9.97294,0.0219491,0.020263,0.123021,0.143284,0.0275315,0.125116,0.885836,0.907785,2.08383E-05,0.885815,0.109937,0.775878,0,0.00810864,0.562486,2.81799E-08,6.9536E-14,6.05661E-20,0.127017,0,0.0572631,0.117543,0.142437,0.146216,0.138844,0.13083,0.123983,0.111981,0.0881665,0.120595,0.148288,0.156188,0.134403,0.123961,0.119772,0.109705,0.0870882,0.0419877,0.0419876,0.958012,6.58816E-08,0.00810864,2.81799E-08,6.9536E-14,0.0203377,0.0135412
"Risk Neutral CM 1 TIME 0 FSM 1","3.289E-07","0.9787","417","PFiles",3.7E-6,0,1,0.523499,1,0.999998,1,1,0.100564,4.68799,1,0.950192,0.0106223,0.0441502,0.134013,0.257099,0.282043,0.177989,0.0721876,0.0218965,1,1,0.562497,0.159058,,,0.19312,,,,,6.71147E-07,1.6561E-12,0.806878,0.399695,9.1212,9.35604,18.4772,1.52276,9.1212,9.35604,0.522751,0.482595,0.176904,0.659499,0.655705,0.226807,0.899446,1.4222,1E-05,0.899436,0.244208,0.655228,0,0.19312,0.562486,6.71147E-07,1.6561E-12,1.44247E-18,0.272072,0,3.76701,5.60116E-07,1.43915E-06,1.5045E-06,1.468E-06,2.08452E-06,0.583715,0.289259,0.127018,0.0942753,0.228324,0.484281,0.193111,2.03304E-06,2.24528E-06,2.24839E-06,1.88136E-06,1,0.999998,0,1.56907E-06,0.19312,6.71147E-07,1.6561E-12,0.484373,0.322505
"Risk Neutral CM 1 TIME 0 FSM 1","3.289E-07","0.9787","417","DAnswers",3.7E-6,0,1,0.523498,1,1,1,1,0.100564,4.68799,1,0.950191,0.0106223,0.0441503,0.134013,0.257099,0.282043,0.177989,0.0721873,0.0218959,1,1,0.562497,0.159058,,,0.19312,,,,,6.71148E-07,1.65611E-12,0.806879,0.399695,9.1212,9.35604,18.4772,1.52276,9.1212,9.35604,0.522752,0.482596,0.176904,0.6595,0.655706,0.226808,0.899446,1.4222,1E-05,0.899436,0.244207,0.655229,0,0.19312,0.562486,6.71148E-07,1.65611E-12,1.44248E-18,0.272071,0,3.76702,5.60117E-07,1.42091E-06,1.45811E-06,1.36619E-06,1.89395E-06,0.583716,0.289259,0.127018,0.0942754,0.228325,0.484281,0.193112,2.03304E-06,2.24528E-06,1.49281E-06,1.26795E-06,1,1,0,0,0.19312,6.71148E-07,1.65611E-12,0.484374,0.322505
"Risk Neutral CM 1 TIME 0 FSM 1","3.289E-07","0.9787","417","Litigated",3.7E-6,0,1,0.523498,1,1,1,1,0.100564,4.68799,1,0.950191,0.0106223,0.0441503,0.134013,0.257099,0.282043,0.177989,0.0721873,0.0218959,1,1,0.562497,0.159058,,,0.19312,,,,,6.71148E-07,1.65611E-12,0.806879,0.399695,9.1212,9.35604,18.4772,1.52276,9.1212,9.35604,0.522752,0.482596,0.176904,0.6595,0.655706,0.226808,0.899446,1.4222,1E-05,0.899436,0.244207,0.655229,0,0.19312,0.562486,6.71148E-07,1.65611E-12,1.44248E-18,0.272071,0,3.76702,5.60117E-07,1.42091E-06,1.45811E-06,1.36619E-06,1.89395E-06,0.583716,0.289259,0.127018,0.0942754,0.228325,0.484281,0.193112,2.03304E-06,2.24528E-06,1.49281E-06,1.26795E-06,1,1,0,0,0.19312,6.71148E-07,1.65611E-12,0.484374,0.322505
"Risk Neutral CM 1 TIME 0 FSM 1","3.289E-07","0.9787","417","Not Litigated",1,0.999916,8.39922E-05,0.5,5.776E-12,0,1,8.39922E-05,9.64076E-06,4.5,2.21202,0.78302,0.125001,0.125,0.124999,0.124999,0.124999,0.124999,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99998,19.9999,0.000106113,9.99992,9.99998,0,6.829E-13,1.0134E-5,1.01344E-5,6.82925E-13,1.01344E-05,9.64718E-05,9.64718E-05,2.21204E-05,7.43514E-05,8.73961E-06,6.56118E-05,0,0,,0,0,0,0.120659,0,-1.38671E-05,0.102831,0.127187,0.135106,0.134877,0.134877,0.135104,0.127186,0.102831,0.102831,0.127186,0.135105,0.134876,0.134877,0.135106,0.127187,0.102831,5.7761E-12,0,1,5.77606E-12,0,0,0,0,0
"Risk Neutral CM 1 TIME 0 FSM 1","3.289E-07","0.9787","417","Settles",7.1E-7,0,1,0.630943,1,1,1,1,0.10149,5.54754,1.00003,1.03902,0.000501377,0.00550387,0.0391892,0.152162,0.292715,0.285849,0.161489,0.0625917,1,1,0.562485,0.562487,,,1,,,,,0,0,0,,9.46249,9.3375,18.8,1.20001,9.46249,9.3375,0.2,0.324663,0.274086,0.598748,0.215087,0.147323,0.89852,1.09852,1.00003E-05,0.89851,0.457633,0.440877,0,1,0.562486,0,0,0,0.509924,0,2.68323,2.90035E-06,7.35762E-06,4.43901E-06,3.94146E-06,5.30053E-06,0.496386,0.323837,0.179753,4.43765E-06,5.98824E-06,7.49939E-06,0.999951,5.43382E-06,1.16264E-05,7.72997E-06,6.56561E-06,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 TIME 0 FSM 1","3.289E-07","0.9787","417","Tried",3E-06,0,1,0.497782,1,1,1,1,0.100342,4.48226,0.999997,0.928931,0.0130447,0.0534,0.156708,0.282215,0.279489,0.152174,0.0508137,0.0121557,1,1,0.562501,0.0625006,,,0,,,,,0,0,1,0.399695,9.03951,9.36048,18.4,1.60001,9.03951,9.36048,0.6,0.520396,0.153645,0.674041,0.761164,0.245832,0.899668,1.49967,9.99997E-06,0.899658,0.193125,0.706532,0,0,,0,0,0,0.215143,0,4.02642,1.91480E-19,4.68178E-19,7.44663E-07,7.49819E-07,5.90641E-07,0.604618,0.280984,0.114396,0.116838,0.282971,0.600189,1.22266E-06,9.68367E-07,1.31850E-12,1.56208E-12,1.44216E-12,1,1,0,0,0,0,0,0.600305,0.399695
"Risk Neutral CM 1 TIME 0 FSM 1","3.289E-07","0.9787","417","PWins",1.2E-6,0,1,0.542957,1,1,1,1,0.10074,4.84366,0.999997,0.967104,0.00528019,0.0278903,0.107565,0.250927,0.310323,0.201498,0.0765417,0.019975,1,1,0.562501,0.0625007,,,0,,,,,0,0,1,1,10,8.39999,18.4,1.60001,10,8.39999,0.6,1.30198,0,1.30198,1.90437,0,0.89927,1.49927,9.99997E-06,0.89926,0.267504,0.631756,0,0,,0,0,0,0.298016,0,4.02675,6.91607E-20,2.67890E-19,6.24075E-07,7.97588E-07,7.4927E-07,0.554203,0.303761,0.142033,0.0894107,0.260114,0.650473,1.53036E-06,1.42086E-06,1.71657E-12,2.13306E-12,2.02881E-12,1,1,0,0,0,0,0,0,1
