"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 4 TIME 1 FSM 1","2.483E-09","0.9315","473","All",1,0.999937,6.3267E-05,0.5,6.3267E-5,1.26585E-11,1,6.3267E-05,1.00313E-05,4.5,6.26998,0.238368,0.125001,0.125,0.125,0.124999,0.125,0.125,0.125,0.125001,1,1,0.062501,0.062501,,,1.26584E-11,,,,,1.77289E-17,7.94094E-24,3.55E-24,0.00359493,9.99995,9.99987,19.9998,0.000176581,1000,1000,5.06136E-05,6.3267E-5,1.989E-11,6.3267E-05,6.3267E-05,1.59138E-11,0.000115936,0.000166549,6.27E-05,5.32357E-05,2.22976E-11,5.32357E-05,0,1.2658E-11,0.0625007,1.77289E-17,7.94094E-24,3.54720E-24,3.93021E-07,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,6.3267E-05,1.26585E-11,0.999937,6.3267E-05,1.26584E-11,1.77289E-17,7.94094E-24,3.5345E-24,1.275E-26
"MODRA CM 4 TIME 1 FSM 1","2.483E-09","0.9315","473","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50004,6.26999,0.238368,0.124997,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99994,19.9999,6.27001E-05,1000,1000,0,0,0,0,0,0,6.27001E-05,6.27001E-05,6.27001E-05,0,0,0,0,0,,0,0,0,,0,-1.91459E-06,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"MODRA CM 4 TIME 1 FSM 1","2.483E-09","0.9315","473","DisputeArises",6.3E-5,0,1,0.428233,1,2.0008E-07,1,1,0.158555,3.92587,6.10793,0.233737,0.185636,0.16071,0.138766,0.122498,0.110203,0.100912,0.094169,0.0871061,1,1,0.062501,0.062501,,,2.0008E-07,,,,,2.80224E-13,1.25515E-19,5.61E-20,0.00359493,9.2,8.99994,18.1999,1.80006,999.262,998.808,0.8,0.999999,3.1442E-7,1,1,2.51534E-07,0.841506,1.64151,6.10793E-05,0.841445,3.52436E-07,0.841445,0,2.0008E-07,0.0625007,2.80224E-13,1.25515E-19,5.60672E-20,3.93021E-07,0,0.0302601,0.132164,0.15706,0.15653,0.142549,0.127326,0.113731,0.0972604,0.073379,0.134621,0.161415,0.155957,0.14403,0.123901,0.111472,0.0959243,0.0726797,1,2.0008E-07,2.0008E-07,1,2.0008E-07,2.80224E-13,1.25515E-19,5.5866E-20,2.016E-22
"MODRA CM 4 TIME 1 FSM 1","2.483E-09","0.9315","473","PFiles",6.3E-5,0,1,0.428233,1,2.0008E-07,1,1,0.158555,3.92587,6.10793,0.233737,0.185636,0.16071,0.138766,0.122498,0.110203,0.100912,0.094169,0.0871061,1,1,0.062501,0.062501,,,2.0008E-07,,,,,2.80224E-13,1.25515E-19,5.61E-20,0.00359493,9.2,8.99994,18.1999,1.80006,999.262,998.808,0.8,1,3.1442E-7,1,1,2.51534E-07,0.841506,1.64151,6.10793E-05,0.841445,3.52436E-07,0.841445,0,2.0008E-07,0.0625007,2.80224E-13,1.25515E-19,5.60672E-20,3.93021E-07,0,0.0302601,0.132164,0.15706,0.15653,0.142549,0.127326,0.113731,0.0972604,0.073379,0.134621,0.161415,0.155957,0.14403,0.123901,0.111472,0.0959243,0.0726797,1,2.0008E-07,0,1,2.0008E-07,2.80224E-13,1.25515E-19,5.5866E-20,2.016E-22
"MODRA CM 4 TIME 1 FSM 1","2.483E-09","0.9315","473","DAnswers",1E-11,0,1,0.428233,1,1,1,1,0.158555,3.92587,6.10793,0.233737,0.185636,0.16071,0.138766,0.122498,0.110203,0.100912,0.094169,0.0871061,1,1,0.062501,0.062501,,,0.999999,,,,,1.40056E-06,6.27322E-13,2.8E-13,0.00359493,7.8625,8.73744,16.5999,3.40006,986.776,997.856,2.4,1.2625,6.8793E-7,1.2625,1.59391,1.27836E-06,0.841506,3.24151,6.10793E-05,0.841445,3.52436E-07,0.841445,0,0.999999,0.0625007,1.40056E-06,6.27322E-13,2.80224E-13,3.93021E-07,0,0.0302601,0.132164,0.15706,0.15653,0.142549,0.127326,0.113731,0.0972604,0.073379,0.134621,0.161415,0.155957,0.14403,0.123901,0.111472,0.0959243,0.0726797,1,1,0,0,0.999999,1.40056E-06,6.27322E-13,2.7922E-13,1.007E-15
"MODRA CM 4 TIME 1 FSM 1","2.483E-09","0.9315","473","Litigated",1E-11,0,1,0.428233,1,1,1,1,0.158555,3.92587,6.10793,0.233737,0.185636,0.16071,0.138766,0.122498,0.110203,0.100912,0.094169,0.0871061,1,1,0.062501,0.062501,,,0.999999,,,,,1.40056E-06,6.27322E-13,2.8E-13,0.00359493,7.8625,8.73744,16.5999,3.40006,986.776,997.856,2.4,1.2625,6.8793E-7,1.2625,1.59391,1.27836E-06,0.841506,3.24151,6.10793E-05,0.841445,3.52436E-07,0.841445,0,0.999999,0.0625007,1.40056E-06,6.27322E-13,2.80224E-13,3.93021E-07,0,0.0302601,0.132164,0.15706,0.15653,0.142549,0.127326,0.113731,0.0972604,0.073379,0.134621,0.161415,0.155957,0.14403,0.123901,0.111472,0.0959243,0.0726797,1,1,0,0,0.999999,1.40056E-06,6.27322E-13,2.7922E-13,1.007E-15
"MODRA CM 4 TIME 1 FSM 1","2.483E-09","0.9315","473","Not Litigated",1,0.999937,6.3267E-05,0.5,6.3267E-5,0,1,6.3267E-05,1.00313E-05,4.5,6.26998,0.238368,0.125001,0.125,0.125,0.124999,0.125,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99995,9.99987,19.9998,0.000176581,1000,1000,5.06136E-05,6.3267E-5,1.989E-11,6.3267E-05,6.3267E-05,1.59138E-11,0.000115936,0.000166549,6.27E-05,5.32357E-05,2.22975E-11,5.32357E-05,0,0,,0,0,0,3.93021E-07,0,-3.83876E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,6.3267E-05,0,0.999937,6.3267E-05,0,0,0,0,0
"MODRA CM 4 TIME 1 FSM 1","2.483E-09","0.9315","473","Settles",1E-11,0,1,0.428233,1,1,1,1,0.158555,3.92587,6.10793,0.233737,0.185636,0.16071,0.138766,0.122498,0.110203,0.100912,0.094169,0.0871061,1,1,0.0625003,0.062501,,,1,,,,,0,0,0,,7.8625,8.73744,16.5999,3.40006,986.776,997.856,2.4,1.2625,6.8793E-7,1.2625,1.59391,1.27836E-06,0.841506,3.24151,6.10793E-05,0.841445,3.52436E-07,0.841445,0,1,0.0625007,0,0,0,3.93021E-07,0,0.0302601,0.132164,0.15706,0.15653,0.142549,0.127326,0.113731,0.0972604,0.073379,0.134621,0.161415,0.155957,0.14403,0.123901,0.111472,0.0959243,0.0726797,1,1,0,0,1,0,0,0,0
"MODRA CM 4 TIME 1 FSM 1","2.483E-09","0.9315","473","Tried",4E-24,0,1,0.428233,1,1,1,1,0.158555,3.92587,6.10793,0.233737,0.185636,0.16071,0.138766,0.122498,0.110203,0.100912,0.094169,0.0871061,1,1,0.5625,0.0625003,,,0,,,,,0,0,1,0.00359493,6.61222,9.98772,16.5999,3.40006,833.274,999.398,2.4,0.0122225,5.1286E-7,0.012223,0.041556,1.74373E-06,0.841506,3.24151,6.10793E-05,0.841445,3.52436E-07,0.841445,0,0,,0,0,0,3.93021E-07,0,0.0302601,0.132164,0.15706,0.15653,0.142549,0.127326,0.113731,0.0972604,0.073379,0.134621,0.161415,0.155957,0.14403,0.123901,0.111472,0.0959243,0.0726797,1,1,0,0,0,0,0,0.996405,0.0035949
"MODRA CM 4 TIME 1 FSM 1","2.483E-09","0.9315","473","PWins",1E-26,0,1,0.35694,1,1,1,1,0.141888,3.35552,5.43867,0.309332,0.199878,0.192277,0.181223,0.158773,0.118854,0.0747502,0.0444067,0.0298386,1,1,0.562519,0.0625193,,,0,,,,,0,0,1,1,10,6.59995,16.5999,3.40005,1000,832.654,2.4,3.39993,0,3.39993,11.5596,0,0.858166,3.25817,5.43867E-05,0.858112,6.0592E-05,0.858051,0,0,,0,0,0,6.73669E-05,0,1.29596,0.12975,0.165787,0.177025,0.165281,0.138585,0.10553,0.073011,0.0450306,0.239676,0.391926,0.121077,0.176365,0.0159054,0.0188016,0.0195659,0.0166837,1,1,0,0,0,0,0,0,1
