Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000000601,0,0,0,0.2,0.2,0.2,0,0.6
0.000003931,0,0,1,0.2,0.2,0.2,0,1.6
0.000002076,0,1,0,0.2,0.2,0.2,0,1.6
0.365086702,0,0,0,0,0,0,0,0
0.000029782,0,0,1,0,0,0,0,1
0.000000724,0,1,0,0,0,0,0,1
0.000000191,2E-05,0,0,0.2,0.2,0.2,0,0.60002
0.000000595,2E-05,0,1,0.2,0.2,0.2,0,1.60002
0.000000852,2E-05,1,0,0.2,0.2,0.2,0,1.60002
0.269730485,2E-05,0,0,0,0,0,0,2E-05
0.000018374,2E-05,0,1,0,0,0,0,1.00002
0.000001874,2E-05,1,0,0,0,0,0,1.00002
0.365099727,3E-05,0,0,0,0,0,0,3E-05
0.000016380,3E-05,0,1,0,0,0,0,1.00003
0.000007708,3E-05,1,0,0,0,0,0,1.00003
