Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000002300,0,0,0,0.8,0,0,0,0.8
0.000016654,0,0,1,0.8,0,0,0,1.8
0.000006348,0,1,0,0.8,0,0,0,1.8
0.229992586,0,0,0,0,0,0,0,0
0.000001349,8E-06,0,0,0.8,0,0,0,0.800008
0.000008296,8E-06,0,1,0.8,0,0,0,1.800008
0.000004048,8E-06,1,0,0.8,0,0,0,1.800008
0.135092214,8E-06,0,0,0,0,0,0,8E-06
0.000001348,1.6E-05,0,0,0.8,0,0,0,0.800016
0.000007173,1.6E-05,0,1,0.8,0,0,0,1.800016
0.000003825,1.6E-05,1,0,0.8,0,0,0,1.800016
0.134863858,1.6E-05,0,0,0,0,0,0,1.6E-05
0.000001351,2.4E-05,0,0,0.8,0,0,0,0.800024
0.000005921,2.4E-05,0,1,0.8,0,0,0,1.800024
0.000003597,2.4E-05,1,0,0.8,0,0,0,1.800024
0.134865336,2.4E-05,0,0,0,0,0,0,2.4E-05
0.000002639,3.2E-05,0,0,0.8,0,0,0,0.800032
0.000007617,3.2E-05,0,1,0.8,0,0,0,1.800032
0.000007558,3.2E-05,1,0,0.8,0,0,0,1.800032
0.262274801,3.2E-05,0,0,0,0,0,0,3.2E-05
0.000001037,4E-05,0,0,0.8,0,0,0,0.80004
0.000004765,4E-05,0,1,0.8,0,0,0,1.80004
0.102825380,4E-05,0,0,0,0,0,0,4E-05
