"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 4 RC 0.5 LT 1.2","1.596E-06","0.9933","1078","All",1,0.9999,9.97911E-05,0.5,0,0,1,9.97911E-05,9.99857E-06,4.5,1,0.921114,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.9999,9.99999,19.9999,0.000109791,1000,1000,0,0,1.3102E-5,1.31021E-5,0,1.31021E-05,9.97926E-05,9.97926E-05,1E-05,8.97926E-05,1.17409E-05,7.80517E-05,0,0,,0,0,0,0.131295,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0,0,1,0,0,0,0,0,0
"MODRA CM 4 RC 0.5 LT 1.2","1.596E-06","0.9933","1078","NoDispute",0.9999,1,0,0.500001,0,0,1,0,0,4.50001,1,0.921115,0.124999,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,10,9.99999,20,1E-05,1000,1000,0,0,0,0,0,0,1E-05,1E-05,1E-05,0,0,0,0,0,,0,0,0,,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0,0,1,0,0,0,0,0,0
"MODRA CM 4 RC 0.5 LT 1.2","1.596E-06","0.9933","1078","DisputeArises",0.0001,0,1,0.493053,0,0,1,1,0.100195,4.44442,1,0.914482,0.141175,0.130264,0.121474,0.117272,0.116288,0.118216,0.124015,0.131295,1,1,,,,,0,,,,,0,0,0,,9,9.99999,19,1.00001,998.808,1000,0,0,0.131295,0.131295,0,0.131295,0.899815,0.899815,1E-05,0.899805,0.117654,0.782151,0,0,,0,0,0,0.131295,0,0,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,0.105951,0.130281,0.137221,0.135519,0.133985,0.132893,0.124203,0.0999478,0,0,1,0,0,0,0,0,0
"MODRA CM 4 RC 0.5 LT 1.2","1.596E-06","0.9933","1078","PFiles",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MODRA CM 4 RC 0.5 LT 1.2","1.596E-06","0.9933","1078","DAnswers",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MODRA CM 4 RC 0.5 LT 1.2","1.596E-06","0.9933","1078","Litigated",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MODRA CM 4 RC 0.5 LT 1.2","1.596E-06","0.9933","1078","Not Litigated",1,0.9999,9.97911E-05,0.5,0,0,1,9.97911E-05,9.99857E-06,4.5,1,0.921114,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.9999,9.99999,19.9999,0.000109791,1000,1000,0,0,1.3102E-5,1.31021E-5,0,1.31021E-05,9.97926E-05,9.97926E-05,1E-05,8.97926E-05,1.17409E-05,7.80517E-05,0,0,,0,0,0,0.131295,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0,0,1,0,0,0,0,0,0
"MODRA CM 4 RC 0.5 LT 1.2","1.596E-06","0.9933","1078","Settles",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MODRA CM 4 RC 0.5 LT 1.2","1.596E-06","0.9933","1078","Tried",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MODRA CM 4 RC 0.5 LT 1.2","1.596E-06","0.9933","1078","PWins",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MODRA CM 4 RC 0.5 LT 1.2","1.596E-06","0.9933","1078","DWins",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MODRA CM 4 RC 0.5 LT 1.2","1.596E-06","0.9933","1078","Abandoned",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MODRA CM 4 RC 0.5 LT 1.2","1.596E-06","0.9933","1078","PrecPower1",0.125,0.999887,0.000112703,0.0625,0,0,1,0.000112703,1.08461E-05,1,1,0.532697,1,0,0,0,0,0,0,0,1,1,,,,,0,,,,,0,0,0,,9.99989,9.99999,19.9999,0.000122703,1000,1000,0,0,0,0,0,0,0.000111857,0.000111857,1E-05,0.000101857,0,0.000101857,0,0,,0,0,0,0,0,0.936693,0.224525,0.243922,0.207842,0.146448,0.0898697,0.0498804,0.0255095,0.0120029,0.394013,0.326145,0.184955,0.0718392,0.019103,0.00347584,0.000432501,3.67798E-05,0,0,1,0,0,0,0,0,0
"MODRA CM 4 RC 0.5 LT 1.2","1.596E-06","0.9933","1078","PrecPower2",0.125,0.999896,0.000103994,0.1875,0,0,1,0.000103994,1.0138E-05,2,1,0.654322,0,1,0,0,0,0,0,0,1,1,,,,,0,,,,,0,0,0,,9.9999,9.99999,19.9999,0.000113994,1000,1000,0,0,0,0,0,0,0.000103856,0.000103856,1E-05,9.38555E-05,0,9.38555E-05,0,0,,0,0,0,0,0,0.708276,0.194116,0.219716,0.199292,0.153453,0.105571,0.0669766,0.0395237,0.0213505,0.24594,0.29712,0.245942,0.139472,0.0541729,0.0144053,0.00262108,0.000326142,0,0,1,0,0,0,0,0,0
"MODRA CM 4 RC 0.5 LT 1.2","1.596E-06","0.9933","1078","PrecPower3",0.125,0.999903,9.69764E-05,0.3125,0,0,1,9.69764E-05,9.57106E-06,3,1,0.770904,0,0,1,0,0,0,0,0,1,1,,,,,0,,,,,0,0,0,,9.9999,9.99999,19.9999,0.000106976,1000,1000,0,0,0,0,0,0,9.74053E-05,9.74053E-05,1E-05,8.74053E-05,0,8.74053E-05,0,0,,0,0,0,0,0,0.437033,0.153945,0.184877,0.182933,0.158249,0.125175,0.0924003,0.0633459,0.0390745,0.122435,0.215899,0.260828,0.215901,0.122436,0.0475556,0.0126456,0.00230091,0,0,1,0,0,0,0,0,0
"MODRA CM 4 RC 0.5 LT 1.2","1.596E-06","0.9933","1078","PrecPower4",0.125,0.999906,9.36226E-05,0.4375,0,0,1,9.36226E-05,9.34854E-06,4,1,0.882223,0,0,0,1,0,0,0,0,1,1,,,,,0,,,,,0,0,0,,9.99991,9.99999,19.9999,0.000103623,1000,1000,0,0,0,0,0,0,9.42741E-05,9.42741E-05,1E-05,8.42741E-05,0,8.42741E-05,0,0,,0,0,0,0,0,0.146656,0.109092,0.141947,0.157033,0.156101,0.144142,0.12449,0.098653,0.0685429,0.0454962,0.117134,0.206552,0.249536,0.206553,0.117134,0.0454964,0.0120981,0,0,1,0,0,0,0,0,0
