Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000003651,0,0,0,0.0125,0.025,0.05,0.0375,0.125
0.000036292,0,0,1,0.0125,0.025,0.05,0.0375,1.125
0.000000220,0,1,0,0.0125,0.025,0.05,0.0375,1.125
0.365083671,0,0,0,0,0,0,0,0
0.000000129,1E-05,0,0,0.0125,0.025,0.05,0,0.08751
0.000001190,1E-05,0,1,0.0125,0.025,0.05,0,1.08751
0.000001219,1E-05,0,0,0.0125,0.025,0.05,0.0375,0.12501
0.000010786,1E-05,0,1,0.0125,0.025,0.05,0.0375,1.12501
0.000000200,1E-05,1,0,0.0125,0.025,0.05,0.0375,1.12501
0.134862642,1E-05,0,0,0,0,0,0,1E-05
0.000000247,2E-05,0,0,0.0125,0.025,0.05,0,0.08752
0.000002058,2E-05,0,1,0.0125,0.025,0.05,0,1.08752
0.000002457,2E-05,0,0,0.0125,0.025,0.05,0.0375,0.12502
0.000019089,2E-05,0,1,0.0125,0.025,0.05,0.0375,1.12502
0.269958185,2E-05,0,0,0,0,0,0,2E-05
0.000000290,3E-05,0,0,0.0125,0.025,0.05,0,0.08753
0.000001991,3E-05,0,1,0.0125,0.025,0.05,0,1.08753
0.000002020,3E-05,0,0,0.0125,0.025,0.05,0.0375,0.12503
0.000012952,3E-05,0,1,0.0125,0.025,0.05,0.0375,1.12503
0.230000711,3E-05,0,0,0,0,0,0,3E-05
